time,open,high,low,close,volume,ticker
2023-01-03,3900,3970,3850,3970,34400,MHC
2023-01-04,3950,4000,3920,3920,25700,MHC
2023-01-05,3800,4040,3800,3970,22100,MHC
2023-01-06,3960,3970,3850,3950,7100,MHC
2023-01-09,4050,4050,3860,3940,9700,MHC
2023-01-10,3840,3980,3800,3980,31200,MHC
2023-01-11,3890,3900,3780,3900,36900,MHC
2023-01-12,3900,3900,3850,3880,11600,MHC
2023-01-13,3780,3900,3780,3800,14200,MHC
2023-01-16,3800,3800,3700,3800,13600,MHC
2023-01-17,3630,3930,3630,3900,11900,MHC
2023-01-18,3670,3940,3630,3900,8300,MHC
2023-01-19,3980,3980,3730,3950,36800,MHC
2023-01-27,3950,4050,3950,4030,59700,MHC
2023-01-30,4080,4190,4040,4050,38500,MHC
2023-01-31,4050,4050,3900,4030,49400,MHC
2023-02-01,4100,4200,3930,3930,171000,MHC
2023-02-02,3960,4059,3960,3970,63900,MHC
2023-02-03,4000,4010,3930,4000,29400,MHC
2023-02-06,3800,4080,3800,4000,36200,MHC
2023-02-07,4040,4040,3910,3940,31500,MHC
2023-02-08,3920,3960,3910,3940,14600,MHC
2023-02-09,3940,3980,3890,3960,2800,MHC
2023-02-10,3960,3980,3870,3960,18900,MHC
2023-02-13,3900,3960,3700,3700,65000,MHC
2023-02-14,3750,3800,3550,3700,25600,MHC
2023-02-15,3610,3750,3600,3690,18900,MHC
2023-02-16,3690,3750,3650,3750,22700,MHC
2023-02-17,3750,3790,3700,3780,36500,MHC
2023-02-20,3780,3900,3760,3900,51400,MHC
2023-02-21,3900,3940,3890,3930,50300,MHC
2023-02-22,3800,3900,3700,3750,48500,MHC
2023-02-23,3730,3800,3730,3790,42800,MHC
2023-02-24,3730,3800,3730,3800,31300,MHC
2023-02-27,3710,3780,3620,3740,62200,MHC
2023-02-28,3740,3740,3650,3730,14300,MHC
2023-03-01,3700,3750,3670,3670,32900,MHC
2023-03-02,3860,3860,3660,3700,32900,MHC
2023-03-03,3720,3730,3680,3710,82300,MHC
2023-03-06,3890,3960,3730,3960,112500,MHC
2023-03-07,3890,3950,3810,3860,57200,MHC
2023-03-08,3800,3920,3800,3900,70700,MHC
2023-03-09,3900,4030,3860,4000,314100,MHC
2023-03-10,4090,4090,3950,3980,14100,MHC
2023-03-13,3980,3980,3810,3850,49800,MHC
2023-03-14,3850,3850,3700,3700,18100,MHC
2023-03-15,3710,3890,3690,3800,21500,MHC
2023-03-16,3800,3810,3750,3770,11600,MHC
2023-03-17,3710,3790,3710,3790,13100,MHC
