time,open,high,low,close,volume,ticker
2023-01-06,12000,12000,11400,11400,4700,MIC
2023-01-12,10200,10700,10200,10200,13900,MIC
2023-01-19,9600,9600,9600,9600,1000,MIC
2023-01-31,10200,10200,10200,10200,500,MIC
2023-02-02,9700,9700,9700,9700,100,MIC
2023-02-03,10200,10200,10000,10000,600,MIC
2023-02-07,10300,10300,10300,10300,2000,MIC
2023-02-08,10500,10500,10500,10500,400,MIC
2023-02-09,10500,10500,10500,10500,1000,MIC
2023-02-10,10500,10500,10500,10500,1000,MIC
2023-02-13,10500,10500,10500,10500,1000,MIC
2023-02-14,10500,10500,10500,10500,1000,MIC
2023-02-16,10300,10300,10000,10000,1800,MIC
2023-02-21,10200,10200,10200,10200,1800,MIC
2023-02-22,10200,10200,10200,10200,1500,MIC
2023-02-23,10200,10200,10200,10200,800,MIC
2023-03-01,10300,10300,10300,10300,200,MIC
2023-03-02,10300,10300,10300,10300,100,MIC
2023-03-06,11800,11800,11800,11800,10000,MIC
2023-03-07,13500,13500,12300,12300,1900,MIC
2023-03-09,11400,11400,11400,11400,500,MIC
2023-03-10,11400,11400,11400,11400,500,MIC
2023-03-15,11000,11400,11000,11400,300,MIC
2023-03-17,11000,11000,11000,11000,100,MIC
2023-03-20,11000,11000,10400,10400,500,MIC
2023-03-22,10800,10800,10800,10800,100,MIC
2023-03-24,10000,12400,10000,12400,4400,MIC
2023-03-27,12700,12700,12700,12700,3100,MIC
2023-03-29,11300,11300,11300,11300,1000,MIC
2023-03-31,12900,12900,12900,12900,5200,MIC
2023-04-03,11100,11100,11100,11100,300,MIC
2023-04-04,10600,10600,10600,10600,500,MIC
2023-04-12,10700,10700,10700,10700,200,MIC
2023-04-18,9300,9300,9300,9300,100,MIC
2023-04-19,10600,10600,10600,10600,400,MIC
2023-04-21,10600,10600,10600,10600,100,MIC
2023-04-24,11000,12100,11000,12100,300,MIC
2023-04-25,13000,13000,13000,13000,100,MIC
2023-05-08,11100,11500,11100,11500,1000,MIC
2023-05-22,11800,11800,11800,11800,100,MIC
2023-05-26,11800,11800,11800,11800,100,MIC
2023-05-30,12200,12200,12200,12200,100,MIC
2023-06-07,11800,12200,11800,12200,400,MIC
2023-06-08,12000,12000,12000,12000,5600,MIC
2023-06-12,11900,11900,11900,11900,100,MIC
2023-06-20,12900,12900,12900,12900,100,MIC
2023-06-23,11000,11000,11000,11000,500,MIC
2023-06-30,9500,9500,9500,9500,100,MIC
2023-07-03,9500,9500,9500,9500,300,MIC
2023-07-07,10800,10800,10800,10800,100,MIC
2023-07-13,9200,9200,9200,9200,400,MIC
2023-07-14,9200,9900,9200,9200,800,MIC
2023-07-18,9200,9200,9200,9200,200,MIC
2023-07-19,10400,10400,9200,9200,700,MIC
2023-07-20,9800,9800,9800,9800,200,MIC
2023-07-21,9300,9500,9300,9500,1000,MIC
2023-07-24,10700,10700,9900,9900,200,MIC
2023-07-26,10700,10700,10700,10700,100,MIC
2023-07-27,9200,12200,9200,12200,2100,MIC
2023-07-28,9500,9500,9500,9500,300,MIC
2023-07-31,10800,10800,10000,10000,1800,MIC
2023-08-01,10000,10000,10000,10000,1000,MIC
2023-08-02,8500,8500,8500,8500,100,MIC
2023-08-03,9700,9700,9400,9700,400,MIC
2023-08-07,9600,9900,9600,9700,700,MIC
2023-08-09,10000,10000,10000,10000,200,MIC
2023-08-10,10000,10000,10000,10000,700,MIC
2023-08-11,10000,10000,10000,10000,200,MIC
2023-08-15,10000,10000,10000,10000,600,MIC
2023-08-16,10000,10000,10000,10000,200,MIC
2023-08-21,12000,12000,11500,11500,1300,MIC
2023-08-22,11000,11000,11000,11000,2000,MIC
2023-08-23,10000,10500,10000,10500,2100,MIC
2023-08-25,10100,10100,10100,10100,3100,MIC
2023-08-28,10000,10000,10000,10000,800,MIC
2023-08-31,10100,10100,10100,10100,200,MIC
2023-09-05,10100,10100,10100,10100,100,MIC
2023-09-06,10000,10000,10000,10000,800,MIC
2023-09-07,10000,10000,10000,10000,500,MIC
2023-09-08,11000,11500,11000,11500,4700,MIC
2023-09-11,11000,12700,11000,12700,2300,MIC
2023-09-12,10800,14300,10800,12700,5800,MIC
2023-09-13,12500,12500,12500,12500,17000,MIC
2023-09-14,11700,11800,11700,11800,200,MIC
2023-09-15,12500,12500,12500,12500,300,MIC
2023-09-19,12000,13500,12000,13500,2000,MIC
2023-09-21,13900,14000,13900,14000,6500,MIC
2023-09-22,14000,14600,14000,14600,36100,MIC
2023-09-25,15000,16200,15000,16200,35200,MIC
2023-09-26,18000,18000,15900,15900,10700,MIC
2023-09-27,15500,15500,14300,15000,12200,MIC
2023-09-28,16800,16800,12700,14000,9200,MIC
2023-09-29,14800,14800,14000,14800,17200,MIC
2023-10-02,16000,16000,14900,14900,11800,MIC
2023-10-03,13500,15800,13400,15800,10000,MIC
2023-10-04,15900,15900,15300,15300,2200,MIC
2023-10-05,15300,15300,15300,15300,8900,MIC
2023-10-09,15300,15500,15300,15500,2000,MIC
2023-10-10,15200,15200,13500,13500,8800,MIC
2023-10-11,12500,14800,12500,14800,200,MIC
2023-10-12,14700,14700,14700,14700,100,MIC
2023-10-13,14600,14600,14000,14600,7300,MIC
