time,open,high,low,close,volume,ticker
2023-01-03,13000,13200,13000,13200,1200,MLS
2023-01-04,13000,13000,13000,13000,2200,MLS
2023-01-05,11400,13400,11400,13300,3200,MLS
2023-01-06,13600,13600,13200,13200,4100,MLS
2023-01-11,11900,13500,11900,13500,1900,MLS
2023-01-12,13800,13800,13700,13700,400,MLS
2023-01-13,13000,13000,13000,13000,1000,MLS
2023-01-16,13000,13100,13000,13000,4400,MLS
2023-01-18,13500,14000,12100,14000,1700,MLS
2023-01-19,13500,14500,13500,13500,2000,MLS
2023-01-27,14000,14500,14000,14500,600,MLS
2023-01-30,14000,14800,14000,14800,3000,MLS
2023-01-31,14100,14700,14100,14700,2600,MLS
2023-02-01,14400,14400,13100,14100,2800,MLS
2023-02-03,13000,14500,13000,14300,400,MLS
2023-02-06,14500,14500,14500,14500,300,MLS
2023-02-07,14500,14500,14500,14500,100,MLS
2023-02-08,14500,14500,12700,14400,900,MLS
2023-02-09,14700,14700,14600,14600,1300,MLS
2023-02-10,12900,14200,12900,14200,1500,MLS
2023-02-14,14600,14600,11900,11900,300,MLS
2023-02-15,14100,14100,14100,14100,100,MLS
2023-02-16,14400,14400,14400,14400,100,MLS
2023-02-20,13400,13400,13400,13400,1100,MLS
2023-02-21,13500,13500,13400,13400,200,MLS
2023-02-22,12100,14000,12100,14000,1300,MLS
2023-02-27,12800,13600,12800,13600,1700,MLS
2023-02-28,13600,13600,12500,13300,1200,MLS
2023-03-01,13700,13700,13700,13700,400,MLS
2023-03-03,13000,13600,13000,13600,2000,MLS
2023-03-06,13500,13500,13500,13500,100,MLS
2023-03-07,13500,14400,13500,14400,300,MLS
2023-03-08,13800,13800,13800,13800,200,MLS
2023-03-10,14400,14400,14400,14400,100,MLS
2023-03-14,12300,13800,12300,13700,800,MLS
2023-03-15,13200,13200,13200,13200,200,MLS
2023-03-16,13700,13700,13700,13700,400,MLS
2023-03-17,13600,13600,13600,13600,100,MLS
2023-03-20,13600,13600,13600,13600,100,MLS
2023-03-21,12000,13500,12000,13400,2300,MLS
2023-03-22,13300,13300,13300,13300,100,MLS
2023-03-23,11900,11900,11900,11900,100,MLS
2023-03-24,13400,13400,13400,13400,200,MLS
2023-03-27,13500,13500,13500,13500,100,MLS
2023-03-28,13500,13500,13500,13500,100,MLS
2023-03-29,13400,13400,13400,13400,500,MLS
2023-03-31,13300,13300,13300,13300,100,MLS
2023-04-03,13300,13300,13300,13300,100,MLS
2023-04-04,13900,13900,13300,13300,200,MLS
2023-04-05,13200,13200,13200,13200,100,MLS
2023-04-06,13300,13300,13300,13300,400,MLS
2023-04-07,14000,14600,14000,14600,200,MLS
2023-04-10,12500,12500,12500,12500,500,MLS
2023-04-12,13400,13400,13400,13400,100,MLS
2023-04-13,13400,13400,13400,13400,100,MLS
2023-04-14,13300,13300,13300,13300,200,MLS
2023-04-17,14500,14500,14500,14500,100,MLS
2023-04-18,13100,14400,12900,14400,3600,MLS
2023-04-19,13500,13500,13500,13500,200,MLS
2023-04-20,13500,13500,13500,13500,100,MLS
2023-04-21,13000,13000,12100,12100,3000,MLS
2023-04-24,13100,13100,13100,13100,100,MLS
2023-04-25,13200,13200,13200,13200,100,MLS
2023-04-26,13000,13000,13000,13000,100,MLS
2023-05-04,12900,12900,12900,12900,100,MLS
2023-05-08,12800,12800,12800,12800,100,MLS
2023-05-09,12700,12700,12700,12700,200,MLS
2023-05-11,12800,12800,12700,12700,5100,MLS
2023-05-12,12700,12700,12700,12700,1500,MLS
2023-05-15,12900,13000,12900,13000,1100,MLS
2023-05-16,13200,13200,12800,12900,500,MLS
2023-05-17,13200,13400,13200,13400,1300,MLS
2023-05-18,13300,13400,13300,13400,4600,MLS
2023-05-19,12500,12500,12500,12500,100,MLS
2023-05-22,13200,13200,13200,13200,100,MLS
2023-05-23,13300,14000,13300,14000,1700,MLS
2023-05-24,14400,14400,14000,14000,700,MLS
2023-05-25,14000,14000,14000,14000,100,MLS
2023-05-29,12700,14500,12700,14200,15800,MLS
2023-05-30,14100,14100,14000,14000,200,MLS
2023-05-31,14000,14100,13500,13500,3200,MLS
2023-06-01,13500,13600,13500,13600,3000,MLS
2023-06-02,13600,13800,13600,13800,400,MLS
2023-06-05,13800,14000,13600,14000,2900,MLS
2023-06-06,13700,13700,13600,13700,2400,MLS
2023-06-07,13700,13800,13600,13800,400,MLS
2023-06-08,13700,14000,13700,13900,2300,MLS
2023-06-09,13900,13900,13800,13900,900,MLS
2023-06-12,13800,13800,13800,13800,2700,MLS
2023-06-13,14500,14500,13800,14500,400,MLS
2023-06-14,16300,16300,16300,16300,100,MLS
2023-06-15,14100,14900,14000,14000,17600,MLS
2023-06-16,14100,14500,14100,14500,1300,MLS
2023-06-19,14500,14700,14000,14700,8400,MLS
2023-06-20,15000,15000,14500,14500,5300,MLS
2023-06-21,14800,14800,14800,14800,100,MLS
2023-06-22,15000,15600,14000,14000,10300,MLS
2023-06-23,16000,16000,14800,14800,1500,MLS
2023-06-26,14900,14900,14800,14800,20700,MLS
2023-06-27,15400,15400,14900,14900,500,MLS
2023-07-04,15200,16000,15200,16000,2200,MLS
2023-07-05,15400,16000,14200,15400,6100,MLS
2023-07-06,15000,15000,15000,15000,500,MLS
2023-07-07,15000,15000,15000,15000,1100,MLS
2023-07-10,15500,15500,15500,15500,500,MLS
2023-07-11,15000,15400,14600,14600,1900,MLS
2023-07-12,14800,14800,14700,14700,5000,MLS
2023-07-13,15000,15000,14600,14700,15200,MLS
2023-07-14,14800,15200,14600,14700,25100,MLS
2023-07-17,15000,15000,14700,14700,200,MLS
2023-07-18,14400,14400,14400,14400,100,MLS
2023-07-19,14400,14700,14400,14500,4200,MLS
2023-07-20,14000,14600,14000,14600,3200,MLS
2023-07-21,14300,15000,14300,15000,12600,MLS
2023-07-24,13200,14500,13200,14500,1000,MLS
2023-07-25,14100,14100,14100,14100,500,MLS
2023-07-26,14000,14000,14000,14000,700,MLS
2023-07-27,15700,15700,15700,15700,100,MLS
2023-07-28,13800,14900,13800,14000,6500,MLS
2023-07-31,14400,14500,14400,14500,1100,MLS
2023-08-01,14500,14500,14100,14100,1700,MLS
2023-08-02,14200,14600,14200,14500,400,MLS
2023-08-03,14500,14500,14300,14300,700,MLS
2023-08-04,15000,15000,15000,15000,100,MLS
2023-08-07,14500,14600,14100,14600,5000,MLS
2023-08-08,14400,14500,13900,13900,6400,MLS
2023-08-09,14500,15000,14500,14600,3800,MLS
2023-08-10,13900,14500,13900,14300,3400,MLS
2023-08-11,14500,14500,14300,14300,5000,MLS
2023-08-14,14300,14300,14200,14200,1200,MLS
2023-08-15,14000,14000,14000,14000,2800,MLS
2023-08-16,14000,14000,14000,14000,1400,MLS
