time,open,high,low,close,volume,ticker
2023-01-03,32600,33100,32400,32500,160300,MSH
2023-01-04,32500,32850,32100,32150,49800,MSH
2023-01-05,32500,32500,31600,31750,75000,MSH
2023-01-06,31900,32500,31900,32049,74500,MSH
2023-01-09,32750,33000,32400,32750,84900,MSH
2023-01-10,32800,32800,32500,32800,37600,MSH
2023-01-11,33000,33000,32700,32750,27000,MSH
2023-01-12,32750,32750,32500,32549,32600,MSH
2023-01-13,32750,33050,32600,32600,34200,MSH
2023-01-16,32600,32800,31700,32700,14900,MSH
2023-01-17,32400,33200,32400,33200,50300,MSH
2023-01-18,32800,33900,32800,33900,56700,MSH
2023-01-19,34000,34200,33300,33600,34100,MSH
2023-01-27,33700,34100,33650,34050,20400,MSH
2023-01-30,34500,34500,33000,33950,33000,MSH
2023-01-31,33500,33850,33500,33850,46200,MSH
2023-02-01,33850,35500,33850,34800,213200,MSH
2023-02-02,34800,34800,33800,34000,36800,MSH
2023-02-03,34050,34050,33300,33750,40900,MSH
2023-02-06,33750,33750,33000,33000,70100,MSH
2023-02-07,33050,33450,32900,32900,60300,MSH
2023-02-08,32850,33050,32750,33000,61600,MSH
2023-02-09,33000,33650,33000,33000,40200,MSH
2023-02-10,33000,33550,33000,33200,26000,MSH
2023-02-13,32650,32900,32100,32200,27700,MSH
2023-02-14,32200,33450,32200,32950,16300,MSH
2023-02-15,33000,33000,32750,33000,24400,MSH
2023-02-16,33100,35000,33000,34450,204300,MSH
2023-02-17,34900,34900,34400,34450,24900,MSH
2023-02-20,33800,35100,33800,35100,128100,MSH
2023-02-21,35100,35100,34500,34950,91200,MSH
2023-02-22,34500,34900,34000,34150,62900,MSH
2023-02-23,34000,34000,33100,33400,61800,MSH
2023-02-24,33900,33900,33100,33400,18700,MSH
2023-02-27,33650,33650,32549,32650,61500,MSH
2023-02-28,32700,32950,32450,32700,26300,MSH
2023-03-01,32700,33300,32700,33250,25600,MSH
2023-03-02,33050,33200,33000,33000,10600,MSH
2023-03-03,33000,33000,32650,32650,11400,MSH
2023-03-06,33800,33800,32650,32650,13100,MSH
2023-03-07,33200,33200,32549,33200,25100,MSH
2023-03-08,33200,33200,32700,33000,13500,MSH
2023-03-09,33000,33200,32850,33100,46400,MSH
2023-03-10,32800,34900,32800,34600,45100,MSH
2023-03-13,33700,33700,33100,33650,12600,MSH
2023-03-14,33600,33600,32800,33400,22400,MSH
2023-03-15,33400,33600,33200,33500,9800,MSH
2023-03-16,33100,33300,32950,33300,19700,MSH
2023-03-17,33000,33550,33000,33150,4900,MSH
2023-03-20,33400,33400,32800,32800,10400,MSH
2023-03-21,32900,32900,32700,32850,9700,MSH
2023-03-22,33000,33000,32800,32800,6900,MSH
2023-03-23,32800,32800,32600,32600,1800,MSH
2023-03-24,32900,32900,32900,32900,600,MSH
2023-03-27,32800,33000,32800,33000,1200,MSH
2023-03-28,33100,33100,33000,33000,3200,MSH
2023-03-29,32549,33000,32549,32650,10500,MSH
2023-03-30,32800,32800,32800,32800,2500,MSH
2023-03-31,32800,32800,32500,32500,5600,MSH
2023-04-03,33300,33500,33000,33200,17900,MSH
2023-04-04,33100,33250,33000,33050,31500,MSH
2023-04-05,33250,34000,33250,33850,600,MSH
2023-04-06,33300,33500,33050,33350,3500,MSH
2023-04-07,33300,33500,33300,33500,18700,MSH
2023-04-07,33300,33300,33300,33300,600,MSH
2023-04-10,33500,34250,33450,34100,99800,MSH
2023-04-11,34000,34000,33350,33350,12900,MSH
2023-04-12,33550,34000,33250,34000,30000,MSH
2023-04-13,33950,34600,33950,34400,134600,MSH
2023-04-14,34500,35000,34000,34050,54400,MSH
2023-04-17,34000,34000,33000,33550,15900,MSH
2023-04-18,33850,34000,33650,33800,28400,MSH
2023-04-19,34100,34100,33800,33850,15400,MSH
2023-04-20,33800,34950,33800,34700,66300,MSH
2023-04-21,34600,35000,33850,33850,29800,MSH
2023-04-24,34000,34100,33500,33550,16000,MSH
2023-04-25,33200,33500,33050,33050,50500,MSH
2023-04-26,32900,33600,32900,33450,16000,MSH
2023-04-27,33450,34150,33000,33400,45300,MSH
2023-04-28,33050,33800,33050,33300,19400,MSH
2023-05-04,33200,33800,32900,33000,56000,MSH
2023-05-05,33000,33100,32900,32950,8900,MSH
2023-05-08,32800,33100,32700,32900,39200,MSH
2023-05-09,32900,33200,32900,33000,11100,MSH
2023-05-10,33200,33200,32950,33000,57200,MSH
2023-05-11,33150,33250,33000,33000,57100,MSH
2023-05-12,33200,33200,33050,33100,15800,MSH
2023-05-15,33100,33250,33100,33200,55400,MSH
2023-05-16,33250,33850,33000,33000,58200,MSH
2023-05-17,33200,33200,33000,33000,8100,MSH
2023-05-18,33150,33150,32850,32900,23500,MSH
2023-05-19,33050,33050,32700,32750,36200,MSH
2023-05-22,32650,32650,31900,32000,150100,MSH
2023-05-23,32500,32500,32000,32150,166700,MSH
2023-05-24,32049,32500,32049,32350,75300,MSH
2023-05-25,32350,32400,31900,32299,86100,MSH
2023-05-26,32299,32400,31800,31950,46300,MSH
2023-05-29,32000,32250,32000,32200,88900,MSH
2023-05-30,32200,33000,32200,32900,207000,MSH
2023-05-31,32900,33450,32900,33300,116700,MSH
2023-06-01,33350,33800,33300,33800,163400,MSH
2023-06-02,33900,33900,32700,33200,172500,MSH
2023-06-05,33200,34000,33200,33800,133800,MSH
2023-06-06,33850,36000,33850,35800,369700,MSH
2023-06-07,36000,36000,34950,35550,228600,MSH
2023-06-08,35150,35900,35050,35200,127000,MSH
2023-06-09,35200,35800,35100,35600,129000,MSH
2023-06-12,35950,37000,35300,37000,289600,MSH
2023-06-13,37800,37800,35700,36050,158800,MSH
2023-06-14,36750,36750,35600,35600,139800,MSH
2023-06-15,35600,35600,34900,35100,145500,MSH
2023-06-16,35500,35800,35000,35100,128200,MSH
2023-06-19,35100,35250,34550,35200,96000,MSH
2023-06-20,35300,35800,35200,35500,71600,MSH
2023-06-21,35500,35700,35200,35600,79500,MSH
2023-06-22,35800,36000,35700,35950,182500,MSH
2023-06-23,36350,36350,35550,35700,82500,MSH
2023-06-26,35150,35700,35150,35350,73200,MSH
2023-06-27,35700,36500,35400,36500,266800,MSH
2023-06-28,36500,37500,36450,36450,163700,MSH
2023-06-29,36200,36400,35400,35400,149800,MSH
