time,open,high,low,close,volume,ticker
2023-01-03,95000,96000,93000,96000,740400,MSN
2023-01-04,97000,99300,95000,99300,549400,MSN
2023-01-05,100000,100100,98000,99500,684600,MSN
2023-01-06,99500,99500,95000,95800,541300,MSN
2023-01-09,96700,97300,95500,96500,398200,MSN
2023-01-10,96500,96900,93600,95400,613400,MSN
2023-01-11,96000,96300,94300,96000,556800,MSN
2023-01-12,96100,96300,93000,93300,537400,MSN
2023-01-13,94100,95000,93400,95000,319700,MSN
2023-01-16,95000,96000,93700,94900,339600,MSN
2023-01-17,94700,97500,93300,97500,600000,MSN
2023-01-18,97500,99900,96100,99900,620900,MSN
2023-01-19,98300,102000,95300,102000,1021900,MSN
2023-01-27,102000,106000,101900,103700,741600,MSN
2023-01-30,105000,105400,102000,102000,330200,MSN
2023-01-31,100100,102000,100100,101100,354700,MSN
2023-02-01,100200,101800,95100,95200,958200,MSN
2023-02-02,97900,97900,95000,96700,736900,MSN
2023-02-03,95600,96700,93600,96500,567900,MSN
2023-02-06,94200,96300,93500,96300,685600,MSN
2023-02-07,96000,96000,93300,94100,857100,MSN
2023-02-08,94100,95500,93500,93500,446700,MSN
2023-02-09,93500,94500,91800,91800,773600,MSN
2023-02-10,91800,92000,89500,91200,680900,MSN
2023-02-13,91200,92900,90100,92900,468600,MSN
2023-02-14,92900,93400,91600,92900,392700,MSN
2023-02-15,92000,93300,92000,93000,617800,MSN
2023-02-16,93000,93400,92100,92900,379900,MSN
2023-02-17,93000,93000,91100,91300,279500,MSN
2023-02-20,91400,94500,91400,94500,685100,MSN
2023-02-21,94000,94800,93200,93800,258400,MSN
2023-02-22,93000,93300,91000,91000,784400,MSN
2023-02-23,91500,91500,87000,87600,672900,MSN
2023-02-24,88800,88800,84900,85900,716200,MSN
2023-02-27,83900,84500,79900,79900,900500,MSN
2023-02-28,82000,82500,80000,82000,585400,MSN
2023-03-01,80000,81800,79700,80500,1083200,MSN
2023-03-02,80400,81300,79000,79000,540200,MSN
2023-03-03,79700,79800,76000,76000,581000,MSN
2023-03-06,76500,78000,74400,74400,850800,MSN
2023-03-07,76000,79600,75200,78300,1893800,MSN
2023-03-08,78200,81000,77800,80400,1497600,MSN
2023-03-09,80500,82000,80100,80800,1257800,MSN
2023-03-10,80500,84500,80500,83900,1407600,MSN
2023-03-13,83800,85800,83800,84500,1593800,MSN
2023-03-14,84100,85000,82500,83600,939100,MSN
2023-03-15,83700,85100,83600,84700,1108600,MSN
2023-03-16,84700,84700,82000,83800,897900,MSN
2023-03-17,83800,84000,82700,83500,1173700,MSN
2023-03-20,82600,82800,79400,81500,1328800,MSN
2023-03-21,81500,83200,79000,80100,1059400,MSN
2023-03-22,80200,80600,78200,79000,1703500,MSN
2023-03-23,79700,79700,78500,78500,1353700,MSN
2023-03-24,79000,79000,77700,78000,1368800,MSN
2023-03-27,78200,78200,76200,76600,1538900,MSN
2023-03-28,77500,77800,76800,77600,1526800,MSN
2023-03-29,77600,77800,76800,77500,939400,MSN
2023-03-30,79300,79600,78500,79100,1040000,MSN
2023-03-31,79200,79400,78100,78400,1099300,MSN
2023-04-03,78800,78800,76800,77000,1511300,MSN
2023-04-04,76900,78600,76900,78500,1223200,MSN
2023-04-05,78700,79200,77600,78000,770200,MSN
2023-04-06,78100,78400,77300,77700,906000,MSN
2023-04-07,77000,77900,76900,77600,530700,MSN
2023-04-10,77700,78100,77100,77200,836800,MSN
2023-04-11,77600,78000,77200,77700,680200,MSN
2023-04-12,77900,80200,77900,79500,1601300,MSN
2023-04-13,80000,80500,79200,79400,1137200,MSN
2023-04-14,79300,79900,78400,78600,1243800,MSN
2023-04-17,78000,78200,77200,78000,870800,MSN
2023-04-18,78200,78500,77800,78200,488000,MSN
2023-04-19,78200,79800,78000,78500,1192200,MSN
2023-04-20,79000,79100,77700,78700,692200,MSN
2023-04-21,78000,78100,76200,76400,1032200,MSN
2023-04-24,76600,76600,73500,74000,1308700,MSN
2023-04-25,73900,73900,71100,71500,916300,MSN
2023-04-26,71300,71900,70500,71300,1097800,MSN
2023-04-27,71700,72900,71300,72000,423200,MSN
2023-04-28,72700,73200,72300,72300,374700,MSN
2023-05-04,72800,72800,70800,70900,702400,MSN
2023-05-05,70600,73100,70500,73000,950000,MSN
2023-05-08,73500,75200,73100,74200,963500,MSN
2023-05-09,74100,74600,73400,73900,621800,MSN
2023-05-10,74000,75000,73600,73600,696600,MSN
2023-05-11,73700,74300,73300,74000,445100,MSN
2023-05-12,73300,74500,73300,74300,396400,MSN
2023-05-15,74400,75200,74300,74500,674600,MSN
2023-05-16,74100,74200,73200,73300,331700,MSN
2023-05-17,73300,74000,73000,73700,573200,MSN
2023-05-18,73200,73800,72700,73300,860100,MSN
2023-05-19,73200,73200,71600,72000,617900,MSN
2023-05-22,71400,72500,71400,72100,692100,MSN
2023-05-23,72000,72000,70200,70300,2101200,MSN
2023-05-24,70900,71900,70000,71800,951300,MSN
2023-05-25,71800,72500,70800,72000,740000,MSN
2023-05-26,71800,72100,71400,72000,757500,MSN
2023-05-29,72100,72200,71400,71600,483800,MSN
2023-05-30,71600,73200,71600,72800,946700,MSN
2023-05-31,72900,73500,72000,72000,718500,MSN
2023-06-01,72000,72200,71500,71800,326400,MSN
2023-06-02,72000,72700,71800,72300,936100,MSN
2023-06-05,73000,74700,72800,74100,2010900,MSN
2023-06-06,74000,74600,73500,73600,1265200,MSN
2023-06-07,74200,75700,73500,75500,2296600,MSN
2023-06-08,76300,76400,74300,74400,1251100,MSN
2023-06-09,75000,76900,74200,76500,2410700,MSN
2023-06-12,77000,78400,76600,78400,2600400,MSN
2023-06-13,78600,78800,77900,78800,1699700,MSN
2023-06-14,78800,79400,77800,78000,2339300,MSN
2023-06-15,78000,78100,76700,77100,1224800,MSN
2023-06-16,77500,77600,75400,76600,2124500,MSN
2023-06-19,76500,76500,74500,74500,1152200,MSN
2023-06-20,74300,75300,74300,75200,605600,MSN
2023-06-21,75100,76200,74600,76100,1015400,MSN
2023-06-22,76100,76500,75800,76300,850900,MSN
2023-06-23,76100,77800,75700,77300,1600600,MSN
2023-06-26,78000,79000,77000,77700,981300,MSN
2023-06-27,77800,78000,76900,77700,685500,MSN
2023-06-28,77900,77900,76700,77000,691700,MSN
2023-06-29,76800,76800,75400,75400,1147500,MSN
2023-06-30,75400,76200,75200,75200,866600,MSN
2023-07-03,75200,76000,75200,75400,646200,MSN
2023-07-04,75400,75900,75300,75600,823200,MSN
2023-07-05,75900,76300,75500,75800,1395400,MSN
2023-07-06,75500,76100,75500,76000,964100,MSN
2023-07-07,76200,76200,75200,75200,1421500,MSN
2023-07-10,75400,77900,75400,77900,2345800,MSN
2023-07-11,78100,80100,78100,79200,2849800,MSN
2023-07-12,80100,80100,79000,79500,1607300,MSN
2023-07-13,79600,81900,79500,81800,2671400,MSN
2023-07-14,82000,82700,80700,81800,1690600,MSN
2023-07-17,81800,81800,80500,80700,1453800,MSN
2023-07-18,80600,81300,80200,80500,1274400,MSN
2023-07-19,80600,81300,80500,80800,1370700,MSN
2023-07-20,80900,80900,79100,79500,2335700,MSN
2023-07-21,79500,83000,79500,83000,2083200,MSN
