time,open,high,low,close,volume,ticker
2023-01-27,11760,11760,11760,11760,100,MTS
2023-01-30,11670,11670,11670,11670,100,MTS
2023-02-09,10000,10000,10000,10000,200,MTS
2023-02-10,9260,9260,9170,9170,1100,MTS
2023-02-13,9170,9170,8800,8800,1900,MTS
2023-02-21,8890,8890,8890,8890,100,MTS
2023-02-22,9170,9170,9170,9170,500,MTS
2023-02-28,8890,8980,8890,8980,900,MTS
2023-03-02,10190,10190,10190,10190,200,MTS
2023-03-03,10930,10930,8710,8710,300,MTS
2023-03-06,11480,11480,9720,9720,300,MTS
2023-03-07,11670,11670,11670,11670,200,MTS
2023-03-08,11580,11580,11580,11580,100,MTS
2023-03-21,11580,11580,11580,11580,100,MTS
2023-03-23,11760,11760,11760,11760,500,MTS
2023-05-31,7130,7130,7130,7130,800,MTS
2023-06-01,8150,8150,8150,8150,100,MTS
2023-06-02,9350,9350,7320,7320,2200,MTS
2023-06-06,9260,9260,9260,9260,100,MTS
2023-06-07,9260,9260,9260,9260,500,MTS
2023-06-08,10560,10560,10560,10560,100,MTS
2023-06-09,11950,11950,11950,11950,100,MTS
2023-06-12,10190,10190,10190,10190,1400,MTS
2023-06-13,8710,8710,8710,8710,300,MTS
2023-06-14,9910,9910,9910,9910,100,MTS
2023-06-15,8520,8520,8520,8520,500,MTS
2023-06-19,7410,7410,7410,7410,100,MTS
2023-06-20,8520,8520,8520,8520,200,MTS
2023-06-21,7410,9720,7410,9720,1600,MTS
2023-06-22,10930,10930,10650,10650,400,MTS
2023-06-23,12410,12410,12410,12410,100,MTS
2023-06-26,10560,10560,10560,10560,1600,MTS
2023-06-27,9080,9080,9080,9080,100,MTS
2023-07-03,7780,8240,7780,8240,1000,MTS
2023-07-05,9260,9260,9260,9260,100,MTS
2023-07-06,10370,10370,8610,8610,1100,MTS
2023-07-07,10100,10100,9800,9800,1200,MTS
2023-07-10,10800,10800,10800,10800,100,MTS
2023-07-12,12400,12400,12400,12400,100,MTS
2023-07-18,10600,10600,10600,10600,100,MTS
2023-07-20,9300,9300,9300,9300,300,MTS
2023-07-21,9300,9300,9300,9300,100,MTS
2023-07-24,10400,10400,10400,10400,100,MTS
2023-07-25,11900,11900,10200,10200,600,MTS
2023-08-01,11900,11900,9000,9000,300,MTS
2023-08-03,9000,9000,9000,9000,100,MTS
2023-08-04,10200,10200,10200,10200,100,MTS
2023-08-07,10200,10200,10200,10200,100,MTS
2023-08-11,11700,11700,11700,11700,100,MTS
2023-08-16,10000,11600,10000,11600,700,MTS
2023-08-31,9000,9000,8800,8900,600,MTS
2023-09-06,8000,8300,7700,7700,3200,MTS
2023-09-08,9000,9000,9000,9000,100,MTS
2023-09-11,10200,10200,10200,10200,100,MTS
2023-09-15,11200,11200,11200,11200,100,MTS
2023-09-18,9600,9600,9600,9600,2700,MTS
2023-09-19,8200,8300,8200,8300,1300,MTS
2023-09-20,9500,9500,9500,9500,100,MTS
2023-09-21,10300,10300,10300,10300,100,MTS
2023-10-03,10900,10900,10900,10900,100,MTS
2023-10-05,9300,9300,9300,9300,1100,MTS
2023-10-06,10500,10500,10500,10500,100,MTS
2023-10-09,9000,10500,9000,10500,200,MTS
2023-10-10,9800,9800,9800,9800,100,MTS
2023-10-11,8400,8400,8400,8400,100,MTS
2023-10-12,9600,9600,9600,9600,100,MTS
