time,open,high,low,close,volume,ticker
2023-01-30,17430,17430,17240,17240,1700,MTV
2023-01-31,17240,17240,17240,17240,2000,MTV
2023-02-01,17240,17240,17240,17240,12600,MTV
2023-02-06,17240,17240,17240,17240,1600,MTV
2023-02-07,14650,14650,14650,14650,100,MTV
2023-02-08,12540,12540,12540,12540,100,MTV
2023-02-13,14360,14360,14360,14360,100,MTV
2023-02-14,16470,16470,16470,16470,100,MTV
2023-02-15,17240,17240,17240,17240,100,MTV
2023-02-16,16760,16760,16760,16760,100,MTV
2023-02-17,16470,16470,16470,16470,100,MTV
2023-02-20,14460,17240,14460,17240,200,MTV
2023-02-22,16760,16760,16760,16760,100,MTV
2023-02-24,17240,17240,17240,17240,600,MTV
2023-02-27,14650,17240,14650,17240,2800,MTV
2023-03-01,17240,17240,17240,17240,100,MTV
2023-03-03,17720,17720,17720,17720,300,MTV
2023-03-09,15320,15320,15320,15320,2000,MTV
2023-03-10,14360,14360,14360,14360,100,MTV
2023-03-13,15320,16470,15320,16470,600,MTV
2023-03-14,16760,16760,15800,15800,2000,MTV
2023-03-15,16280,16280,15800,15800,1700,MTV
2023-03-16,15800,15800,15800,15800,2300,MTV
2023-03-21,15800,15800,15800,15800,3000,MTV
2023-03-22,15320,15320,15320,15320,500,MTV
2023-03-23,17240,17240,17240,17240,500,MTV
2023-04-04,14360,14360,14360,14360,100,MTV
2023-05-15,16470,16470,16470,16470,700,MTV
2023-05-19,16760,17240,16280,16280,600,MTV
2023-05-23,14360,14360,14360,14360,100,MTV
2023-05-25,16470,16470,16470,16470,200,MTV
2023-05-30,14080,14080,14080,14080,100,MTV
2023-05-31,16180,16180,16180,16180,200,MTV
2023-06-02,14360,14360,14360,14360,100,MTV
2023-06-14,16470,16470,16470,16470,200,MTV
2023-06-15,16280,16470,16280,16470,2100,MTV
2023-06-16,14360,16470,14360,16470,300,MTV
2023-06-19,14360,18100,14360,16470,1500,MTV
2023-06-20,14840,14840,14840,14840,100,MTV
2023-06-21,17040,17040,17040,17040,200,MTV
2023-06-23,14840,14840,14840,14840,100,MTV
2023-07-03,17040,17040,17040,17040,200,MTV
2023-07-12,15320,18670,15320,18670,1800,MTV
2023-07-19,18670,18670,18670,18670,500,MTV
2023-07-20,15900,18670,15900,18670,2100,MTV
2023-07-21,15800,15800,15800,15800,100,MTV
2023-07-25,16280,16280,16280,16280,500,MTV
2023-07-27,18390,18390,18390,18390,300,MTV
2023-08-24,18670,18670,18670,18670,400,MTV
2023-09-12,18670,18670,18670,18670,100,MTV
2023-10-06,15990,16280,15990,16090,3400,MTV
2023-10-09,15320,16090,15320,16090,300,MTV
2023-10-13,14600,14600,14600,14600,100,MTV
