time,open,high,low,close,volume,ticker
2023-01-03,12850,13600,12650,13550,541700,NBB
2023-01-04,13900,13900,13250,13600,583400,NBB
2023-01-05,13600,13600,13250,13500,310700,NBB
2023-01-06,13550,13550,13050,13100,311700,NBB
2023-01-09,12900,13200,12800,13150,407300,NBB
2023-01-10,13150,13150,12700,13000,167600,NBB
2023-01-11,13250,13250,12800,13000,182800,NBB
2023-01-12,12900,13100,12800,13000,216800,NBB
2023-01-13,12900,13000,12800,12900,198700,NBB
2023-01-16,12700,12900,12700,12900,146400,NBB
2023-01-17,13050,13300,12900,13300,348500,NBB
2023-01-18,13300,13350,13050,13250,367900,NBB
2023-01-19,13450,13450,13200,13300,346400,NBB
2023-01-27,13600,13600,13200,13200,229300,NBB
2023-01-30,13250,14100,13100,13800,919600,NBB
2023-01-31,13800,13800,13550,13750,196900,NBB
2023-02-01,13850,13900,12800,12800,599400,NBB
2023-02-02,13000,13000,12650,12900,264400,NBB
2023-02-03,12950,13100,12500,13000,292000,NBB
2023-02-06,13050,13050,12700,13000,120400,NBB
2023-02-07,13000,13050,12650,12800,206800,NBB
2023-02-08,12650,12950,12100,12950,236500,NBB
2023-02-09,12850,12850,12650,12800,104100,NBB
2023-02-10,12600,12800,12450,12800,158700,NBB
2023-02-13,12450,12500,11950,11950,294500,NBB
2023-02-14,11900,12750,11900,12150,212100,NBB
2023-02-15,12150,12650,12150,12650,172200,NBB
2023-02-16,12650,13000,12500,12850,118200,NBB
2023-02-17,12500,13000,12500,12900,182200,NBB
2023-02-20,12950,13400,12650,13400,297800,NBB
2023-02-21,13500,13500,13100,13100,346000,NBB
2023-02-22,12850,13000,12600,12800,271600,NBB
2023-02-23,12700,12800,12350,12800,232800,NBB
2023-02-24,12550,12750,12450,12750,109800,NBB
2023-02-27,12400,12750,12200,12750,225100,NBB
2023-02-28,12650,12950,12550,12650,164300,NBB
2023-03-01,12400,12800,12350,12800,153200,NBB
2023-03-02,12550,12800,12550,12750,69400,NBB
2023-03-03,12600,12750,12500,12700,170900,NBB
2023-03-06,12800,13050,12650,12900,190300,NBB
2023-03-07,12900,12900,12550,12800,78700,NBB
2023-03-08,12750,12800,12550,12800,139500,NBB
2023-03-09,12800,12800,12650,12700,143000,NBB
2023-03-10,12700,12700,12500,12700,109900,NBB
2023-03-13,12550,12700,12500,12700,230200,NBB
2023-03-14,12700,12700,12450,12650,189600,NBB
2023-03-15,12700,12850,12600,12750,230400,NBB
2023-03-16,12750,12750,12550,12650,98200,NBB
2023-03-17,12650,12700,12550,12650,78800,NBB
2023-03-20,12550,13100,12550,12900,342400,NBB
2023-03-21,12900,12900,12550,12850,116900,NBB
2023-03-22,13000,13000,12850,12900,75100,NBB
2023-03-23,12700,12800,12600,12600,22700,NBB
2023-03-24,12600,12750,12600,12650,101100,NBB
2023-03-27,12700,12800,12700,12800,37500,NBB
2023-03-28,12750,12950,12700,12750,95500,NBB
2023-03-29,12900,13550,12750,13550,1262800,NBB
2023-03-30,13950,14000,13350,13600,477200,NBB
2023-03-31,13300,13500,12950,13100,419100,NBB
2023-04-03,13450,13650,13150,13650,433500,NBB
2023-04-04,13850,13850,13200,13500,590400,NBB
2023-04-05,13400,14150,13400,13850,1062800,NBB
2023-04-06,14000,14550,14000,14200,1088900,NBB
2023-04-07,13950,14300,13600,13600,338500,NBB
2023-04-10,14150,14150,13550,13800,429900,NBB
2023-04-11,13850,13900,13250,13750,350800,NBB
2023-04-12,13700,14100,13600,13900,317100,NBB
2023-04-13,14000,14150,13750,13900,294200,NBB
2023-04-14,13850,14050,12950,13050,1578200,NBB
2023-04-17,13000,13100,12800,12800,276400,NBB
2023-04-18,12850,13100,12700,12900,226700,NBB
2023-04-19,12850,13050,12650,12650,682900,NBB
2023-04-20,12700,12850,12650,12650,241100,NBB
2023-04-21,12700,12900,12650,12750,189600,NBB
2023-04-24,12900,12900,12800,12850,146000,NBB
2023-04-25,12850,12900,12500,12550,271200,NBB
2023-04-26,12600,12800,12500,12700,193800,NBB
2023-04-27,12800,12900,12700,12750,108200,NBB
2023-04-28,12850,13050,12700,13000,251000,NBB
2023-05-04,13050,13150,12850,12850,259700,NBB
2023-05-05,12950,12950,12750,12850,169600,NBB
2023-05-08,12950,13000,12850,12900,193400,NBB
2023-05-09,13000,13500,13000,13250,527600,NBB
2023-05-10,13250,13600,13250,13550,509800,NBB
2023-05-11,13600,13600,13300,13300,553800,NBB
2023-05-12,13300,13450,13250,13400,624000,NBB
2023-05-15,13750,13750,13500,13500,410100,NBB
2023-05-16,13450,13450,13250,13250,323400,NBB
2023-05-17,13200,13400,13050,13100,302100,NBB
2023-05-18,13050,13250,13000,13250,179900,NBB
2023-05-19,13200,13350,13100,13200,239700,NBB
2023-05-22,13300,14200,13300,14150,789200,NBB
2023-05-23,13900,14100,13650,13700,517400,NBB
2023-05-24,13800,14350,13700,13900,644900,NBB
2023-05-25,13900,14100,13700,13700,420500,NBB
2023-05-26,13750,14300,13650,14150,883100,NBB
2023-05-29,14350,14550,14200,14500,480300,NBB
2023-05-30,14900,14950,14100,14400,903600,NBB
2023-05-31,14500,14850,14200,14850,1284900,NBB
2023-06-01,14850,15100,14500,14650,440900,NBB
2023-06-02,14800,15350,14500,14700,778700,NBB
2023-06-05,15000,15000,14450,14500,517600,NBB
2023-06-06,14550,14650,14400,14650,487600,NBB
2023-06-07,15000,15000,14650,14900,540900,NBB
2023-06-08,14950,15250,14600,14600,1274000,NBB
2023-06-09,14600,14650,14300,14400,349000,NBB
2023-06-12,14450,14600,14150,14600,444000,NBB
2023-06-13,14850,14850,14600,14850,439400,NBB
2023-06-14,14900,15200,14500,14500,564800,NBB
2023-06-15,14500,14900,14500,14800,380700,NBB
2023-06-16,14950,15000,14550,14600,535900,NBB
2023-06-19,14650,14650,14250,14250,439400,NBB
2023-06-20,14250,14850,14250,14800,496100,NBB
2023-06-21,14900,15000,14700,14850,299600,NBB
2023-06-22,14950,15850,14650,15850,2166000,NBB
2023-06-23,16250,16250,15500,15850,734700,NBB
2023-06-26,15850,16000,15250,15600,902800,NBB
2023-06-27,15650,15750,15300,15750,454800,NBB
2023-06-28,15900,15900,15400,15400,807100,NBB
2023-06-29,15350,15400,14600,14600,603200,NBB
2023-06-30,14550,14950,14550,14600,449300,NBB
2023-07-03,14600,14850,14600,14850,190700,NBB
2023-07-04,14750,14900,14600,14850,211000,NBB
2023-07-05,15100,15150,14850,14850,391900,NBB
2023-07-06,14850,15050,14500,14850,379300,NBB
2023-07-07,14750,14950,14500,14950,310100,NBB
2023-07-10,15000,15150,14950,15100,400300,NBB
2023-07-11,15100,15500,15100,15150,802000,NBB
2023-07-12,15300,15350,15000,15200,256200,NBB
2023-07-13,15300,15500,15200,15450,677100,NBB
2023-07-14,16000,16200,15500,15850,1029400,NBB
2023-07-17,16050,16250,15600,15650,723100,NBB
2023-07-18,15600,16000,15450,15850,961100,NBB
2023-07-19,15850,16600,15850,16350,1260900,NBB
2023-07-20,16350,16350,15950,16200,506100,NBB
2023-07-21,16000,16700,16000,16450,776300,NBB
2023-07-24,16700,16850,16400,16550,873500,NBB
2023-07-25,16550,16650,16000,16200,616400,NBB
2023-07-26,16450,16450,16100,16450,513000,NBB
2023-07-27,16800,17600,16500,17600,1716700,NBB
2023-07-28,18000,18800,17800,18800,1624800,NBB
2023-07-31,18700,19200,18200,18850,793700,NBB
2023-08-01,18900,18900,18150,18800,677700,NBB
2023-08-02,18400,19450,18400,19400,520800,NBB
2023-08-03,19400,19850,19000,19500,863500,NBB
2023-08-04,19700,20450,19300,20450,1396300,NBB
2023-08-07,20450,21000,20200,20200,858300,NBB
2023-08-08,20450,20450,19600,19600,405300,NBB
2023-08-09,19450,19950,19250,19800,648600,NBB
2023-08-10,19650,19950,19500,19950,318700,NBB
2023-08-11,20050,20200,19550,20200,446100,NBB
2023-08-14,20500,21600,20300,21500,1316200,NBB
2023-08-15,22250,22250,21400,21900,376100,NBB
2023-08-16,22000,22000,21250,21700,709000,NBB
2023-08-17,21600,21650,21250,21350,528400,NBB
2023-08-18,21050,21050,19900,20750,1133700,NBB
2023-08-21,20100,20800,19450,20750,543000,NBB
2023-08-22,21000,21450,19350,20750,445900,NBB
2023-08-23,21050,21050,20300,20650,299100,NBB
2023-08-24,20750,21200,20200,21000,452100,NBB
2023-08-25,21000,21300,20650,20700,192200,NBB
2023-08-28,20900,21500,20650,21000,285100,NBB
2023-08-29,21100,21800,21100,21250,536800,NBB
2023-08-30,21450,22150,21250,21800,926500,NBB
2023-08-31,22100,22200,21200,21500,387900,NBB
2023-09-05,21850,22100,21300,21700,450800,NBB
2023-09-06,21500,22000,21250,21800,701100,NBB
2023-09-07,22000,22900,22000,22900,1276200,NBB
2023-09-08,22950,23300,22600,22900,526100,NBB
2023-09-11,23050,23250,22100,22100,884000,NBB
2023-09-12,22100,23000,21900,23000,388700,NBB
2023-09-13,23050,23900,22600,23500,1054400,NBB
2023-09-14,23500,23500,22500,23000,396700,NBB
2023-09-15,22600,23300,22600,23000,401000,NBB
2023-09-18,23000,23000,21400,23000,241800,NBB
2023-09-19,22200,22850,21750,22400,356000,NBB
2023-09-20,22300,22550,21550,22550,203800,NBB
2023-09-21,22550,22800,22050,22350,146400,NBB
2023-09-22,21000,21850,20800,21700,415300,NBB
2023-09-25,21150,21400,20200,20200,127300,NBB
2023-09-26,19000,20100,18900,18900,615000,NBB
2023-09-27,19500,19500,18000,19450,497400,NBB
2023-09-28,19400,19400,18400,18900,350300,NBB
2023-09-29,19050,19250,18500,19250,367800,NBB
2023-10-02,19150,19250,18800,19250,220800,NBB
2023-10-03,18400,18950,17950,18950,505600,NBB
2023-10-04,18300,19000,18100,18900,220200,NBB
2023-10-05,18850,18850,17600,17600,343400,NBB
2023-10-06,18200,18800,17000,18800,518400,NBB
2023-10-09,19000,19200,18150,19200,133600,NBB
2023-10-10,19250,19800,19150,19250,219200,NBB
2023-10-11,19200,19350,19000,19350,47500,NBB
2023-10-12,20300,20350,19600,19800,218000,NBB
2023-10-13,19500,19800,19100,19500,100100,NBB
