time,open,high,low,close,volume,ticker
2023-01-04,12070,12070,12070,12070,100,NBE
2023-01-05,12880,12880,12880,12880,1000,NBE
2023-01-06,12070,12070,12070,12070,100,NBE
2023-01-11,12070,12070,12070,12070,4200,NBE
2023-01-13,12070,12070,12070,12070,3200,NBE
2023-01-16,11790,12070,11790,12070,700,NBE
2023-01-17,10890,12070,10890,12070,5100,NBE
2023-01-18,11980,11980,11980,11980,900,NBE
2023-01-27,10890,11880,10890,11880,1100,NBE
2023-02-01,10160,11610,10160,10890,23700,NBE
2023-02-02,11610,11610,10710,11250,19400,NBE
2023-02-03,10160,11430,10160,11430,16000,NBE
2023-02-06,11880,11880,10520,11790,27900,NBE
2023-02-07,11700,11700,11700,11700,1000,NBE
2023-02-08,10520,10520,10520,10520,1000,NBE
2023-02-09,11250,11250,11250,11250,1800,NBE
2023-02-13,10430,10430,10430,10430,4100,NBE
2023-02-14,10800,10800,10800,10800,1200,NBE
2023-02-15,10980,10980,10710,10710,7700,NBE
2023-02-16,11070,11070,10890,10890,3100,NBE
2023-02-17,11610,11610,10520,10890,41400,NBE
2023-02-20,11610,11610,10890,11160,9300,NBE
2023-02-21,11160,11520,11160,11340,49700,NBE
2023-02-22,11520,11520,11160,11160,1000,NBE
2023-02-23,11160,11520,11160,11520,5200,NBE
2023-02-24,11160,11520,11160,11520,5200,NBE
2023-02-27,11520,11520,10160,11340,38200,NBE
2023-02-28,11250,11250,10800,10800,7300,NBE
2023-03-01,10800,10980,10800,10980,3600,NBE
2023-03-02,11070,11160,11070,11160,27400,NBE
2023-03-03,11160,11250,11160,11250,3200,NBE
2023-03-06,10160,10710,10160,10520,30900,NBE
2023-03-07,10160,10980,10160,10980,18200,NBE
2023-03-08,10520,10710,10250,10710,17200,NBE
2023-03-09,10340,10800,10070,10800,61900,NBE
2023-03-10,10070,10610,10070,10610,34200,NBE
2023-03-13,10160,10890,10160,10890,24900,NBE
2023-03-14,10430,10610,10070,10520,61500,NBE
2023-03-15,10160,10520,10160,10520,17800,NBE
2023-03-16,10520,10610,9980,10610,86900,NBE
2023-03-17,10610,11070,10250,11070,40500,NBE
2023-03-20,10800,10800,10610,10610,10200,NBE
2023-03-21,11300,11300,10600,10600,7800,NBE
2023-03-22,11300,11300,11300,11300,5700,NBE
2023-03-23,10300,10300,10300,10300,7200,NBE
2023-03-24,10100,10100,10100,10100,7200,NBE
2023-03-27,10300,10300,10300,10300,11700,NBE
2023-03-28,11300,11300,11300,11300,1000,NBE
2023-03-29,11200,11200,11200,11200,4300,NBE
2023-03-30,11500,11500,11500,11500,1600,NBE
2023-03-31,11500,11500,11500,11500,5000,NBE
2023-04-03,11200,11200,11200,11200,9200,NBE
2023-04-04,11500,11500,11500,11500,2000,NBE
2023-04-05,11000,11000,11000,11000,5800,NBE
2023-04-06,11800,11800,11800,11800,5700,NBE
2023-04-07,11200,11700,11200,11600,6000,NBE
2023-04-07,11200,11200,11200,11200,1000,NBE
2023-04-10,11900,12800,11900,12800,2100,NBE
2023-04-11,12400,12400,12400,12400,100,NBE
2023-04-12,13600,13600,13600,13600,100,NBE
2023-04-17,11700,11700,11700,11700,2500,NBE
2023-04-18,13400,13400,13400,13400,2800,NBE
2023-04-19,13100,13100,13000,13000,3900,NBE
2023-04-20,12300,12600,12200,12600,1800,NBE
2023-04-21,12800,12800,12800,12800,100,NBE
2023-04-24,12700,12700,12700,12700,1000,NBE
2023-04-25,12700,12800,12700,12800,12100,NBE
2023-04-26,12700,12700,12500,12500,2300,NBE
2023-04-27,12500,12500,12500,12500,1000,NBE
2023-04-28,12700,12700,12700,12700,100,NBE
2023-05-04,12400,12400,12400,12400,100,NBE
2023-05-05,12300,13000,12300,12800,7300,NBE
2023-05-08,12800,12800,11400,12700,69900,NBE
2023-05-09,12700,12700,11600,11600,12700,NBE
2023-05-10,12600,12600,12600,12600,4600,NBE
2023-05-11,12200,12700,12200,12700,6000,NBE
2023-05-12,11800,11800,11800,11800,9100,NBE
2023-05-15,12700,12700,12700,12700,100,NBE
2023-05-17,11900,12700,11700,12700,13100,NBE
2023-05-18,12500,12500,11800,12500,7600,NBE
2023-05-19,12600,12600,12500,12500,3000,NBE
2023-05-22,12500,12500,12500,12500,17500,NBE
2023-05-23,12600,12600,12100,12100,8500,NBE
2023-05-24,12200,12500,12200,12500,3100,NBE
2023-05-25,12500,12700,12500,12700,19100,NBE
2023-05-26,12600,13900,12100,13500,35800,NBE
2023-05-29,13600,13600,12700,13500,11800,NBE
2023-05-30,13500,13500,13500,13500,3900,NBE
2023-06-02,12500,13400,12500,13400,15800,NBE
2023-06-05,13300,13300,12500,12800,13700,NBE
2023-06-06,13000,13000,12500,12500,15300,NBE
2023-06-07,12400,12900,11600,12900,37200,NBE
2023-06-08,13000,13000,13000,13000,2000,NBE
2023-06-09,12500,12900,11700,12900,14100,NBE
2023-06-12,12800,12800,12400,12600,8700,NBE
2023-06-13,12500,12600,12300,12600,26000,NBE
2023-06-14,13000,13000,12400,12400,18800,NBE
2023-06-15,12500,12600,12500,12500,28000,NBE
2023-06-16,12500,12500,12500,12500,18000,NBE
2023-06-19,12400,12500,12400,12500,17900,NBE
2023-06-20,12500,12500,12500,12500,2000,NBE
2023-06-21,13000,13100,13000,13100,3700,NBE
2023-06-22,13100,13100,13100,13100,5800,NBE
2023-06-23,12300,13000,12300,13000,20500,NBE
2023-06-26,12000,12700,12000,12600,15300,NBE
2023-06-27,12900,12900,12400,12500,24900,NBE
2023-06-28,13000,13000,12500,12600,13800,NBE
2023-06-29,13000,13000,12900,12900,10100,NBE
2023-06-30,12500,12800,12500,12800,28400,NBE
2023-07-04,13300,13300,12500,12500,8300,NBE
2023-07-05,12900,12900,12900,12900,100,NBE
2023-07-07,12500,12500,12100,12500,6400,NBE
2023-07-10,12400,12500,12400,12500,6700,NBE
2023-07-11,13000,13000,13000,13000,5000,NBE
2023-07-13,12100,12800,12100,12800,5100,NBE
2023-07-14,12700,12700,12200,12700,2600,NBE
2023-07-17,12400,12600,12200,12600,5700,NBE
2023-07-18,12700,12700,12700,12700,1000,NBE
2023-07-19,12700,12700,12100,12400,4200,NBE
2023-07-20,12500,12500,12000,12400,29000,NBE
2023-07-21,12400,12400,12400,12400,200,NBE
2023-07-24,12000,12200,12000,12200,6500,NBE
2023-07-25,12500,12500,12500,12500,400,NBE
2023-07-26,12400,12400,12200,12200,3700,NBE
2023-07-27,12100,12300,12100,12300,500,NBE
2023-07-28,12000,12300,12000,12100,11800,NBE
2023-07-31,12100,12200,12000,12000,7500,NBE
2023-08-01,12000,12100,11900,12100,10900,NBE
2023-08-02,12300,12400,12300,12300,28100,NBE
2023-08-03,12400,12400,12300,12300,4400,NBE
2023-08-04,12200,12400,12200,12400,11800,NBE
2023-08-07,12300,12500,12200,12300,34400,NBE
2023-08-08,12300,12300,12300,12300,9300,NBE
2023-08-09,12300,12300,12300,12300,1700,NBE
2023-08-11,12500,12500,12500,12500,500,NBE
2023-08-14,12300,12800,12300,12300,5400,NBE
2023-08-15,12300,12300,12300,12300,1000,NBE
2023-08-16,12300,12300,12300,12300,2600,NBE
2023-08-18,12200,12200,12000,12200,8000,NBE
2023-08-21,12700,12700,12300,12300,1100,NBE
2023-08-22,13200,13200,12600,12600,1900,NBE
2023-08-23,12300,12300,12200,12200,4100,NBE
2023-08-24,12000,12200,12000,12200,1900,NBE
2023-08-25,12600,12600,12300,12300,800,NBE
2023-08-29,12000,12200,11600,12200,10600,NBE
2023-08-30,12000,12000,11700,12000,18900,NBE
2023-08-31,12500,12500,12000,12000,3100,NBE
2023-09-05,12300,12300,12300,12300,2600,NBE
2023-09-06,12100,12300,12100,12300,5800,NBE
2023-09-08,12100,12100,12100,12100,3000,NBE
2023-09-11,12300,12500,12000,12200,7300,NBE
2023-09-12,12100,12100,12100,12100,2200,NBE
2023-09-14,11800,12200,11800,12200,11800,NBE
2023-09-15,11800,11800,11800,11800,2300,NBE
2023-09-18,11800,11800,11800,11800,1600,NBE
2023-09-19,11800,11900,11700,11800,16800,NBE
2023-09-20,11900,12200,11800,12200,5600,NBE
2023-09-21,12000,12100,11800,12100,3100,NBE
2023-09-22,11800,12100,11800,12100,33000,NBE
2023-09-25,11800,11800,11700,11700,6200,NBE
2023-09-26,11800,11800,11700,11800,7600,NBE
2023-09-27,11700,11800,11600,11800,6900,NBE
2023-09-28,11900,11900,11900,11900,200,NBE
2023-09-29,11600,11700,11600,11700,15700,NBE
2023-10-02,11700,11800,11700,11800,2000,NBE
2023-10-03,11900,11900,11900,11900,6000,NBE
2023-10-04,11300,11900,11100,11900,33000,NBE
2023-10-05,11500,11800,11500,11800,12100,NBE
2023-10-06,11600,11600,11600,11600,1600,NBE
2023-10-09,11600,11700,11600,11600,8500,NBE
2023-10-10,11700,11700,11600,11700,10100,NBE
2023-10-11,11500,11900,11500,11800,7700,NBE
2023-10-12,12000,12000,11700,11700,13000,NBE
2023-10-13,11600,11700,11600,11700,9600,NBE
