time,open,high,low,close,volume,ticker
2023-01-03,20000,20000,19500,19500,1200,NCS
2023-01-04,20500,20500,19700,20000,1900,NCS
2023-01-05,20100,20100,20100,20100,300,NCS
2023-01-06,20200,20300,20000,20300,5600,NCS
2023-01-09,20100,20100,20000,20000,2500,NCS
2023-01-10,20200,21000,20200,21000,1600,NCS
2023-01-11,20300,20300,20300,20300,100,NCS
2023-01-12,20300,20300,20300,20300,100,NCS
2023-01-17,18000,21800,18000,21800,300,NCS
2023-01-18,19500,19700,19500,19700,600,NCS
2023-01-19,21000,21000,21000,21000,100,NCS
2023-01-27,21000,21400,20900,20900,6700,NCS
2023-01-30,21400,21400,21000,21000,1100,NCS
2023-01-31,21000,21000,19600,20800,4100,NCS
2023-02-01,20100,21000,20000,21000,1000,NCS
2023-02-02,20000,20000,20000,20000,2100,NCS
2023-02-03,21500,21500,20100,20100,1200,NCS
2023-02-06,20000,20000,20000,20000,1500,NCS
2023-02-07,20000,20000,20000,20000,1600,NCS
2023-02-09,20500,20500,20400,20500,1200,NCS
2023-02-10,20400,20400,20400,20400,100,NCS
2023-02-13,20000,20000,20000,20000,500,NCS
2023-02-14,17500,17500,17500,17500,900,NCS
2023-02-15,20000,20000,20000,20000,100,NCS
2023-02-16,20000,20000,20000,20000,1200,NCS
2023-02-17,20000,20000,20000,20000,500,NCS
2023-02-20,22900,22900,22900,22900,100,NCS
2023-02-22,19800,19800,19600,19600,1100,NCS
2023-02-24,20500,20500,20500,20500,200,NCS
2023-02-27,20500,20500,20500,20500,500,NCS
2023-02-28,20500,20500,20500,20500,2000,NCS
2023-03-02,20500,20500,20500,20500,200,NCS
2023-03-03,20500,20500,20500,20500,400,NCS
2023-03-06,21000,21000,21000,21000,600,NCS
2023-03-07,21000,21000,20600,21000,3900,NCS
2023-03-09,21000,21000,21000,21000,400,NCS
2023-03-10,21000,21000,19800,19800,4100,NCS
2023-03-13,21000,22000,21000,22000,1000,NCS
2023-03-14,19800,19800,18600,18600,7400,NCS
2023-03-15,21900,21900,21700,21800,10600,NCS
2023-03-17,19500,19500,19500,19500,3000,NCS
2023-03-22,20500,20500,20500,20500,100,NCS
2023-03-23,20300,20300,20300,20300,500,NCS
2023-03-24,18000,19900,18000,19900,3800,NCS
2023-03-27,19900,19900,19900,19900,100,NCS
2023-03-28,19800,19800,19800,19800,300,NCS
2023-03-29,19000,19000,19000,19000,500,NCS
2023-03-30,20000,20000,20000,20000,200,NCS
2023-03-31,20000,20000,20000,20000,100,NCS
2023-04-05,19900,19900,19900,19900,100,NCS
2023-04-06,19900,19900,19900,19900,100,NCS
2023-04-10,21000,21000,21000,21000,100,NCS
2023-04-13,21000,21000,19100,19100,1500,NCS
2023-04-17,20500,20500,20000,20000,300,NCS
2023-04-18,20400,20400,20400,20400,100,NCS
2023-04-19,20000,20400,20000,20400,300,NCS
2023-04-20,20900,20900,20500,20500,1800,NCS
2023-04-21,20300,20300,20200,20200,3200,NCS
2023-04-24,21000,21000,21000,21000,100,NCS
2023-04-25,21000,21100,21000,21100,200,NCS
2023-04-26,21200,21200,21000,21000,700,NCS
2023-04-27,21100,21100,21000,21000,200,NCS
2023-04-28,21100,21100,21000,21000,1800,NCS
2023-05-05,21000,21000,21000,21000,300,NCS
2023-05-08,20000,20000,20000,20000,700,NCS
2023-05-09,20000,20000,20000,20000,2500,NCS
2023-05-10,20000,20000,20000,20000,200,NCS
2023-05-11,20000,20000,20000,20000,600,NCS
2023-05-12,20000,20000,19800,19800,3300,NCS
2023-05-16,20100,20100,20000,20000,7700,NCS
2023-05-17,19900,19900,19900,19900,200,NCS
2023-05-18,20000,20000,19300,19300,1100,NCS
2023-05-22,20000,20000,20000,20000,100,NCS
2023-05-25,19200,19200,19200,19200,600,NCS
2023-05-26,19900,20000,19900,20000,1100,NCS
2023-05-29,20000,20000,20000,20000,500,NCS
2023-05-30,19100,20000,19100,20000,1100,NCS
2023-05-31,20000,20000,19900,19900,3500,NCS
2023-06-01,20000,20200,20000,20000,2300,NCS
2023-06-02,19200,21000,19200,19800,11700,NCS
2023-06-05,20000,20000,20000,20000,1000,NCS
2023-06-06,20000,20000,20000,20000,6000,NCS
2023-06-07,20500,20500,20500,20500,600,NCS
2023-06-08,20400,20400,20000,20000,2300,NCS
2023-06-09,20100,20100,20100,20100,400,NCS
2023-06-12,20000,20200,20000,20200,1200,NCS
2023-06-13,20000,20000,20000,20000,900,NCS
2023-06-14,20000,20000,20000,20000,4000,NCS
2023-06-15,20000,20000,20000,20000,100,NCS
2023-06-16,20000,20000,19500,19700,600,NCS
2023-06-19,19900,20000,19900,19900,2800,NCS
2023-06-20,19900,19900,19900,19900,200,NCS
2023-06-22,19800,21000,19000,20000,1300,NCS
2023-06-23,19800,20000,19800,20000,2400,NCS
2023-06-26,20000,20000,20000,20000,1000,NCS
2023-06-27,19800,19800,19800,19800,4000,NCS
2023-06-28,19800,19800,19800,19800,400,NCS
2023-06-29,20000,20400,19800,20400,2600,NCS
2023-06-30,19900,20000,19800,20000,800,NCS
2023-07-03,19900,20000,19900,20000,2100,NCS
2023-07-04,20000,20000,20000,20000,200,NCS
2023-07-06,20000,20000,20000,20000,2500,NCS
2023-07-07,20000,20000,20000,20000,1000,NCS
2023-07-11,19800,19900,19700,19900,2700,NCS
2023-07-12,19600,20000,19600,20000,3000,NCS
2023-07-13,19900,20000,19900,20000,3300,NCS
2023-07-14,20500,20500,19900,19900,800,NCS
2023-07-17,20000,20000,20000,20000,15400,NCS
2023-07-18,20500,20500,20000,20000,9900,NCS
2023-07-19,20000,20000,20000,20000,600,NCS
2023-07-20,23000,23000,19800,19800,3300,NCS
2023-07-21,19700,19900,19500,19900,11700,NCS
2023-07-24,19800,19900,19400,19900,15700,NCS
2023-07-25,19900,20000,19900,20000,3700,NCS
2023-07-27,19500,19500,19500,19500,700,NCS
2023-07-28,19400,19800,19300,19700,2800,NCS
2023-07-31,19600,19600,19400,19400,5000,NCS
2023-08-01,19500,19500,19100,19100,12500,NCS
2023-08-02,19300,19400,19000,19300,1900,NCS
2023-08-03,19300,19300,19100,19200,2200,NCS
2023-08-04,19100,19500,19100,19500,7700,NCS
2023-08-07,19300,19800,19300,19800,2300,NCS
2023-08-08,20000,20000,20000,20000,100,NCS
2023-08-09,20000,20000,20000,20000,17800,NCS
2023-08-10,20000,20000,19000,19000,4500,NCS
2023-08-11,18800,19400,18500,19400,9100,NCS
2023-08-14,19600,20000,19600,19800,1200,NCS
2023-08-15,19900,20500,19800,19900,6500,NCS
2023-08-16,19800,19900,19800,19900,5500,NCS
2023-08-17,20000,20000,19900,19900,700,NCS
2023-08-18,19200,19200,19100,19200,14100,NCS
2023-08-21,19200,19200,19200,19200,200,NCS
2023-08-22,19200,19900,19200,19800,1200,NCS
2023-08-24,19500,19500,19500,19500,2200,NCS
2023-08-25,19700,19700,19700,19700,200,NCS
2023-08-28,19800,19900,19800,19900,1200,NCS
2023-08-29,19400,19400,19400,19400,200,NCS
2023-08-30,19100,19800,19100,19800,300,NCS
2023-08-31,19100,19600,19100,19600,200,NCS
2023-09-06,19500,20000,19500,20000,3300,NCS
2023-09-07,19600,19800,19600,19600,1600,NCS
2023-09-11,20500,20500,19700,19700,1100,NCS
2023-09-12,20200,20200,19800,20000,500,NCS
2023-09-18,19000,19000,19000,19000,100,NCS
2023-09-19,19200,20000,19000,19900,4400,NCS
2023-09-21,20000,20000,19900,19900,500,NCS
2023-09-22,20200,20200,20200,20200,5100,NCS
2023-09-26,19100,19800,19100,19600,400,NCS
2023-09-28,19800,19800,19700,19700,400,NCS
2023-09-29,19700,19700,19700,19700,200,NCS
2023-10-02,19700,19700,19700,19700,2200,NCS
2023-10-03,19200,19200,19000,19000,1100,NCS
2023-10-04,19100,19100,19000,19100,3300,NCS
2023-10-09,19100,19500,19100,19500,5000,NCS
2023-10-11,19600,19600,19600,19600,100,NCS
2023-10-13,20000,20300,19900,20000,400,NCS
