time,open,high,low,close,volume,ticker
2023-01-03,80170,80930,79130,79790,9600,NCT
2023-01-04,80650,81020,80650,80650,14100,NCT
2023-01-05,80650,80650,80650,80650,1400,NCT
2023-01-06,80650,80650,80650,80650,700,NCT
2023-01-09,80650,80650,80360,80650,4400,NCT
2023-01-11,80650,80650,80550,80550,3100,NCT
2023-01-12,80650,80650,80460,80550,9000,NCT
2023-01-13,81590,81590,80650,80650,8700,NCT
2023-01-16,80650,80650,80270,80650,5700,NCT
2023-01-17,80740,81120,80650,80650,17900,NCT
2023-01-18,80650,81590,80650,81590,6400,NCT
2023-01-19,81590,81970,81590,81690,7300,NCT
2023-01-27,81780,82540,81780,82260,8300,NCT
2023-01-30,82540,82540,82350,82450,5700,NCT
2023-01-31,82450,84160,82450,82640,4000,NCT
2023-02-01,82640,84060,82540,82640,25100,NCT
2023-02-02,82730,83110,82640,83110,5200,NCT
2023-02-03,83020,83020,82640,82730,1300,NCT
2023-02-06,82830,83210,82730,82830,3800,NCT
2023-02-07,83210,83210,82830,83210,2200,NCT
2023-02-08,83210,83210,83210,83210,6400,NCT
2023-02-09,83490,83490,83110,83110,2600,NCT
2023-02-10,83110,83970,83020,83020,1400,NCT
2023-02-13,83110,83110,82540,82540,9600,NCT
2023-02-14,82640,82640,82640,82640,9000,NCT
2023-02-15,83400,83490,82640,82640,6300,NCT
2023-02-17,83210,83490,83020,83020,1000,NCT
2023-02-20,83020,83490,83020,83300,4300,NCT
2023-02-21,83210,83490,83210,83490,12700,NCT
2023-02-22,83490,85290,83490,84910,10000,NCT
2023-02-23,84440,84440,84440,84440,300,NCT
2023-02-24,84440,84540,83970,84060,9400,NCT
2023-02-27,84160,84250,84060,84250,5300,NCT
2023-02-28,86050,86050,85290,85290,5300,NCT
2023-03-01,85390,85390,84440,84440,3100,NCT
2023-03-02,85390,85480,83020,83020,2300,NCT
2023-03-03,83490,84160,83490,84060,900,NCT
2023-03-06,85100,85390,85100,85200,6000,NCT
2023-03-07,82640,85010,82640,85010,5200,NCT
2023-03-09,85010,85010,84440,84440,3000,NCT
2023-03-10,84440,84440,84440,84440,400,NCT
2023-03-13,83490,83680,83490,83680,1500,NCT
2023-03-14,83110,83680,82830,82830,12800,NCT
2023-03-15,82920,84350,82920,84350,12700,NCT
2023-03-16,84820,84820,84160,84440,4000,NCT
2023-03-17,84160,84440,83970,84440,2400,NCT
2023-03-20,84440,84440,83680,83680,1700,NCT
2023-03-21,84540,84540,83680,84540,7200,NCT
2023-03-22,84540,84540,84540,84540,100,NCT
2023-03-23,83680,83680,83680,83680,500,NCT
2023-03-24,84250,84250,84250,84250,200,NCT
2023-03-27,85290,85290,85290,85290,300,NCT
2023-03-28,84730,84820,84730,84730,2100,NCT
2023-03-30,84820,84820,84820,84820,100,NCT
2023-03-31,85200,85200,85200,85200,1000,NCT
2023-04-03,84910,84910,84910,84910,100,NCT
2023-04-04,83680,83680,83680,83680,100,NCT
2023-04-05,84910,85200,84910,84910,5000,NCT
2023-04-06,85290,85290,85290,85290,300,NCT
2023-04-07,85290,85290,84730,84730,900,NCT
2023-04-10,84540,84540,84250,84250,5100,NCT
2023-04-11,85390,85390,83870,83870,1700,NCT
2023-04-12,83970,83970,83870,83870,8300,NCT
2023-04-13,83870,84350,83680,83870,9600,NCT
2023-04-14,83870,83870,83680,83680,3500,NCT
2023-04-17,83780,83780,83780,83780,900,NCT
2023-04-18,83590,83590,82540,82540,5900,NCT
2023-04-19,82540,82540,82450,82450,4200,NCT
2023-04-20,81590,82070,81590,82070,1300,NCT
2023-04-21,82540,82540,82070,82160,5900,NCT
2023-04-24,81880,81970,81780,81780,2900,NCT
2023-04-25,80840,80840,80650,80650,14500,NCT
2023-04-26,79700,80650,79700,80170,5300,NCT
2023-04-27,80550,80550,79700,79700,1300,NCT
2023-04-28,80170,80650,80080,80550,4900,NCT
2023-05-04,80170,80170,80170,80170,100,NCT
2023-05-05,81590,81970,81590,81970,1100,NCT
2023-05-08,82450,83400,82450,83020,1900,NCT
2023-05-09,83300,83300,83210,83210,1000,NCT
2023-05-10,83210,83210,83020,83020,2400,NCT
2023-05-11,83020,83400,83020,83400,5100,NCT
2023-05-12,83020,83110,83020,83110,2800,NCT
2023-05-15,83490,84160,83490,84160,500,NCT
2023-05-16,83110,83110,79700,79700,2300,NCT
2023-05-17,84060,84160,84060,84160,2200,NCT
2023-05-18,83490,83490,83490,83490,1000,NCT
2023-05-19,84060,84160,83970,83970,400,NCT
2023-05-22,83490,84060,83490,84060,2900,NCT
2023-05-23,83020,83870,83020,83490,1900,NCT
2023-05-24,83110,83680,83020,83680,1600,NCT
2023-05-25,83680,84160,83680,83870,5600,NCT
2023-05-26,83490,83970,82920,83970,1800,NCT
2023-05-29,83110,84250,83020,84060,600,NCT
2023-05-30,83490,84160,83490,84160,5100,NCT
2023-05-31,83490,84160,83490,84160,300,NCT
2023-06-01,84160,84160,84160,84160,2600,NCT
2023-06-02,83590,83590,83490,83490,3100,NCT
2023-06-05,83490,85100,83490,84910,11500,NCT
2023-06-06,84910,85390,84910,85390,1000,NCT
2023-06-07,85390,86340,85390,85770,5300,NCT
2023-06-08,86240,86240,85390,85390,900,NCT
2023-06-09,85290,85770,84630,85770,1500,NCT
2023-06-12,85770,86430,85770,86340,6600,NCT
2023-06-13,86430,86430,86340,86340,9800,NCT
2023-06-14,86340,86620,86340,86340,5400,NCT
2023-06-15,86430,86430,85390,85390,1500,NCT
2023-06-16,85580,85670,85580,85670,1000,NCT
2023-06-19,85670,86340,85390,86340,11600,NCT
2023-06-20,86340,86340,85860,86340,7300,NCT
2023-06-21,86340,86340,86340,86340,5500,NCT
2023-06-22,85770,86340,85770,86340,800,NCT
2023-06-23,86340,86530,86340,86340,2200,NCT
2023-06-26,86340,86430,86340,86430,3000,NCT
2023-06-27,85670,85670,85670,85670,4300,NCT
2023-06-28,87480,87480,85860,85860,5200,NCT
2023-06-29,87190,88240,87190,87760,10300,NCT
2023-06-30,87760,88240,87760,87950,5000,NCT
2023-07-03,87950,88240,87950,88240,8000,NCT
2023-07-04,88620,88900,88240,88430,7500,NCT
2023-07-05,88430,88520,88430,88430,10800,NCT
2023-07-06,89180,90040,88240,88240,19000,NCT
2023-07-07,88330,89940,88330,89940,1900,NCT
2023-07-10,89940,90420,89940,90040,26800,NCT
2023-07-11,90130,90610,89940,90610,18800,NCT
2023-07-12,90420,90420,89940,89940,3700,NCT
2023-07-13,90130,90990,89280,90700,10500,NCT
2023-07-14,90700,91080,90610,90610,11600,NCT
2023-07-17,91080,92690,90610,90610,14200,NCT
2023-07-18,92510,92980,90610,92030,16000,NCT
2023-07-19,92790,92880,90800,91560,21000,NCT
2023-07-20,91560,91560,90130,91080,14600,NCT
2023-07-21,91560,91560,90230,91460,19700,NCT
2023-07-24,92510,92510,91560,92030,56400,NCT
2023-07-25,92510,92880,92030,92600,34800,NCT
2023-07-26,92980,93070,92600,92600,66900,NCT
2023-07-27,94500,94500,92000,93000,29400,NCT
2023-07-28,93000,93000,88000,91600,19700,NCT
2023-07-31,88100,90300,88100,90300,5500,NCT
2023-08-01,90600,91400,90600,91200,9500,NCT
2023-08-02,90800,91000,90000,90000,7000,NCT
2023-08-03,90000,90000,89000,90000,3600,NCT
2023-08-04,90000,90000,89000,90000,2700,NCT
2023-08-07,91000,91100,89000,90900,2000,NCT
2023-08-08,91500,92000,90000,91400,3900,NCT
2023-08-09,90000,92000,89500,89500,7100,NCT
2023-08-10,89500,91400,89500,91000,4200,NCT
2023-08-11,89600,90500,88000,90500,3800,NCT
2023-08-14,90000,90200,88000,88000,14400,NCT
2023-08-15,88200,88600,88200,88600,1500,NCT
2023-08-16,89500,89500,88800,88800,1900,NCT
2023-08-17,88900,90000,88500,88800,4000,NCT
2023-08-18,88600,88600,87500,88000,3700,NCT
2023-08-21,86000,89000,86000,87300,7500,NCT
2023-08-22,87300,89000,87100,89000,4000,NCT
2023-08-23,86600,88500,86600,88500,8400,NCT
2023-08-24,88500,88800,88300,88300,3700,NCT
2023-08-25,88700,88800,88500,88500,2700,NCT
2023-08-28,88500,89000,88200,89000,7100,NCT
2023-08-29,88100,89500,88100,89400,500,NCT
2023-08-30,89000,89000,88000,88900,2100,NCT
2023-08-31,89000,89000,88800,88800,6900,NCT
2023-09-05,90000,90000,88500,89000,5900,NCT
2023-09-06,89100,89100,88000,89000,8300,NCT
2023-09-07,94000,94000,88200,89800,4800,NCT
2023-09-08,88600,89700,88400,88400,6300,NCT
2023-09-11,88100,91100,88100,88500,3900,NCT
2023-09-12,88900,88900,88800,88900,3100,NCT
2023-09-13,88900,88900,88600,88900,7700,NCT
2023-09-14,88400,89400,88400,88500,1300,NCT
2023-09-15,89900,89900,88400,88400,6200,NCT
2023-09-18,88500,88500,88400,88400,3600,NCT
2023-09-19,88400,88400,88200,88400,1800,NCT
2023-09-20,88400,88500,88300,88500,4000,NCT
2023-09-21,89000,89000,88400,88400,3200,NCT
2023-09-22,88300,88500,87100,87600,2900,NCT
2023-09-25,87500,88600,87500,87500,8300,NCT
2023-09-26,87600,88000,86000,86000,6200,NCT
2023-09-27,86000,87700,86000,87700,7000,NCT
2023-09-28,87600,87900,87500,87900,4000,NCT
2023-09-29,87500,88400,87000,88400,1700,NCT
2023-10-02,88300,88400,88000,88000,1600,NCT
2023-10-03,88300,88300,87200,88000,1600,NCT
2023-10-04,87000,87900,87000,87900,700,NCT
2023-10-05,87900,88000,87900,87900,3300,NCT
2023-10-06,87700,88200,87600,88200,11900,NCT
2023-10-09,87700,88000,87600,88000,3300,NCT
2023-10-10,88500,88500,87800,88000,3200,NCT
2023-10-11,86800,88500,86800,88000,4400,NCT
2023-10-12,88000,88100,88000,88000,7400,NCT
2023-10-13,88000,88100,87900,88000,13300,NCT
