time,open,high,low,close,volume,ticker
2023-01-05,32880,32880,32880,32880,700,ND2
2023-01-09,31940,31940,31940,31940,1000,ND2
2023-01-10,28180,28180,28180,28180,1300,ND2
2023-01-27,32780,32780,32780,32780,200,ND2
2023-02-20,32780,32780,31940,31940,200,ND2
2023-02-21,31000,31000,31000,31000,1000,ND2
2023-02-23,31000,31000,31000,31000,2000,ND2
2023-02-24,32880,32880,32880,32880,100,ND2
2023-03-01,32880,32880,32880,32880,200,ND2
2023-03-06,27990,27990,27990,27990,100,ND2
2023-03-13,31000,31000,31000,31000,400,ND2
2023-03-16,31940,31940,31940,31940,400,ND2
2023-03-20,27990,27990,27990,27990,100,ND2
2023-03-22,28180,28180,28180,28180,1000,ND2
2023-03-24,32500,32500,32500,32500,100,ND2
2023-03-27,31940,31940,31940,31940,400,ND2
2023-03-30,28370,28370,28370,28370,100,ND2
2023-03-31,28370,28370,28370,28370,100,ND2
2023-04-04,28180,28180,28180,28180,1500,ND2
2023-04-05,29120,29120,29120,29120,1200,ND2
2023-04-06,32780,32780,32780,32780,100,ND2
2023-04-07,29120,31000,29120,31000,500,ND2
2023-04-07,29120,29120,29120,29120,100,ND2
2023-04-11,29120,29120,29120,29120,100,ND2
2023-04-13,30060,30060,30060,30060,200,ND2
2023-04-14,28180,28180,28180,28180,500,ND2
2023-04-18,28370,29120,28370,29120,400,ND2
2023-04-19,30530,30530,30530,30530,1000,ND2
2023-04-20,28180,28180,28180,28180,100,ND2
2023-04-21,31000,31000,30910,30910,1300,ND2
2023-04-24,28280,28280,28280,28280,100,ND2
2023-04-26,29120,29120,29120,29120,100,ND2
2023-04-27,28280,28280,28280,28280,100,ND2
2023-04-28,30530,30530,30530,30530,100,ND2
2023-05-04,28370,28370,28370,28370,100,ND2
2023-05-05,30060,30060,30060,30060,100,ND2
2023-05-08,26770,26770,26770,26770,100,ND2
2023-05-15,29870,29870,29870,29870,100,ND2
2023-05-16,26870,29120,26870,29120,200,ND2
2023-05-19,28180,28180,28180,28180,100,ND2
2023-05-30,26300,26300,26300,26300,100,ND2
2023-06-01,30250,30250,30250,30250,100,ND2
2023-06-02,26770,30250,26770,30250,1100,ND2
2023-06-05,26870,26870,26870,26870,100,ND2
2023-06-06,29120,29120,29120,29120,1000,ND2
2023-06-07,29120,30060,29120,30060,1200,ND2
2023-06-12,27240,27240,27240,27240,100,ND2
2023-06-14,29120,30720,29120,30720,200,ND2
2023-06-16,30060,30810,30060,30810,300,ND2
2023-06-19,30060,30060,30060,30060,400,ND2
2023-06-20,30150,30150,30150,30150,500,ND2
2023-06-21,31000,31000,30150,30150,1000,ND2
2023-06-22,31000,31000,31000,31000,2100,ND2
2023-06-23,30000,30000,30000,30000,500,ND2
2023-06-27,30000,32500,30000,32500,600,ND2
2023-06-29,29000,29000,29000,29000,100,ND2
2023-07-10,31000,31000,31000,31000,100,ND2
2023-07-11,28100,28100,28100,28100,100,ND2
2023-07-24,31500,31500,31500,31500,2100,ND2
2023-07-25,28100,31500,28100,31500,200,ND2
2023-07-26,28700,28700,28700,28700,100,ND2
2023-07-28,31000,32000,31000,31000,400,ND2
2023-07-31,28700,28700,28700,28700,100,ND2
2023-08-03,31000,31000,31000,31000,100,ND2
2023-08-04,28700,31500,28700,31500,1100,ND2
2023-08-07,28700,28700,28700,28700,100,ND2
2023-08-08,31000,31000,31000,31000,100,ND2
2023-08-09,31000,31000,31000,31000,100,ND2
2023-08-10,28900,31500,28900,31500,1000,ND2
2023-08-11,28900,28900,28900,28900,100,ND2
2023-08-14,31000,31000,31000,31000,3300,ND2
2023-08-15,29200,30000,29200,30000,400,ND2
2023-08-16,29200,29800,29200,29800,400,ND2
2023-08-18,31000,31000,31000,31000,200,ND2
2023-08-21,28700,31500,28700,31500,900,ND2
2023-08-22,28700,28700,28700,28700,100,ND2
2023-08-23,28700,28700,28700,28700,200,ND2
2023-08-24,30500,30500,30500,30500,600,ND2
2023-08-28,28700,31000,28700,31000,1600,ND2
2023-08-29,28700,30500,28700,30500,7900,ND2
2023-08-30,28700,30500,28700,30500,15200,ND2
2023-08-31,30500,30500,30500,30500,100,ND2
2023-09-05,28700,28700,28700,28700,300,ND2
2023-09-06,30500,31000,30500,31000,1400,ND2
2023-09-07,29000,30500,29000,30500,600,ND2
2023-09-08,30500,30500,30500,30500,200,ND2
2023-09-11,30500,30500,30500,30500,300,ND2
2023-09-13,30500,30500,30500,30500,400,ND2
2023-09-14,29200,29200,29200,29200,500,ND2
2023-09-15,31000,31000,29200,29200,200,ND2
2023-09-18,31000,31000,30500,30500,2000,ND2
2023-09-19,30500,30500,30500,30500,100,ND2
2023-09-20,30500,31000,30500,31000,3700,ND2
2023-09-26,31000,31000,31000,31000,10400,ND2
2023-09-28,28300,31000,28300,31000,2300,ND2
2023-09-29,28500,28500,28500,28500,100,ND2
2023-10-03,30500,30500,30500,30500,200,ND2
2023-10-04,31000,31000,31000,31000,600,ND2
2023-10-06,31000,31000,30700,31000,2200,ND2
2023-10-09,31000,31000,31000,31000,100,ND2
2023-10-10,32500,32500,32500,32500,300,ND2
2023-10-11,28800,30000,28800,29200,2600,ND2
2023-10-13,25200,30500,25200,30500,600,ND2
