time,open,high,low,close,volume,ticker
2023-01-03,7000,7100,6700,7100,189400,NDN
2023-01-04,7100,7100,6900,7000,52900,NDN
2023-01-05,7000,7200,7000,7200,344500,NDN
2023-01-06,7100,7200,7000,7000,47000,NDN
2023-01-09,7000,7200,6800,6900,45100,NDN
2023-01-10,7100,7100,6800,6900,166100,NDN
2023-01-11,7100,7100,6900,7000,55200,NDN
2023-01-12,7000,7000,6900,6900,26700,NDN
2023-01-13,6900,7200,6800,6800,149400,NDN
2023-01-16,6800,7000,6800,6900,33200,NDN
2023-01-17,6900,7000,6800,6900,123900,NDN
2023-01-18,7000,7000,6800,7000,84800,NDN
2023-01-19,7000,7100,6900,7000,97700,NDN
2023-01-27,7000,7100,6900,6900,65500,NDN
2023-01-30,7000,7500,7000,7300,325600,NDN
2023-01-31,7300,7400,7100,7400,240000,NDN
2023-02-01,7400,7500,7200,7200,323800,NDN
2023-02-02,7200,7200,7000,7100,129100,NDN
2023-02-03,7200,7200,6900,6900,106800,NDN
2023-02-06,6900,7000,6900,7000,62100,NDN
2023-02-07,7000,7100,6800,6800,90800,NDN
2023-02-08,6900,7100,6900,6900,98100,NDN
2023-02-09,6900,7100,6900,7100,109000,NDN
2023-02-10,7100,7100,7000,7100,109200,NDN
2023-02-13,7000,7100,6900,7000,261600,NDN
2023-02-14,7000,7100,7000,7100,62600,NDN
2023-02-15,7100,7200,7100,7200,161500,NDN
2023-02-16,7200,7300,7100,7300,201700,NDN
2023-02-17,7200,7400,7200,7300,72800,NDN
2023-02-20,7300,7500,7300,7400,130900,NDN
2023-02-21,7500,7500,7400,7400,84100,NDN
2023-02-22,7400,7400,7300,7300,105500,NDN
2023-02-23,7300,7300,7100,7300,494400,NDN
2023-02-24,7300,7300,7200,7300,55200,NDN
2023-02-27,7300,7300,7100,7300,201400,NDN
2023-02-28,7300,7300,7200,7300,62000,NDN
2023-03-01,7300,7300,7100,7300,156700,NDN
2023-03-02,7300,7400,7200,7300,148900,NDN
2023-03-03,7300,7300,7200,7300,54000,NDN
2023-03-06,7300,7500,7000,7300,340000,NDN
2023-03-07,7300,7300,7100,7300,334200,NDN
2023-03-08,7300,7300,7200,7300,125900,NDN
2023-03-09,7300,7400,7300,7400,305800,NDN
2023-03-10,7400,8100,7400,8100,1015200,NDN
2023-03-13,8200,8300,7600,8000,533000,NDN
2023-03-14,8000,8000,7200,7500,412100,NDN
2023-03-15,7500,7800,7500,7700,231700,NDN
2023-03-16,7700,7700,7500,7500,75000,NDN
2023-03-17,7600,7700,7400,7500,42800,NDN
2023-03-20,7500,7600,7300,7400,97100,NDN
2023-03-21,7400,7400,7100,7400,89900,NDN
2023-03-22,7100,7300,7100,7300,15200,NDN
2023-03-23,7200,7200,7200,7200,2400,NDN
2023-03-24,7300,7300,7300,7300,5300,NDN
2023-03-27,7400,7400,7400,7400,200,NDN
2023-03-28,7400,7500,7400,7500,13100,NDN
2023-03-29,7400,7500,7300,7400,13100,NDN
2023-03-30,7400,7500,7400,7400,3500,NDN
