time,open,high,low,close,volume,ticker
2023-01-03,5700,5800,5500,5700,307600,NED
2023-01-04,5700,5700,5500,5500,76200,NED
2023-01-05,5500,5700,5400,5700,139000,NED
2023-01-06,5600,5600,5500,5500,85400,NED
2023-01-09,5500,5700,5500,5500,62400,NED
2023-01-10,5400,5500,5300,5500,60200,NED
2023-01-11,5400,5600,5400,5500,125100,NED
2023-01-12,5600,5700,5500,5600,143200,NED
2023-01-13,5600,5800,5600,5700,120900,NED
2023-01-16,5700,5800,5500,5700,115000,NED
2023-01-17,5700,5700,5600,5700,131100,NED
2023-01-18,5700,5900,5600,5800,224300,NED
2023-01-19,5800,5900,5700,5800,86100,NED
2023-01-27,5900,6000,5800,6000,95600,NED
2023-01-30,6000,6100,5900,6100,239700,NED
2023-01-31,6000,6100,5900,6000,137100,NED
2023-02-01,6000,6100,5700,5800,258500,NED
2023-02-02,5700,5700,5400,5500,479700,NED
2023-02-03,5500,5700,5500,5500,105000,NED
2023-02-06,5600,5800,5500,5800,202700,NED
2023-02-07,5700,5900,5700,5700,1008100,NED
2023-02-08,5800,5800,5600,5800,211300,NED
2023-02-09,5800,5800,5600,5700,109400,NED
2023-02-10,5600,5700,5600,5700,66100,NED
2023-02-13,5700,5700,5400,5600,264200,NED
2023-02-14,5600,5800,5600,5700,980000,NED
2023-02-15,5800,5800,5700,5800,125800,NED
2023-02-16,5800,6100,5800,6000,511800,NED
2023-02-17,6100,6100,5900,6000,632500,NED
2023-02-20,6000,6000,5800,6000,271600,NED
2023-02-21,6000,6100,5900,6100,395800,NED
2023-02-22,6000,6100,5800,5900,258400,NED
2023-02-23,5900,5900,5500,5800,329600,NED
2023-02-24,5800,5900,5600,5700,85100,NED
2023-02-27,5800,5800,5600,5600,170900,NED
2023-02-28,5700,5700,5600,5700,128900,NED
2023-03-01,5600,5800,5600,5800,80300,NED
2023-03-02,5800,5800,5600,5600,73000,NED
2023-03-03,5700,5800,5600,5700,65100,NED
2023-03-06,5700,5700,5600,5600,102800,NED
2023-03-07,5600,5700,5500,5500,226900,NED
2023-03-08,5500,5600,5500,5600,44100,NED
2023-03-09,5600,5600,5500,5600,122900,NED
2023-03-10,5600,5600,5500,5600,90200,NED
2023-03-13,5600,5700,5500,5700,174000,NED
2023-03-14,5600,5700,5500,5500,72000,NED
2023-03-15,5600,5700,5600,5700,102500,NED
2023-03-16,5600,5600,5500,5600,103500,NED
2023-03-17,5700,5700,5500,5600,94500,NED
2023-03-20,5600,5600,5500,5500,147700,NED
2023-03-21,5500,5600,5400,5500,80700,NED
2023-03-22,5500,5500,5500,5500,100,NED
2023-03-23,5500,5500,5400,5500,3300,NED
2023-03-24,5500,5500,5500,5500,2600,NED
2023-03-27,5600,5600,5500,5600,5800,NED
2023-03-28,5600,5600,5500,5500,9600,NED
2023-03-29,5500,5500,5500,5500,17600,NED
2023-03-30,5600,5700,5500,5600,28300,NED
2023-03-31,5700,5700,5500,5600,8400,NED
2023-04-03,5500,5700,5500,5600,28400,NED
2023-04-04,5600,5600,5500,5600,4600,NED
2023-04-05,5600,5600,5500,5600,70400,NED
2023-04-06,5700,5900,5700,5800,110400,NED
2023-04-07,5800,5800,5600,5600,29500,NED
2023-04-07,5800,5800,5800,5800,200,NED
2023-04-10,5600,5700,5600,5600,162100,NED
2023-04-11,5600,5700,5600,5600,1200,NED
2023-04-12,5700,5800,5500,5800,149000,NED
2023-04-13,5800,5900,5700,5700,138900,NED
2023-04-14,5800,5800,5700,5700,59300,NED
2023-04-17,5600,5600,5500,5500,43100,NED
2023-04-18,5600,5600,5500,5600,30100,NED
2023-04-19,5600,5600,5500,5600,95300,NED
2023-04-20,5600,5600,5500,5600,78500,NED
2023-04-21,5600,5600,5500,5500,95600,NED
2023-04-24,5500,5600,5400,5400,225300,NED
2023-04-25,5400,5500,5400,5400,75200,NED
2023-04-26,5500,5500,5400,5500,38700,NED
2023-04-27,5600,5600,5400,5500,112800,NED
2023-04-28,5000,5600,4900,5600,46300,NED
2023-05-04,5500,5600,5500,5500,121900,NED
