time,open,high,low,close,volume,ticker
2023-01-03,12190,12190,12190,12190,100,NHT
2023-01-04,11920,12190,11920,12190,2600,NHT
2023-01-05,11740,12230,11740,12230,2300,NHT
2023-01-06,12190,12190,12190,12190,600,NHT
2023-01-09,11650,12100,11650,12100,1400,NHT
2023-01-11,12280,12280,12280,12280,100,NHT
2023-01-13,11920,11920,11870,11920,13200,NHT
2023-01-16,12460,12460,12460,12460,400,NHT
2023-01-17,12460,12460,12460,12460,100,NHT
2023-01-18,12460,12460,12410,12410,1800,NHT
2023-01-19,12370,12550,12370,12500,6000,NHT
2023-01-27,12370,12370,12370,12370,500,NHT
2023-01-30,11650,12370,11650,12370,1600,NHT
2023-01-31,12460,12550,12460,12550,9700,NHT
2023-02-01,12680,13400,12680,12990,17300,NHT
2023-02-02,12990,12990,12770,12770,1000,NHT
2023-02-03,12770,12950,12770,12770,6900,NHT
2023-02-06,12820,12820,12010,12770,9000,NHT
2023-02-10,12770,12770,12680,12730,9500,NHT
2023-02-13,12680,12680,12460,12550,6700,NHT
2023-02-14,12770,12770,12550,12550,400,NHT
2023-02-15,12770,12770,12730,12770,6000,NHT
2023-02-16,12770,12770,12770,12770,6500,NHT
2023-02-20,12770,12820,12770,12820,7800,NHT
2023-02-21,12860,12860,12730,12820,22500,NHT
2023-02-22,12820,12820,12820,12820,23800,NHT
2023-02-23,12550,12550,12370,12550,28500,NHT
2023-02-24,12820,12990,12820,12990,1500,NHT
2023-02-27,12860,12860,12730,12770,5600,NHT
2023-02-28,12990,12990,12950,12950,600,NHT
2023-03-01,12410,12990,12190,12990,2600,NHT
2023-03-02,13400,13400,13400,13400,100,NHT
2023-03-03,13400,13400,12730,13260,300,NHT
2023-03-07,12990,13440,12990,13220,500,NHT
2023-03-08,12990,12990,12990,12990,100,NHT
2023-03-09,12910,12990,12910,12910,2400,NHT
2023-03-13,12770,12770,12550,12590,15700,NHT
2023-03-14,12550,12550,12550,12550,20600,NHT
2023-03-15,12730,12730,12500,12550,51700,NHT
2023-03-20,12550,12990,12320,12320,2600,NHT
2023-03-21,12550,12550,12370,12550,2700,NHT
2023-03-23,12550,12550,12550,12550,1000,NHT
2023-03-24,12370,12370,12370,12370,200,NHT
2023-03-28,12460,12460,12460,12460,2200,NHT
2023-03-29,12550,12550,12550,12550,200,NHT
2023-03-30,12590,12590,12590,12590,100,NHT
2023-03-31,12590,12590,12590,12590,100,NHT
2023-04-03,12500,12500,12500,12500,300,NHT
2023-04-04,12550,12550,12550,12550,500,NHT
2023-04-05,12680,12680,12680,12680,100,NHT
2023-04-06,12550,12550,12500,12500,900,NHT
2023-04-07,12590,12590,12460,12550,3200,NHT
2023-04-07,12590,12590,12590,12590,900,NHT
2023-04-10,12190,12770,12190,12680,1800,NHT
2023-04-11,12640,12640,12550,12640,1700,NHT
2023-04-12,12640,12640,12640,12640,3100,NHT
2023-04-13,12640,12640,12640,12640,2700,NHT
2023-04-14,12550,12640,12460,12460,6600,NHT
2023-04-19,12370,12410,12370,12370,1700,NHT
2023-04-20,12550,12550,12550,12550,300,NHT
2023-04-21,12550,12550,12550,12550,1100,NHT
2023-04-24,12550,12550,12550,12550,500,NHT
2023-04-25,12500,12500,12500,12500,100,NHT
2023-04-26,12680,12730,12680,12730,2400,NHT
2023-04-27,12730,12950,12680,12680,1000,NHT
2023-04-28,12770,12820,12770,12820,3100,NHT
2023-05-04,12730,13310,12730,12990,25200,NHT
2023-05-05,12990,12990,12910,12910,10400,NHT
2023-05-08,12990,12990,12950,12990,29400,NHT
2023-05-09,12990,12990,12860,12860,47500,NHT
2023-05-10,12950,12950,12800,12800,3500,NHT
2023-05-11,12300,12500,12250,12400,11600,NHT
2023-05-12,12400,12400,12350,12350,6200,NHT
2023-05-15,12350,12350,12350,12350,13000,NHT
2023-05-16,12700,12700,12400,12400,19300,NHT
2023-05-17,12500,12500,12300,12300,23100,NHT
2023-05-18,12450,12450,12350,12350,900,NHT
2023-05-19,12350,12400,12350,12400,1400,NHT
2023-05-22,12300,12500,12300,12400,7700,NHT
2023-05-23,12300,12500,12300,12400,3700,NHT
2023-05-24,12400,12550,12400,12500,11400,NHT
2023-05-25,12500,12700,12500,12500,12000,NHT
2023-05-26,12500,12700,12500,12700,10200,NHT
2023-05-29,12700,12700,12500,12500,15200,NHT
2023-05-30,12600,12800,12600,12700,14300,NHT
2023-05-31,12600,13000,12600,12850,32100,NHT
2023-06-01,13000,13000,12800,12900,22500,NHT
2023-06-02,13000,13000,12800,12850,7100,NHT
2023-06-05,12850,12850,12500,12500,16200,NHT
2023-06-06,12600,12700,12500,12650,11300,NHT
2023-06-07,12700,12750,12650,12650,7100,NHT
2023-06-08,12900,13000,12650,12800,11600,NHT
2023-06-09,12800,12900,12700,12700,6600,NHT
2023-06-12,12700,12900,12700,12750,9200,NHT
2023-06-13,12800,12950,12650,12950,33100,NHT
2023-06-14,12850,12900,12650,12650,28800,NHT
2023-06-15,12700,13000,12700,12800,50400,NHT
2023-06-16,12900,12900,12700,12700,38400,NHT
2023-06-19,12700,12750,12400,12500,33600,NHT
2023-06-20,12500,12550,12450,12500,17200,NHT
2023-06-21,12500,12600,12450,12500,5700,NHT
2023-06-22,12650,12800,12550,12550,9300,NHT
2023-06-23,12800,12800,12550,12650,14900,NHT
2023-06-26,12900,12900,12650,12650,9400,NHT
2023-06-27,12800,12800,12750,12800,11500,NHT
2023-06-28,12650,12700,12650,12700,19100,NHT
2023-06-29,12700,12700,12550,12550,10700,NHT
2023-06-30,12700,12700,12500,12550,4000,NHT
2023-07-03,12550,12650,12550,12550,3400,NHT
2023-07-04,12550,12550,12550,12550,2000,NHT
2023-07-05,12650,12700,12650,12650,4500,NHT
2023-07-06,12700,12700,12700,12700,15500,NHT
2023-07-07,12650,12700,12600,12700,3800,NHT
2023-07-10,12700,12800,12700,12800,8200,NHT
2023-07-11,12800,12800,12650,12700,32400,NHT
2023-07-12,12700,12900,12700,12900,40300,NHT
2023-07-13,12900,13200,12900,13200,19200,NHT
2023-07-14,13100,13100,12800,12900,23000,NHT
2023-07-17,12900,12900,12800,12800,8700,NHT
2023-07-18,12800,12950,12800,12950,500,NHT
2023-07-19,12900,12950,12850,12850,2500,NHT
2023-07-20,12850,12850,12800,12850,30100,NHT
2023-07-21,12850,13200,12850,13100,78400,NHT
2023-07-24,13000,13100,12700,13050,9800,NHT
2023-07-25,12800,13050,12800,13000,21600,NHT
2023-07-26,13000,13000,12900,13000,9100,NHT
2023-07-27,12900,13000,12750,12800,19900,NHT
2023-07-28,13000,13000,12700,12750,4800,NHT
2023-07-31,12700,12750,12700,12750,12900,NHT
2023-08-01,13000,13000,12650,12800,24400,NHT
2023-08-02,12750,12750,12300,12400,61600,NHT
2023-08-03,12400,12600,12250,12600,41300,NHT
2023-08-04,12600,12600,12300,12300,16900,NHT
2023-08-07,12300,12300,12200,12200,11500,NHT
2023-08-08,12300,12500,12250,12350,11000,NHT
2023-08-09,12350,12450,12350,12350,5700,NHT
2023-08-10,12350,12500,12350,12500,15200,NHT
2023-08-11,12300,12500,12300,12400,9500,NHT
2023-08-14,12350,12400,12350,12350,1300,NHT
2023-08-15,12350,12350,12250,12350,3000,NHT
2023-08-16,12350,12350,12300,12350,6500,NHT
2023-08-18,12300,12300,11800,12000,21600,NHT
2023-08-21,12000,12000,11850,12000,4300,NHT
2023-08-22,12000,12000,11900,11950,11900,NHT
2023-08-23,11900,11900,11650,11650,31000,NHT
2023-08-24,11800,11950,11500,11950,10900,NHT
2023-08-25,11700,11700,11700,11700,1100,NHT
2023-08-28,12000,12000,11900,11900,2400,NHT
2023-08-29,11800,11950,11750,11950,1100,NHT
2023-08-30,11950,11950,11800,11800,1100,NHT
2023-08-31,11900,11950,11900,11950,2000,NHT
2023-09-05,11900,12250,11900,12250,11400,NHT
2023-09-06,12350,12350,11800,12350,12000,NHT
2023-09-07,12350,12450,12300,12350,20100,NHT
2023-09-08,12350,12500,12350,12400,5300,NHT
2023-09-11,12400,12450,12350,12350,25200,NHT
2023-09-12,12400,12400,12350,12400,12400,NHT
2023-09-13,12400,12400,12200,12300,8100,NHT
2023-09-14,12100,12400,12100,12150,4200,NHT
2023-09-15,12950,12950,12250,12250,5100,NHT
2023-09-18,12250,12650,12250,12350,3300,NHT
2023-09-19,12300,12400,12300,12350,6400,NHT
2023-09-20,12450,12450,12350,12350,700,NHT
2023-09-21,12400,12450,12350,12350,1900,NHT
2023-09-22,12000,12350,12000,12100,21300,NHT
2023-09-25,12100,12300,12100,12100,13100,NHT
2023-09-26,12100,12450,12000,12000,16400,NHT
2023-09-27,12400,12400,12000,12350,4300,NHT
2023-09-28,12150,12300,12150,12200,2000,NHT
2023-09-29,12400,12400,12400,12400,5300,NHT
2023-10-03,12100,12100,12100,12100,100,NHT
2023-10-04,11950,12300,11950,12100,6800,NHT
2023-10-06,12000,12300,11800,11900,8000,NHT
2023-10-09,12000,12000,12000,12000,2500,NHT
2023-10-10,12400,12400,12400,12400,100,NHT
2023-10-11,12050,12050,12050,12050,1000,NHT
2023-10-12,12150,12200,12150,12200,3400,NHT
