time,open,high,low,close,volume,ticker
2023-01-11,13320,13320,13320,13320,2000,NJC
2023-01-12,15010,15010,15010,15010,100,NJC
2023-01-18,13770,13770,13320,13320,900,NJC
2023-01-19,15360,15360,15360,15360,100,NJC
2023-02-01,17230,17230,17230,17230,200,NJC
2023-02-16,14650,14650,14650,14650,100,NJC
2023-02-20,16430,16430,16430,16430,100,NJC
2023-02-21,14030,14030,14030,14030,100,NJC
2023-02-22,13680,13680,13680,13680,200,NJC
2023-02-23,15450,15450,15450,15450,100,NJC
2023-03-16,13320,13320,13320,13320,500,NJC
2023-03-17,15190,15190,15190,15190,100,NJC
2023-03-24,12970,12970,12970,12970,100,NJC
2023-03-27,14650,14650,14650,14650,100,NJC
2023-03-28,16870,16870,16870,16870,1500,NJC
2023-03-29,17230,17230,15810,15810,1100,NJC
2023-03-30,17230,17230,15720,15720,300,NJC
2023-03-31,14920,14920,14920,14920,1000,NJC
2023-04-03,15540,15540,15540,15540,200,NJC
2023-04-04,16790,16790,16790,16790,200,NJC
2023-04-07,15280,17050,15280,16870,3000,NJC
2023-04-07,15280,15280,15280,15280,200,NJC
2023-04-10,16520,17760,16520,17760,11200,NJC
2023-04-11,18210,18210,18210,18210,4000,NJC
2023-04-12,18560,18560,18560,18560,1000,NJC
2023-04-13,18210,18210,18210,18210,800,NJC
2023-04-14,18210,18210,18210,18210,9000,NJC
2023-04-17,18300,18300,18300,18300,1000,NJC
2023-04-18,18380,18380,18380,18380,1000,NJC
2023-04-19,18030,18030,18030,18030,300,NJC
2023-04-24,16870,16870,16870,16870,7500,NJC
2023-04-26,18210,18210,18210,18210,200,NJC
2023-04-28,16960,16960,16960,16960,100,NJC
2023-05-05,17320,17320,17320,17320,100,NJC
2023-05-16,17320,17320,17320,17320,100,NJC
2023-05-17,18120,18120,18120,18120,100,NJC
2023-05-18,17230,17230,17230,17230,100,NJC
2023-05-19,17230,17230,17230,17230,200,NJC
2023-05-22,17320,17320,17320,17320,600,NJC
2023-05-24,18560,18560,18560,18560,100,NJC
2023-05-25,18210,18210,18210,18210,5500,NJC
2023-05-26,17760,18650,17760,18560,11400,NJC
2023-05-29,18650,18650,18650,18650,100,NJC
2023-06-06,16960,16960,16960,16960,200,NJC
2023-06-09,18210,18210,17410,17410,300,NJC
2023-06-19,17500,17500,17500,17500,1100,NJC
2023-06-21,17320,17320,17320,17320,100,NJC
2023-06-23,17760,17760,17500,17500,1500,NJC
2023-06-26,17410,17410,17320,17320,400,NJC
2023-06-28,17320,17320,17320,17320,500,NJC
2023-07-11,17410,17410,17410,17410,2500,NJC
2023-07-13,17410,17410,17410,17410,1000,NJC
2023-07-17,17410,17500,17410,17500,4400,NJC
2023-07-26,17760,17760,17760,17760,1000,NJC
2023-07-27,18210,18210,18210,18210,1600,NJC
2023-08-01,18210,18210,18210,18210,2600,NJC
2023-08-03,18210,18210,18210,18210,500,NJC
2023-08-07,18650,20520,18300,18380,2700,NJC
2023-08-08,19540,19540,19540,19540,100,NJC
2023-08-11,19540,19540,19540,19540,100,NJC
2023-08-15,18740,18740,18740,18740,200,NJC
2023-08-16,18650,19540,18650,19540,15600,NJC
2023-08-18,18380,18380,18380,18380,100,NJC
2023-08-21,18380,18380,18380,18380,200,NJC
2023-08-22,20340,20340,20340,20340,100,NJC
2023-08-28,20250,20250,20250,20250,100,NJC
2023-08-29,20430,20430,20430,20430,100,NJC
2023-09-08,20430,23360,20430,23360,2200,NJC
2023-09-11,23000,23000,20690,22110,300,NJC
2023-09-12,21940,23090,21940,22910,8900,NJC
2023-09-13,22470,24420,22470,23090,30200,NJC
2023-09-14,23540,23540,23090,23090,3700,NJC
2023-09-15,25670,25670,21760,22200,5900,NJC
2023-09-18,23090,23090,22470,22910,57100,NJC
2023-09-19,22910,22910,22290,22560,24100,NJC
2023-09-20,22650,23360,22650,23270,30600,NJC
2023-09-21,23360,24340,23360,23540,26700,NJC
2023-09-22,24100,24100,20500,21500,7100,NJC
2023-09-25,21000,21900,20200,20200,9500,NJC
2023-09-26,20600,21000,20000,20100,2500,NJC
2023-09-27,19100,19500,18800,18800,4800,NJC
2023-09-28,19200,19600,18800,19100,5400,NJC
2023-09-29,19300,19300,19300,19300,100,NJC
2023-10-02,19300,19300,19300,19300,1600,NJC
2023-10-03,19000,19000,18500,18500,4000,NJC
2023-10-04,18500,20000,18000,20000,1800,NJC
2023-10-05,18100,19000,18100,19000,200,NJC
2023-10-10,19000,19000,18900,18900,400,NJC
2023-10-11,19000,19000,19000,19000,200,NJC
2023-10-12,19000,19200,19000,19200,500,NJC
2023-10-13,19500,19500,19500,19500,2100,NJC
