time,open,high,low,close,volume,ticker
2023-01-03,20760,20760,19390,19390,23200,NNC
2023-01-04,19150,19150,18620,18810,18300,NNC
2023-01-05,18810,18860,18810,18810,8300,NNC
2023-01-06,18710,18910,17880,18910,15500,NNC
2023-01-09,19010,19010,18130,18130,1700,NNC
2023-01-10,18620,18620,18620,18620,600,NNC
2023-01-11,19390,19390,18130,18810,2200,NNC
2023-01-12,17790,18180,17790,18180,14600,NNC
2023-01-13,18520,18760,18180,18180,4800,NNC
2023-01-16,17930,18960,17930,18960,3500,NNC
2023-01-17,18910,19100,18910,19100,300,NNC
2023-01-18,19100,19350,19100,19350,1000,NNC
2023-01-19,19440,19440,18230,19390,2900,NNC
2023-01-27,19390,19390,18320,19390,3300,NNC
2023-01-30,20660,20660,19390,19490,3800,NNC
2023-01-31,19390,19490,18620,18620,2400,NNC
2023-02-01,18710,19200,18710,18710,3700,NNC
2023-02-02,18710,18710,17350,18620,13900,NNC
2023-02-03,17640,18710,17640,18710,8600,NNC
2023-02-06,18620,18620,17930,18520,800,NNC
2023-02-07,18030,18320,17540,17790,4600,NNC
2023-02-08,17790,17790,17540,17790,6200,NNC
2023-02-09,17840,18420,17790,18320,3400,NNC
2023-02-10,18320,18320,18320,18320,100,NNC
2023-02-13,18320,18320,17540,18230,5100,NNC
2023-02-14,17930,18030,17930,18030,900,NNC
2023-02-15,18030,18030,17590,18030,2600,NNC
2023-02-16,17640,18130,17590,18130,1100,NNC
2023-02-17,18130,19300,17980,19300,21300,NNC
2023-02-20,19300,19390,19050,19250,4500,NNC
2023-02-21,19100,19100,18860,19050,3500,NNC
2023-02-22,19200,19200,18520,18810,4400,NNC
2023-02-23,17790,17930,17790,17930,2400,NNC
2023-02-24,18030,18520,17740,18520,9000,NNC
2023-02-27,18520,18520,17740,18370,500,NNC
2023-02-28,17930,18230,17590,17590,4900,NNC
2023-03-01,17590,18270,17590,18230,400,NNC
2023-03-02,18570,18570,18320,18320,2000,NNC
2023-03-03,18030,18230,18030,18230,700,NNC
2023-03-06,18520,18910,18320,18710,1400,NNC
2023-03-07,18030,18520,17840,18520,2800,NNC
2023-03-08,17740,18520,17740,18520,200,NNC
2023-03-09,18660,18660,17590,18520,700,NNC
2023-03-10,18370,18520,18130,18520,900,NNC
2023-03-13,17690,18520,17690,18520,400,NNC
2023-03-14,18520,18520,17250,18470,6400,NNC
2023-03-16,18420,18620,17740,18420,11100,NNC
2023-03-17,17840,18420,17840,18420,200,NNC
2023-03-20,17250,18620,17250,18470,4000,NNC
2023-03-21,18420,18420,18130,18420,600,NNC
2023-03-22,18420,18420,18420,18420,600,NNC
2023-03-23,17690,17690,17690,17690,300,NNC
2023-03-24,18270,18270,18270,18270,500,NNC
2023-03-27,17880,17880,17880,17880,100,NNC
2023-03-28,18030,18130,18030,18130,2200,NNC
2023-03-29,18370,18370,18370,18370,200,NNC
2023-03-30,18320,18520,18320,18520,900,NNC
2023-03-31,18030,18030,18030,18030,200,NNC
2023-04-03,18130,18130,18130,18130,200,NNC
2023-04-04,18130,18130,18130,18130,500,NNC
2023-04-05,18470,18470,18470,18470,100,NNC
2023-04-06,18030,18030,18030,18030,200,NNC
2023-04-07,18230,18230,18230,18230,900,NNC
2023-04-10,18320,18320,18270,18270,500,NNC
2023-04-11,18270,18370,18030,18370,1700,NNC
2023-04-12,18130,18320,18130,18320,2200,NNC
2023-04-13,18130,18180,18130,18130,6800,NNC
2023-04-14,18270,18270,17640,17840,7800,NNC
2023-04-17,18130,18130,18130,18130,2800,NNC
2023-04-18,18130,18130,17640,17640,9100,NNC
2023-04-19,17840,17840,17540,17740,3900,NNC
2023-04-20,18030,18030,18030,18030,100,NNC
2023-04-21,18030,18030,17490,17490,9300,NNC
2023-04-24,17540,17540,17540,17540,1200,NNC
2023-04-25,17540,17540,16810,17060,20000,NNC
2023-04-26,17250,17400,17150,17150,8400,NNC
2023-04-27,17150,17150,16670,16670,9200,NNC
2023-04-28,16860,16860,16570,16570,12000,NNC
2023-05-04,16570,16570,16570,16570,100,NNC
2023-05-05,17200,17250,17200,17250,1600,NNC
2023-05-08,16760,16860,16370,16760,18200,NNC
2023-05-09,16760,16760,16760,16760,100,NNC
2023-05-10,16470,16760,16470,16760,1200,NNC
2023-05-11,16860,16860,16420,16570,2900,NNC
2023-05-12,16710,16960,16570,16710,3100,NNC
2023-05-15,16570,16570,16570,16570,2000,NNC
2023-05-16,16570,16570,16570,16570,300,NNC
2023-05-17,16810,16960,16620,16960,8400,NNC
2023-05-18,17060,17060,16860,16860,1300,NNC
2023-05-19,17010,17060,17010,17060,3100,NNC
2023-05-22,17010,17150,17010,17150,4900,NNC
2023-05-23,16910,16910,16760,16910,5600,NNC
2023-05-24,16960,17060,16960,17060,2200,NNC
2023-05-25,16960,17060,16910,17060,700,NNC
2023-05-26,17060,17060,16620,17060,6000,NNC
2023-05-29,16960,17060,16860,17010,6100,NNC
2023-05-30,16860,17150,16860,17060,6400,NNC
2023-05-31,17100,17540,17060,17300,7500,NNC
2023-06-01,17540,17540,17060,17540,4300,NNC
2023-06-02,17150,18520,17150,18180,7400,NNC
2023-06-05,18470,18470,17400,18270,8000,NNC
2023-06-06,18030,18230,17930,18130,4600,NNC
2023-06-07,17740,17930,17540,17840,10400,NNC
2023-06-08,17540,17980,17490,17690,8300,NNC
2023-06-09,17540,17740,17350,17640,2700,NNC
2023-06-12,17590,18030,17540,17540,6400,NNC
2023-06-13,17540,17840,17540,17740,7300,NNC
2023-06-14,17930,18080,17790,18080,14900,NNC
2023-06-15,18080,18080,17980,18080,10200,NNC
2023-06-16,18080,18080,18030,18030,2900,NNC
2023-06-19,18030,18030,18030,18030,6500,NNC
2023-06-20,17690,18030,17540,17980,15400,NNC
2023-06-21,18130,18130,17540,17930,25900,NNC
2023-06-22,18810,18810,17690,17690,7900,NNC
2023-06-23,18180,18320,17840,18030,29800,NNC
2023-06-26,18080,18080,17540,17930,27100,NNC
2023-06-27,17930,17930,17690,17930,22600,NNC
2023-06-28,17880,17880,17740,17880,5600,NNC
2023-06-29,17840,17840,17540,17690,32300,NNC
2023-06-30,17690,17740,17640,17740,2800,NNC
2023-07-03,17740,18420,17740,17880,20400,NNC
2023-07-04,17790,17930,17690,17880,29900,NNC
2023-07-05,17930,18230,17880,18030,42700,NNC
2023-07-06,18030,18080,17690,17980,9700,NNC
2023-07-07,18130,18130,17790,17980,12800,NNC
2023-07-10,17980,18710,17980,18470,84300,NNC
2023-07-11,18470,18620,18370,18470,55000,NNC
2023-07-12,18520,18520,18030,18130,10400,NNC
2023-07-13,18130,18520,18080,18320,8600,NNC
2023-07-14,18130,18420,18080,18420,15800,NNC
2023-07-17,18420,18420,18180,18420,13800,NNC
2023-07-18,18420,18710,18420,18620,39600,NNC
2023-07-19,18620,18660,18520,18620,30700,NNC
2023-07-20,18660,19150,18660,19100,85000,NNC
2023-07-21,19880,19880,19010,19200,73400,NNC
2023-07-24,20100,20100,19500,19700,105800,NNC
2023-07-25,20000,20000,19250,19250,33300,NNC
2023-07-26,19500,19500,18900,19250,29300,NNC
2023-07-27,19250,19300,19000,19250,67600,NNC
2023-07-28,19250,19250,18800,18950,25700,NNC
2023-07-31,18900,19100,18700,19000,63000,NNC
2023-08-01,18900,19000,18850,19000,14000,NNC
2023-08-02,19200,19600,19000,19200,30600,NNC
2023-08-03,19350,20300,19300,19850,159500,NNC
2023-08-04,20900,20900,20300,20450,41400,NNC
2023-08-07,20500,21200,20050,20300,51100,NNC
2023-08-08,20350,20350,19900,20150,31300,NNC
2023-08-09,20300,20300,19800,19800,29000,NNC
2023-08-10,19800,20100,19500,20000,33600,NNC
2023-08-11,20300,20300,19700,19850,20400,NNC
2023-08-14,19750,20300,19500,19950,31500,NNC
2023-08-15,20250,20250,19700,19950,20500,NNC
2023-08-16,19750,19900,19600,19600,16200,NNC
2023-08-17,19600,19600,19450,19500,15500,NNC
2023-08-18,19400,19400,18250,18500,47700,NNC
2023-08-21,18300,18500,18300,18500,22800,NNC
2023-08-22,18500,18500,18200,18500,15600,NNC
2023-08-23,18400,18450,18300,18400,8800,NNC
2023-08-24,18100,18600,18100,18600,16100,NNC
2023-08-25,18600,18600,18450,18450,17000,NNC
2023-08-28,18500,18500,18300,18450,10400,NNC
2023-08-29,18500,18800,18350,18800,24300,NNC
2023-08-30,18600,18600,18400,18500,6200,NNC
2023-08-31,18500,18600,18300,18500,22300,NNC
2023-09-05,18900,19200,18650,18800,30100,NNC
2023-09-06,19200,19200,18850,18950,27000,NNC
2023-09-07,18950,19300,18950,19000,28600,NNC
2023-09-08,19000,19050,18900,19000,8300,NNC
2023-09-11,19000,19550,19000,19200,36300,NNC
2023-09-12,19200,19300,18950,19300,8700,NNC
2023-09-13,19700,19950,19500,19500,61700,NNC
2023-09-14,19500,19500,19000,19250,19500,NNC
2023-09-15,19300,19400,19000,19250,12800,NNC
2023-09-18,19000,19250,18800,18900,10800,NNC
2023-09-19,18900,18900,18700,18800,9400,NNC
2023-09-20,18800,19150,18700,18900,9000,NNC
2023-09-21,18900,19450,18900,18900,14100,NNC
2023-09-22,18600,18900,18150,18900,19500,NNC
2023-09-25,18300,18350,17800,17800,23200,NNC
2023-09-26,17800,18200,17800,18100,34200,NNC
2023-09-27,18100,18100,17000,17850,18400,NNC
2023-09-28,17850,17850,17550,17600,12400,NNC
2023-09-29,17800,17800,17500,17800,6200,NNC
2023-10-02,17800,18050,17600,18000,11800,NNC
2023-10-03,17900,17900,17400,17450,20300,NNC
2023-10-04,17300,17500,17150,17350,12500,NNC
2023-10-05,17350,17600,17350,17500,5600,NNC
2023-10-06,17500,17500,17300,17450,7500,NNC
2023-10-09,18000,18000,17800,17900,2300,NNC
2023-10-10,17900,18200,17900,18000,2000,NNC
2023-10-11,18250,18250,17450,18050,14800,NNC
2023-10-12,18050,18050,18000,18050,1600,NNC
2023-10-13,18000,18000,17500,17700,6400,NNC
