time,open,high,low,close,volume,ticker
2023-01-03,4200,4500,4000,4500,43200,NSH
2023-01-04,4400,4500,4300,4400,74300,NSH
2023-01-05,4500,4500,4300,4400,28700,NSH
2023-01-06,4500,4500,4300,4400,36100,NSH
2023-01-09,4500,4500,4300,4400,12900,NSH
2023-01-10,4300,4400,4200,4300,24700,NSH
2023-01-11,4400,4500,4300,4300,48200,NSH
2023-01-12,4400,4500,4200,4300,34000,NSH
2023-01-13,4300,4400,4300,4300,20800,NSH
2023-01-16,4400,4400,4200,4300,5200,NSH
2023-01-17,4400,4500,4300,4400,51900,NSH
2023-01-18,4400,4600,4400,4500,62800,NSH
2023-01-19,4600,4600,4300,4600,58700,NSH
2023-01-27,4600,4800,4400,4600,38400,NSH
2023-01-30,4700,4900,4500,4800,194900,NSH
2023-01-31,4800,4900,4700,4800,50400,NSH
2023-02-01,4800,5000,4400,4400,148400,NSH
2023-02-02,4600,4700,4300,4600,68600,NSH
2023-02-03,4600,4700,4500,4700,53800,NSH
2023-02-06,4700,4700,4500,4600,22900,NSH
2023-02-07,4500,4600,4400,4600,47600,NSH
2023-02-08,4600,4700,4500,4500,40200,NSH
2023-02-09,4600,4600,4400,4600,20800,NSH
2023-02-10,4600,4600,4500,4600,13200,NSH
2023-02-13,4400,4500,4300,4500,52000,NSH
2023-02-14,4500,4600,4400,4600,42700,NSH
2023-02-15,4400,4700,4400,4600,25000,NSH
2023-02-16,4500,4600,4400,4500,76800,NSH
2023-02-17,4600,4600,4400,4400,27000,NSH
2023-02-20,4500,4700,4400,4700,185300,NSH
2023-02-21,4900,5100,4900,5100,259300,NSH
2023-02-22,5100,5200,4800,4800,207000,NSH
2023-02-23,5000,5000,4600,4800,86200,NSH
2023-02-24,5000,5000,4600,4600,87600,NSH
2023-02-27,4800,4800,4400,4500,82400,NSH
2023-02-28,4500,4600,4400,4500,16300,NSH
2023-03-01,4700,4800,4500,4800,82400,NSH
2023-03-02,4900,4900,4600,4800,32300,NSH
2023-03-03,4800,4800,4600,4600,28000,NSH
2023-03-06,4600,4800,4400,4600,40000,NSH
2023-03-07,4600,4700,4500,4700,17300,NSH
2023-03-08,4500,4600,4500,4600,17400,NSH
2023-03-09,4600,4700,4500,4700,27000,NSH
2023-03-10,4600,4600,4500,4600,29000,NSH
2023-03-13,4600,4700,4500,4700,60800,NSH
2023-03-14,4600,4700,4500,4500,27600,NSH
2023-03-15,4600,4700,4500,4700,26100,NSH
2023-03-16,4600,4600,4500,4600,58400,NSH
2023-03-17,4600,4600,4500,4600,14500,NSH
2023-03-20,4500,4600,4400,4400,31100,NSH
2023-03-21,4400,4500,4300,4400,38100,NSH
2023-03-22,4400,4500,4400,4500,1500,NSH
2023-03-23,4400,4400,4400,4400,8400,NSH
2023-03-24,4500,4500,4500,4500,200,NSH
2023-03-27,4500,4500,4500,4500,1500,NSH
2023-03-28,4600,4600,4600,4600,100,NSH
2023-03-29,4500,4500,4500,4500,3200,NSH
2023-03-30,4500,4500,4500,4500,100,NSH
2023-03-31,4500,4500,4500,4500,1000,NSH
2023-04-03,4600,4600,4600,4600,3000,NSH
2023-04-04,4400,4400,4400,4400,3700,NSH
2023-04-05,4400,4600,4400,4600,59900,NSH
2023-04-06,4700,4800,4700,4800,13200,NSH
2023-04-07,4700,4700,4500,4500,7700,NSH
2023-04-07,4700,4700,4700,4700,1000,NSH
2023-04-10,4500,4700,4500,4600,19100,NSH
2023-04-11,4600,4600,4600,4600,2000,NSH
2023-04-12,4600,4600,4500,4500,47000,NSH
2023-04-13,4500,4500,4400,4500,69300,NSH
2023-04-14,4500,4500,4500,4500,18700,NSH
2023-04-17,4500,4500,4400,4400,18600,NSH
2023-04-18,4500,4600,4400,4600,17900,NSH
2023-04-19,4600,4600,4500,4500,28000,NSH
2023-04-20,4500,4500,4400,4400,14300,NSH
2023-04-21,4500,4500,4500,4500,1000,NSH
2023-04-24,4400,4500,4300,4400,42900,NSH
2023-04-25,4400,4400,4400,4400,5200,NSH
2023-04-26,4400,4400,4300,4400,20100,NSH
2023-04-27,4500,4500,4400,4400,11000,NSH
2023-04-28,4400,4500,4400,4400,37300,NSH
2023-05-04,4400,4400,4400,4400,1000,NSH
2023-05-05,4500,4500,4400,4400,2900,NSH
2023-05-08,4500,4500,4300,4500,33500,NSH
2023-05-09,4500,4600,4500,4500,61400,NSH
2023-05-10,4500,4600,4500,4600,4400,NSH
2023-05-11,4500,4900,4500,4900,223500,NSH
2023-05-12,5200,5200,4800,4900,148500,NSH
2023-05-15,5000,5300,5000,5000,186100,NSH
2023-05-16,5000,5200,4900,4900,82100,NSH
2023-05-17,5000,5100,4900,5000,72400,NSH
2023-05-18,4800,4800,4800,4800,300,NSH
2023-05-19,5000,5000,4700,4900,49500,NSH
2023-05-22,5000,5000,4800,5000,27400,NSH
2023-05-23,5000,5000,5000,5000,200,NSH
2023-05-24,4900,5000,4700,4900,152000,NSH
2023-05-25,4900,4900,4700,4800,13000,NSH
2023-05-26,4800,4900,4800,4900,72100,NSH
2023-05-29,4900,5300,4900,5200,261700,NSH
2023-05-30,5200,5500,5000,5200,124000,NSH
2023-05-31,5100,5600,5100,5400,304600,NSH
2023-06-01,5300,5700,5300,5500,138300,NSH
2023-06-02,5600,5800,5300,5400,203400,NSH
2023-06-05,5400,5900,5400,5900,454000,NSH
2023-06-06,5700,6200,5700,6100,154100,NSH
2023-06-07,6300,6400,6100,6100,191100,NSH
2023-06-08,6000,6300,5800,5800,209100,NSH
2023-06-09,5800,5900,5600,5800,118800,NSH
2023-06-12,6100,6100,5500,5900,179500,NSH
2023-06-13,5700,6300,5700,6000,153300,NSH
2023-06-14,6200,6200,5800,5900,150100,NSH
2023-06-15,6000,6000,5600,5800,104800,NSH
2023-06-16,5700,6000,5700,5800,123000,NSH
2023-06-19,5800,5800,5500,5700,50200,NSH
2023-06-20,5700,5700,5300,5600,168800,NSH
2023-06-21,5700,5800,5600,5800,104000,NSH
2023-06-22,5800,5900,5600,5800,92400,NSH
2023-06-23,5800,5800,5600,5800,95700,NSH
2023-06-26,5800,5800,5500,5700,103200,NSH
2023-06-27,5600,5700,5500,5700,77200,NSH
2023-06-28,5500,5700,5500,5700,53400,NSH
2023-06-29,5700,5700,5500,5600,58200,NSH
2023-06-30,5500,5600,5500,5600,38000,NSH
2023-07-03,5600,5600,5500,5600,42400,NSH
2023-07-04,5500,5700,5500,5600,57900,NSH
