time,open,high,low,close,volume,ticker
2023-01-03,5780,5780,5780,5780,200,NST
2023-01-09,5780,5780,5780,5780,300,NST
2023-01-10,5880,5880,5880,5880,100,NST
2023-01-11,6070,6070,6070,6070,100,NST
2023-01-13,5590,5690,5590,5690,1800,NST
2023-01-17,5780,5780,5780,5780,100,NST
2023-01-19,5780,5780,5690,5690,2000,NST
2023-01-27,5970,5970,5690,5690,200,NST
2023-01-30,5780,5970,5780,5970,300,NST
2023-01-31,6360,6360,5690,5690,1400,NST
2023-02-01,5780,5780,5690,5690,3300,NST
2023-02-02,5690,5780,5690,5780,800,NST
2023-02-07,5690,5780,5690,5780,2700,NST
2023-02-08,5880,5880,5780,5780,6200,NST
2023-02-10,5780,5780,5780,5780,500,NST
2023-02-13,5690,5690,5690,5690,100,NST
2023-02-14,5780,5780,5490,5490,3000,NST
2023-02-15,5780,5780,5780,5780,300,NST
2023-02-17,5690,5780,5690,5780,1100,NST
2023-02-20,5780,5780,5780,5780,300,NST
2023-02-21,5780,5780,5780,5780,300,NST
2023-02-22,5690,5690,5690,5690,1200,NST
2023-02-23,5690,5690,5590,5690,2700,NST
2023-02-24,5690,5690,5590,5690,1800,NST
2023-02-27,5690,5690,5690,5690,6000,NST
2023-03-02,5590,5590,5590,5590,1200,NST
2023-03-03,5590,5590,5400,5400,800,NST
2023-03-06,5490,5690,5490,5690,700,NST
2023-03-07,5690,5690,5690,5690,1000,NST
2023-03-08,5690,5780,5690,5780,12400,NST
2023-03-10,5780,5780,5780,5780,2000,NST
2023-03-13,5690,5690,5690,5690,2000,NST
2023-03-14,5490,5490,5490,5490,100,NST
2023-03-16,5590,5590,5590,5590,2200,NST
2023-03-17,5590,5590,5590,5590,200,NST
2023-03-20,5690,5690,5400,5400,6100,NST
2023-03-27,5010,5010,5010,5010,100,NST
2023-03-29,5690,5690,5690,5690,1000,NST
2023-03-31,5690,5690,5690,5690,1000,NST
2023-04-05,5300,5300,5300,5300,1500,NST
2023-04-06,5400,5400,5400,5400,100,NST
2023-04-07,5690,5690,5690,5690,200,NST
2023-04-10,5780,5780,5780,5780,500,NST
2023-04-12,5780,5780,5780,5780,200,NST
2023-04-19,5780,5780,5780,5780,2000,NST
2023-04-24,5780,5780,5780,5780,100,NST
2023-04-27,5880,5970,5880,5970,1800,NST
2023-04-28,6070,6070,6070,6070,8100,NST
2023-05-04,5780,6070,5780,5970,4400,NST
2023-05-05,5970,5970,5970,5970,100,NST
2023-05-08,6650,6650,6650,6650,100,NST
2023-05-09,6260,6260,6260,6260,100,NST
2023-05-10,6460,6460,6460,6460,100,NST
2023-05-11,6360,6460,6360,6360,5200,NST
2023-05-12,6170,6170,6170,6170,100,NST
2023-05-15,5970,6260,5970,6260,200,NST
2023-05-16,6170,6170,6170,6170,100,NST
2023-05-17,6840,6840,6840,6840,1000,NST
2023-05-18,6550,6550,6550,6550,300,NST
2023-05-22,6460,6460,6460,6460,200,NST
2023-05-24,6460,6460,6460,6460,200,NST
2023-05-26,6460,6460,6460,6460,200,NST
2023-05-29,6260,6550,6260,6550,300,NST
2023-05-30,5970,6840,5970,6550,1100,NST
2023-05-31,6170,6170,6170,6170,100,NST
2023-06-01,6750,6750,6360,6360,200,NST
2023-06-02,6360,6940,6360,6360,7600,NST
2023-06-05,6940,6940,6550,6550,1600,NST
2023-06-06,6360,6750,6360,6750,200,NST
2023-06-07,6550,6750,6550,6750,300,NST
2023-06-08,6750,7230,6460,6460,32000,NST
2023-06-09,7030,7030,5970,6750,9900,NST
2023-06-12,7420,7420,6550,6550,14300,NST
2023-06-13,7130,7130,7030,7030,1000,NST
2023-06-14,7030,7230,7030,7230,200,NST
2023-06-19,6550,7130,6550,7130,200,NST
2023-06-21,7130,7130,7130,7130,100,NST
2023-06-22,7130,7130,7130,7130,6300,NST
2023-06-26,7320,7320,6550,7130,400,NST
2023-06-27,6550,6750,6550,6750,2200,NST
2023-06-28,6650,6840,6550,6840,2100,NST
2023-06-29,6650,6650,6650,6650,100,NST
2023-06-30,7030,7030,7030,7030,300,NST
2023-07-03,6550,6940,6550,6940,1600,NST
2023-07-04,6550,6940,6550,6940,1400,NST
2023-07-05,6550,6940,6550,6840,6400,NST
2023-07-06,6550,6750,6550,6750,5100,NST
2023-07-07,6550,6550,6550,6550,1000,NST
2023-07-11,6550,6750,6550,6750,7700,NST
2023-07-13,6650,6650,6650,6650,700,NST
2023-07-14,6650,6750,6650,6750,1000,NST
2023-07-17,6940,7230,6940,7230,200,NST
2023-07-19,6750,7130,6750,6940,2200,NST
2023-07-20,7520,7610,6750,7610,29900,NST
2023-07-21,7320,8090,7230,8090,12100,NST
2023-07-24,8090,8090,7810,7900,14000,NST
2023-07-25,8000,8000,7710,7710,1100,NST
2023-07-26,7320,7900,7320,7900,400,NST
2023-07-28,7520,8000,7520,7810,6400,NST
2023-07-31,8090,8090,8090,8090,100,NST
2023-08-01,7610,7900,7520,7900,3600,NST
2023-08-03,8090,8090,8090,8090,100,NST
2023-08-04,7520,7710,7520,7710,200,NST
2023-08-07,7710,7900,7710,7900,2000,NST
2023-08-08,7710,7710,7710,7710,600,NST
2023-08-09,7810,8480,7810,8480,73100,NST
2023-08-10,9150,9150,8480,8870,6800,NST
2023-08-11,9640,9640,8000,8770,25700,NST
2023-08-14,8380,8380,8380,8380,1900,NST
2023-08-15,8960,8960,8380,8480,3700,NST
2023-08-16,8870,8870,8380,8670,3900,NST
2023-08-17,8480,8670,8480,8580,3500,NST
2023-08-18,8670,9150,8380,8670,8800,NST
2023-08-21,9150,9150,8000,8870,900,NST
2023-08-23,9250,9250,8480,8870,2400,NST
2023-08-24,8290,8670,8290,8670,1100,NST
2023-08-25,9060,9060,8670,8870,1800,NST
2023-08-28,8670,8870,8480,8870,5300,NST
2023-08-29,8290,9150,8290,8670,2900,NST
2023-08-30,8870,8870,8870,8870,100,NST
2023-08-31,8870,8870,8670,8670,400,NST
2023-09-05,8380,8670,8290,8670,4300,NST
2023-09-06,8670,8770,8480,8770,400,NST
2023-09-07,8380,8380,8380,8380,700,NST
2023-09-08,8290,8670,7900,8670,33100,NST
2023-09-11,7810,8670,7810,8480,3900,NST
2023-09-12,8290,8670,8290,8670,300,NST
2023-09-14,8290,8670,8290,8670,500,NST
2023-09-15,8770,8770,8290,8580,4500,NST
2023-09-19,8480,8480,8480,8480,2100,NST
2023-09-20,9200,9200,8800,8800,600,NST
2023-09-21,9500,9500,8700,9000,2000,NST
2023-09-22,9200,9200,8300,8500,29400,NST
2023-09-25,8400,8400,8300,8300,7300,NST
2023-09-26,8200,8300,8100,8200,20300,NST
2023-09-27,8300,8700,8300,8400,2500,NST
2023-09-28,8900,8900,8800,8800,3100,NST
2023-09-29,8800,8800,8100,8200,900,NST
2023-10-02,8500,8500,8500,8500,100,NST
2023-10-03,8400,8400,8400,8400,100,NST
2023-10-05,8200,8600,8200,8600,1000,NST
2023-10-10,8000,8300,8000,8300,700,NST
2023-10-11,8500,8500,7700,8300,23200,NST
2023-10-12,8500,8500,8500,8500,100,NST
2023-10-13,8300,8300,8000,8000,200,NST
