time,open,high,low,close,volume,ticker
2023-01-18,45020,45020,45020,45020,200,NTH
2023-01-30,45020,46890,45020,46890,3000,NTH
2023-02-01,45020,45020,45020,45020,200,NTH
2023-02-08,45020,46890,45020,46890,400,NTH
2023-02-13,46890,46890,46890,46890,100,NTH
2023-02-14,48770,48770,48770,48770,200,NTH
2023-02-17,47830,47830,47830,47830,200,NTH
2023-02-27,47830,47830,47830,47830,2000,NTH
2023-02-28,46870,46870,46870,46870,1000,NTH
2023-03-02,46870,46870,46870,46870,500,NTH
2023-03-03,46870,46870,46870,46870,600,NTH
2023-03-08,46870,46870,46870,46870,1700,NTH
2023-03-13,50220,51570,50220,51570,2300,NTH
2023-03-14,51570,51570,51570,51570,700,NTH
2023-03-20,51570,51570,51570,51570,400,NTH
2023-03-24,55380,55380,55380,55380,500,NTH
2023-03-28,50990,50990,50990,50990,100,NTH
2023-03-29,51850,51850,51850,51850,1000,NTH
2023-04-06,47350,47350,47350,47350,100,NTH
2023-04-07,47350,47350,47350,47350,100,NTH
2023-04-07,47350,47350,47350,47350,100,NTH
2023-04-10,52040,52040,52040,52040,200,NTH
2023-04-12,47350,47350,47350,47350,100,NTH
2023-04-13,52700,52700,47450,52700,400,NTH
2023-04-14,52700,52700,52700,52700,100,NTH
2023-04-18,47830,47830,47830,47830,100,NTH
2023-04-20,53090,53090,53090,53090,100,NTH
2023-04-26,48500,48500,48500,48500,100,NTH
2023-04-27,48790,48790,48790,48790,100,NTH
2023-04-28,53190,53190,53190,53190,1500,NTH
2023-05-09,48790,48790,48790,48790,100,NTH
2023-05-10,53570,53570,53570,53570,9500,NTH
2023-05-11,53570,53570,53570,53570,100,NTH
2023-05-15,58350,58350,58350,58350,100,NTH
2023-05-16,54530,54530,54530,54530,100,NTH
2023-05-17,52620,52620,52620,52620,100,NTH
2023-05-18,53670,53670,53670,53670,100,NTH
2023-05-22,51650,51650,51650,51650,100,NTH
2023-05-23,54530,55480,54530,55480,300,NTH
2023-05-24,51650,51650,51650,51650,100,NTH
2023-05-29,50800,50800,50800,50800,100,NTH
2023-05-30,48500,55870,48500,55870,1200,NTH
2023-06-01,56950,56950,56850,56850,1000,NTH
2023-06-02,56950,56950,56950,56950,100,NTH
2023-06-05,58610,58610,57440,58030,800,NTH
2023-06-06,58030,58030,58030,58030,200,NTH
2023-06-09,58910,58910,58910,58910,1000,NTH
2023-06-26,59890,59890,59890,59890,400,NTH
2023-06-27,59890,59890,59890,59890,200,NTH
2023-06-29,53900,58910,53900,58910,900,NTH
2023-07-03,53020,53020,53020,53020,100,NTH
2023-07-05,54000,54980,54000,54980,4000,NTH
2023-07-06,54980,54980,54980,54980,800,NTH
2023-07-10,54980,54980,54980,54980,100,NTH
2023-07-11,54980,54980,54980,54980,400,NTH
2023-07-12,56950,57440,56950,57440,200,NTH
2023-07-13,57530,57930,57530,57930,3000,NTH
2023-07-17,52130,52130,52130,52130,100,NTH
2023-07-18,55960,56450,55960,56450,200,NTH
2023-07-20,58910,58910,58910,58910,1200,NTH
2023-07-21,56950,56950,56950,56950,1000,NTH
2023-07-24,51550,56950,51550,56950,2700,NTH
2023-07-26,57440,58910,57440,57440,700,NTH
2023-07-27,57440,57440,56950,57340,5600,NTH
2023-07-28,56950,56950,56950,56950,100,NTH
2023-08-02,51640,51640,51640,51640,100,NTH
2023-08-04,56550,56550,56550,56550,3500,NTH
2023-08-07,52040,52040,52040,52040,100,NTH
2023-08-09,54980,56950,54980,56950,2900,NTH
2023-08-11,56950,58420,56950,57340,5700,NTH
2023-08-14,57340,57340,57340,57340,100,NTH
2023-08-16,58910,58910,58910,58910,2300,NTH
2023-08-21,53510,53510,53510,53510,100,NTH
2023-08-25,58120,58120,58120,58120,100,NTH
2023-08-28,53120,53120,53120,53120,100,NTH
2023-08-29,58420,58420,58420,58420,200,NTH
2023-08-30,57930,57930,57930,57930,100,NTH
2023-08-31,54000,54000,54000,54000,100,NTH
2023-09-07,59400,59400,59400,59400,900,NTH
2023-09-08,59400,59400,59400,59400,100,NTH
2023-09-11,54600,54600,54600,54600,100,NTH
2023-09-18,58000,59400,58000,59400,300,NTH
2023-09-19,54600,54600,54600,54600,100,NTH
2023-09-21,58000,59000,58000,59000,2000,NTH
2023-09-22,54800,54800,54800,54800,100,NTH
2023-09-29,52400,52400,52400,52400,100,NTH
2023-10-02,57600,57600,57600,57600,100,NTH
2023-10-05,54000,54000,54000,54000,100,NTH
2023-10-11,58500,58500,58500,58500,200,NTH
2023-10-12,54200,54200,54200,54200,100,NTH
2023-10-13,54000,54000,54000,54000,3000,NTH
