time,open,high,low,close,volume,ticker
2023-01-04,6900,6900,6900,6900,500,NTT
2023-01-05,5900,5900,5900,5900,600,NTT
2023-01-06,5500,5500,5500,5500,800,NTT
2023-01-13,6300,6300,5500,5500,600,NTT
2023-01-16,5500,5500,5500,5500,400,NTT
2023-01-18,6300,6300,6300,6300,500,NTT
2023-01-27,7200,7200,7200,7200,100,NTT
2023-01-30,6500,6600,6500,6600,600,NTT
2023-02-01,7400,7400,7400,7400,1000,NTT
2023-02-07,7400,7400,7400,7400,100,NTT
2023-02-16,7400,7400,7400,7400,100,NTT
2023-02-17,7000,7000,7000,7000,800,NTT
2023-03-30,9000,9000,9000,9000,1000,NTT
2023-03-31,9000,9000,9000,9000,100,NTT
2023-04-04,7700,7700,7700,7700,300,NTT
2023-04-05,7600,7600,7600,7600,1100,NTT
2023-04-06,7600,7600,7600,7600,400,NTT
2023-04-12,6500,6500,6500,6500,500,NTT
2023-04-17,7900,7900,7900,7900,500,NTT
2023-04-24,9000,9000,9000,9000,100,NTT
2023-04-28,8000,8000,8000,8000,200,NTT
2023-05-10,6800,6800,6800,6800,300,NTT
2023-05-15,8100,8100,8100,8100,100,NTT
2023-05-16,9300,9300,9300,9300,200,NTT
2023-05-17,10600,10600,10600,10600,100,NTT
2023-05-22,9200,9200,9200,9200,100,NTT
2023-06-01,7900,7900,7900,7900,700,NTT
2023-06-02,9000,9000,9000,9000,100,NTT
2023-06-06,10300,10300,10300,10300,600,NTT
2023-06-09,8800,8800,8800,8800,100,NTT
2023-06-12,8000,8100,8000,8000,800,NTT
2023-06-13,8600,8600,8100,8100,200,NTT
2023-06-14,7900,7900,7900,7900,200,NTT
2023-06-15,9000,9000,8300,8300,1300,NTT
2023-06-16,10000,10000,9700,9800,800,NTT
2023-06-20,10500,10500,10500,10500,100,NTT
2023-06-22,9000,9000,9000,9000,300,NTT
2023-06-26,7700,7700,7700,7700,100,NTT
2023-06-27,7000,7000,7000,7000,100,NTT
2023-06-28,6800,6800,6800,6800,100,NTT
2023-06-29,7800,7800,7800,7800,100,NTT
2023-07-03,6700,6700,6700,6700,800,NTT
2023-07-04,7700,7700,7700,7700,100,NTT
2023-07-05,8000,8000,8000,8000,100,NTT
2023-07-10,9000,9000,9000,9000,100,NTT
2023-07-17,10000,10000,9200,9200,1000,NTT
2023-07-19,8400,8400,8400,8400,100,NTT
2023-07-24,7200,7400,7200,7400,1100,NTT
2023-07-25,8200,8200,8200,8200,500,NTT
2023-07-26,9200,9200,9200,9200,100,NTT
2023-07-28,9600,9600,9600,9600,1600,NTT
2023-07-31,8200,8200,8200,8200,1600,NTT
2023-08-01,8800,8800,8800,8800,100,NTT
2023-08-02,9100,9100,9100,9100,100,NTT
2023-08-07,7800,7900,7800,7900,3300,NTT
2023-08-08,8900,8900,8500,8500,300,NTT
2023-08-09,8900,8900,8900,8900,100,NTT
2023-08-10,8700,8700,8700,8700,2000,NTT
2023-08-11,7400,7400,7400,7400,500,NTT
2023-08-14,8400,8400,8400,8400,100,NTT
2023-08-15,8700,8700,8700,8700,100,NTT
2023-08-16,7400,7400,7400,7400,1200,NTT
2023-08-18,8500,8500,8500,8500,100,NTT
2023-08-21,8800,8800,7400,7400,400,NTT
2023-08-22,6800,6800,6700,6700,1000,NTT
2023-08-23,7700,7700,7700,7700,100,NTT
2023-08-24,8600,8600,8500,8500,200,NTT
2023-08-29,8600,8600,8600,8600,1800,NTT
2023-08-30,7400,7500,7400,7500,600,NTT
2023-09-05,7400,7400,6400,7400,1200,NTT
2023-09-06,6200,7500,6200,7500,400,NTT
2023-09-07,8200,8200,8000,8000,800,NTT
2023-09-08,8000,8000,6800,6800,2100,NTT
2023-09-11,8500,8500,8300,8300,1100,NTT
2023-09-12,8200,8200,8200,8200,200,NTT
2023-09-13,8100,8100,8100,8100,900,NTT
2023-09-14,6900,7000,6900,7000,1600,NTT
2023-09-15,6600,6600,6600,6600,300,NTT
2023-09-18,7500,7500,6300,6300,800,NTT
2023-09-19,6500,6500,6500,6500,1000,NTT
2023-09-20,6200,7000,6200,7000,2400,NTT
2023-09-21,7000,7300,7000,7300,1000,NTT
2023-09-22,7300,7300,6600,6600,2600,NTT
2023-09-25,7300,7300,7100,7100,200,NTT
2023-09-26,7300,7300,7300,7300,100,NTT
2023-09-28,7000,7300,7000,7300,2200,NTT
2023-09-29,7300,7300,7300,7300,100,NTT
2023-10-02,8200,8200,6900,6900,300,NTT
2023-10-03,7000,7000,7000,7000,400,NTT
2023-10-04,7300,7300,7300,7300,100,NTT
2023-10-06,7300,7300,7300,7300,100,NTT
2023-10-09,7200,7200,7200,7200,1000,NTT
2023-10-10,7300,7300,7300,7300,100,NTT
2023-10-13,7200,7200,7200,7200,400,NTT
