time,open,high,low,close,volume,ticker
2023-01-03,18500,20300,18000,20300,77000,NVB
2023-01-04,20300,20400,19000,20000,26400,NVB
2023-01-05,20900,21000,18600,20000,82400,NVB
2023-01-06,20800,21200,19600,19700,57500,NVB
2023-01-09,18500,20800,18500,19800,498200,NVB
2023-01-10,19800,19800,19800,19800,5200,NVB
2023-01-11,20400,20400,19800,20100,27800,NVB
2023-01-12,20000,20300,19500,20300,9400,NVB
2023-01-13,20300,20900,19300,19600,47100,NVB
2023-01-16,19600,20000,19600,19600,189400,NVB
2023-01-17,19600,20100,19100,20000,25100,NVB
2023-01-18,20400,20400,19000,20000,31200,NVB
2023-01-19,20100,20100,19100,20000,39500,NVB
2023-01-27,20000,20500,19600,20100,24200,NVB
2023-01-30,19700,19700,19000,19600,56900,NVB
2023-01-31,18600,19600,18600,19400,32400,NVB
2023-02-01,19000,19700,18500,19400,49800,NVB
2023-02-02,19400,20000,19400,20000,57600,NVB
2023-02-03,19500,19600,19500,19600,27800,NVB
2023-02-06,19100,19600,19100,19600,10500,NVB
2023-02-07,19600,19700,19200,19200,7600,NVB
2023-02-08,19600,20800,19300,19600,45400,NVB
2023-02-09,19300,19600,19300,19500,5500,NVB
2023-02-10,19300,19300,19200,19200,2400,NVB
2023-02-13,19000,19000,18000,19000,19500,NVB
2023-02-14,18200,18900,18100,18900,37900,NVB
2023-02-15,19400,19400,18800,19100,9900,NVB
2023-02-16,19000,19500,19000,19400,13000,NVB
2023-02-17,20000,20000,19400,19400,9100,NVB
2023-02-20,20500,20500,19500,19500,20100,NVB
2023-02-21,19500,19500,19200,19300,12100,NVB
2023-02-22,19000,19000,18500,18500,5100,NVB
2023-02-23,18500,18500,18300,18300,17600,NVB
2023-02-24,18300,18300,18000,18000,12700,NVB
2023-02-27,17600,17600,16900,17500,3000,NVB
2023-02-28,17500,17500,15800,15800,244200,NVB
2023-03-01,14300,17200,14300,16200,60700,NVB
2023-03-02,15800,16700,15600,16700,22300,NVB
2023-03-03,16000,16600,15800,16300,61600,NVB
2023-03-06,16300,16500,15700,16500,16000,NVB
2023-03-07,16500,17200,16500,17200,15900,NVB
2023-03-08,17200,17200,16500,17000,25600,NVB
2023-03-09,17000,17100,16600,17000,12100,NVB
2023-03-10,17700,17700,16000,16200,93500,NVB
2023-03-13,16200,16200,15600,16000,29100,NVB
2023-03-14,15100,16000,15100,15700,24200,NVB
2023-03-15,16100,16100,15700,15700,26700,NVB
2023-03-16,16000,16000,15700,15700,11200,NVB
2023-03-17,16600,16600,14400,15400,121800,NVB
2023-03-20,15400,15400,15300,15300,32700,NVB
2023-03-21,15500,15500,15000,15100,28000,NVB
2023-03-22,16000,16000,16000,16000,22000,NVB
2023-03-23,15100,15100,15100,15100,2600,NVB
2023-03-24,15000,15400,15000,15200,8000,NVB
2023-03-27,14900,15400,14900,15400,17000,NVB
2023-03-28,15400,15400,15400,15400,300,NVB
2023-03-29,15800,15800,14800,15700,20300,NVB
2023-03-30,15000,15800,15000,15600,29900,NVB
2023-03-31,15200,15300,15200,15300,11900,NVB
2023-04-03,15100,15600,15100,15200,34200,NVB
2023-04-04,15500,15500,15500,15500,3000,NVB
2023-04-05,15400,16200,15400,16200,29000,NVB
2023-04-06,15900,15900,15300,15300,11600,NVB
2023-04-07,15300,15300,15000,15000,8300,NVB
2023-04-07,15300,15300,15100,15200,9700,NVB
2023-04-10,15100,15100,14600,14600,125000,NVB
2023-04-11,14700,14800,14600,14700,17100,NVB
2023-04-12,14900,15000,14800,15000,20400,NVB
2023-04-13,15000,15000,15000,15000,100,NVB
2023-04-14,14900,14900,14000,14400,122500,NVB
2023-04-17,14300,14500,14100,14100,10800,NVB
2023-04-18,14200,14300,13700,13700,336800,NVB
2023-04-19,14000,14000,13400,13700,330900,NVB
2023-04-20,13700,13700,13500,13500,10100,NVB
2023-04-21,13800,13900,13600,13900,80700,NVB
2023-04-24,14000,14300,13800,13800,43500,NVB
2023-04-25,13800,13900,13700,13700,43300,NVB
2023-04-26,13800,14000,13500,13600,23600,NVB
2023-04-27,13800,13800,13600,13700,17300,NVB
2023-04-28,13700,13800,13600,13600,14000,NVB
2023-05-04,13500,13700,13100,13200,51200,NVB
2023-05-05,13300,13500,13200,13500,24700,NVB
2023-05-08,13600,14100,13600,13800,28500,NVB
2023-05-09,13600,13800,13600,13800,3000,NVB
2023-05-10,14000,14000,13800,13800,132300,NVB
2023-05-11,13700,13900,13700,13700,70700,NVB
2023-05-12,13800,13800,13400,13500,115600,NVB
2023-05-15,13800,13900,13700,13700,134400,NVB
2023-05-16,13800,14400,13800,14000,201100,NVB
2023-05-17,14100,14100,13900,13900,93300,NVB
2023-05-18,13800,14100,13600,13700,154800,NVB
2023-05-19,13700,13900,13200,13300,167100,NVB
2023-05-22,13500,13900,13500,13500,70700,NVB
2023-05-23,13800,13800,13500,13500,81800,NVB
2023-05-24,13700,13700,13300,13400,53800,NVB
2023-05-25,13400,13400,13200,13400,40500,NVB
2023-05-26,13400,13400,13200,13300,39200,NVB
2023-05-29,13300,13400,13000,13000,204600,NVB
2023-05-30,13000,13300,13000,13200,153300,NVB
2023-05-31,13300,13300,13100,13200,93100,NVB
2023-06-01,13200,13800,13200,13600,270100,NVB
2023-06-02,13700,14900,13700,14900,662300,NVB
2023-06-05,15300,16300,15300,16300,926000,NVB
2023-06-06,17600,17600,16000,16300,494600,NVB
2023-06-07,16100,16100,15500,16000,430300,NVB
2023-06-08,15700,15800,15200,15300,741700,NVB
2023-06-09,15300,16300,15200,15800,279200,NVB
2023-06-12,15800,15800,15000,15500,481900,NVB
2023-06-13,15500,15800,15300,15500,237600,NVB
2023-06-14,15600,16300,15500,15800,497800,NVB
2023-06-15,15800,15800,15300,15500,285100,NVB
2023-06-16,15700,15800,15300,15300,445600,NVB
2023-06-19,15300,15300,14800,14800,196000,NVB
2023-06-20,14800,14800,14400,14800,324100,NVB
2023-06-21,15200,15200,14900,15200,96800,NVB
2023-06-22,15500,15600,15100,15100,207000,NVB
2023-06-23,15300,15800,15100,15200,478600,NVB
2023-06-26,15200,15500,14900,15000,244300,NVB
2023-06-27,15000,15300,14700,14800,244300,NVB
2023-06-28,14900,14900,14700,14700,216700,NVB
2023-06-29,14600,14900,14500,14500,186300,NVB
