time,open,high,low,close,volume,ticker
2023-01-03,11670,12070,11670,12030,1423300,OCB
2023-01-04,11800,12000,11770,12000,637600,OCB
2023-01-05,11770,11930,11730,11870,822200,OCB
2023-01-06,11870,12000,11770,11930,786500,OCB
2023-01-09,11930,12000,11830,11930,646100,OCB
2023-01-10,11930,11930,11730,11870,250600,OCB
2023-01-11,11900,11930,11770,11930,740900,OCB
2023-01-12,11870,11900,11730,11770,336600,OCB
2023-01-13,11830,11830,11570,11570,660000,OCB
2023-01-16,11530,11630,11270,11600,804300,OCB
2023-01-17,11700,11870,11530,11870,789400,OCB
2023-01-18,11970,11970,11770,11800,420100,OCB
2023-01-19,11800,11900,11730,11870,434100,OCB
2023-01-27,11930,12670,11930,12470,2063000,OCB
2023-01-30,12470,12570,12370,12370,532200,OCB
2023-01-31,12370,12530,12200,12530,1021200,OCB
2023-02-01,12470,12530,12000,12070,1049600,OCB
2023-02-02,12000,12530,11670,12530,1327500,OCB
2023-02-03,12430,12930,12200,12930,3001900,OCB
2023-02-06,12770,12930,12400,12930,1427200,OCB
2023-02-07,12570,12800,12400,12400,761200,OCB
2023-02-08,12500,12500,11870,12070,531700,OCB
2023-02-09,12070,12330,11970,12330,373000,OCB
2023-02-10,12030,12300,11870,12070,431100,OCB
2023-02-13,11600,11970,11230,11230,829900,OCB
2023-02-14,11200,11570,11130,11570,396500,OCB
2023-02-15,11200,11570,11200,11470,230800,OCB
2023-02-16,11500,11530,11330,11400,119600,OCB
2023-02-17,11430,11500,11300,11500,318300,OCB
2023-02-20,11370,11830,11370,11770,505000,OCB
2023-02-21,11800,11930,11600,11600,437200,OCB
2023-02-22,11330,11730,11270,11270,509400,OCB
2023-02-23,11400,11630,11000,11570,764900,OCB
2023-02-24,11330,11500,11200,11230,357300,OCB
2023-02-27,11270,11270,10800,10900,324500,OCB
2023-02-28,10900,10930,10830,10830,374500,OCB
2023-03-01,10630,10800,10600,10700,705400,OCB
2023-03-02,10800,10800,10500,10800,549000,OCB
2023-03-03,10800,10830,10530,10730,368000,OCB
2023-03-06,10730,10930,10670,10670,305600,OCB
2023-03-07,10600,10730,10600,10670,356300,OCB
2023-03-08,10670,10730,10500,10700,309400,OCB
2023-03-09,10730,11030,10630,10970,616700,OCB
2023-03-10,10930,10970,10770,10800,261200,OCB
2023-03-13,10670,10730,10600,10600,361200,OCB
2023-03-14,10600,10600,10330,10330,487200,OCB
2023-03-15,10530,10670,10470,10670,431500,OCB
2023-03-16,10370,10500,10330,10430,393900,OCB
2023-03-17,10500,10530,10370,10400,134400,OCB
2023-03-20,10400,10400,10230,10230,404600,OCB
2023-03-21,10370,10370,10170,10270,242300,OCB
2023-03-22,10300,10370,10270,10300,46100,OCB
2023-03-23,10230,10430,10170,10370,119000,OCB
2023-03-24,10400,10600,10400,10500,203700,OCB
2023-03-27,10530,10600,10470,10530,186700,OCB
2023-03-28,10600,10600,10500,10570,243200,OCB
2023-03-29,10600,10870,10530,10800,651000,OCB
2023-03-30,10870,11000,10800,10830,289900,OCB
2023-03-31,10870,11170,10800,11130,743200,OCB
2023-04-03,11130,11230,11070,11170,699500,OCB
2023-04-04,11200,11230,11000,11130,430600,OCB
2023-04-05,11100,11230,11070,11130,450400,OCB
2023-04-06,11170,11200,11000,11000,461400,OCB
2023-04-07,11030,11330,11030,11270,687100,OCB
2023-04-10,11470,11530,11230,11230,980800,OCB
2023-04-11,11330,11330,11030,11130,645100,OCB
2023-04-12,11200,11330,11070,11130,503800,OCB
2023-04-13,11130,11130,11000,11070,560200,OCB
2023-04-14,11070,11170,11030,11030,1022200,OCB
2023-04-17,10930,11000,10900,10970,416700,OCB
2023-04-18,10930,11130,10930,10970,292400,OCB
2023-04-19,10930,11000,10800,10830,455800,OCB
2023-04-20,10800,10930,10770,10930,365100,OCB
2023-04-21,10930,10930,10770,10770,225000,OCB
2023-04-24,10730,10870,10730,10800,348100,OCB
2023-04-25,10830,10970,10700,10730,426200,OCB
2023-04-26,10770,10770,10570,10670,496600,OCB
2023-04-27,10700,10800,10670,10700,391000,OCB
2023-04-28,10830,10830,10600,10670,658200,OCB
2023-05-04,10470,10730,10430,10570,664900,OCB
2023-05-05,10470,10670,10470,10500,314800,OCB
2023-05-08,10530,10600,10500,10530,421900,OCB
2023-05-09,10670,10700,10530,10530,436600,OCB
2023-05-10,10570,10800,10570,10800,986200,OCB
2023-05-11,11030,11100,10930,11030,1936600,OCB
2023-05-12,11070,11070,10870,10930,1257000,OCB
2023-05-15,11070,11670,11070,11330,3819400,OCB
2023-05-16,11300,11530,11300,11330,1209900,OCB
2023-05-17,11400,11470,11230,11330,1171600,OCB
2023-05-18,11430,11430,11300,11370,763400,OCB
2023-05-19,11400,11400,11230,11270,634200,OCB
2023-05-22,11330,11500,11330,11470,1014500,OCB
2023-05-23,11470,11470,11330,11330,773300,OCB
2023-05-24,11330,11400,11230,11230,730400,OCB
2023-05-25,11230,11270,11130,11130,582300,OCB
2023-05-26,11170,11200,11100,11200,419100,OCB
2023-05-29,11200,11330,11200,11300,485900,OCB
2023-05-30,11430,11430,11270,11330,758600,OCB
2023-05-31,11330,11400,11270,11300,985600,OCB
2023-06-01,11330,12030,11270,12000,2830500,OCB
2023-06-02,12170,12470,12030,12300,3288500,OCB
2023-06-05,12500,12500,12000,12070,2807700,OCB
2023-06-06,12100,12430,12070,12430,1937100,OCB
2023-06-07,12430,12470,12230,12300,1746300,OCB
2023-06-08,12330,12430,12200,12200,1756300,OCB
2023-06-09,12200,12330,12100,12330,1471100,OCB
2023-06-12,12330,12370,12170,12300,1094700,OCB
2023-06-13,12330,12330,12200,12270,909500,OCB
2023-06-14,12270,12670,12270,12370,1648900,OCB
2023-06-15,12270,12400,12230,12300,591900,OCB
2023-06-16,12300,12500,12300,12300,2160400,OCB
2023-06-19,12400,12400,12230,12230,832000,OCB
2023-06-20,12230,12270,12130,12200,843300,OCB
2023-06-21,12200,12270,12130,12200,743100,OCB
2023-06-22,12270,12400,12230,12370,1683800,OCB
2023-06-23,12370,12570,12370,12400,1227200,OCB
2023-06-26,12500,12530,12270,12530,1463600,OCB
2023-06-27,12530,12670,12470,12470,753100,OCB
