time,open,high,low,close,volume,ticker
2023-01-03,41000,41000,40400,40700,51400,ODE
2023-01-04,40700,41800,40300,41600,61900,ODE
2023-01-05,41600,42400,41400,42100,39900,ODE
2023-01-06,42100,42600,41800,42400,45400,ODE
2023-01-09,42300,43200,41800,43000,54800,ODE
2023-01-10,43100,43400,42400,42900,47100,ODE
2023-01-11,42900,44400,42800,44300,75100,ODE
2023-01-12,44300,44900,44000,44200,61000,ODE
2023-01-13,44200,44700,44000,44100,41900,ODE
2023-01-16,44300,44700,43900,44500,56300,ODE
2023-01-17,44500,44500,42700,43300,45300,ODE
2023-01-18,43300,43400,41900,42500,48600,ODE
2023-01-19,42500,42500,41400,41600,35600,ODE
2023-01-27,42000,42300,42000,42300,52300,ODE
2023-01-30,42300,43000,42300,42400,48300,ODE
2023-01-31,42200,42400,41800,42000,54100,ODE
2023-02-01,42000,42600,41900,42100,55600,ODE
2023-02-02,42000,42600,42000,42500,47500,ODE
2023-02-03,42300,42700,42300,42600,47300,ODE
2023-02-06,42100,43300,42100,43300,57600,ODE
2023-02-07,42400,43000,42400,42600,42200,ODE
2023-02-08,42700,44000,42700,43700,58300,ODE
2023-02-09,44000,44200,43600,43600,43200,ODE
2023-02-10,43900,45500,43900,45400,60000,ODE
2023-02-13,45200,46000,45200,45600,47400,ODE
2023-02-14,45800,46300,45500,45900,43500,ODE
2023-02-15,45800,47000,45600,46900,56200,ODE
2023-02-16,46000,47100,45900,46900,49500,ODE
2023-02-17,46600,46700,46000,46400,45500,ODE
2023-02-20,46300,47200,46300,46600,54700,ODE
2023-02-21,46500,47800,46300,47600,64300,ODE
2023-02-22,46000,47000,45300,46500,41600,ODE
2023-02-23,46100,46100,44600,44600,45900,ODE
2023-02-24,45200,45500,44300,44600,35700,ODE
2023-02-27,44600,44600,43500,43700,55000,ODE
2023-02-28,43000,43800,42000,43800,50500,ODE
2023-03-01,43200,43700,43000,43700,44700,ODE
2023-03-02,43500,44000,43500,43600,41100,ODE
2023-03-03,43800,44900,43800,44800,60000,ODE
2023-03-06,44000,44000,43500,43800,41000,ODE
2023-03-07,43200,44200,43200,44100,45200,ODE
2023-03-08,43500,44600,43500,44000,50300,ODE
2023-03-09,43600,44600,43500,44500,42100,ODE
2023-03-10,43600,45200,43000,43000,50100,ODE
2023-03-13,43200,43700,43100,43600,49600,ODE
2023-03-14,43600,44000,43000,43300,44000,ODE
2023-03-15,42900,43800,42900,43600,51800,ODE
2023-03-16,44000,44100,43500,43800,45800,ODE
2023-03-17,43300,43900,43300,43600,45700,ODE
2023-03-20,43500,44000,43400,43800,44300,ODE
2023-03-21,44000,44700,43900,44700,46200,ODE
2023-03-22,44400,45200,44300,45100,19300,ODE
2023-03-23,44800,45000,44200,44200,17100,ODE
2023-03-24,44000,45100,43900,44800,34000,ODE
2023-03-27,44800,44800,44300,44500,19300,ODE
2023-03-28,44900,45000,44300,44800,22600,ODE
2023-03-29,45000,45000,44400,44600,13500,ODE
2023-03-30,44800,45400,44800,45300,33200,ODE
2023-03-31,45500,45500,45200,45500,5200,ODE
2023-04-03,46000,46300,45800,46300,14500,ODE
2023-04-04,45800,46000,45800,46000,500,ODE
2023-04-05,46000,46100,45700,45800,9800,ODE
2023-04-06,45200,46000,44800,46000,15700,ODE
2023-04-07,46000,46100,46000,46100,1500,ODE
2023-04-10,46500,46700,46500,46700,3600,ODE
2023-04-11,47500,49200,47500,48400,54900,ODE
2023-04-12,48400,48900,48100,48800,13200,ODE
2023-04-13,47900,47900,46600,46700,35600,ODE
2023-04-14,46800,46800,45600,45800,27700,ODE
2023-04-17,46000,46300,46000,46200,43700,ODE
2023-04-18,46400,46500,45000,45000,32900,ODE
2023-04-19,45700,45700,43800,43900,47100,ODE
2023-04-20,44600,44700,43000,44000,49400,ODE
2023-04-21,44000,44400,43300,44000,48000,ODE
2023-04-24,44300,44400,43500,43900,45600,ODE
2023-04-25,43500,43500,42200,43000,38700,ODE
2023-04-26,43000,43000,40900,41000,30300,ODE
2023-04-27,42000,43100,41700,42000,39700,ODE
2023-04-28,42500,42500,41400,41600,17700,ODE
2023-05-04,43300,43700,43200,43700,29400,ODE
2023-05-05,43600,43600,41000,41500,41100,ODE
2023-05-08,42000,42700,42000,42600,25100,ODE
2023-05-09,42600,42700,40500,40700,36700,ODE
2023-05-10,41300,41500,39300,39500,42000,ODE
2023-05-11,40000,40600,38300,40600,28300,ODE
2023-05-12,40500,41500,39400,41400,41900,ODE
2023-05-15,41000,42100,40600,42100,40400,ODE
2023-05-16,41400,42700,40900,41800,41000,ODE
2023-05-17,41800,43000,39600,42400,39400,ODE
2023-05-18,42000,42400,42000,42400,30700,ODE
2023-05-19,42200,43600,42100,43100,46400,ODE
2023-05-22,42800,43500,42300,43400,25400,ODE
2023-05-23,43000,44300,42800,43700,47200,ODE
2023-05-24,43600,44100,42800,44000,44300,ODE
2023-05-25,44000,44000,43100,43700,43000,ODE
2023-05-26,43800,44800,43700,44800,46700,ODE
2023-05-29,44400,45100,44000,45000,46200,ODE
2023-05-30,44800,44900,44000,44300,44800,ODE
2023-05-31,44500,44700,43900,43900,41400,ODE
2023-06-01,43600,44000,43000,44000,46600,ODE
2023-06-02,44000,44500,43100,44100,44200,ODE
2023-06-05,43600,44800,43600,44500,42500,ODE
2023-06-06,44200,44700,44200,44500,39400,ODE
2023-06-07,44700,45000,44400,44800,38600,ODE
2023-06-08,44800,45000,44300,44500,31000,ODE
2023-06-09,45000,45000,44400,44500,41600,ODE
2023-06-12,44800,45000,43600,44700,41200,ODE
2023-06-13,44200,45100,44200,44400,35200,ODE
2023-06-14,44800,44800,43800,44300,40600,ODE
2023-06-15,44300,44700,43400,44000,30600,ODE
2023-06-16,44500,45500,44200,45200,35400,ODE
2023-06-19,44500,45600,44500,45400,40200,ODE
2023-06-20,45000,45300,44800,44900,41800,ODE
2023-06-21,44700,45100,44600,44900,34600,ODE
2023-06-22,44500,45300,44500,45000,39600,ODE
2023-06-23,45200,46000,44800,45800,41500,ODE
2023-06-26,45200,45800,45200,45800,35800,ODE
2023-06-27,45400,46300,45400,46100,42400,ODE
2023-06-28,45800,45900,45400,45600,36900,ODE
2023-06-29,46100,46800,45800,46600,42400,ODE
2023-06-30,46300,46900,46300,46600,41800,ODE
2023-07-03,46400,47000,46300,46700,42700,ODE
2023-07-04,46700,46900,46400,46500,52000,ODE
2023-07-05,46300,46700,46200,46500,39200,ODE
2023-07-06,46300,46800,46200,46400,40600,ODE
2023-07-07,46300,46400,46100,46100,41100,ODE
2023-07-10,46100,46300,45900,46200,41800,ODE
2023-07-11,46100,46200,45600,45700,47300,ODE
2023-07-12,45800,46400,45700,46300,48800,ODE
2023-07-13,46100,46500,46000,46300,41300,ODE
2023-07-14,46200,46400,46100,46300,38600,ODE
2023-07-17,46200,46500,46100,46400,39300,ODE
2023-07-18,46200,46300,46000,46100,39400,ODE
2023-07-19,46200,46400,46100,46300,39700,ODE
2023-07-20,46200,46300,45900,46100,38200,ODE
2023-07-21,46000,46200,45900,46100,39000,ODE
2023-07-24,46000,46000,45600,45700,40300,ODE
2023-07-25,45700,45800,45400,45500,39600,ODE
2023-07-26,45600,45800,45100,45200,44400,ODE
2023-07-27,45300,45300,44700,44900,40500,ODE
2023-07-28,45100,45300,44400,44800,40100,ODE
2023-07-31,45000,45400,44800,45200,40500,ODE
