time,open,high,low,close,volume,ticker
2023-01-03,8590,8590,8200,8410,902900,OGC
2023-01-04,8400,8500,8210,8430,588400,OGC
2023-01-05,8450,8450,8250,8400,594400,OGC
2023-01-06,8400,8700,8220,8460,751400,OGC
2023-01-09,8350,8550,8350,8460,493800,OGC
2023-01-10,8500,8500,8189,8200,585100,OGC
2023-01-11,8260,8290,7800,7800,1266900,OGC
2023-01-12,7830,8000,7500,7500,692400,OGC
2023-01-13,7600,8000,7600,8000,885100,OGC
2023-01-16,8000,8100,7780,7780,801600,OGC
2023-01-17,7920,7980,7730,7930,440300,OGC
2023-01-18,7920,7920,7520,7880,1851600,OGC
2023-01-19,7900,7900,7650,7690,756700,OGC
2023-01-27,7670,7940,7670,7730,468300,OGC
2023-01-30,7740,8270,7730,8100,1496800,OGC
2023-01-31,8000,8160,7960,8070,966900,OGC
2023-02-01,8189,8250,7600,7650,1444700,OGC
2023-02-02,7780,7890,7490,7490,727900,OGC
2023-02-03,7520,7700,7500,7560,615500,OGC
2023-02-06,7560,7600,7300,7550,346500,OGC
2023-02-07,7650,7650,7100,7140,778900,OGC
2023-02-08,7200,7200,6980,7200,326500,OGC
2023-02-09,7190,7350,7050,7200,573000,OGC
2023-02-10,7210,7380,7180,7210,587000,OGC
2023-02-13,7010,7300,6900,7180,539100,OGC
2023-02-14,7190,7200,7050,7200,428700,OGC
2023-02-15,7200,7450,7130,7430,538800,OGC
2023-02-16,7550,7950,7450,7950,1171400,OGC
2023-02-17,8490,8500,8300,8490,3330700,OGC
2023-02-20,8490,8840,8400,8490,1584700,OGC
2023-02-21,8500,8900,8500,8900,3032400,OGC
2023-02-22,8630,8890,8400,8650,1076800,OGC
2023-02-23,8660,8670,8310,8630,1176300,OGC
2023-02-24,8520,8620,8420,8500,346800,OGC
2023-02-27,8390,8390,7910,8000,1574200,OGC
2023-02-28,8189,8189,7810,8109,663600,OGC
2023-03-01,8109,8210,7950,8210,546200,OGC
2023-03-02,8210,8780,8150,8780,1458000,OGC
2023-03-03,9150,9150,8500,8770,934200,OGC
2023-03-06,8800,9050,8500,8500,748000,OGC
2023-03-07,8500,8890,8480,8650,633800,OGC
2023-03-08,8650,8700,8300,8700,331300,OGC
2023-03-09,8890,9000,8690,8740,719600,OGC
2023-03-10,8650,8790,8460,8740,645500,OGC
2023-03-13,8500,8640,8400,8600,635000,OGC
2023-03-14,8460,8540,8100,8100,709000,OGC
2023-03-15,8200,8660,8160,8550,1091000,OGC
2023-03-16,8210,8550,8210,8350,794400,OGC
2023-03-17,8460,8460,8290,8300,191000,OGC
2023-03-20,8200,8390,8080,8119,429500,OGC
2023-03-21,8300,8300,8100,8200,206800,OGC
2023-03-22,8300,8300,8119,8210,119600,OGC
2023-03-23,8109,8189,8000,8150,513600,OGC
2023-03-24,8200,8370,8109,8250,682900,OGC
2023-03-27,8360,8370,8250,8260,287000,OGC
2023-03-28,8380,8380,8290,8300,325200,OGC
2023-03-29,8340,8340,8230,8230,261500,OGC
2023-03-30,8270,8280,8200,8200,315400,OGC
2023-03-31,8200,8240,8100,8130,381500,OGC
2023-04-03,8130,8340,8130,8200,1452000,OGC
2023-04-04,8160,8280,8150,8189,662000,OGC
2023-04-05,8150,8600,8150,8480,1477600,OGC
2023-04-06,8600,8770,8360,8450,1086900,OGC
2023-04-07,8420,8670,8400,8520,986000,OGC
2023-04-10,8770,8770,8410,8500,761900,OGC
2023-04-11,8500,8600,8330,8530,835200,OGC
2023-04-12,8610,8610,8370,8400,726000,OGC
2023-04-13,8490,8490,8260,8300,811700,OGC
2023-04-14,8260,8300,8000,8000,974800,OGC
2023-04-17,7980,8210,7940,8000,496000,OGC
2023-04-18,8000,8000,7850,7900,1049100,OGC
2023-04-19,8150,8150,7890,7950,643100,OGC
2023-04-20,7880,8000,7850,7990,649500,OGC
2023-04-21,8000,8000,7850,7950,872900,OGC
2023-04-24,7860,8000,7860,7880,440800,OGC
2023-04-25,7950,8039,7880,7900,560800,OGC
2023-04-26,7930,8000,7910,7990,198700,OGC
2023-04-27,7940,8200,7930,8010,765400,OGC
2023-04-28,8090,8090,7940,7950,553600,OGC
2023-05-04,7920,7950,7890,7900,294700,OGC
2023-05-05,7940,8100,7900,7940,517100,OGC
2023-05-08,8080,8250,7960,8100,1317100,OGC
2023-05-09,8300,8300,8119,8150,395500,OGC
2023-05-10,8180,8570,8150,8440,2983000,OGC
2023-05-11,8490,8490,8350,8360,1157500,OGC
2023-05-12,8330,8850,8280,8750,2908000,OGC
2023-05-15,8810,9300,8810,9230,5434900,OGC
2023-05-16,9260,9260,9020,9050,1787300,OGC
2023-05-17,9100,9410,9050,9050,2092800,OGC
2023-05-18,9100,9100,8820,8850,1331500,OGC
2023-05-19,8840,8850,8350,8480,2257300,OGC
2023-05-22,8500,8840,8420,8500,973200,OGC
2023-05-23,8500,8680,8480,8600,1078500,OGC
2023-05-24,8560,8770,8530,8550,1373700,OGC
2023-05-25,8550,8650,8500,8610,681000,OGC
2023-05-26,8620,8960,8620,8900,1390900,OGC
2023-05-29,9140,9140,8940,8950,1356800,OGC
2023-05-30,9000,9000,8700,8800,1633300,OGC
2023-05-31,8860,9310,8790,9160,2468200,OGC
2023-06-01,9350,9800,9300,9700,3696600,OGC
2023-06-02,9820,9850,9300,9300,2474700,OGC
2023-06-05,9300,9360,8960,8990,2462700,OGC
2023-06-06,8850,9200,8850,9060,1309800,OGC
2023-06-07,9100,9360,9090,9140,1896300,OGC
2023-06-08,9200,9350,9000,9100,2907500,OGC
2023-06-09,9100,9150,8950,9080,1423800,OGC
2023-06-12,9340,9340,9000,9160,1580600,OGC
2023-06-13,9200,9610,9150,9410,3984700,OGC
2023-06-14,9450,9550,9080,9080,1676200,OGC
2023-06-15,9100,9180,8830,8890,1812400,OGC
2023-06-16,8950,9070,8800,8860,1697100,OGC
2023-06-19,8870,8990,8390,8390,2416000,OGC
2023-06-20,8210,8490,8210,8490,1220500,OGC
2023-06-21,8420,8700,8420,8520,951900,OGC
2023-06-22,8550,8730,8550,8700,996500,OGC
2023-06-23,8700,8790,8530,8540,943700,OGC
2023-06-26,8400,8490,8250,8370,1337300,OGC
2023-06-27,8350,8480,8350,8400,515600,OGC
