time,open,high,low,close,volume,ticker
2023-01-03,8650,9250,8650,9180,1572500,ORS
2023-01-04,9340,9340,9000,9140,1142300,ORS
2023-01-05,9100,9170,8980,9000,897500,ORS
2023-01-06,9090,9100,8680,8900,552000,ORS
2023-01-09,9000,9000,8860,8900,511500,ORS
2023-01-10,8810,8980,8550,8890,434200,ORS
2023-01-11,8900,9100,8880,9030,912900,ORS
2023-01-12,9050,9050,8940,8990,411600,ORS
2023-01-13,9080,9200,8900,9000,1059400,ORS
2023-01-16,9000,9100,8700,8950,458400,ORS
2023-01-17,9080,9150,8750,9130,1242500,ORS
2023-01-18,9200,9400,9020,9380,1492000,ORS
2023-01-19,9370,9450,9210,9400,1325700,ORS
2023-01-27,9400,9580,9370,9370,1473900,ORS
2023-01-30,9370,9900,9200,9720,4663700,ORS
2023-01-31,9720,9870,9520,9870,1744100,ORS
2023-02-01,9880,9980,9180,9210,3142300,ORS
2023-02-02,9210,9300,9000,9200,1767200,ORS
2023-02-03,9200,9200,8810,9150,2150000,ORS
2023-02-06,9000,9200,9000,9200,1479600,ORS
2023-02-07,9200,9350,9000,9000,1766700,ORS
2023-02-08,9000,9100,8750,9000,1985400,ORS
2023-02-09,9030,9070,8850,9000,2113100,ORS
2023-02-10,8920,9030,8810,8890,1508900,ORS
2023-02-13,8830,8850,8480,8500,1902600,ORS
2023-02-14,8500,8650,8410,8650,1428600,ORS
2023-02-15,8650,8790,8600,8740,1083300,ORS
2023-02-16,8740,8830,8690,8830,890000,ORS
2023-02-17,8800,8920,8710,8830,1267000,ORS
2023-02-20,8800,9250,8720,9250,2513400,ORS
2023-02-21,9270,9300,9100,9250,2437000,ORS
2023-02-22,9110,9190,8860,8900,2175800,ORS
2023-02-23,8900,9000,8600,8900,979400,ORS
2023-02-24,8900,8900,8660,8830,842600,ORS
2023-02-27,8550,8700,8500,8600,582700,ORS
2023-02-28,8610,8860,8530,8840,1707300,ORS
2023-03-01,8900,8950,8680,8930,1173000,ORS
2023-03-02,8850,9100,8800,9080,1438200,ORS
2023-03-03,9050,9100,8850,8950,1109200,ORS
2023-03-06,8960,9100,8880,8920,1115400,ORS
2023-03-07,8930,9540,8930,9400,4777400,ORS
2023-03-08,9350,9590,9210,9580,2599700,ORS
2023-03-09,9540,9600,9390,9470,1685600,ORS
2023-03-10,9350,9420,9110,9250,1748600,ORS
2023-03-13,9050,9350,9020,9300,1967500,ORS
2023-03-14,9300,9300,9050,9150,1194600,ORS
2023-03-15,9210,9780,9210,9750,4498000,ORS
2023-03-16,9650,9750,9500,9640,1703400,ORS
2023-03-17,9700,9810,9460,9570,1409400,ORS
2023-03-20,9500,9600,9060,9170,2228300,ORS
2023-03-21,9200,9260,9020,9260,1198300,ORS
2023-03-22,9260,9360,9260,9320,1054700,ORS
2023-03-23,9140,9500,9140,9430,2075800,ORS
2023-03-24,9480,9600,9480,9500,943300,ORS
2023-03-27,9450,9690,9390,9650,2171200,ORS
2023-03-28,9610,9790,9560,9660,2430200,ORS
2023-03-29,9630,9760,9590,9600,1009900,ORS
2023-03-30,9650,10100,9640,10000,4976700,ORS
2023-03-31,9940,10150,9850,10150,2409900,ORS
2023-04-03,10250,10500,10150,10450,3351100,ORS
2023-04-04,10550,11200,10350,11200,7299500,ORS
2023-04-05,11200,11950,11200,11950,6801700,ORS
2023-04-06,12000,12550,11650,11950,4092600,ORS
2023-04-07,11800,12250,11550,12100,4030500,ORS
2023-04-10,12200,12800,12000,12250,4166100,ORS
2023-04-11,12250,12300,11700,12200,2219100,ORS
2023-04-12,12350,12500,11900,12100,4748100,ORS
2023-04-13,12100,12250,11750,11750,2166100,ORS
2023-04-14,11900,11950,11600,11700,1537100,ORS
2023-04-17,11500,11700,11400,11650,1523700,ORS
2023-04-18,11700,12400,11600,12100,2219000,ORS
2023-04-19,12150,12600,12050,12150,1978600,ORS
2023-04-20,12200,12350,12050,12250,1076700,ORS
2023-04-21,12100,12900,12000,12900,5028900,ORS
2023-04-24,13200,13800,12950,13200,2530800,ORS
2023-04-25,13250,13250,12350,12350,4449800,ORS
2023-04-26,12000,12450,11850,12200,2385600,ORS
2023-04-27,12450,12450,12050,12250,1206000,ORS
2023-04-28,12200,12500,12200,12400,912800,ORS
2023-05-04,12250,13300,12250,13050,4196000,ORS
2023-05-05,12950,13300,12700,12850,1232100,ORS
2023-05-08,12900,13550,12800,13300,3024000,ORS
2023-05-09,13300,13400,13050,13400,1453600,ORS
2023-05-10,13500,14200,13350,13500,3785300,ORS
2023-05-11,13450,13700,13000,13100,2049400,ORS
2023-05-12,13200,13500,13050,13500,1281300,ORS
2023-05-15,13400,13700,13050,13050,1295100,ORS
2023-05-16,13000,13400,12950,13300,1773500,ORS
2023-05-17,13300,14000,13300,13350,4117100,ORS
2023-05-18,13300,13650,13200,13500,1352700,ORS
2023-05-19,13450,13650,13200,13400,1305100,ORS
2023-05-22,13550,13650,13400,13450,1199800,ORS
2023-05-23,13700,13750,13450,13600,1757400,ORS
2023-05-24,13700,14150,13600,14050,4103000,ORS
2023-05-25,14000,14050,13550,13600,2611500,ORS
2023-05-26,13700,13850,13350,13700,1674200,ORS
2023-05-29,13750,14150,13600,14150,2845600,ORS
2023-05-30,14150,14200,13900,14150,2181000,ORS
2023-05-31,14150,14350,13850,13850,1612900,ORS
2023-06-01,13850,14800,13800,14600,5888600,ORS
2023-06-02,14700,14900,14300,14550,2974800,ORS
2023-06-05,14550,14700,14100,14200,2604000,ORS
2023-06-06,14200,14950,14100,14850,3412500,ORS
2023-06-07,14850,15000,14500,15000,2461000,ORS
2023-06-08,14800,15000,14400,14400,1663800,ORS
2023-06-09,14450,14600,14200,14450,1858300,ORS
2023-06-12,14500,14750,14050,14450,1887300,ORS
2023-06-13,14400,14600,14250,14500,1127200,ORS
2023-06-14,14750,14750,14300,14450,3236400,ORS
2023-06-15,14450,14500,14100,14500,1004600,ORS
2023-06-16,14650,15450,14600,14700,6686000,ORS
2023-06-19,14650,14850,14550,14600,2813700,ORS
2023-06-20,14600,14750,14450,14750,2041800,ORS
2023-06-21,14750,15500,14650,15300,5814400,ORS
2023-06-22,15300,15500,15050,15350,1908500,ORS
2023-06-23,15400,15700,15100,15600,4489600,ORS
2023-06-26,15400,15600,14700,15300,1992900,ORS
2023-06-27,15350,15650,15250,15300,2942300,ORS
2023-06-28,15500,15600,15300,15450,1912400,ORS
2023-06-29,15450,15500,15000,15000,1571800,ORS
2023-06-30,15000,15250,14800,15150,2143800,ORS
2023-07-03,15400,15400,15150,15350,1137200,ORS
2023-07-04,15350,15650,15250,15550,1799700,ORS
2023-07-05,15850,16300,15550,16000,3926100,ORS
2023-07-06,15950,16050,15300,15500,2535700,ORS
2023-07-07,15350,15550,15150,15500,2137700,ORS
2023-07-10,15500,16100,15450,15800,4211600,ORS
2023-07-11,15800,15950,15450,15600,2641700,ORS
2023-07-12,15600,16000,15350,15400,3131100,ORS
2023-07-13,15500,15550,15350,15500,1287000,ORS
2023-07-14,15500,15750,15300,15500,1782300,ORS
2023-07-17,15700,16100,15700,15900,3931400,ORS
2023-07-18,15950,16000,15750,15850,1779600,ORS
2023-07-19,15850,16000,15650,15650,1613600,ORS
2023-07-20,15500,15550,14900,15150,3482400,ORS
2023-07-21,15200,15300,15000,15300,1899900,ORS
2023-07-24,15450,15600,15300,15600,1636000,ORS
2023-07-25,15650,15800,15400,15500,1245600,ORS
2023-07-26,15400,15900,15400,15700,3055300,ORS
2023-07-27,15700,15750,15450,15700,1345500,ORS
2023-07-28,15700,16600,15700,16600,9052900,ORS
2023-07-31,16900,16900,16300,16700,3066600,ORS
2023-08-01,16700,16850,16200,16200,2632800,ORS
2023-08-02,16100,16400,16050,16400,1608700,ORS
2023-08-03,16500,16550,16149,16200,1840400,ORS
2023-08-04,16300,17000,16149,17000,4740800,ORS
2023-08-07,17300,17300,16750,17050,2811500,ORS
2023-08-08,17100,17150,16750,16900,2093600,ORS
2023-08-09,16900,16900,16650,16800,1334900,ORS
2023-08-10,16800,16850,16400,16400,1983000,ORS
2023-08-11,16300,16550,16000,16450,1584500,ORS
2023-08-14,16600,17100,16450,16800,4621700,ORS
2023-08-15,16700,16750,16500,16650,1916900,ORS
2023-08-16,16650,16900,16350,16900,1350500,ORS
2023-08-17,17000,17450,16750,16750,3725900,ORS
2023-08-18,16600,16700,15600,15600,3852300,ORS
2023-08-21,15500,16050,15400,15850,2368200,ORS
2023-08-22,15850,16149,15150,16100,1903700,ORS
2023-08-23,16100,16400,15950,16149,2138200,ORS
2023-08-24,16149,16500,16050,16400,2703200,ORS
2023-08-25,16400,16750,16300,16650,2990900,ORS
2023-08-28,16550,17800,16500,17800,8552400,ORS
2023-08-29,18000,18250,17800,18100,3780700,ORS
2023-08-30,18050,19200,17850,19200,4225300,ORS
2023-08-31,19200,19350,18800,19000,3323900,ORS
2023-09-05,19200,19350,18900,19350,3119300,ORS
2023-09-06,19150,20500,19000,20150,3733100,ORS
2023-09-07,20300,20450,19650,19900,2913200,ORS
2023-09-08,19850,20000,19400,19450,3798800,ORS
2023-09-11,19500,19800,19000,19000,4605100,ORS
2023-09-12,19100,20200,19000,20200,4447900,ORS
2023-09-13,20200,20200,19450,19700,5121600,ORS
2023-09-14,19700,19700,19150,19200,3746200,ORS
2023-09-15,19500,19500,19050,19400,1745000,ORS
2023-09-18,19250,19600,19000,19100,2501200,ORS
2023-09-19,19200,19900,18950,19900,3463300,ORS
2023-09-20,20050,21250,20000,21250,7962900,ORS
2023-09-21,21400,21550,20400,20650,3927900,ORS
2023-09-22,19800,20100,19250,19250,7966200,ORS
2023-09-25,18700,19250,17950,17950,9443900,ORS
2023-09-26,17550,19150,17550,18000,7275600,ORS
2023-09-27,18500,19100,17950,19100,5185600,ORS
2023-09-28,19150,19200,18550,18750,2764700,ORS
2023-09-29,18800,19050,18450,18500,2892500,ORS
2023-10-02,18600,18750,18250,18400,1375200,ORS
2023-10-03,18200,18200,17150,17150,3398200,ORS
2023-10-04,16250,18000,16250,17700,2091600,ORS
2023-10-05,17800,17850,16600,16600,1666800,ORS
2023-10-06,16650,17500,16500,17450,3406700,ORS
2023-10-09,17450,18000,17250,17700,2724500,ORS
2023-10-10,17750,18100,17750,17800,2852400,ORS
2023-10-11,17800,18500,17500,18450,4282900,ORS
2023-10-12,18450,18700,18200,18500,2259900,ORS
2023-10-13,18300,18300,17550,18000,2198400,ORS
