time,open,high,low,close,volume,ticker
2023-01-03,23210,23210,23210,23210,900,PCE
2023-01-05,20970,20970,20970,20970,100,PCE
2023-01-10,22940,22940,19000,19000,200,PCE
2023-01-11,20880,20880,20880,20880,100,PCE
2023-01-12,18820,18820,18820,18820,100,PCE
2023-01-16,20700,20700,20700,20700,1400,PCE
2023-01-17,22670,22670,22670,22670,400,PCE
2023-01-18,24910,24910,24910,24910,4000,PCE
2023-01-19,22490,24290,22490,24290,400,PCE
2023-02-06,21870,24200,21870,24200,200,PCE
2023-02-10,21780,24200,21780,24200,700,PCE
2023-02-13,21780,24200,21780,24200,400,PCE
2023-03-02,21780,21780,21780,21780,100,PCE
2023-03-03,22850,22940,22850,22850,400,PCE
2023-03-06,24110,24110,24110,24110,100,PCE
2023-03-10,21780,21780,21780,21780,300,PCE
2023-03-13,21690,21690,21690,21690,2600,PCE
2023-03-14,22400,22400,22400,22400,100,PCE
2023-03-16,20610,22320,20610,22320,400,PCE
2023-03-23,22320,24020,22320,24020,200,PCE
2023-03-24,20610,20610,20610,20610,100,PCE
2023-03-27,22400,22400,22400,22400,100,PCE
2023-03-30,20160,20160,20160,20160,300,PCE
2023-03-31,22140,22140,22140,22140,100,PCE
2023-04-03,22140,22140,22140,22140,100,PCE
2023-04-04,24650,24650,24650,24650,3600,PCE
2023-04-12,22230,22230,22230,22230,2100,PCE
2023-04-13,22230,22230,22230,22230,500,PCE
2023-04-14,20070,20070,20070,20070,300,PCE
2023-04-17,22050,22050,22050,22050,100,PCE
2023-04-24,24200,24200,19990,20160,1400,PCE
2023-04-26,22050,22050,22050,22050,100,PCE
2023-04-27,23840,23840,19900,19900,600,PCE
2023-04-28,21870,21870,21870,21870,100,PCE
2023-05-04,23840,23840,23840,23840,1000,PCE
2023-05-08,21510,21510,21510,21510,1500,PCE
2023-05-09,21060,21060,21060,21060,500,PCE
2023-05-10,23120,23120,21060,21060,2400,PCE
2023-05-11,23030,23030,21510,21510,1100,PCE
2023-05-12,20700,20700,20700,20700,800,PCE
2023-05-15,20700,20700,20700,20700,100,PCE
2023-05-16,20700,20700,20700,20700,100,PCE
2023-05-17,21780,21780,21780,21780,100,PCE
2023-05-18,20610,20610,20610,20610,1000,PCE
2023-05-19,22050,22050,22050,22050,100,PCE
2023-05-23,20610,20610,20610,20610,300,PCE
2023-05-24,20610,20610,20610,20610,800,PCE
2023-05-26,22140,22140,22140,22140,100,PCE
2023-05-29,22670,22670,22670,22670,200,PCE
2023-06-02,20880,20880,20880,20880,200,PCE
