time,open,high,low,close,volume,ticker
2023-01-03,6400,6700,6400,6500,6300,PCG
2023-01-04,6600,6600,6600,6600,200,PCG
2023-01-05,6200,6600,6200,6600,1600,PCG
2023-01-06,6200,6700,6200,6700,10300,PCG
2023-01-10,6200,6300,6200,6200,2600,PCG
2023-01-11,6200,6500,6200,6200,2000,PCG
2023-01-12,6200,6300,6200,6300,1300,PCG
2023-01-16,6300,6400,6300,6400,400,PCG
2023-01-17,6500,6500,6500,6500,5100,PCG
2023-01-18,6200,6500,6200,6200,4900,PCG
2023-01-19,6000,6000,6000,6000,2500,PCG
2023-01-30,6000,6600,6000,6600,35300,PCG
2023-01-31,6600,6800,6600,6800,2300,PCG
2023-02-01,6800,6800,6600,6600,3500,PCG
2023-02-02,6500,6500,6100,6100,1800,PCG
2023-02-03,6500,6500,6400,6500,400,PCG
2023-02-06,6400,6400,6300,6300,300,PCG
2023-02-07,6300,6400,6300,6400,3400,PCG
2023-02-08,6100,6300,6100,6300,2700,PCG
2023-02-09,6400,6400,6400,6400,700,PCG
2023-02-10,6200,6400,6200,6400,400,PCG
2023-02-14,6100,6100,6100,6100,4100,PCG
2023-02-15,6300,6300,6300,6300,400,PCG
2023-02-16,6400,6400,6400,6400,200,PCG
2023-02-17,6100,6200,6100,6200,700,PCG
2023-02-20,6000,6400,6000,6400,2800,PCG
2023-02-21,6300,6400,6100,6400,5800,PCG
2023-02-22,6300,6500,6200,6300,1800,PCG
2023-02-23,6200,6600,6200,6500,11700,PCG
2023-02-24,6200,6200,6200,6200,400,PCG
2023-02-27,6300,6300,5700,5700,2400,PCG
2023-02-28,6000,6200,5900,5900,2900,PCG
2023-03-02,5900,5900,5900,5900,400,PCG
2023-03-03,6000,6400,6000,6400,35300,PCG
2023-03-06,6400,6400,6400,6400,11500,PCG
2023-03-07,6300,6300,6000,6100,17000,PCG
2023-03-08,6100,6100,6100,6100,300,PCG
2023-03-09,6100,6100,6100,6100,100,PCG
2023-03-10,6100,6100,6100,6100,1800,PCG
2023-03-14,6000,6000,6000,6000,6500,PCG
