time,open,high,low,close,volume,ticker
2023-01-03,13400,13400,13400,13400,100,PCM
2023-01-04,15200,15200,13500,13500,1100,PCM
2023-01-09,15600,15600,13000,13000,1100,PCM
2023-01-10,14900,14900,14900,14900,100,PCM
2023-01-11,17000,17000,17000,17000,100,PCM
2023-01-13,14500,14500,14500,14500,3100,PCM
2023-01-16,13000,14300,13000,14300,5100,PCM
2023-01-17,14800,14800,13000,13000,2100,PCM
2023-01-18,14900,14900,12500,12500,4400,PCM
2023-01-27,12500,12500,12500,12500,400,PCM
2023-01-31,14300,14300,14300,14300,100,PCM
2023-02-03,12300,12300,12300,12300,1000,PCM
2023-02-09,13800,13800,13800,13800,100,PCM
2023-02-10,15600,15600,15600,15600,200,PCM
2023-02-15,17800,17800,17800,17800,100,PCM
2023-03-10,20300,20300,15200,15200,300,PCM
2023-03-13,14400,14400,14400,14400,100,PCM
2023-03-14,16400,16400,12300,12300,300,PCM
2023-03-16,11800,11800,11800,11800,3700,PCM
2023-03-17,13400,13400,10300,10300,400,PCM
2023-03-20,12600,12600,11500,11500,2300,PCM
2023-03-21,13100,13100,13100,13100,200,PCM
2023-03-22,14900,14900,14900,14900,100,PCM
2023-03-23,15700,15700,15700,15700,200,PCM
2023-03-24,15700,15700,15700,15700,100,PCM
2023-03-27,13000,13000,13000,13000,200,PCM
2023-03-28,13000,13000,13000,13000,200,PCM
2023-03-30,10900,10900,10900,10900,100,PCM
2023-03-31,12000,12000,12000,12000,200,PCM
2023-04-03,10200,10200,10200,10200,200,PCM
2023-04-04,11200,11200,11200,11200,2000,PCM
2023-04-06,10300,10300,10300,10300,100,PCM
2023-04-07,11800,11800,11800,11800,5000,PCM
2023-04-10,13400,13400,10400,10400,300,PCM
2023-04-11,10200,10200,10200,10200,100,PCM
2023-04-18,8700,8700,8700,8700,1000,PCM
2023-04-27,10000,10000,10000,10000,100,PCM
2023-04-28,11500,11500,11500,11500,100,PCM
2023-05-04,13200,13200,13200,13200,100,PCM
2023-05-05,13200,13200,13100,13100,300,PCM
2023-05-08,15000,15000,14000,14000,200,PCM
2023-05-09,14900,14900,14900,14900,100,PCM
2023-05-10,12700,12700,12700,12700,1300,PCM
2023-05-11,10900,10900,10900,10900,100,PCM
2023-05-12,9300,9300,9300,9300,100,PCM
2023-05-15,13700,13700,13700,13700,100,PCM
2023-05-16,13900,13900,13900,13900,100,PCM
2023-05-22,11900,11900,11900,11900,200,PCM
2023-05-24,13400,13400,10500,10500,200,PCM
2023-05-25,13800,13800,10900,10900,400,PCM
2023-05-26,13300,13300,13300,13300,100,PCM
2023-05-31,11800,11800,11600,11600,4500,PCM
2023-06-01,13000,13000,13000,13000,100,PCM
2023-06-02,11200,12500,11200,12500,2800,PCM
2023-06-08,13900,13900,10600,10600,200,PCM
2023-06-09,11600,11600,11500,11500,3700,PCM
2023-06-13,11000,11000,11000,11000,2200,PCM
2023-06-14,10700,10700,10700,10700,3000,PCM
2023-06-16,12300,12300,12300,12300,4300,PCM
2023-06-20,12700,12900,12700,12900,5600,PCM
2023-06-26,12900,12900,12900,12900,3700,PCM
2023-06-27,14000,14000,14000,14000,300,PCM
2023-06-28,12500,12500,12500,12500,1000,PCM
2023-06-30,13000,13000,12000,12000,6400,PCM
2023-07-03,11500,11500,11500,11500,100,PCM
2023-07-04,11500,12800,11500,12800,9700,PCM
2023-07-05,12500,12500,12500,12500,1500,PCM
2023-07-06,12500,12500,12500,12500,2000,PCM
2023-07-10,12500,12500,12500,12500,2000,PCM
2023-07-11,12500,12700,12500,12700,3000,PCM
2023-07-13,11600,11600,11600,11600,100,PCM
2023-07-14,12700,12700,12500,12500,4000,PCM
2023-07-18,12000,12000,12000,12000,1000,PCM
2023-07-21,11400,11400,11400,11400,100,PCM
2023-07-24,12000,12000,12000,12000,190100,PCM
2023-07-31,12500,12500,12500,12500,2400,PCM
2023-08-04,11100,12500,11100,12000,7000,PCM
2023-08-07,11700,12600,11700,12200,16100,PCM
2023-08-14,11300,11300,11000,11000,7600,PCM
2023-08-15,11400,12600,11400,12500,3200,PCM
2023-08-16,12600,12600,12600,12600,500,PCM
2023-08-18,12600,12600,12600,12600,1000,PCM
2023-09-11,12600,12600,12600,12600,7300,PCM
2023-09-13,11500,12700,11500,12700,2100,PCM
2023-09-19,13000,13000,12600,12600,4000,PCM
2023-09-25,14700,14700,14700,14700,100,PCM
2023-09-26,15500,15500,15500,15500,100,PCM
2023-09-27,13200,17600,13200,17600,400,PCM
2023-10-05,14100,14100,14100,14100,300,PCM
2023-10-06,12500,12500,12500,12500,4300,PCM
2023-10-12,12500,12500,12500,12500,300,PCM
