time,open,high,low,close,volume,ticker
2023-01-03,4900,4900,4900,4900,200,PCT
2023-01-04,4600,5000,4600,5000,21700,PCT
2023-01-05,5200,5200,4800,5100,1500,PCT
2023-01-06,5000,5000,4600,5000,2500,PCT
2023-01-09,4600,4900,4600,4900,900,PCT
2023-01-10,4800,4900,4800,4900,2100,PCT
2023-01-11,4800,4800,4500,4800,10600,PCT
2023-01-12,4800,4800,4800,4800,200,PCT
2023-01-13,4800,4900,4700,4700,900,PCT
2023-01-18,4700,4700,4700,4700,100,PCT
2023-01-19,4700,5100,4700,4900,11700,PCT
2023-01-27,4700,5000,4700,5000,11400,PCT
2023-01-30,4900,5000,4900,4900,3300,PCT
2023-01-31,4900,4900,4700,4900,6200,PCT
2023-02-01,4900,5000,4500,5000,9900,PCT
2023-02-02,5000,5000,5000,5000,1200,PCT
2023-02-03,4900,5000,4800,5000,2600,PCT
2023-02-06,5000,5000,4800,4800,9000,PCT
2023-02-07,4800,4800,4700,4800,5100,PCT
2023-02-08,4800,5000,4800,5000,3300,PCT
2023-02-09,5000,5000,4900,5000,2800,PCT
2023-02-10,5000,5100,5000,5100,2200,PCT
2023-02-13,5000,5000,5000,5000,1100,PCT
2023-02-14,4900,5000,4800,5000,9200,PCT
2023-02-16,4900,5000,4800,5000,5700,PCT
2023-02-17,4900,5000,4900,5000,3100,PCT
2023-02-20,5000,5200,4900,5200,13900,PCT
2023-02-21,5200,5200,5100,5200,9000,PCT
2023-02-22,5200,5200,5100,5100,4800,PCT
2023-02-23,5000,5100,5000,5100,6800,PCT
2023-02-24,5000,5000,5000,5000,1100,PCT
2023-02-27,5000,5000,4800,5000,8400,PCT
2023-02-28,4800,5000,4800,5000,8800,PCT
2023-03-01,5000,5500,5000,5500,9500,PCT
2023-03-02,5800,5900,5700,5900,29700,PCT
2023-03-03,6000,6100,5900,6000,21000,PCT
2023-03-06,6200,6300,6000,6300,15800,PCT
2023-03-07,6400,6700,6400,6700,16400,PCT
2023-03-08,6800,6800,6400,6600,11900,PCT
2023-03-09,6500,6600,6500,6600,300,PCT
2023-03-10,6500,6700,6500,6700,3900,PCT
2023-03-13,6700,6800,6700,6800,7800,PCT
2023-03-14,6800,6900,6800,6900,16400,PCT
2023-03-15,6900,7000,6800,7000,52700,PCT
2023-03-16,6900,7000,6900,6900,5500,PCT
2023-03-17,6800,6900,6800,6900,2300,PCT
2023-03-20,6700,6900,6500,6900,800,PCT
2023-03-21,6800,6900,6800,6900,800,PCT
2023-03-22,6600,6600,6600,6600,200,PCT
2023-03-23,6700,6700,6700,6700,1000,PCT
2023-03-24,6400,6400,6400,6400,100,PCT
2023-03-27,6400,6400,6400,6400,3000,PCT
2023-03-28,6400,6400,6400,6400,600,PCT
2023-03-29,6400,6400,6400,6400,3400,PCT
2023-03-30,6400,6600,6400,6600,900,PCT
2023-03-31,6600,6600,6600,6600,100,PCT
2023-04-03,6500,6500,6500,6500,1200,PCT
2023-04-04,6600,6700,6600,6700,300,PCT
2023-04-05,6800,6900,6800,6900,6900,PCT
2023-04-06,6900,6900,6900,6900,100,PCT
2023-04-07,6700,7300,6700,7300,69800,PCT
2023-04-07,6700,6700,6700,6700,10000,PCT
2023-04-10,7500,8000,7500,8000,61600,PCT
2023-04-11,7900,7900,7500,7600,13400,PCT
2023-04-12,7900,7900,7300,7600,13200,PCT
2023-04-13,7200,7700,6700,6900,26400,PCT
2023-04-14,6700,7000,6700,6800,14500,PCT
2023-04-17,6800,7400,6800,7100,13800,PCT
2023-04-18,7400,7400,7000,7000,7700,PCT
2023-04-19,7500,7500,7500,7500,100,PCT
2023-04-20,6800,6800,6800,6800,1000,PCT
2023-04-21,7000,7000,7000,7000,100,PCT
2023-04-24,6800,6900,6700,6700,1600,PCT
2023-04-25,6700,6700,6700,6700,6700,PCT
2023-04-26,6900,6900,6900,6900,500,PCT
2023-04-27,6700,6700,6700,6700,5100,PCT
2023-04-28,6600,6600,6600,6600,1000,PCT
2023-05-04,6300,6600,6300,6500,3800,PCT
2023-05-05,7100,7100,6800,6800,3400,PCT
2023-05-08,6800,6800,6800,6800,1000,PCT
2023-05-09,6500,7300,6500,7200,5200,PCT
2023-05-11,6700,6700,6700,6700,100,PCT
2023-05-12,7100,7100,7100,7100,100,PCT
2023-05-15,7300,7300,7300,7300,100,PCT
2023-05-16,7600,7800,7600,7700,28900,PCT
2023-05-17,7800,7800,7700,7700,3900,PCT
2023-05-18,8000,8000,7900,8000,19500,PCT
2023-05-19,8000,8000,7700,7700,200,PCT
2023-05-22,7300,8200,7300,7300,10200,PCT
2023-05-23,7600,7600,7600,7600,3600,PCT
2023-05-24,8000,8000,7800,7800,13200,PCT
2023-05-25,7900,8000,7800,7900,22500,PCT
2023-05-26,8000,8100,7900,8000,16700,PCT
2023-05-29,7800,8000,7800,8000,24100,PCT
2023-05-30,8000,8000,7500,8000,3200,PCT
2023-05-31,7700,8000,7700,8000,1100,PCT
2023-06-01,7800,8000,7800,8000,7000,PCT
2023-06-02,8000,8400,8000,8100,14300,PCT
2023-06-05,8100,8100,7400,7400,16800,PCT
2023-06-06,7400,7800,7400,7800,3700,PCT
2023-06-07,7800,7800,7500,7700,3000,PCT
2023-06-12,7500,7500,7300,7500,1500,PCT
2023-06-13,7500,7600,7500,7600,1700,PCT
2023-06-14,7200,7200,7200,7200,1100,PCT
2023-06-15,7300,7300,7000,7000,7200,PCT
2023-06-16,7000,7500,7000,7400,6500,PCT
2023-06-20,6800,7700,6800,7300,10900,PCT
2023-06-21,7300,7300,7300,7300,3100,PCT
2023-06-22,7000,7300,7000,7300,2500,PCT
2023-06-23,7300,7300,7300,7300,1800,PCT
2023-06-26,7500,7500,7500,7500,100,PCT
2023-06-27,7600,7700,7300,7700,3100,PCT
2023-06-28,7600,7600,7300,7300,4200,PCT
2023-06-29,7000,7500,6900,7500,3000,PCT
2023-07-04,7000,7700,7000,7700,2400,PCT
2023-07-05,7100,7200,7100,7200,10200,PCT
2023-07-06,7700,7700,7400,7400,500,PCT
2023-07-07,8100,8100,7600,7600,300,PCT
2023-07-10,7500,7600,7100,7300,5600,PCT
2023-07-11,7300,7500,7200,7300,8300,PCT
2023-07-12,7400,7500,7300,7500,22000,PCT
2023-07-13,7500,7600,7300,7600,4200,PCT
2023-07-14,7300,7600,7300,7500,26800,PCT
2023-07-17,7500,8000,7500,7800,22400,PCT
2023-07-18,7800,7800,7700,7800,3500,PCT
2023-07-19,7800,7900,7600,7600,8400,PCT
2023-07-20,7500,7600,7500,7600,3700,PCT
2023-07-21,7600,7800,7600,7700,22700,PCT
2023-07-24,7900,8000,7500,7600,20700,PCT
2023-07-25,7600,7700,7500,7700,7800,PCT
2023-07-26,7700,7800,7500,7700,11000,PCT
2023-07-27,7600,7700,7600,7700,4500,PCT
2023-07-28,7800,7800,7500,7700,13900,PCT
2023-07-31,7700,7800,7400,7700,30000,PCT
2023-08-01,7700,7700,7500,7600,8600,PCT
2023-08-02,7500,7600,7500,7600,7700,PCT
2023-08-03,7700,8000,7600,7600,2700,PCT
2023-08-04,7600,7700,7400,7700,6500,PCT
2023-08-07,8000,8000,7600,7700,12300,PCT
2023-08-08,7600,7700,7500,7700,12700,PCT
2023-08-09,8400,8400,7600,7700,35600,PCT
2023-08-10,7800,7800,7600,7600,15000,PCT
2023-08-11,7700,7700,7500,7600,20000,PCT
2023-08-14,7600,7600,7500,7600,15700,PCT
2023-08-15,7500,7500,7400,7500,13900,PCT
2023-08-16,7500,7600,7500,7600,6400,PCT
2023-08-18,7500,7600,7500,7500,26700,PCT
2023-08-21,7600,8200,7300,7500,1200,PCT
2023-08-22,7500,7500,7300,7500,7900,PCT
2023-08-23,8100,8100,7400,7700,15800,PCT
2023-08-24,7500,7600,7500,7600,4200,PCT
2023-08-25,7400,7500,7400,7500,4200,PCT
2023-08-28,7700,7700,7500,7500,700,PCT
2023-08-29,7600,7600,7400,7400,2500,PCT
