time,open,high,low,close,volume,ticker
2023-01-03,4400,4700,4000,4300,7600,PDC
2023-01-04,4600,4600,4600,4600,2000,PDC
2023-01-06,4400,4600,4400,4600,500,PDC
2023-01-09,4400,4400,4300,4300,2400,PDC
2023-01-10,4900,4900,4900,4900,100,PDC
2023-01-12,4200,4400,4200,4200,20200,PDC
2023-01-13,4200,4600,4200,4600,1200,PDC
2023-01-16,4200,4500,4200,4500,400,PDC
2023-01-17,4400,4500,4400,4500,300,PDC
2023-01-18,4700,4700,4700,4700,800,PDC
2023-01-19,4500,4500,4400,4400,400,PDC
2023-01-27,4600,4600,4600,4600,100,PDC
2023-01-30,4600,4700,4500,4600,8600,PDC
2023-01-31,4600,4600,4400,4600,1800,PDC
2023-02-01,4500,4700,4400,4600,2700,PDC
2023-02-02,4300,4500,4300,4500,400,PDC
2023-02-03,4500,4500,4200,4200,600,PDC
2023-02-06,4300,4300,4300,4300,200,PDC
2023-02-07,4400,4400,4300,4400,7400,PDC
2023-02-08,4300,4500,4300,4500,600,PDC
2023-02-09,4600,4600,4600,4600,2600,PDC
2023-02-13,4600,4600,4100,4200,3100,PDC
2023-02-14,4200,4400,4200,4400,900,PDC
2023-02-15,4400,4400,4100,4200,3800,PDC
2023-02-16,4100,4100,4100,4100,2500,PDC
2023-02-17,4000,4300,3800,3900,1800,PDC
2023-02-20,4300,4300,4300,4300,1200,PDC
2023-02-21,4300,4400,4300,4300,600,PDC
2023-02-22,4300,4300,4000,4100,10500,PDC
2023-02-23,3900,3900,3900,3900,600,PDC
2023-02-24,4300,4300,3900,4200,1300,PDC
2023-02-27,4200,4200,4200,4200,600,PDC
2023-02-28,4200,4400,4000,4000,3500,PDC
2023-03-01,3900,4300,3900,4300,1100,PDC
2023-03-02,4000,4300,4000,4200,2200,PDC
2023-03-03,4200,4200,3900,3900,8700,PDC
2023-03-06,4200,4500,4000,4000,12800,PDC
2023-03-07,4300,4300,4100,4200,11900,PDC
2023-03-08,4000,4000,4000,4000,3400,PDC
2023-03-09,4100,4600,4100,4600,44800,PDC
2023-03-10,5100,5100,5100,5100,39700,PDC
2023-03-13,5800,5800,4600,5100,75800,PDC
2023-03-14,6000,6000,4700,5100,9900,PDC
2023-03-15,5200,5300,4900,5300,19500,PDC
2023-03-16,5100,5200,4800,4800,4100,PDC
2023-03-17,5000,5000,4700,4800,23400,PDC
2023-03-20,5000,5100,4300,4300,13200,PDC
2023-03-21,5100,5100,4800,4900,2300,PDC
2023-03-22,4600,4600,4600,4600,100,PDC
2023-03-23,4800,4800,4800,4800,100,PDC
2023-03-24,5000,5000,5000,5000,100,PDC
2023-03-27,4600,4600,4600,4600,100,PDC
2023-03-28,4900,4900,4900,4900,100,PDC
2023-03-29,4600,4600,4600,4600,100,PDC
2023-03-30,4900,4900,4900,4900,100,PDC
2023-03-31,4900,4900,4900,4900,100,PDC
2023-04-03,4800,4800,4800,4800,100,PDC
2023-04-04,4800,4800,4800,4800,100,PDC
2023-04-05,5000,5100,5000,5100,1700,PDC
2023-04-06,5700,5700,5700,5700,100,PDC
2023-04-07,5500,5500,5000,5200,2000,PDC
2023-04-07,5500,5500,5500,5500,100,PDC
2023-04-10,5200,5400,5200,5300,2000,PDC
2023-04-11,5400,5400,5400,5400,100,PDC
2023-04-12,5000,5200,5000,5200,200,PDC
2023-04-13,4800,4800,4800,4800,2800,PDC
2023-04-14,5200,5200,5100,5100,300,PDC
2023-04-17,5000,5400,5000,5400,2300,PDC
2023-04-18,5400,5400,5000,5000,300,PDC
2023-04-19,5300,5300,5200,5300,700,PDC
2023-04-20,5300,5300,5000,5200,1800,PDC
2023-04-21,5700,5700,5300,5300,200,PDC
2023-04-24,5200,5200,4900,4900,6600,PDC
2023-04-25,5300,5300,5300,5300,100,PDC
2023-04-26,5000,5200,5000,5000,2700,PDC
2023-04-27,4900,4900,4700,4700,1400,PDC
2023-04-28,5200,5200,4800,5000,2000,PDC
2023-05-04,5000,5000,4900,4900,200,PDC
2023-05-05,5000,5000,4900,4900,5300,PDC
2023-05-08,5100,5100,5100,5100,100,PDC
2023-05-09,5000,5000,4800,4800,5000,PDC
2023-05-10,4800,4800,4800,4800,2400,PDC
2023-05-11,4900,4900,4900,4900,800,PDC
2023-05-12,4900,4900,4900,4900,2300,PDC
2023-05-15,4900,5100,4900,5000,18900,PDC
2023-05-16,4900,5000,4900,4900,4400,PDC
2023-05-17,4900,4900,4900,4900,1000,PDC
2023-05-18,4900,4900,4900,4900,300,PDC
