time,open,high,low,close,volume,ticker
2023-01-03,63960,68780,63960,68730,300,PDN
2023-01-11,73450,73500,68780,68780,300,PDN
2023-01-12,73550,73550,68830,68830,1200,PDN
2023-01-13,73260,73650,68880,68880,2200,PDN
2023-01-17,73700,73700,64160,64160,300,PDN
2023-01-18,60030,68630,60030,68630,3100,PDN
2023-01-19,63960,73400,63960,66910,2700,PDN
2023-01-30,68830,71580,68830,71580,1500,PDN
2023-02-01,71540,71540,68340,68340,300,PDN
2023-02-07,73110,73110,68290,68340,7000,PDN
2023-02-10,69570,69570,69570,69570,400,PDN
2023-02-13,66420,66420,66420,66420,100,PDN
2023-02-14,71040,71040,71040,71040,100,PDN
2023-02-15,66080,66080,66080,66080,100,PDN
2023-02-17,70700,70700,62000,62000,200,PDN
2023-02-20,66320,66320,66320,66320,300,PDN
2023-02-21,70950,70950,66910,68830,500,PDN
2023-02-22,73650,73650,68830,68830,1600,PDN
2023-02-23,73650,73650,65489,65489,300,PDN
2023-02-27,70060,70060,70060,70060,100,PDN
2023-02-28,65290,65290,65290,65290,100,PDN
2023-03-01,69810,69810,69810,69810,100,PDN
2023-03-03,71290,71290,71290,71290,100,PDN
2023-03-06,71290,71290,67900,67900,2100,PDN
2023-03-08,71290,71290,63230,63230,2100,PDN
2023-03-21,67650,67650,67650,67650,100,PDN
2023-03-22,72320,72370,72320,72370,800,PDN
2023-03-23,71580,71580,71580,71580,100,PDN
2023-03-24,66720,66720,66720,66720,100,PDN
2023-03-27,71340,71340,71340,71340,200,PDN
2023-03-29,75760,75760,75760,75760,100,PDN
2023-04-03,74730,74730,74730,74730,100,PDN
2023-04-04,73750,73750,73750,73750,500,PDN
2023-04-21,77680,77680,68590,68590,200,PDN
2023-04-24,73350,73350,73350,73350,3000,PDN
2023-04-25,66820,68830,66820,68830,200,PDN
2023-05-10,77780,77880,67900,67900,500,PDN
2023-05-12,72270,72270,72270,72270,100,PDN
2023-05-16,77190,77190,77190,77190,100,PDN
2023-05-18,77190,77190,77190,77190,100,PDN
2023-05-22,78660,78660,78660,78660,100,PDN
2023-05-25,77680,77680,73260,73260,300,PDN
2023-05-26,78170,78170,78170,78170,100,PDN
2023-05-30,73800,73800,73800,73800,100,PDN
2023-06-02,77680,77680,77680,77680,100,PDN
2023-06-06,82600,82600,82600,82600,100,PDN
2023-06-12,88350,88350,88350,88350,100,PDN
2023-06-15,88500,94500,88500,94500,600,PDN
2023-06-16,94700,94700,94700,94700,100,PDN
2023-06-20,101300,101300,101300,101300,400,PDN
2023-06-21,108300,108300,108300,108300,500,PDN
2023-06-22,115800,115800,115800,115800,2400,PDN
2023-06-23,123900,123900,116100,116100,1100,PDN
2023-06-26,120000,124200,120000,124200,200,PDN
2023-06-27,130000,132800,130000,132800,900,PDN
2023-06-28,132800,132800,132800,132800,100,PDN
2023-06-29,132000,132000,132000,132000,100,PDN
2023-06-30,123000,123000,123000,123000,700,PDN
2023-07-03,115000,127000,114400,127000,800,PDN
2023-07-04,134000,135800,120000,120200,3400,PDN
2023-07-05,128500,128600,120900,121100,1400,PDN
2023-07-06,125000,129500,122200,125000,700,PDN
2023-07-07,129000,129000,129000,129000,500,PDN
2023-07-10,132000,132000,132000,132000,100,PDN
2023-07-13,132000,141000,124600,125600,1500,PDN
2023-07-14,134200,134200,128600,130600,1200,PDN
2023-07-17,139000,139700,128600,128600,700,PDN
2023-07-18,129000,137600,128100,128100,400,PDN
2023-07-19,136500,137000,128600,130100,1200,PDN
2023-07-20,139000,139100,129100,132100,1200,PDN
2023-07-21,141000,141300,130100,135000,500,PDN
2023-07-24,133000,133500,132500,132500,2200,PDN
2023-07-25,141600,141700,126200,141500,3200,PDN
2023-07-26,133100,151400,132000,133600,7200,PDN
2023-07-27,130000,142900,130000,130600,4300,PDN
2023-07-28,139700,139700,139700,139700,300,PDN
2023-08-01,139000,139700,136100,136100,10500,PDN
2023-08-02,131100,136100,131100,136100,2300,PDN
2023-08-03,136100,136100,131100,131100,5100,PDN
2023-08-04,131100,131100,130000,130000,200,PDN
2023-08-09,125000,125000,125000,125000,100,PDN
2023-08-10,128500,128500,128500,128500,500,PDN
2023-08-11,125000,125000,125000,125000,100,PDN
2023-08-14,125000,126000,125000,125000,2000,PDN
2023-08-15,125000,125000,125000,125000,500,PDN
2023-08-21,121000,121000,121000,121000,100,PDN
2023-08-22,120000,120000,120000,120000,100,PDN
2023-08-23,120000,120000,120000,120000,200,PDN
2023-08-24,119800,119800,119800,119800,100,PDN
2023-08-25,116100,116100,116100,116100,100,PDN
2023-08-28,111000,116900,111000,116900,600,PDN
2023-08-29,118000,118000,118000,118000,100,PDN
2023-09-05,118000,118000,118000,118000,100,PDN
2023-09-06,118000,118000,118000,118000,100,PDN
2023-09-07,115000,115000,114000,114000,200,PDN
2023-09-08,117400,117400,117400,117400,100,PDN
2023-09-12,115000,115000,115000,115000,300,PDN
2023-09-13,115000,115000,115000,115000,100,PDN
2023-09-14,115000,115000,115000,115000,300,PDN
2023-09-15,115000,115000,115000,115000,300,PDN
2023-09-22,110000,114900,110000,114900,300,PDN
2023-09-27,111000,111000,111000,111000,100,PDN
2023-09-28,112000,112000,112000,112000,100,PDN
2023-09-29,110500,110500,110500,110500,700,PDN
2023-10-03,110500,110500,103000,110400,300,PDN
2023-10-05,109000,109900,109000,109000,500,PDN
2023-10-09,109000,109000,109000,109000,300,PDN
2023-10-10,109000,109000,109000,109000,100,PDN
2023-10-12,109000,109000,109000,109000,500,PDN
