time,open,high,low,close,volume,ticker
2023-01-03,2500,2900,2500,2900,296600,PFL
2023-01-04,2900,3100,2900,3000,202600,PFL
2023-01-05,3000,3000,2800,2900,143000,PFL
2023-01-06,2900,2900,2700,2900,148900,PFL
2023-01-09,2800,2900,2800,2900,97600,PFL
2023-01-10,2800,3200,2700,3000,619000,PFL
2023-01-11,3100,3200,2900,3000,127800,PFL
2023-01-12,3100,3100,2800,2900,127200,PFL
2023-01-13,3000,3000,2800,3000,135300,PFL
2023-01-16,2900,3000,2800,3000,86500,PFL
2023-01-17,2900,3000,2800,3000,173300,PFL
2023-01-18,2900,3000,2800,2900,306800,PFL
2023-01-19,2900,3000,2800,3000,305900,PFL
2023-01-27,3000,3200,3000,3100,285700,PFL
2023-01-30,3100,3400,3000,3400,679200,PFL
2023-01-31,3400,3500,3100,3500,315700,PFL
2023-02-01,3400,3600,3200,3300,507000,PFL
2023-02-02,3300,3300,3100,3200,224000,PFL
2023-02-03,3300,3300,3100,3200,104700,PFL
2023-02-06,3100,3200,3000,3200,181400,PFL
2023-02-07,3200,3200,2900,3000,327700,PFL
2023-02-08,3000,3100,2900,3000,205800,PFL
2023-02-09,3000,3100,3000,3000,121300,PFL
2023-02-10,3100,3100,2900,2900,154100,PFL
2023-02-13,3000,3000,2800,2900,285100,PFL
2023-02-14,2900,2900,2700,2900,96600,PFL
2023-02-15,2800,3000,2800,3000,133800,PFL
2023-02-16,3000,3100,2900,3000,201000,PFL
2023-02-17,3100,3100,2900,3000,96100,PFL
2023-02-20,3000,3200,3000,3100,350300,PFL
2023-02-21,3100,3200,3000,3100,324400,PFL
2023-02-22,3000,3400,3000,3100,428200,PFL
2023-02-23,3000,3100,2900,3100,141300,PFL
2023-02-24,3100,3200,3000,3100,311800,PFL
2023-02-27,3000,3100,2900,3000,124200,PFL
2023-02-28,3100,3100,2900,3000,68600,PFL
2023-03-01,2900,3100,2900,3100,206100,PFL
2023-03-02,3100,3100,3000,3000,138700,PFL
2023-03-03,3000,3000,2900,3000,130800,PFL
2023-03-06,3000,3100,2900,3100,199900,PFL
2023-03-07,3000,3100,2900,3100,130600,PFL
2023-03-08,3100,3100,2900,3000,110300,PFL
2023-03-09,3000,3100,2900,3000,94300,PFL
2023-03-10,3000,3000,2900,2900,172400,PFL
2023-03-13,2900,3000,2800,3000,113100,PFL
2023-03-14,2900,2900,2800,2800,197500,PFL
2023-03-15,2800,3000,2800,2900,253000,PFL
