time,open,high,low,close,volume,ticker
2023-01-03,16490,16490,15700,15900,5500,PGC
2023-01-04,16390,16390,16000,16000,3800,PGC
2023-01-05,16290,16290,16000,16000,1000,PGC
2023-01-06,15750,15750,15510,15510,10400,PGC
2023-01-09,15510,15510,15510,15510,1100,PGC
2023-01-10,15110,16000,15110,16000,2800,PGC
2023-01-11,15700,15700,15610,15650,4300,PGC
2023-01-12,15510,15650,15410,15560,1800,PGC
2023-01-13,15210,15610,15210,15610,1000,PGC
2023-01-16,15610,15650,15610,15650,4100,PGC
2023-01-17,15650,15650,15650,15650,2200,PGC
2023-01-18,15650,15800,15510,15800,6300,PGC
2023-01-19,15750,16050,15700,15700,4400,PGC
2023-01-27,16490,16490,15850,15900,3100,PGC
2023-01-30,15900,15900,15800,15900,11400,PGC
2023-01-31,15700,15850,15700,15850,10800,PGC
2023-02-01,16100,16100,15750,15950,4700,PGC
2023-02-02,15950,15950,15700,15700,5100,PGC
2023-02-03,15700,15700,15700,15700,1300,PGC
2023-02-06,15700,15900,15700,15700,3400,PGC
2023-02-07,15700,15700,15510,15510,4100,PGC
2023-02-09,15700,15800,15700,15700,1500,PGC
2023-02-10,15700,15850,15410,15850,1400,PGC
2023-02-13,15850,15850,15850,15850,100,PGC
2023-02-15,15020,16290,15020,15310,11100,PGC
2023-02-16,15310,15700,15310,15700,1500,PGC
2023-02-17,15110,15700,15020,15310,2300,PGC
2023-02-20,16100,16290,15700,15700,2600,PGC
2023-02-21,15700,15800,15700,15800,3200,PGC
2023-02-22,15700,15700,15560,15700,10200,PGC
2023-02-23,15610,15610,15410,15410,2200,PGC
2023-02-24,15950,15950,15700,15700,2500,PGC
2023-02-27,15510,15510,15510,15510,300,PGC
2023-02-28,15410,15510,15310,15510,1200,PGC
2023-03-01,15850,15850,15850,15850,100,PGC
2023-03-02,15510,15900,15510,15800,2100,PGC
2023-03-03,15800,15800,15700,15700,1600,PGC
2023-03-06,15700,15700,15700,15700,4300,PGC
2023-03-07,15700,15700,15650,15650,1100,PGC
2023-03-08,15650,15650,15650,15650,600,PGC
2023-03-09,15510,15510,15510,15510,1000,PGC
2023-03-10,15410,15510,15410,15510,800,PGC
2023-03-13,15850,15850,15510,15510,5300,PGC
2023-03-14,15510,15800,15510,15800,400,PGC
