time,open,high,low,close,volume,ticker
2023-01-03,17800,17800,17230,17510,17300,PGV
2023-01-04,18320,18610,17510,18080,6400,PGV
2023-01-05,17990,18080,17180,18080,16800,PGV
2023-01-06,18080,18460,17610,18080,17800,PGV
2023-01-09,17560,18270,17510,18080,1700,PGV
2023-01-10,18700,18700,17610,18080,1600,PGV
2023-01-11,18030,18030,17940,17940,500,PGV
2023-01-12,17130,18080,17130,17840,3800,PGV
2023-01-13,17940,17940,17130,17840,3700,PGV
2023-01-16,17270,17800,17270,17800,300,PGV
2023-01-17,17610,17750,17230,17700,4100,PGV
2023-01-18,17750,17750,17610,17610,1500,PGV
2023-01-19,18080,18080,18080,18080,100,PGV
2023-01-27,17840,18990,17560,18800,3800,PGV
2023-01-31,18650,18650,17800,18080,6800,PGV
2023-02-01,18080,18270,17800,17890,2700,PGV
2023-02-02,18080,18080,17610,17800,5200,PGV
2023-02-03,17800,17940,17610,17890,6500,PGV
2023-02-06,17700,17990,17650,17650,3600,PGV
2023-02-07,17990,17990,17510,17510,4600,PGV
2023-02-08,17510,18560,17510,18270,40700,PGV
2023-02-09,18890,18940,17890,18320,8800,PGV
2023-02-10,18560,18560,17610,18130,10900,PGV
2023-02-13,18840,18840,17560,18370,1100,PGV
2023-02-14,18650,18650,17510,18030,4400,PGV
2023-02-15,18080,18080,17420,17420,7200,PGV
2023-02-16,17420,18130,17420,17460,1900,PGV
2023-02-17,17750,17940,17610,17890,3500,PGV
2023-02-20,17890,17990,17610,17650,8800,PGV
2023-02-21,18130,18560,17650,18370,21700,PGV
2023-02-22,17840,18270,17840,18270,700,PGV
2023-02-23,17700,17990,17510,17890,10700,PGV
2023-02-24,17650,17700,17510,17610,5900,PGV
2023-02-27,17990,17990,17610,17800,1200,PGV
2023-02-28,17800,17990,17650,17840,4500,PGV
2023-03-01,17650,17800,17460,17800,4700,PGV
2023-03-02,17610,17890,17460,17840,2200,PGV
2023-03-03,18080,18080,17460,17750,1000,PGV
2023-03-06,17750,17990,17750,17990,300,PGV
2023-03-07,17940,17940,17940,17940,200,PGV
2023-03-08,17510,17940,17420,17940,2400,PGV
2023-03-09,17650,17940,17650,17940,5700,PGV
2023-03-10,17650,17940,17650,17940,400,PGV
2023-03-13,17560,17940,17560,17940,1100,PGV
2023-03-14,17890,17940,17510,17510,6300,PGV
2023-03-15,17990,17990,17460,17610,67800,PGV
2023-03-16,17420,17510,17420,17460,2700,PGV
2023-03-17,17420,17650,17420,17560,3800,PGV
2023-03-20,17560,17560,17460,17460,1100,PGV
2023-03-21,17510,17510,17420,17460,2700,PGV
2023-03-22,17510,17510,17510,17510,2000,PGV
2023-03-23,17510,17510,17460,17460,5200,PGV
2023-03-24,17510,17510,17510,17510,1000,PGV
2023-03-27,17510,17510,17510,17510,100,PGV
2023-03-28,17650,17650,17610,17610,3300,PGV
2023-03-29,17800,17800,17800,17800,1500,PGV
2023-03-30,17890,17940,17890,17940,200,PGV
2023-03-31,17610,17610,17560,17560,700,PGV
2023-04-03,17650,17650,17650,17650,100,PGV
2023-04-04,17700,17700,17700,17700,200,PGV
2023-04-05,17700,17700,17700,17700,100,PGV
2023-04-06,17560,17560,17560,17560,6000,PGV
2023-04-07,17610,17840,17610,17840,200,PGV
2023-04-10,17610,17800,17610,17800,13100,PGV
2023-04-11,17890,17890,17890,17890,1000,PGV
2023-04-12,18080,18510,17940,18510,8200,PGV
2023-04-13,18510,18940,18220,18220,900,PGV
2023-04-14,18370,18460,18320,18460,500,PGV
2023-04-17,18510,18510,18180,18180,5700,PGV
2023-04-18,18370,18370,18080,18080,3300,PGV
2023-04-19,18270,18270,17800,18080,700,PGV
2023-04-20,17800,18370,17610,18370,21700,PGV
2023-04-21,18800,18890,17940,18320,2400,PGV
2023-04-24,17990,17990,17990,17990,500,PGV
2023-04-25,18560,18560,17700,17750,3300,PGV
2023-04-26,18560,18560,17510,17510,200,PGV
2023-04-27,18030,18510,17890,17890,1000,PGV
2023-04-28,18700,18700,18320,18560,1900,PGV
2023-05-04,18610,18610,18080,18370,6100,PGV
2023-05-05,18940,19980,18940,19980,57300,PGV
2023-05-08,20840,21270,20790,21270,110100,PGV
2023-05-09,22270,22270,21030,21270,43700,PGV
2023-05-10,21940,21940,21270,21460,12300,PGV
2023-05-11,21700,22840,21220,21460,21100,PGV
2023-05-12,21170,21890,21080,21360,6600,PGV
2023-05-15,22840,23410,22080,22080,33300,PGV
2023-05-16,21600,22270,21410,21460,23400,PGV
2023-05-17,22320,22320,21560,21600,17100,PGV
2023-05-18,21790,21890,21410,21790,17500,PGV
2023-05-19,22080,22080,21650,21790,15100,PGV
2023-05-22,22170,22740,22170,22550,43100,PGV
2023-05-23,23220,23790,23030,23790,59700,PGV
2023-05-24,23980,24700,23790,23840,60500,PGV
2023-05-25,24460,24460,22940,23600,63700,PGV
2023-05-26,23510,24120,22740,23980,74800,PGV
2023-05-29,23890,23890,23220,23700,19600,PGV
2023-05-30,23700,23700,23030,23030,17100,PGV
2023-05-31,23510,23600,23080,23550,34400,PGV
2023-06-01,23320,24360,23270,23270,12000,PGV
2023-06-02,23320,23790,22740,23460,79600,PGV
2023-06-05,23700,24080,23320,23980,148500,PGV
2023-06-06,24220,25650,24080,24080,27300,PGV
2023-06-07,25170,25170,23790,24080,48800,PGV
2023-06-08,23790,24600,23220,23270,30200,PGV
2023-06-09,23700,23700,22890,23270,8100,PGV
2023-06-12,23080,24700,23080,23650,13700,PGV
