time,open,high,low,close,volume,ticker
2023-01-03,24160,24160,24160,24160,100,PIA
2023-01-04,22030,22030,22030,22030,100,PIA
2023-01-09,24070,24070,24070,24070,100,PIA
2023-01-10,22030,25930,22030,25930,200,PIA
2023-01-13,23420,23420,23420,23420,200,PIA
2023-01-16,21370,21370,21370,21370,100,PIA
2023-01-18,22300,22300,22300,22300,100,PIA
2023-01-19,23510,23510,23510,23510,100,PIA
2023-01-27,21470,21470,21470,21470,100,PIA
2023-02-14,23600,23600,23600,23600,100,PIA
2023-02-15,21560,25840,21560,25840,200,PIA
2023-02-16,23330,27230,23330,27230,200,PIA
2023-02-17,24530,24530,24530,24530,100,PIA
2023-02-20,22210,22210,22210,22210,100,PIA
2023-02-28,24160,24160,24160,24160,300,PIA
2023-03-01,21930,25930,21930,25930,200,PIA
2023-03-02,23420,23420,23420,23420,100,PIA
2023-03-03,23420,23420,23420,23420,100,PIA
2023-03-06,21840,21840,21840,21840,100,PIA
2023-03-07,23980,23980,23980,23980,100,PIA
2023-03-09,22030,22030,22030,22030,100,PIA
2023-03-28,24160,24160,24160,24160,100,PIA
2023-04-10,25460,25460,25460,25460,200,PIA
2023-04-11,22950,22950,22950,22950,100,PIA
2023-04-14,24630,24630,24630,24630,300,PIA
2023-04-17,22300,22300,22300,22300,100,PIA
2023-04-18,22300,22300,22300,22300,500,PIA
2023-04-20,24160,24160,24160,24160,1400,PIA
2023-04-21,22030,22030,22030,22030,100,PIA
2023-04-25,24160,24160,24160,24160,300,PIA
2023-04-26,22400,22400,22400,22400,100,PIA
2023-04-27,22400,22400,22400,22400,100,PIA
2023-04-28,22400,22400,22400,22400,100,PIA
2023-05-04,24160,24160,24160,24160,100,PIA
2023-05-05,24630,24720,24630,24720,4900,PIA
2023-05-09,24630,24630,24630,24630,2000,PIA
2023-05-10,25090,26020,25090,25090,2200,PIA
2023-05-17,26020,26020,26020,26020,200,PIA
2023-05-22,23880,23880,23880,23880,100,PIA
2023-05-24,22300,22300,22300,22300,100,PIA
2023-05-26,24530,24530,22860,22860,1200,PIA
2023-06-06,23420,25000,23420,25000,1500,PIA
2023-06-08,24260,24260,24160,24160,700,PIA
2023-06-09,23230,23230,23230,23230,100,PIA
2023-06-12,24630,24630,24630,24630,100,PIA
2023-06-13,24630,24630,24630,24630,500,PIA
2023-06-23,23230,23230,23230,23230,100,PIA
2023-06-29,20910,25000,20910,25000,200,PIA
2023-07-03,23510,23510,23510,23510,100,PIA
2023-07-04,24160,24160,24160,24160,100,PIA
2023-07-06,24630,25090,24630,25090,500,PIA
2023-07-10,22860,23980,22860,23980,200,PIA
2023-07-11,25000,25000,24910,24910,200,PIA
2023-07-12,23790,23790,23790,23790,100,PIA
2023-07-13,25000,25000,25000,25000,200,PIA
2023-07-14,23980,23980,23980,23980,300,PIA
2023-07-17,26110,26300,26110,26300,400,PIA
2023-07-18,28400,28600,28400,28600,300,PIA
2023-07-20,28600,28600,28600,28600,200,PIA
2023-07-27,25800,25800,25800,25800,100,PIA
2023-07-28,28300,28300,28300,28300,200,PIA
2023-07-31,25500,25500,25500,25500,100,PIA
2023-08-02,26100,26100,26100,26100,100,PIA
2023-08-03,26300,26300,26300,26300,500,PIA
2023-08-07,28800,28800,28800,28800,200,PIA
2023-08-08,26000,29400,26000,29400,1100,PIA
2023-08-09,30000,30000,30000,30000,100,PIA
2023-08-10,27000,31000,27000,31000,200,PIA
2023-08-11,27900,27900,27900,27900,100,PIA
2023-08-18,26200,26200,26200,26200,300,PIA
2023-08-21,28800,28800,28800,28800,200,PIA
2023-08-22,26000,26000,26000,26000,100,PIA
2023-08-23,27600,28600,27600,28600,200,PIA
2023-08-29,25800,25800,25800,25800,100,PIA
2023-09-07,26100,26100,26100,26100,100,PIA
2023-09-08,28200,28200,28100,28100,600,PIA
2023-09-11,25300,28600,25300,28600,500,PIA
2023-09-12,25800,31400,25800,31400,200,PIA
2023-09-13,28300,28300,28300,28300,100,PIA
2023-09-15,25700,31100,25700,31100,200,PIA
2023-09-18,28000,28000,28000,28000,100,PIA
2023-09-20,25600,28600,25600,28600,200,PIA
2023-09-21,26200,28600,26200,28600,200,PIA
2023-09-22,26200,28500,26200,28500,200,PIA
2023-09-25,26100,26100,26100,26100,100,PIA
2023-09-29,24800,24800,24800,24800,100,PIA
2023-10-02,27000,27000,27000,27000,500,PIA
2023-10-04,25100,25100,25100,25100,100,PIA
2023-10-06,27000,27000,27000,27000,100,PIA
2023-10-09,25200,25200,25200,25200,100,PIA
2023-10-10,27000,27700,27000,27700,400,PIA
2023-10-11,25600,25600,25600,25600,100,PIA
