time,open,high,low,close,volume,ticker
2023-01-11,21620,21620,21620,21620,100,PJC
2023-01-12,22090,22090,22090,22090,4100,PJC
2023-01-16,21620,21620,21620,21620,4200,PJC
2023-01-17,19740,19740,19740,19740,100,PJC
2023-01-19,21620,21620,21620,21620,200,PJC
2023-02-02,21620,21620,21620,21620,2500,PJC
2023-02-08,23780,23780,23780,23780,100,PJC
2023-02-09,23500,23500,23500,23500,2900,PJC
2023-02-14,21620,21620,21620,21620,300,PJC
2023-02-15,21620,21620,21620,21620,100,PJC
2023-02-20,21620,21620,21620,21620,100,PJC
2023-02-22,21620,21620,21620,21620,200,PJC
2023-02-27,21620,21620,21620,21620,300,PJC
2023-02-28,23500,23500,23500,23500,1200,PJC
2023-03-21,21200,21200,21200,21200,800,PJC
2023-03-23,23300,23300,23300,23300,100,PJC
2023-03-27,23000,23000,23000,23000,200,PJC
2023-03-28,26000,26000,26000,26000,6000,PJC
2023-04-07,26000,26000,26000,26000,1000,PJC
2023-04-10,26000,26000,26000,26000,4500,PJC
2023-04-11,26000,26000,26000,26000,400,PJC
2023-04-17,23400,23400,23400,23400,100,PJC
2023-05-04,21200,21200,21200,21200,200,PJC
2023-05-05,22000,22000,21200,21300,4000,PJC
2023-05-09,20000,20000,20000,20000,500,PJC
2023-05-10,21800,21800,21800,21800,2000,PJC
2023-05-11,22900,22900,22900,22900,100,PJC
2023-05-12,25100,25100,25100,25100,2100,PJC
2023-05-15,22000,22000,22000,22000,1000,PJC
2023-05-16,21900,21900,21900,21900,500,PJC
2023-05-17,20100,20900,20100,20800,3500,PJC
2023-05-19,24600,24600,22400,22400,200,PJC
2023-05-24,23800,23800,23800,23800,100,PJC
2023-05-25,21500,22000,21500,22000,6200,PJC
2023-06-01,20400,20400,20400,20400,100,PJC
2023-06-08,18600,21000,18600,21000,900,PJC
2023-06-19,20100,20100,20100,20100,100,PJC
2023-06-20,18300,22100,18300,22100,16900,PJC
2023-06-28,20000,20000,20000,20000,100,PJC
2023-06-29,18700,18700,18700,18700,100,PJC
2023-06-30,20500,20500,20500,20500,100,PJC
2023-07-03,20600,22400,20500,22400,1600,PJC
2023-07-06,20700,22300,20700,22200,2000,PJC
2023-07-17,20100,20100,20000,20000,3000,PJC
2023-07-19,21000,21000,21000,21000,300,PJC
2023-07-20,23000,23000,23000,23000,2500,PJC
2023-07-24,24000,24000,24000,24000,2200,PJC
2023-07-25,24000,24000,24000,24000,200,PJC
2023-08-22,24000,24000,24000,24000,100,PJC
2023-08-23,23000,23000,23000,23000,200,PJC
2023-08-24,23000,23500,23000,23500,300,PJC
2023-08-28,24000,24000,24000,24000,600,PJC
2023-08-29,22100,22100,22100,22100,500,PJC
2023-08-31,22200,22200,22200,22200,100,PJC
2023-09-08,22200,22500,22200,22500,2200,PJC
2023-09-11,20300,20300,20300,20300,100,PJC
2023-09-18,19100,21000,19100,21000,200,PJC
2023-09-19,23000,23000,23000,23000,100,PJC
2023-09-22,24000,24000,24000,24000,100,PJC
2023-10-06,21700,21700,21700,21700,100,PJC
2023-10-13,23800,23800,23800,23800,500,PJC
