time,open,high,low,close,volume,ticker
2023-01-03,77760,80640,77760,77760,700,PMC
2023-01-04,75840,75840,74880,74880,500,PMC
2023-01-05,72960,72960,67970,67970,200,PMC
2023-01-06,63360,63360,63360,63360,700,PMC
2023-01-10,67100,67100,64420,64420,8100,PMC
2023-01-11,70560,70560,70560,70560,300,PMC
2023-01-12,65280,65280,65280,65280,100,PMC
2023-01-13,68160,68160,68160,68160,100,PMC
2023-01-19,65470,65470,65470,65470,100,PMC
2023-02-01,65570,69120,63360,63840,3500,PMC
2023-02-03,63940,63940,63940,63940,5800,PMC
2023-02-06,69600,69600,64319,64319,1100,PMC
2023-02-07,67200,67200,64519,64519,1400,PMC
2023-02-13,64800,65379,64800,65379,400,PMC
2023-02-15,65470,65470,65470,65470,300,PMC
2023-02-16,69690,69690,66050,66050,1200,PMC
2023-02-21,66050,69690,66050,66240,1800,PMC
2023-02-22,67200,67200,66340,66340,6600,PMC
2023-02-23,66340,66340,66340,66340,100,PMC
2023-02-24,66340,66340,66340,66340,300,PMC
2023-02-27,69600,71040,66430,66430,218300,PMC
2023-02-28,66530,66530,66530,66530,3200,PMC
2023-03-01,67200,67200,67200,67200,500,PMC
2023-03-02,67300,67300,67300,67300,100,PMC
2023-03-03,66430,66430,66430,66430,100,PMC
2023-03-06,66240,66240,66240,66240,500,PMC
2023-03-08,63840,63840,63840,63840,100,PMC
2023-03-14,67200,67200,64120,64120,2000,PMC
2023-03-15,67200,67200,64319,64319,9700,PMC
2023-03-16,64319,64319,64319,64319,1100,PMC
2023-03-20,70200,70200,57950,65690,5100,PMC
2023-03-21,65690,65690,65690,65690,600,PMC
2023-03-22,68630,68630,68630,68630,200,PMC
2023-03-27,70010,70010,70010,70010,100,PMC
2023-03-28,70010,70010,70010,70010,1500,PMC
2023-03-29,76380,76380,76380,76380,800,PMC
2023-03-31,80400,80400,80400,80400,100,PMC
2023-04-03,73540,73540,73540,73540,100,PMC
2023-04-04,66280,66280,66280,66280,100,PMC
2023-04-06,66580,66580,66580,66580,100,PMC
2023-04-07,66580,68140,66580,68140,700,PMC
2023-04-07,66580,66580,66580,66580,300,PMC
2023-04-11,68540,68630,66580,66580,700,PMC
2023-04-12,68540,68730,66770,68730,3600,PMC
2023-04-13,66670,66670,66670,66670,100,PMC
2023-04-17,68630,68630,68630,68630,100,PMC
2023-04-18,71580,71580,71580,71580,1000,PMC
2023-04-20,68630,68630,68630,68630,1500,PMC
2023-04-24,68630,68630,68630,68630,12200,PMC
2023-04-25,71090,71090,71090,71090,100,PMC
2023-04-26,69610,69610,69610,69610,5700,PMC
2023-04-27,65590,65590,65590,65590,100,PMC
2023-05-04,63730,63730,63730,63730,100,PMC
2023-05-08,58830,68630,58830,68630,3200,PMC
2023-05-09,62460,62460,62460,62460,200,PMC
2023-05-10,68240,68240,68240,68240,100,PMC
2023-05-11,69910,69910,69910,69910,100,PMC
2023-05-12,70010,70100,70010,70100,2200,PMC
2023-05-15,69610,69610,69610,69610,100,PMC
2023-05-16,67650,67650,67650,67650,1500,PMC
2023-05-17,67650,68630,65200,65200,5500,PMC
2023-05-18,67650,67650,67650,67650,1000,PMC
2023-05-23,67650,67650,67650,67650,1500,PMC
2023-05-24,69520,69520,67650,67650,600,PMC
2023-05-25,69610,69610,67650,67650,700,PMC
2023-05-26,67650,67650,67650,67650,500,PMC
2023-05-31,66180,66180,66180,66180,300,PMC
2023-06-01,71580,71580,66180,69610,2200,PMC
2023-06-02,71580,71580,66670,66670,1100,PMC
2023-06-05,68630,68630,68630,68630,4200,PMC
2023-06-06,67360,67360,67360,67360,100,PMC
2023-06-12,68630,68630,67460,67460,2000,PMC
2023-06-14,67650,67650,67650,67650,100,PMC
2023-06-15,68630,68630,68630,68630,100,PMC
2023-06-16,68630,68630,68630,68630,1500,PMC
2023-06-19,67650,67650,67650,67650,700,PMC
2023-06-20,67650,67650,67650,67650,1900,PMC
2023-06-21,67560,67560,67560,67560,200,PMC
2023-06-22,67650,67650,67650,67650,5300,PMC
2023-06-23,67750,67750,67750,67750,9900,PMC
2023-06-27,67650,72560,67650,72560,5600,PMC
2023-06-28,67750,68140,67750,68140,1100,PMC
2023-06-29,68240,68240,68240,68240,700,PMC
2023-06-30,74420,74420,74420,74420,200,PMC
2023-07-03,73540,73540,68730,68730,300,PMC
2023-07-07,67650,67650,67650,67650,1400,PMC
2023-07-10,68630,68630,67650,67650,1100,PMC
2023-07-11,67650,67650,67650,67650,100,PMC
2023-07-12,67750,67750,67750,67750,7900,PMC
2023-07-18,67950,67950,67950,67950,700,PMC
2023-07-19,67850,67850,67850,67850,100,PMC
2023-07-20,68140,68140,68140,68140,3800,PMC
2023-07-21,68140,68630,68140,68140,700,PMC
2023-07-24,61770,61770,61770,61770,200,PMC
2023-07-25,62560,62560,62560,62560,3800,PMC
2023-07-26,68440,68440,68440,68440,100,PMC
2023-07-27,67650,67650,63930,64220,6800,PMC
