time,open,high,low,close,volume,ticker
2023-01-03,11130,11130,11130,11130,100,PMP
2023-01-04,11040,11040,11040,11040,200,PMP
2023-01-06,11040,11040,11040,11040,200,PMP
2023-01-09,11130,11220,11130,11220,1400,PMP
2023-01-11,11220,11220,11220,11220,600,PMP
2023-01-17,11040,11040,11040,11040,800,PMP
2023-01-19,10860,10860,10860,10860,700,PMP
2023-01-27,10860,10860,10860,10860,100,PMP
2023-02-01,10860,10860,10860,10860,1200,PMP
2023-02-07,10580,10580,10580,10580,800,PMP
2023-02-13,10120,10120,10120,10120,100,PMP
2023-02-16,10120,10120,9110,10120,800,PMP
2023-02-22,9110,9110,9110,9110,1200,PMP
2023-02-24,9200,9200,9110,9110,600,PMP
2023-02-27,9110,9110,9110,9110,1600,PMP
2023-02-28,8370,8370,8370,8370,2000,PMP
2023-03-01,8460,8740,8460,8740,1100,PMP
2023-03-03,8740,8740,8740,8740,500,PMP
2023-03-06,9200,9200,9200,9200,1000,PMP
2023-03-07,9290,9290,9290,9290,300,PMP
2023-03-09,9480,10210,9480,10210,1100,PMP
2023-03-14,10210,10210,10210,10210,1100,PMP
2023-03-28,10210,10210,10210,10210,1000,PMP
2023-04-03,9660,9660,9660,9660,1000,PMP
2023-04-04,9940,9940,9940,9940,100,PMP
2023-04-06,10860,10860,10860,10860,100,PMP
2023-04-12,11220,11220,11220,11220,100,PMP
2023-04-25,11220,11220,11220,11220,100,PMP
2023-05-08,11220,11220,11220,11220,300,PMP
2023-05-10,11500,11500,10120,10120,900,PMP
2023-05-11,11500,11500,11500,11500,100,PMP
2023-05-12,11040,11040,11040,11040,1400,PMP
2023-05-16,11960,11960,11960,11960,100,PMP
2023-05-18,11960,11960,11960,11960,100,PMP
2023-05-19,11780,11780,11040,11040,500,PMP
2023-05-22,11960,11960,11960,11960,100,PMP
2023-05-23,11960,11960,11960,11960,100,PMP
2023-05-24,12790,12790,12790,12790,100,PMP
2023-05-25,11590,11590,11590,11590,2000,PMP
2023-05-29,12420,12420,11130,11220,600,PMP
2023-05-30,11220,11220,11220,11220,8900,PMP
2023-06-01,10950,10950,10950,10950,100,PMP
2023-06-02,10950,11960,10950,11960,600,PMP
2023-06-05,11960,11960,11960,11960,200,PMP
2023-06-06,11960,11960,11960,11960,200,PMP
2023-06-07,11960,11960,11960,11960,200,PMP
2023-06-12,11040,11040,11040,11040,500,PMP
2023-06-13,11040,12050,11040,12050,1100,PMP
2023-06-16,11960,11960,11040,11040,300,PMP
2023-06-20,12050,12050,12050,12050,100,PMP
2023-06-22,11590,11590,11590,11590,300,PMP
2023-06-26,11960,11960,11960,11960,100,PMP
2023-06-29,12140,12140,12140,12140,300,PMP
2023-07-03,12140,12140,12140,12140,100,PMP
2023-07-07,12420,12420,12420,12420,100,PMP
2023-07-10,11220,12140,11220,11960,1400,PMP
2023-07-11,11960,11960,11960,11960,500,PMP
2023-07-12,12420,12420,11780,11960,400,PMP
2023-07-13,11960,11960,11960,11960,900,PMP
2023-07-14,12050,12050,12050,12050,200,PMP
2023-07-17,12880,12880,12880,12880,500,PMP
2023-07-19,11960,11960,11680,11680,900,PMP
2023-07-20,12050,12050,11680,11680,600,PMP
2023-07-21,12420,12420,11680,11680,1400,PMP
2023-07-24,11870,11960,11780,11780,6000,PMP
2023-07-25,11320,11320,11320,11320,5500,PMP
2023-07-27,12050,12420,11500,12420,1800,PMP
2023-08-01,11680,12050,11590,11960,2700,PMP
2023-08-02,12330,12880,12140,12880,15600,PMP
2023-08-04,12790,12970,12700,12970,7600,PMP
2023-08-07,13160,13160,12970,13060,7900,PMP
2023-08-08,13160,13160,12970,13160,5400,PMP
2023-08-09,13160,13800,13160,13800,9100,PMP
2023-08-10,13800,13800,13340,13340,6000,PMP
2023-08-11,13430,13800,13340,13340,4400,PMP
2023-08-14,13800,13890,13520,13890,16200,PMP
2023-08-15,13800,13800,13710,13710,7200,PMP
2023-08-16,13520,13800,13520,13800,8700,PMP
2023-08-18,12700,12700,12700,12700,300,PMP
2023-08-22,12000,12100,12000,12100,2300,PMP
2023-08-23,11700,12000,11700,12000,900,PMP
2023-08-24,12000,12500,12000,12500,2200,PMP
2023-08-29,12500,12500,12500,12500,2000,PMP
2023-08-31,12100,12100,12100,12100,100,PMP
2023-09-05,11200,13000,11200,11600,3400,PMP
2023-09-06,11900,11900,11900,11900,100,PMP
2023-09-07,12000,12200,12000,12200,400,PMP
2023-09-08,12900,13400,12900,13400,7600,PMP
2023-09-11,13900,14700,13900,14100,6100,PMP
2023-09-12,14100,14100,14100,14100,300,PMP
2023-09-13,14300,14300,14300,14300,200,PMP
2023-09-15,13800,13800,12900,13000,1700,PMP
2023-09-18,13000,13000,12200,12500,500,PMP
2023-09-20,11400,12600,11400,12600,4100,PMP
2023-09-21,13800,13800,13800,13800,1100,PMP
2023-09-22,13600,13600,12500,13100,700,PMP
2023-09-25,11900,12000,11800,11800,5800,PMP
2023-09-26,12700,12700,11500,11500,600,PMP
2023-09-27,11600,11600,11600,11600,1000,PMP
2023-09-28,11700,11800,11700,11800,1800,PMP
2023-09-29,11900,11900,11900,11900,2100,PMP
2023-10-02,12000,12000,12000,12000,100,PMP
2023-10-04,12200,12200,12200,12200,100,PMP
2023-10-09,11900,11900,11900,11900,200,PMP
2023-10-10,11600,11700,11600,11700,1000,PMP
2023-10-13,11800,12500,11800,12500,2900,PMP
