time,open,high,low,close,volume,ticker
2023-01-05,8650,8650,8620,8620,800,PNC
2023-01-11,8400,8400,8400,8400,100,PNC
2023-01-16,8980,8980,8980,8980,100,PNC
2023-01-17,9500,9500,9500,9500,100,PNC
2023-01-18,10150,10150,10150,10150,100,PNC
2023-01-27,9440,10000,9440,10000,600,PNC
2023-01-30,10000,10000,10000,10000,100,PNC
2023-02-13,10000,10000,10000,10000,100,PNC
2023-02-22,9310,9310,9300,9300,1000,PNC
2023-02-28,9880,9880,9880,9880,100,PNC
2023-03-03,9870,9870,9870,9870,100,PNC
2023-03-06,10100,10100,10100,10100,500,PNC
2023-03-08,9400,9400,9400,9400,200,PNC
2023-03-27,8760,8760,8760,8760,100,PNC
2023-03-30,9350,9350,9350,9350,400,PNC
2023-04-19,9360,9360,9360,9360,100,PNC
2023-04-24,9900,9900,9900,9900,500,PNC
2023-04-26,9310,9310,9310,9310,100,PNC
2023-04-28,9900,9900,9900,9900,100,PNC
2023-05-09,9500,9500,9500,9500,100,PNC
2023-05-10,10000,10000,9990,9990,200,PNC
2023-05-15,10000,10000,10000,10000,100,PNC
2023-05-29,10700,10700,10700,10700,100,PNC
2023-05-31,10000,10000,10000,10000,100,PNC
2023-06-01,9800,9800,9800,9800,100,PNC
2023-06-06,9990,9990,9990,9990,100,PNC
2023-06-14,9300,9300,9300,9300,100,PNC
2023-06-30,8820,8820,8820,8820,100,PNC
2023-07-03,8820,8820,8820,8820,100,PNC
2023-07-11,9430,9430,9430,9430,100,PNC
2023-07-12,8800,8800,8800,8800,100,PNC
2023-07-14,8920,8920,8920,8920,100,PNC
2023-07-17,9100,9540,8920,9540,2100,PNC
2023-07-20,9940,9940,9900,9900,600,PNC
2023-07-21,9210,9390,9210,9390,1100,PNC
2023-07-24,9890,9890,9010,9350,1700,PNC
2023-07-25,9350,9350,9350,9350,1200,PNC
2023-07-26,9340,9340,9340,9340,100,PNC
2023-07-27,9330,9340,9330,9340,700,PNC
2023-08-03,9330,9330,9330,9330,200,PNC
2023-08-08,9700,9980,9700,9980,6500,PNC
2023-08-09,10650,10650,10650,10650,5300,PNC
2023-08-10,11350,11350,10800,11200,11300,PNC
2023-08-11,11950,11950,11000,11900,5200,PNC
2023-08-14,11500,12500,11100,11100,10300,PNC
2023-08-15,11800,11800,10400,11500,5400,PNC
2023-08-16,11750,11750,11450,11450,300,PNC
2023-08-18,10450,10450,10450,10450,4900,PNC
2023-08-22,10450,10450,10450,10450,100,PNC
2023-08-23,10300,11000,10300,11000,9000,PNC
2023-08-28,10250,10350,10250,10250,7300,PNC
2023-08-29,10250,10900,10250,10550,3200,PNC
2023-08-31,9820,9900,9820,9830,1900,PNC
2023-09-05,9900,9900,9850,9850,1100,PNC
2023-09-07,9560,9600,9550,9570,7200,PNC
2023-09-08,9570,9570,9570,9570,100,PNC
2023-09-11,9570,10150,9150,10050,6600,PNC
2023-09-12,10550,10550,9510,10550,1900,PNC
2023-09-13,11100,11100,9830,10800,2100,PNC
2023-09-15,10550,10550,10550,10550,100,PNC
2023-09-18,9820,9830,9820,9830,900,PNC
2023-09-19,9260,9270,9260,9270,400,PNC
2023-09-20,9280,9280,8810,8960,1400,PNC
2023-09-21,9540,9580,9500,9500,600,PNC
2023-09-27,9500,9500,9500,9500,900,PNC
2023-09-28,9380,9390,8890,8890,1700,PNC
2023-09-29,8900,8900,8900,8900,1000,PNC
2023-10-03,8810,9000,8810,9000,600,PNC
2023-10-06,9390,9400,9390,9400,200,PNC
2023-10-09,8800,9800,8800,9800,2700,PNC
2023-10-13,9140,9140,9140,9140,400,PNC
