time,open,high,low,close,volume,ticker
2023-01-03,17730,19480,17730,17730,1600,POT
2023-01-04,17730,17730,17730,17730,1000,POT
2023-01-05,17730,17730,17730,17730,700,POT
2023-01-06,18510,18510,18510,18510,600,POT
2023-01-09,17250,18510,17250,18410,800,POT
2023-01-10,17540,20250,17540,20250,200,POT
2023-01-11,18700,20250,18310,18310,1300,POT
2023-01-12,19280,19280,19280,19280,1700,POT
2023-01-16,19480,19480,18410,18410,5600,POT
2023-01-17,17730,17730,17630,17630,2100,POT
2023-01-18,17630,19380,17630,19380,12300,POT
2023-01-19,21320,21320,19380,19380,6400,POT
2023-01-27,19380,20930,19380,19480,400,POT
2023-01-30,19480,20640,18990,18990,12000,POT
2023-01-31,18600,18600,18600,18600,100,POT
2023-02-01,18020,19280,17440,17440,9900,POT
2023-02-02,17050,17440,16670,16670,19200,POT
2023-02-03,17440,17730,16960,17730,20100,POT
2023-02-06,18310,18310,16860,16960,700,POT
2023-02-07,16960,16960,15700,15700,7000,POT
2023-02-08,16470,17250,16379,16379,5200,POT
2023-02-09,17830,17830,16280,16470,500,POT
2023-02-10,16470,16470,15210,15210,7400,POT
2023-02-13,15990,16079,14050,14050,7500,POT
2023-02-14,15310,15410,14240,15410,1600,POT
2023-02-15,15790,15790,15790,15790,200,POT
2023-02-16,15700,17340,15700,17340,2100,POT
2023-02-17,16570,18600,16570,16670,600,POT
2023-02-20,16570,16670,15120,16670,2000,POT
2023-02-21,16670,16670,15990,15990,1600,POT
2023-02-23,16470,16470,16470,16470,100,POT
2023-03-02,15410,15410,15410,15410,400,POT
2023-03-03,15410,15410,15410,15410,200,POT
2023-03-06,16180,16379,15990,15990,600,POT
2023-03-07,15890,15890,15600,15600,700,POT
2023-03-08,14920,16280,14920,16280,200,POT
2023-03-09,16180,16180,16180,16180,2700,POT
2023-03-10,15120,16379,15120,16379,600,POT
2023-03-13,14920,16280,14820,16280,8500,POT
2023-03-14,15310,15700,15310,15700,2300,POT
2023-03-15,15700,15990,15700,15700,3100,POT
2023-03-16,15600,15600,15120,15120,3900,POT
2023-03-17,15500,15500,15500,15500,100,POT
2023-03-20,14820,14820,14820,14820,100,POT
2023-03-21,15500,15600,15500,15600,500,POT
2023-03-22,14920,14920,14920,14920,100,POT
2023-03-24,15120,15120,15120,15120,100,POT
2023-03-27,15410,15410,15410,15410,100,POT
2023-03-28,15890,15890,15890,15890,500,POT
2023-03-29,16180,16180,16180,16180,100,POT
2023-03-30,15310,15310,15310,15310,3200,POT
2023-03-31,15410,15410,15410,15410,100,POT
2023-04-03,16180,16180,16180,16180,100,POT
2023-04-05,15310,15310,15310,15310,100,POT
2023-04-06,14820,14820,14820,14820,600,POT
2023-04-07,15700,15700,15700,15700,200,POT
2023-04-07,15700,15700,15700,15700,100,POT
2023-04-10,15700,15700,15700,15700,300,POT
2023-04-11,15700,15700,15700,15700,100,POT
2023-04-12,15700,15700,15700,15700,400,POT
2023-04-13,15700,15790,15700,15790,2200,POT
2023-04-14,15120,15120,15120,15120,100,POT
2023-04-19,15500,15500,15500,15500,200,POT
2023-04-20,14920,14920,14820,14820,200,POT
2023-04-21,15310,15310,15310,15310,100,POT
2023-04-26,14730,15310,14730,15310,200,POT
2023-04-27,14730,14730,14730,14730,100,POT
2023-04-28,15790,15790,14920,14920,8700,POT
2023-05-05,14630,15990,14630,15990,200,POT
2023-05-08,15210,15210,14630,14630,1100,POT
2023-05-09,14630,14630,14630,14630,800,POT
2023-05-11,14630,15310,14630,15310,200,POT
2023-05-12,15310,15310,15310,15310,1000,POT
2023-05-15,15700,15700,15700,15700,100,POT
2023-05-16,15020,15020,15020,15020,200,POT
2023-05-17,16280,16280,15600,15600,200,POT
2023-05-18,15500,15500,15500,15500,100,POT
2023-05-19,15120,16280,14820,15890,6600,POT
2023-05-22,15310,15310,15210,15210,200,POT
2023-05-23,15990,15990,15990,15990,100,POT
2023-05-24,16379,16379,15020,16079,4100,POT
2023-05-25,15990,16180,15500,16079,1900,POT
2023-05-26,16180,16180,14820,16180,3700,POT
2023-05-29,16079,17730,15210,17730,10500,POT
2023-05-30,17440,19380,17440,19090,5500,POT
2023-05-31,19480,20930,19380,20930,5300,POT
2023-06-01,21030,21030,19860,20930,2600,POT
2023-06-02,19670,20640,18990,18990,4400,POT
2023-06-05,18890,19480,17150,19480,4100,POT
2023-06-06,17630,19090,17540,17540,1300,POT
2023-06-07,19190,19280,19190,19280,5900,POT
2023-06-08,20150,20830,17540,19770,4600,POT
2023-06-09,19860,20930,19670,20540,8800,POT
2023-06-12,21800,21900,20540,20540,2700,POT
2023-06-13,21030,21030,20060,20060,2500,POT
2023-06-14,19770,20350,19770,20350,300,POT
2023-06-15,20540,21120,20540,21120,2600,POT
2023-06-16,20930,20930,20060,20930,500,POT
2023-06-19,20350,20350,20350,20350,100,POT
2023-06-20,20540,20930,20540,20930,700,POT
2023-06-22,20930,21900,19480,21800,1600,POT
2023-06-23,20930,21120,20930,21120,1700,POT
2023-06-26,20250,20250,20150,20150,2500,POT
2023-06-27,20150,20150,19860,19860,400,POT
2023-06-28,19380,19860,19380,19670,1900,POT
2023-06-29,19570,19570,18890,18890,12300,POT
2023-06-30,17630,18510,17630,18410,8500,POT
2023-07-03,18410,18410,18410,18410,100,POT
2023-07-04,17730,18410,17630,18410,800,POT
2023-07-05,17440,18220,17440,18220,200,POT
