time,open,high,low,close,volume,ticker
2023-01-03,7750,7750,7560,7750,900,POV
2023-01-04,7560,7750,7560,7750,2200,POV
2023-01-05,8220,8220,7750,8220,800,POV
2023-01-06,7850,7940,7850,7940,600,POV
2023-01-09,7850,7940,7850,7850,1500,POV
2023-01-10,8980,8980,8980,8980,100,POV
2023-01-11,8980,8980,7660,7660,1000,POV
2023-01-17,8890,8890,7560,7560,200,POV
2023-01-18,7660,7660,7660,7660,400,POV
2023-01-19,8130,8790,7750,7850,1400,POV
2023-01-27,7750,8130,7750,8130,1600,POV
2023-01-30,8320,8320,8320,8320,300,POV
2023-01-31,7560,8600,7560,8600,2300,POV
2023-02-01,8510,8790,8510,8790,300,POV
2023-02-02,8320,8320,8320,8320,100,POV
2023-02-03,8320,8510,8320,8510,2700,POV
2023-02-06,8510,9260,8510,8510,5200,POV
2023-02-07,9450,9450,8510,8510,200,POV
2023-02-08,8890,8890,8220,8220,5100,POV
2023-02-09,8039,8700,8039,8700,5200,POV
2023-02-10,8790,8790,8790,8790,100,POV
2023-02-13,8039,8410,8039,8130,1700,POV
2023-02-14,7850,7850,7850,7850,2300,POV
2023-02-15,8220,8220,8220,8220,500,POV
2023-02-16,8220,8600,8220,8320,1400,POV
2023-02-17,8510,8700,8510,8600,9800,POV
2023-02-20,8600,8700,8600,8700,200,POV
2023-02-21,8510,8700,8510,8510,1300,POV
2023-02-23,8790,8790,8790,8790,100,POV
2023-02-24,9070,9070,9070,9070,100,POV
2023-02-27,8510,8890,8510,8890,2300,POV
2023-02-28,8790,8890,8790,8790,7000,POV
2023-03-02,8790,8790,8790,8790,100,POV
2023-03-06,8510,8600,8510,8510,2100,POV
2023-03-07,8700,8700,8510,8600,400,POV
2023-03-10,8600,8700,8600,8700,2400,POV
2023-03-13,8700,8700,8700,8700,1200,POV
2023-03-14,8600,8600,8600,8600,700,POV
2023-03-15,8510,8600,8510,8600,2700,POV
2023-03-16,8320,8320,8320,8320,1100,POV
2023-03-17,8410,8510,8410,8510,1100,POV
2023-03-20,8510,8510,8039,8039,1000,POV
2023-03-21,8410,8410,8410,8410,1000,POV
2023-03-22,8039,8039,8039,8039,1200,POV
2023-03-24,8039,8039,8039,8039,100,POV
2023-03-27,8510,8510,8510,8510,200,POV
2023-03-28,8510,8510,8510,8510,100,POV
2023-03-29,8510,8510,8510,8510,100,POV
2023-03-30,8220,8320,8220,8320,2600,POV
2023-03-31,8320,8320,8320,8320,3000,POV
2023-04-03,8320,8320,8320,8320,100,POV
2023-04-04,8410,8410,8410,8410,100,POV
2023-04-05,8700,8700,8700,8700,100,POV
2023-04-06,8510,8510,8510,8510,100,POV
2023-04-07,8410,8510,8410,8510,1100,POV
2023-04-07,8410,8410,8410,8410,500,POV
2023-04-10,8410,8410,8410,8410,100,POV
2023-04-11,8510,8510,8510,8510,100,POV
2023-04-12,8510,8510,8510,8510,500,POV
2023-04-13,8700,8700,8410,8510,1000,POV
2023-04-17,8410,8410,8410,8410,100,POV
2023-04-21,8039,8039,8039,8039,100,POV
2023-04-24,8130,8130,8130,8130,300,POV
2023-04-25,8130,8130,8130,8130,100,POV
2023-04-26,8510,8510,8410,8410,400,POV
2023-05-04,8320,8320,8320,8320,1000,POV
2023-05-05,8320,8320,8320,8320,500,POV
2023-05-08,8320,8320,8130,8320,9400,POV
2023-05-09,8510,8510,8410,8410,2200,POV
2023-05-10,8510,8510,8220,8220,3200,POV
2023-05-11,8410,8410,8410,8410,100,POV
2023-05-12,8510,8510,8510,8510,2000,POV
2023-05-15,8510,8510,8510,8510,500,POV
2023-05-16,8510,8510,8510,8510,1200,POV
2023-05-18,8510,8600,8510,8510,7300,POV
2023-05-19,8510,8510,8410,8510,3000,POV
2023-05-22,8510,8510,8510,8510,600,POV
2023-05-23,8510,8510,8510,8510,1800,POV
2023-05-24,8510,8510,8510,8510,300,POV
2023-05-25,8320,8980,8320,8980,1200,POV
2023-05-26,8790,8790,8510,8510,6700,POV
2023-05-29,8510,8510,8510,8510,600,POV
2023-05-30,8510,9070,8510,9070,700,POV
2023-05-31,8600,8790,8600,8700,1200,POV
2023-06-01,8890,8890,8700,8890,4100,POV
2023-06-02,8890,8890,8790,8790,3900,POV
2023-06-05,8790,8790,8790,8790,2400,POV
2023-06-06,8790,8790,8790,8790,15000,POV
2023-06-07,8790,8790,8790,8790,4200,POV
2023-06-08,9070,9170,8980,9070,15400,POV
2023-06-09,9170,9170,8790,8790,1200,POV
2023-06-12,9930,10020,8790,8790,2600,POV
2023-06-13,9260,9260,8700,8980,3200,POV
2023-06-14,8790,8790,8790,8790,1000,POV
2023-06-15,8980,8980,8980,8980,2000,POV
2023-06-16,8890,8890,8790,8890,3200,POV
2023-06-19,8790,8790,8790,8790,1200,POV
2023-06-20,8790,8790,8700,8790,5400,POV
2023-06-21,8890,8890,8890,8890,100,POV
2023-06-22,8890,8980,8890,8980,400,POV
2023-06-23,8980,8980,8980,8980,500,POV
2023-06-29,9450,9450,9360,9360,400,POV
2023-06-30,9360,9360,8890,8890,2600,POV
2023-07-04,9070,9070,9070,9070,2000,POV
2023-07-07,8510,8510,8510,8510,2600,POV
2023-07-10,8510,8700,8510,8700,5300,POV
2023-07-17,8890,8890,8890,8890,1300,POV
2023-07-18,8790,8790,8790,8790,500,POV
2023-07-20,8510,8510,8510,8510,1000,POV
2023-07-24,8130,8790,8130,8510,2800,POV
2023-07-25,8510,8510,8510,8510,1500,POV
2023-07-26,8790,8890,8510,8510,5200,POV
2023-07-27,8410,8510,8410,8510,1300,POV
2023-07-28,8510,8510,8510,8510,1000,POV
2023-07-31,8510,8510,8510,8510,5700,POV
2023-08-01,8600,8600,8510,8510,7200,POV
2023-08-02,8600,8790,8600,8600,6200,POV
2023-08-03,9170,9170,8890,8890,600,POV
2023-08-04,8790,8790,8600,8600,6500,POV
2023-08-07,8600,8600,8220,8510,2800,POV
2023-08-08,8600,8890,8600,8890,2800,POV
2023-08-09,8790,8790,8510,8600,1600,POV
2023-08-10,8700,8700,8600,8600,3300,POV
2023-08-11,8790,8890,8700,8790,5100,POV
2023-08-14,8890,8890,8890,8890,4700,POV
2023-08-15,8790,8980,8790,8980,3200,POV
2023-08-16,8700,8790,8510,8790,6000,POV
2023-08-18,9000,9000,8500,8500,400,POV
2023-08-21,8600,8900,8600,8600,2600,POV
2023-08-22,8600,8600,8600,8600,3600,POV
2023-08-24,8600,8800,8600,8800,1000,POV
2023-08-28,8700,9000,8700,8900,6700,POV
2023-08-29,8900,8900,8700,8700,1600,POV
2023-08-31,8800,8900,8800,8900,600,POV
2023-09-05,8900,8900,8900,8900,2000,POV
2023-09-06,8800,8800,8600,8800,1800,POV
2023-09-07,9200,9200,9200,9200,1200,POV
2023-09-08,8800,9000,8800,9000,4500,POV
2023-09-11,9200,9200,8800,8800,5100,POV
2023-09-13,8900,8900,8700,8700,5500,POV
2023-09-15,8800,8900,8700,8900,2300,POV
2023-09-19,8800,8800,8800,8800,100,POV
2023-09-20,8800,8800,8800,8800,900,POV
2023-09-22,8900,8900,8900,8900,1700,POV
2023-09-26,8900,8900,8100,8100,300,POV
2023-09-27,8900,8900,8700,8700,300,POV
2023-09-28,8800,8800,8000,8700,900,POV
2023-09-29,8300,8800,8000,8700,1400,POV
2023-10-03,8400,8400,8400,8400,100,POV
2023-10-04,8900,8900,8900,8900,100,POV
2023-10-05,8900,8900,8800,8800,600,POV
2023-10-09,8900,8900,8900,8900,600,POV
2023-10-10,8300,8300,8300,8300,200,POV
2023-10-12,8500,8500,8500,8500,100,POV
