time,open,high,low,close,volume,ticker
2023-01-03,10600,11100,10600,11050,6100800,POW
2023-01-04,11000,11150,10900,11000,6123400,POW
2023-01-05,11000,11750,10950,11750,23637300,POW
2023-01-06,11900,12200,11600,11750,15097700,POW
2023-01-09,11850,12000,11400,11600,8656600,POW
2023-01-10,11600,11750,11350,11700,6062700,POW
2023-01-11,11700,11850,11600,11650,6157300,POW
2023-01-12,11650,12100,11550,11750,7404600,POW
2023-01-13,11900,12100,11750,11850,9287700,POW
2023-01-16,12000,12000,11750,11850,4540400,POW
2023-01-17,11900,12200,11850,12150,10913100,POW
2023-01-18,12250,12300,12050,12150,6386000,POW
2023-01-19,12100,12250,12000,12200,7463800,POW
2023-01-27,12350,12450,12150,12200,7247000,POW
2023-01-30,12250,12600,12100,12350,11216700,POW
2023-01-31,12450,12500,12250,12400,7521200,POW
2023-02-01,12550,12900,11950,11950,15662100,POW
2023-02-02,12100,12100,11850,12000,7694100,POW
2023-02-03,12150,12200,11850,12150,6477100,POW
2023-02-06,12050,12600,11950,12550,9136200,POW
2023-02-07,12600,12750,12050,12200,9291500,POW
2023-02-08,12200,12350,12000,12250,4580300,POW
2023-02-09,12250,12300,12000,12000,3869700,POW
2023-02-10,12100,12300,11950,12000,7572400,POW
2023-02-13,11950,12150,11550,11700,6202600,POW
2023-02-14,11800,11950,11750,11850,3555200,POW
2023-02-15,11850,12050,11750,12000,5005900,POW
2023-02-16,12100,12350,12050,12350,7976500,POW
2023-02-17,12300,12500,12200,12400,8017700,POW
2023-02-20,12400,12700,12350,12650,11234100,POW
2023-02-21,12700,12700,12450,12450,9962600,POW
2023-02-22,12350,12500,12000,12000,11102500,POW
2023-02-23,12000,12200,11900,12200,7552500,POW
2023-02-24,12250,12350,12000,12000,4372700,POW
2023-02-27,11850,12100,11850,12000,6322200,POW
2023-02-28,12100,12250,12000,12100,5103800,POW
2023-03-01,12050,12350,11950,12350,5404700,POW
2023-03-02,12350,12900,12350,12700,22744500,POW
2023-03-03,12750,12850,12350,12350,7251700,POW
2023-03-06,12450,12650,12350,12450,6097300,POW
2023-03-07,12500,12750,12500,12550,7923100,POW
2023-03-08,12500,12800,12450,12750,7743500,POW
2023-03-09,12750,13200,12650,13000,20902900,POW
2023-03-10,12900,13100,12850,12950,8921900,POW
2023-03-13,12800,13150,12800,13150,13893600,POW
2023-03-14,13000,13100,12700,12850,12245900,POW
2023-03-15,13100,13550,12900,13500,16381500,POW
2023-03-16,13400,13400,13150,13250,9365200,POW
2023-03-17,13400,13450,13200,13400,10682900,POW
2023-03-20,13300,13300,12800,12850,9784800,POW
2023-03-21,13000,13300,12850,13200,5582900,POW
2023-03-22,13300,13350,13100,13100,3606500,POW
2023-03-23,13000,13200,12950,13150,4287300,POW
2023-03-24,13200,13300,13050,13250,5116500,POW
