time,open,high,low,close,volume,ticker
2023-01-03,11750,11930,11750,11930,700,PPP
2023-01-04,12560,12560,12560,12560,500,PPP
2023-01-05,12390,12390,11840,11840,200,PPP
2023-01-06,12470,12470,11750,12200,2000,PPP
2023-01-09,12300,12300,12200,12200,20500,PPP
2023-01-10,12110,12470,12110,12300,2400,PPP
2023-01-16,11750,12560,11750,12560,23600,PPP
2023-01-18,12930,12930,12930,12930,100,PPP
2023-01-19,12200,12830,12200,12660,400,PPP
2023-01-27,11390,12660,11390,12660,1200,PPP
2023-01-31,11840,12660,11840,12560,1300,PPP
2023-02-02,12470,12470,12470,12470,100,PPP
2023-02-03,11930,12470,11930,12470,1100,PPP
2023-02-06,12470,12470,12470,12470,600,PPP
2023-02-08,12660,12660,12560,12560,17300,PPP
2023-02-09,12030,12300,12030,12300,3200,PPP
2023-02-13,12030,12030,12030,12030,100,PPP
2023-02-14,12560,12560,12560,12560,100,PPP
2023-02-15,12660,12660,12560,12560,2000,PPP
2023-02-16,12660,12660,12660,12660,100,PPP
2023-02-17,12110,12110,12110,12110,200,PPP
2023-02-20,12110,12470,12110,12470,200,PPP
2023-02-24,12030,12110,12030,12110,200,PPP
2023-03-01,12660,12750,12110,12660,12900,PPP
2023-03-02,12660,12750,12560,12750,27600,PPP
2023-03-03,13560,13560,13290,13470,2600,PPP
2023-03-06,12200,13470,12200,13470,200,PPP
2023-03-07,12300,12300,12300,12300,100,PPP
2023-03-08,12300,12300,12300,12300,2300,PPP
2023-03-09,13100,13100,13020,13020,300,PPP
2023-03-10,12200,12200,12200,12200,100,PPP
2023-03-13,12390,12390,12390,12390,100,PPP
2023-03-14,12830,13020,12390,12390,300,PPP
2023-03-15,13020,13020,13020,13020,100,PPP
2023-03-16,12560,13020,12560,13020,500,PPP
2023-03-17,13020,13020,13020,13020,200,PPP
2023-03-20,13700,13700,13310,13310,1100,PPP
2023-03-23,13110,13110,13110,13110,100,PPP
2023-03-27,13210,13210,13210,13210,100,PPP
2023-04-04,13410,13410,13410,13410,200,PPP
2023-04-05,12140,12140,12140,12140,100,PPP
2023-04-07,13600,13700,13600,13700,12000,PPP
2023-04-07,13600,13600,13600,13600,400,PPP
2023-04-11,12730,12730,12730,12730,100,PPP
2023-04-12,13700,14470,13700,14280,2100,PPP
2023-04-13,13700,13700,13700,13700,200,PPP
2023-04-17,16030,16030,16030,16030,100,PPP
2023-04-18,13790,13790,13790,13790,100,PPP
2023-04-19,16030,16030,16030,16030,400,PPP
2023-04-20,15640,16030,15640,15930,3500,PPP
2023-04-24,15930,15930,15930,15930,100,PPP
2023-04-25,16030,16030,15540,15540,400,PPP
2023-04-26,15540,15540,15540,15540,100,PPP
2023-04-27,13700,13700,13700,13700,100,PPP
2023-04-28,15060,15060,14380,14380,300,PPP
2023-05-04,15060,15060,15060,15060,100,PPP
2023-05-05,13790,13790,13790,13790,100,PPP
2023-05-08,13890,13890,13890,13890,300,PPP
2023-05-09,14090,14090,14090,14090,100,PPP
2023-05-11,14090,14090,14090,14090,500,PPP
2023-05-12,13790,13790,13790,13790,100,PPP
2023-05-15,13790,13790,13790,13790,900,PPP
2023-05-17,13790,13790,13600,13600,2600,PPP
2023-05-18,14800,14800,14800,14800,300,PPP
2023-05-19,13600,13600,13600,13600,100,PPP
2023-05-22,14500,14500,14500,14500,100,PPP
2023-05-23,14000,14000,14000,14000,100,PPP
2023-05-25,14400,14400,14400,14400,1000,PPP
2023-05-29,14000,14400,14000,14400,10400,PPP
2023-05-30,14000,14300,14000,14000,4400,PPP
2023-05-31,14000,14900,14000,14000,500,PPP
2023-06-02,14000,14000,14000,14000,1000,PPP
2023-06-07,13000,14900,13000,14900,300,PPP
2023-06-08,14300,15000,13700,15000,2700,PPP
2023-06-09,13600,13600,13600,13600,100,PPP
2023-06-15,13000,14000,13000,14000,700,PPP
2023-06-20,14000,14000,14000,14000,100,PPP
2023-06-21,14500,14500,14500,14500,1800,PPP
2023-06-22,14600,14600,14500,14500,22300,PPP
2023-06-23,14500,14600,14500,14600,2300,PPP
2023-06-26,14600,14600,14500,14500,800,PPP
2023-06-27,14500,14500,14500,14500,9600,PPP
2023-06-28,14700,14700,14700,14700,500,PPP
2023-06-29,14500,14500,14500,14500,100,PPP
2023-06-30,14500,14500,14500,14500,500,PPP
2023-07-03,14500,15000,14500,15000,1100,PPP
2023-07-04,15000,15000,15000,15000,900,PPP
2023-07-05,15000,15500,15000,15500,500,PPP
