time,open,high,low,close,volume,ticker
2023-01-03,9730,9730,9630,9630,300,PPS
2023-01-04,8990,9730,8990,9540,7800,PPS
2023-01-06,9820,9820,9630,9630,500,PPS
2023-01-09,9180,9180,9180,9180,100,PPS
2023-01-10,9730,9730,9630,9630,300,PPS
2023-01-11,9730,9730,9730,9730,400,PPS
2023-01-13,9080,9820,9080,9820,1000,PPS
2023-01-16,9180,9910,9180,9630,500,PPS
2023-01-18,9180,9180,9180,9180,100,PPS
2023-01-19,9450,9450,9450,9450,100,PPS
2023-01-27,8990,9630,8990,9630,600,PPS
2023-01-30,9630,9630,9630,9630,800,PPS
2023-01-31,9180,9630,9180,9630,2900,PPS
2023-02-01,10000,10000,10000,10000,200,PPS
2023-02-02,9270,10000,9270,10000,200,PPS
2023-02-03,9270,10280,9270,10280,300,PPS
2023-02-06,9450,10180,9450,10090,800,PPS
2023-02-07,9360,10000,9360,10000,300,PPS
2023-02-08,9630,10090,9630,10090,600,PPS
2023-02-09,9630,9630,9630,9630,200,PPS
2023-02-10,10090,10090,10000,10000,400,PPS
2023-02-13,9360,10280,9360,10090,500,PPS
2023-02-14,9360,10090,9360,10090,300,PPS
2023-02-15,9450,10280,9450,10280,200,PPS
2023-02-16,9630,10280,9630,10280,300,PPS
2023-02-17,9540,10460,9540,10460,200,PPS
2023-02-20,9820,10640,9820,10640,6500,PPS
2023-02-21,10090,10460,10090,10460,4200,PPS
2023-02-23,9730,10550,9730,10180,400,PPS
2023-02-27,10460,10460,10370,10370,500,PPS
2023-02-28,10550,10550,10550,10550,200,PPS
2023-03-01,9820,10460,9820,10460,200,PPS
2023-03-02,9820,9820,9820,9820,200,PPS
2023-03-08,9820,9820,9820,9820,200,PPS
2023-03-15,9820,9820,9820,9820,400,PPS
2023-03-20,9270,9270,9270,9270,200,PPS
2023-03-21,9270,9270,9180,9180,1300,PPS
2023-03-23,9820,9820,9820,9820,100,PPS
2023-03-24,9270,9270,9270,9270,100,PPS
2023-03-27,9360,9450,9360,9450,400,PPS
2023-03-30,9540,9540,9540,9540,2000,PPS
2023-03-31,9910,9910,9910,9910,100,PPS
2023-04-03,9270,9270,9270,9270,100,PPS
2023-04-05,10460,10460,10460,10460,100,PPS
2023-04-06,9180,9180,9180,9180,2100,PPS
2023-04-10,9450,9450,9450,9450,100,PPS
2023-04-11,9820,9820,9820,9820,100,PPS
2023-04-12,10000,10000,9910,9910,300,PPS
2023-04-13,10000,10000,10000,10000,5000,PPS
2023-04-14,10090,10090,10090,10090,900,PPS
2023-04-18,9450,9450,9450,9450,100,PPS
2023-04-21,9270,9910,9270,9910,600,PPS
2023-04-24,10280,10280,9910,9910,300,PPS
2023-04-25,9450,9450,9450,9450,100,PPS
2023-04-26,10090,10090,10090,10090,300,PPS
2023-04-27,9450,9450,9450,9450,100,PPS
2023-04-28,10180,10180,10180,10180,100,PPS
2023-05-05,9450,9450,9450,9450,100,PPS
2023-05-08,9730,9730,9730,9730,100,PPS
2023-05-09,9450,9450,9450,9450,100,PPS
2023-05-10,10090,10280,10090,10280,500,PPS
2023-05-11,10090,10460,10090,10460,700,PPS
2023-05-12,9540,9540,9540,9540,100,PPS
2023-05-15,10460,10460,10460,10460,200,PPS
2023-05-16,9820,10550,9820,10550,7900,PPS
2023-05-17,10640,10640,10640,10640,200,PPS
2023-05-19,9910,11010,9910,10920,6600,PPS
2023-05-22,11190,11190,11100,11190,2100,PPS
2023-05-23,11190,11190,11190,11190,4000,PPS
2023-05-25,11100,11100,11100,11100,3900,PPS
2023-05-26,11290,11290,11290,11290,600,PPS
2023-05-29,10370,11380,10370,11380,200,PPS
2023-05-31,10550,11190,10550,11190,200,PPS
2023-06-01,11380,11380,11380,11380,500,PPS
2023-06-02,11470,11560,11380,11560,23800,PPS
2023-06-05,11650,11840,11650,11840,500,PPS
2023-06-06,11930,11930,11470,11840,6700,PPS
2023-06-07,11840,11840,11740,11740,3400,PPS
2023-06-08,10830,11740,10830,11740,200,PPS
2023-06-09,10830,11650,10830,11650,900,PPS
2023-06-12,11740,11740,11740,11740,500,PPS
2023-06-13,10830,11740,10830,11740,300,PPS
2023-06-14,10830,11740,10830,11740,600,PPS
2023-06-15,10920,11740,10920,11740,600,PPS
2023-06-16,10920,11650,10920,11650,700,PPS
2023-06-19,10920,11650,10920,11290,700,PPS
2023-06-20,11290,11290,11290,11290,3100,PPS
2023-06-21,10640,11470,10640,11470,500,PPS
2023-06-22,11470,11470,11380,11380,900,PPS
2023-06-23,11470,11470,11470,11470,1200,PPS
2023-06-27,10730,11290,10730,11010,400,PPS
2023-06-28,11560,11560,11010,11470,1400,PPS
2023-06-29,11470,11470,11470,11470,1000,PPS
2023-06-30,10830,11190,10830,11100,400,PPS
2023-07-03,11290,11290,11290,11290,300,PPS
2023-07-04,10550,11290,10550,10830,400,PPS
2023-07-05,11290,11290,11100,11290,1400,PPS
2023-07-06,11290,11290,11290,11290,100,PPS
2023-07-07,10640,11290,10550,11290,1200,PPS
2023-07-10,10640,11380,10640,11380,300,PPS
2023-07-11,10640,11290,10640,11290,400,PPS
2023-07-13,11290,11290,11290,11290,400,PPS
2023-07-14,11290,11380,11290,11290,17700,PPS
2023-07-17,11290,11380,10830,11380,4100,PPS
2023-07-20,10640,11290,10640,11010,1200,PPS
2023-07-21,11290,11290,11010,11290,4400,PPS
2023-07-26,11380,11380,11190,11380,400,PPS
2023-07-28,10830,11380,10830,11380,3700,PPS
2023-07-31,10920,11290,10920,11290,200,PPS
2023-08-02,11290,11290,11290,11290,100,PPS
2023-08-04,10640,11290,10640,11290,200,PPS
2023-08-07,11290,11290,10830,11290,10400,PPS
2023-08-09,11010,11010,11010,11010,15000,PPS
2023-08-10,11010,11010,10920,10920,1200,PPS
2023-08-11,11290,11290,11290,11290,100,PPS
2023-08-15,11010,11010,10920,11010,2400,PPS
2023-08-16,11010,11010,11010,11010,600,PPS
2023-08-18,11010,11010,10550,10550,1700,PPS
2023-08-21,11010,11010,11010,11010,100,PPS
2023-08-22,11650,11650,11650,11650,100,PPS
2023-08-23,10920,10920,10920,10920,100,PPS
2023-08-25,10920,10920,10920,10920,100,PPS
2023-08-29,11010,11010,11010,11010,200,PPS
2023-08-30,11930,11930,11650,11650,400,PPS
2023-08-31,11470,11470,11470,11470,100,PPS
2023-09-05,11010,11010,11010,11010,500,PPS
2023-09-06,11010,11010,11010,11010,300,PPS
2023-09-07,11010,11010,11010,11010,900,PPS
2023-09-11,11010,11010,11010,11010,100,PPS
2023-09-13,11010,11010,11010,11010,600,PPS
2023-09-14,11010,11010,11010,11010,800,PPS
2023-09-15,11010,11010,10920,11010,14500,PPS
2023-09-18,10730,11010,10730,11010,15300,PPS
2023-09-19,11470,11470,11290,11470,1800,PPS
2023-09-20,11380,11560,11380,11470,500,PPS
2023-09-21,11470,11740,11380,11470,4600,PPS
2023-09-22,11470,11470,11470,11470,12200,PPS
2023-09-25,11840,11840,11190,11190,1400,PPS
2023-09-26,11190,11190,11010,11190,2500,PPS
2023-09-27,11190,11190,11010,11010,2300,PPS
2023-09-28,11010,11010,11010,11010,10800,PPS
2023-09-29,11010,11010,11010,11010,200,PPS
2023-10-02,11930,11930,11010,11010,3600,PPS
2023-10-03,11000,11000,11000,11000,200,PPS
2023-10-04,11000,11000,11000,11000,100,PPS
2023-10-05,11000,11000,10400,11000,1800,PPS
2023-10-06,11600,11600,10400,11100,300,PPS
2023-10-10,11700,11700,11700,11700,100,PPS
2023-10-11,10800,11100,10700,11000,2800,PPS
2023-10-12,11900,11900,11000,11000,3700,PPS
2023-10-13,10500,10800,10200,10800,5100,PPS
