time,open,high,low,close,volume,ticker
2023-01-03,16370,16650,16370,16650,200,PRE
2023-01-04,16750,16750,16750,16750,4000,PRE
2023-01-05,16370,16370,16370,16370,500,PRE
2023-01-06,17710,17710,17230,17230,2700,PRE
2023-01-09,16850,16850,16850,16850,3000,PRE
2023-01-10,15500,18490,15500,17230,2900,PRE
2023-01-11,16940,18290,16940,18290,5100,PRE
2023-01-16,16550,18290,16550,18290,200,PRE
2023-01-17,16460,18290,16460,18290,800,PRE
2023-01-18,16550,16550,16550,16550,100,PRE
2023-01-19,17710,17710,17330,17430,700,PRE
2023-01-27,18290,18290,18290,18290,100,PRE
2023-01-30,18190,18190,17620,17620,1400,PRE
2023-02-01,17620,17620,17620,17620,500,PRE
2023-02-02,17810,17810,17810,17810,100,PRE
2023-02-03,17900,17900,17810,17810,2100,PRE
2023-02-06,18870,18870,18870,18870,100,PRE
2023-02-10,17330,17330,17330,17330,500,PRE
2023-02-14,15590,19060,15590,15980,2400,PRE
2023-02-15,17520,17520,17520,17520,100,PRE
2023-02-16,15880,17430,15880,17430,200,PRE
2023-02-17,15980,17330,15880,17330,1100,PRE
2023-02-20,16079,18000,16079,18000,700,PRE
2023-02-21,16750,18780,16750,17900,800,PRE
2023-02-22,16460,18580,16460,17520,800,PRE
2023-02-23,16180,17710,16180,17710,200,PRE
2023-02-24,17330,17710,17330,17710,300,PRE
2023-02-27,16650,17330,16650,16650,300,PRE
2023-02-28,18290,18290,15980,15980,200,PRE
2023-03-01,16370,16370,16270,16270,1300,PRE
2023-03-03,17330,17810,17330,17810,300,PRE
2023-03-06,16460,17520,16460,17520,200,PRE
2023-03-07,16370,16370,16370,16370,100,PRE
2023-03-09,18000,18000,17230,17230,300,PRE
2023-03-10,16370,16370,16370,16370,25400,PRE
2023-03-14,17330,17330,17230,17230,400,PRE
2023-03-15,15980,17040,15980,16550,2700,PRE
2023-03-16,16370,16550,16370,16550,800,PRE
2023-03-17,17330,17330,16370,16370,400,PRE
2023-03-20,17160,17160,16860,16960,1500,PRE
2023-03-21,17750,17750,17360,17360,500,PRE
2023-03-22,18050,18050,18050,18050,100,PRE
2023-03-23,17750,17750,17750,17750,100,PRE
2023-03-29,16860,16860,16860,16860,100,PRE
2023-03-30,16860,16860,16860,16860,5000,PRE
2023-04-03,16760,16760,16760,16760,100,PRE
2023-04-04,15870,15870,15870,15870,300,PRE
2023-04-05,16860,16860,16860,16860,100,PRE
2023-04-06,16860,16860,16860,16860,800,PRE
2023-04-07,16860,16860,16860,16860,900,PRE
2023-04-07,16860,16860,16860,16860,100,PRE
2023-04-10,16860,16860,16760,16860,1600,PRE
2023-04-11,16560,16560,16270,16270,2500,PRE
2023-04-12,16270,16270,16270,16270,100,PRE
2023-04-13,16370,16370,16370,16370,100,PRE
2023-04-14,16760,16860,16760,16760,7000,PRE
2023-04-17,17360,17360,17160,17160,400,PRE
2023-04-21,17260,17360,16660,16660,2700,PRE
2023-04-26,15870,15870,15870,15870,100,PRE
2023-04-27,17060,17060,16860,16860,700,PRE
2023-04-28,16860,16860,16860,16860,600,PRE
2023-05-04,17260,18350,17160,17260,24800,PRE
2023-05-05,17750,17750,17750,17750,100,PRE
2023-05-08,16270,16270,16270,16270,100,PRE
2023-05-09,16560,18350,16560,17560,8300,PRE
2023-05-10,17460,17460,17460,17460,200,PRE
2023-05-12,16270,17750,16270,17160,3200,PRE
2023-05-15,18250,18250,16170,16170,4700,PRE
2023-05-16,17360,17360,17160,17160,300,PRE
2023-05-17,16270,16270,16270,16270,100,PRE
2023-05-19,16660,16660,16660,16660,100,PRE
2023-05-22,16860,16860,16860,16860,100,PRE
2023-05-24,16860,16860,16170,16860,2300,PRE
2023-05-25,17260,17360,17260,17260,9900,PRE
2023-05-26,16170,17850,16170,17850,200,PRE
2023-05-29,16460,18750,16460,17850,1100,PRE
2023-05-30,18350,18850,18350,18350,400,PRE
2023-05-31,16760,18350,16760,18050,11700,PRE
2023-06-01,16960,17950,16960,17950,200,PRE
2023-06-06,16660,17850,16660,17160,600,PRE
