time,open,high,low,close,volume,ticker
2023-01-03,5100,5700,5100,5700,24400,PSB
2023-01-04,5700,5700,5700,5700,100,PSB
2023-01-06,5600,5600,5600,5600,200,PSB
2023-01-10,5600,5600,5600,5600,3000,PSB
2023-01-11,5000,5600,5000,5600,600,PSB
2023-01-12,5400,5600,5400,5600,6300,PSB
2023-01-16,5600,6000,5600,6000,2400,PSB
2023-01-17,5100,5900,5100,5900,3900,PSB
2023-01-18,6000,6000,6000,6000,100,PSB
2023-01-19,5400,5500,5400,5400,1300,PSB
2023-01-27,6200,6200,6200,6200,1000,PSB
2023-01-31,7000,7000,7000,7000,100,PSB
2023-02-01,6800,6800,6100,6300,3000,PSB
2023-02-02,6500,6500,6500,6500,200,PSB
2023-02-03,7000,7000,5600,6500,4500,PSB
2023-02-08,6400,6400,6400,6400,13000,PSB
2023-02-09,6200,7000,5900,6300,13300,PSB
2023-02-10,5900,5900,5900,5900,500,PSB
2023-02-13,5200,5900,5200,5900,8600,PSB
2023-02-14,5900,5900,5400,5400,3900,PSB
2023-02-15,5200,6200,5200,6200,25300,PSB
2023-02-17,6800,6800,5100,5800,46100,PSB
2023-02-20,6100,6100,6100,6100,6500,PSB
2023-02-21,6600,6600,6600,6600,100,PSB
2023-02-22,5700,6100,5700,6100,56700,PSB
2023-02-23,6300,6300,6300,6300,5000,PSB
2023-02-24,5500,6200,5400,6200,12300,PSB
2023-02-27,5800,5800,5800,5800,5000,PSB
2023-02-28,5700,5700,5700,5700,500,PSB
2023-03-01,5100,5100,5100,5100,3300,PSB
2023-03-02,4500,5600,4500,5600,23200,PSB
2023-03-03,4700,5500,4700,5500,17000,PSB
2023-03-06,4700,5600,4700,5600,6200,PSB
2023-03-07,5400,5400,5200,5200,300,PSB
2023-03-08,4800,5300,4700,5300,6900,PSB
2023-03-09,4900,5300,4800,5300,22000,PSB
2023-03-10,5300,5600,5000,5600,122300,PSB
2023-03-13,5300,5500,4800,5400,7600,PSB
2023-03-14,4900,5000,4900,4900,2800,PSB
2023-03-15,5000,5300,4900,5200,38900,PSB
2023-03-16,5100,5200,4500,5200,6525500,PSB
2023-03-17,5100,5100,4900,5100,18400,PSB
2023-03-20,4900,5100,4900,5000,14400,PSB
2023-03-21,4600,5100,4600,5000,22500,PSB
2023-03-22,5600,5600,5600,5600,600,PSB
2023-03-23,5200,5200,5200,5200,2000,PSB
2023-03-24,5200,5200,4700,4700,2300,PSB
2023-03-28,5500,5500,5500,5500,800,PSB
2023-03-29,5100,5200,5100,5200,10900,PSB
2023-03-30,5400,5500,5400,5500,4000,PSB
2023-03-31,5200,5200,5200,5200,200,PSB
2023-04-03,5600,5600,5600,5600,15600,PSB
2023-04-04,5200,5200,5200,5200,100,PSB
2023-04-05,5100,5100,5100,5100,2300,PSB
2023-04-06,5400,5400,5400,5400,200,PSB
2023-04-07,5500,5500,5500,5500,8500,PSB
2023-04-07,5500,5500,5500,5500,8000,PSB
2023-04-10,5800,6100,5800,6000,16000,PSB
2023-04-11,5900,5900,5700,5700,7700,PSB
2023-04-12,5900,5900,5900,5900,800,PSB
2023-04-13,6000,6000,6000,6000,12000,PSB
2023-04-14,5800,5800,5800,5800,100,PSB
2023-04-17,5800,5800,5800,5800,1000,PSB
2023-04-18,5200,5200,5200,5200,100,PSB
2023-04-19,5900,5900,5900,5900,100,PSB
2023-04-20,6000,6000,5400,5400,200,PSB
2023-04-21,5300,5300,5300,5300,100,PSB
2023-04-24,5500,5500,5500,5500,600,PSB
2023-04-25,5500,6000,5500,6000,5200,PSB
2023-04-26,5100,5100,5100,5100,900,PSB
2023-04-27,5800,5800,5800,5800,100,PSB
2023-05-08,5000,5000,5000,5000,900,PSB
2023-05-09,5200,6000,5200,6000,2000,PSB
2023-05-10,5700,5700,5700,5700,600,PSB
2023-05-11,5300,6200,5300,6200,7800,PSB
2023-05-12,5300,6000,5100,6000,12800,PSB
2023-05-15,5600,5600,5600,5600,600,PSB
2023-05-16,5600,5600,5600,5600,7100,PSB
2023-05-17,5600,5800,5600,5800,400,PSB
2023-05-18,5100,5100,5100,5100,900,PSB
2023-05-19,5700,5700,5700,5700,100,PSB
2023-05-22,5700,5700,5700,5700,19000,PSB
2023-05-23,5500,5700,5500,5700,10500,PSB
2023-05-24,5300,5700,5300,5700,24300,PSB
2023-05-25,5700,5800,5700,5800,10300,PSB
2023-05-26,5500,5800,5500,5800,9400,PSB
2023-05-29,5800,5900,5300,5900,7100,PSB
2023-05-30,5700,5900,5400,5900,8600,PSB
2023-05-31,5900,5900,5900,5900,100,PSB
2023-06-01,6100,6500,5600,6300,17500,PSB
2023-06-02,5800,6900,5800,6900,4700,PSB
2023-06-05,6200,6600,5900,6600,7900,PSB
2023-06-06,7200,7200,6000,6800,4500,PSB
2023-06-07,7100,7100,7100,7100,1200,PSB
2023-06-08,6900,6900,6000,6800,1100,PSB
2023-06-09,5800,7000,5800,7000,12100,PSB
2023-06-12,7000,7300,6600,7000,10000,PSB
2023-06-13,7100,8100,6300,7800,6300,PSB
2023-06-14,8000,8000,7300,7300,2300,PSB
2023-06-15,8100,8100,6400,7400,3500,PSB
2023-06-16,6900,7400,6200,7400,18600,PSB
2023-06-19,7400,7400,7400,7400,1900,PSB
2023-06-21,6900,6900,6100,6900,8700,PSB
2023-06-22,6200,6900,6200,6900,38100,PSB
2023-06-23,7000,7000,6300,6900,2300,PSB
2023-06-26,6000,6800,6000,6800,15400,PSB
2023-06-27,6800,6800,6800,6800,3000,PSB
2023-06-28,6300,7300,6200,6800,20800,PSB
2023-06-29,6400,7000,6400,7000,1900,PSB
2023-06-30,6400,6900,6300,6900,6100,PSB
2023-07-04,6700,6700,6700,6700,100,PSB
2023-07-06,6300,6800,6200,6800,3700,PSB
2023-07-07,6500,6700,6200,6700,4900,PSB
2023-07-10,6600,6700,6300,6700,4600,PSB
2023-07-11,6900,7000,6300,7000,3600,PSB
2023-07-12,6600,6900,6300,6800,7800,PSB
2023-07-13,6300,6800,6100,6800,13900,PSB
2023-07-14,6800,6900,6300,6700,20300,PSB
2023-07-17,6300,6800,6300,6800,6300,PSB
