time,open,high,low,close,volume,ticker
2023-01-03,13230,13230,12560,13230,3200,PSC
2023-01-04,13900,13900,13900,13900,1100,PSC
2023-01-05,12650,13330,12560,13330,2300,PSC
2023-01-06,14280,14280,14280,14280,1100,PSC
2023-01-09,12940,14190,12940,14190,200,PSC
2023-01-10,14190,14280,14190,14280,200,PSC
2023-01-11,13420,13420,12940,12940,2900,PSC
2023-01-12,12370,13420,11790,13420,126000,PSC
2023-01-16,13420,13420,12180,12180,200,PSC
2023-01-17,11980,12650,11310,12650,300,PSC
2023-01-18,11700,11980,11700,11980,9000,PSC
2023-01-27,12080,12080,12080,12080,300,PSC
2023-01-31,12650,12650,12650,12650,100,PSC
2023-02-09,12460,12460,12460,12460,400,PSC
2023-02-10,12460,12460,12460,12460,100,PSC
2023-02-14,12270,13420,12270,13420,1000,PSC
2023-02-15,14380,14380,14380,14380,200,PSC
2023-02-16,12940,12940,12940,12940,100,PSC
2023-02-17,14190,14190,12180,12180,200,PSC
2023-02-20,13330,13330,13330,13330,100,PSC
2023-02-21,14570,14570,12370,14190,300,PSC
2023-02-22,12850,12940,12850,12940,1100,PSC
2023-02-23,11980,12180,11980,12180,400,PSC
2023-02-24,13330,13330,12180,12180,200,PSC
2023-02-27,13230,13230,11500,12460,2300,PSC
2023-02-28,12080,12080,11500,12080,1000,PSC
2023-03-01,12460,12460,11500,12080,300,PSC
2023-03-03,11500,12270,11500,12080,1000,PSC
2023-03-06,12180,12180,12180,12180,100,PSC
2023-03-07,12460,12460,12460,12460,100,PSC
2023-03-08,12460,12460,12460,12460,1500,PSC
2023-03-09,12460,12560,11980,12560,300,PSC
2023-03-10,12460,12460,12460,12460,100,PSC
2023-03-13,11500,11790,11500,11790,6200,PSC
2023-03-14,12460,12460,11980,11980,300,PSC
2023-03-15,11500,11600,11500,11600,2800,PSC
2023-03-16,11500,11500,11500,11500,700,PSC
2023-03-17,12650,12650,11500,11500,200,PSC
2023-03-24,12460,12460,12460,12460,300,PSC
2023-03-27,11220,11220,11220,11220,200,PSC
2023-04-05,13520,13520,13520,13520,400,PSC
2023-04-12,12460,12460,12180,12180,4700,PSC
2023-04-13,11220,11220,11220,11220,200,PSC
2023-04-17,11500,11500,11500,11500,400,PSC
2023-04-20,11600,11600,11600,11600,500,PSC
2023-04-24,11600,11600,11600,11600,100,PSC
2023-04-27,12270,12370,11410,11410,400,PSC
2023-04-28,12370,12370,12370,12370,100,PSC
2023-05-05,12100,12100,12100,12100,100,PSC
2023-05-08,12100,12100,11900,11900,2100,PSC
2023-05-11,11900,11900,11900,11900,100,PSC
2023-05-15,12400,12400,12400,12400,1000,PSC
2023-05-16,12600,12600,12600,12600,100,PSC
2023-05-17,12700,12700,12700,12700,100,PSC
2023-05-29,12500,12500,12200,12500,1800,PSC
2023-05-30,12100,12100,12100,12100,200,PSC
2023-05-31,12100,12100,12100,12100,400,PSC
2023-06-02,12100,12200,12100,12200,600,PSC
2023-06-09,12200,12200,12200,12200,200,PSC
2023-06-15,11200,11200,11200,11200,300,PSC
2023-06-16,11500,11500,11500,11500,100,PSC
2023-06-20,11500,11500,11500,11500,100,PSC
2023-06-22,12600,12600,12600,12600,100,PSC
2023-06-27,12500,12500,12500,12500,200,PSC
2023-07-11,12500,12500,12500,12500,100,PSC
2023-08-07,12500,12500,12500,12500,2000,PSC
2023-08-08,12000,12000,12000,12000,900,PSC
2023-08-09,12100,12800,12100,12800,200,PSC
2023-08-16,12200,12200,12200,12200,400,PSC
2023-08-18,12700,12700,12700,12700,100,PSC
2023-09-06,12000,13000,12000,13000,1200,PSC
2023-09-12,12800,12800,12800,12800,100,PSC
2023-09-18,12000,12000,12000,12000,300,PSC
2023-09-19,12800,12800,12800,12800,100,PSC
2023-09-29,12000,12000,12000,12000,500,PSC
2023-10-04,12000,12000,12000,12000,200,PSC
