time,open,high,low,close,volume,ticker
2023-01-03,10350,11060,10260,11060,30400,PSE
2023-01-05,12040,12040,10260,10440,5900,PSE
2023-01-06,9810,11060,9810,10970,8900,PSE
2023-01-09,10710,11150,10710,11150,10500,PSE
2023-01-10,11150,11150,11150,11150,14500,PSE
2023-01-11,11330,11330,11150,11150,20300,PSE
2023-01-12,11150,11240,11150,11240,11500,PSE
2023-01-13,10260,11240,10260,11240,10500,PSE
2023-01-16,10710,11150,10710,11150,11300,PSE
2023-01-17,11510,11600,11150,11600,6500,PSE
2023-01-18,12760,12760,11860,12400,4700,PSE
2023-01-19,12400,12400,12220,12220,600,PSE
2023-01-27,12220,12220,12220,12220,200,PSE
2023-01-30,11060,11060,11060,11060,43100,PSE
2023-01-31,10530,10530,9990,9990,97600,PSE
2023-02-01,9990,9990,9370,9810,77700,PSE
2023-02-02,9810,9810,8920,8920,62800,PSE
2023-02-03,9370,9370,8920,9100,37900,PSE
2023-02-06,9370,9370,9100,9370,7700,PSE
2023-02-07,9460,9460,8920,8920,9400,PSE
2023-02-08,8920,9280,8920,9280,15900,PSE
2023-02-09,9370,9370,9010,9280,1500,PSE
2023-02-10,8920,9190,8830,8830,13800,PSE
2023-02-13,8920,9100,8740,9100,10800,PSE
2023-02-14,9100,9100,8210,8740,18900,PSE
2023-02-15,8740,9010,8740,8920,9000,PSE
2023-02-16,8920,8920,8830,8920,5300,PSE
2023-02-17,8740,8920,8740,8740,18900,PSE
2023-02-20,8830,9010,8740,9010,10900,PSE
2023-02-21,9010,9100,8830,9100,5000,PSE
2023-02-22,9010,9100,9010,9010,7400,PSE
2023-02-23,8830,9010,8830,9010,6500,PSE
2023-02-24,8830,9100,8740,9100,500,PSE
2023-02-27,8560,8920,8560,8920,300,PSE
2023-02-28,9100,9100,9100,9100,100,PSE
2023-03-01,9100,9100,8650,8740,2800,PSE
2023-03-02,8830,8920,8740,8740,1700,PSE
2023-03-06,9010,9010,8650,8650,5800,PSE
2023-03-07,8650,8650,8650,8650,1500,PSE
2023-03-08,8830,8830,8650,8650,4800,PSE
2023-03-09,8740,8830,8650,8830,2800,PSE
2023-03-10,8830,8830,8740,8740,1500,PSE
2023-03-13,8920,8920,8830,8830,700,PSE
2023-03-14,8650,8740,8650,8650,5000,PSE
2023-03-15,8650,8830,8650,8830,2800,PSE
2023-03-16,8560,8830,8560,8830,6500,PSE
2023-03-17,8560,8560,8560,8560,4300,PSE
2023-03-20,8650,8650,8470,8560,10900,PSE
2023-03-21,8560,8560,8560,8560,2200,PSE
2023-03-22,8650,8650,8650,8650,100,PSE
2023-03-23,8650,8650,8650,8650,100,PSE
2023-03-24,8560,8560,8560,8560,4700,PSE
2023-03-27,8650,8650,8650,8650,100,PSE
2023-03-28,8650,8650,8650,8650,5300,PSE
2023-03-29,8830,8830,8830,8830,100,PSE
2023-03-30,8650,8650,8650,8650,300,PSE
2023-03-31,8560,8560,8560,8560,2000,PSE
2023-04-03,8830,8830,8830,8830,200,PSE
2023-04-04,8830,8830,8830,8830,100,PSE
2023-04-05,8920,9010,8920,9010,11800,PSE
2023-04-06,9010,9010,9010,9010,300,PSE
2023-04-07,9010,9010,9010,9010,2200,PSE
2023-04-07,9010,9100,9010,9100,300,PSE
2023-04-10,9280,9280,8920,9280,9500,PSE
2023-04-11,9100,9100,9100,9100,100,PSE
2023-04-12,9100,9100,9010,9010,600,PSE
2023-04-13,9100,9100,9100,9100,2300,PSE
2023-04-14,9010,9100,9010,9010,1800,PSE
2023-04-17,9190,9190,9190,9190,100,PSE
2023-04-18,9010,9010,9010,9010,10800,PSE
2023-04-19,9010,9190,8830,9190,3600,PSE
2023-04-20,8920,8920,8920,8920,300,PSE
2023-04-24,9010,9010,8920,9010,6300,PSE
2023-04-25,9010,9010,9010,9010,3000,PSE
2023-04-26,9010,9280,9010,9280,9800,PSE
2023-04-27,8920,9010,8920,9010,800,PSE
2023-04-28,9100,9100,9100,9100,5000,PSE
2023-05-04,9100,9100,9100,9100,100,PSE
2023-05-05,9100,9100,9100,9100,100,PSE
2023-05-08,9100,9100,9100,9100,1400,PSE
2023-05-09,9100,9100,9100,9100,4500,PSE
2023-05-10,9010,9100,9010,9010,7300,PSE
2023-05-11,8920,9280,8920,9100,5400,PSE
2023-05-12,9100,9190,9100,9190,4500,PSE
2023-05-15,9280,9280,9190,9190,6200,PSE
2023-05-16,9100,9100,9100,9100,300,PSE
2023-05-17,8920,8920,8920,8920,200,PSE
2023-05-18,9100,9100,9010,9010,4600,PSE
2023-05-19,9100,9100,9010,9100,1800,PSE
2023-05-22,9190,9190,9100,9100,300,PSE
2023-05-23,9100,9190,9100,9190,4400,PSE
2023-05-24,9190,9190,9190,9190,100,PSE
2023-05-25,9280,9370,9190,9190,3000,PSE
2023-05-26,9280,9460,9280,9370,6500,PSE
2023-05-29,8920,9720,8920,9630,5400,PSE
2023-05-30,9630,9720,8920,9280,43600,PSE
2023-05-31,9280,9630,9280,9460,10200,PSE
2023-06-01,9720,9720,9460,9460,6100,PSE
2023-06-02,9550,9720,9460,9550,17900,PSE
2023-06-05,9720,9720,9630,9720,3900,PSE
2023-06-06,9720,9720,9550,9630,7200,PSE
2023-06-07,9550,9810,9550,9810,17200,PSE
2023-06-08,9900,9990,9810,9900,16500,PSE
2023-06-09,9810,9810,9720,9810,5100,PSE
2023-06-12,10080,10080,9900,9990,5900,PSE
2023-06-13,9900,10170,9900,10080,22600,PSE
2023-06-14,9990,9990,9900,9990,16300,PSE
2023-06-15,9990,9990,9990,9990,10300,PSE
2023-06-16,10170,10170,9900,9900,2600,PSE
2023-06-19,9900,9900,9810,9810,8100,PSE
2023-06-20,9810,9810,9810,9810,1000,PSE
2023-06-21,9810,9900,9720,9900,12400,PSE
2023-06-22,10260,10260,9990,10080,8700,PSE
