time,open,high,low,close,volume,ticker
2023-01-03,5400,6000,5400,5900,40800,PSI
2023-01-04,5900,6100,5800,5900,45200,PSI
2023-01-05,5600,6200,5600,6000,30600,PSI
2023-01-06,6000,6000,5800,5800,19000,PSI
2023-01-09,5800,5900,5600,5800,13500,PSI
2023-01-10,5800,5800,5600,5800,12600,PSI
2023-01-11,5800,5900,5600,5600,29900,PSI
2023-01-12,5600,5800,5500,5700,11100,PSI
2023-01-13,5700,5800,5600,5700,29700,PSI
2023-01-16,5700,5800,5500,5700,16900,PSI
2023-01-17,5700,5800,5700,5800,98500,PSI
2023-01-18,5800,6000,5700,6000,13000,PSI
2023-01-19,5700,6100,5700,6000,78300,PSI
2023-01-27,6000,6600,5800,6000,46600,PSI
2023-01-30,5900,6200,5900,6100,38100,PSI
2023-01-31,6100,6100,5900,6000,39200,PSI
2023-02-01,6200,6200,5900,5900,139600,PSI
2023-02-02,6000,6000,5700,5900,28100,PSI
2023-02-03,5800,5900,5800,5800,13300,PSI
2023-02-06,5800,6000,5600,6000,23900,PSI
2023-02-07,6200,6200,5700,6000,17500,PSI
2023-02-08,5800,6000,5700,6000,37000,PSI
2023-02-09,6000,6000,5700,5900,7100,PSI
2023-02-10,5800,6000,5700,5900,6400,PSI
2023-02-13,5800,5900,5500,5500,25100,PSI
2023-02-14,5500,5600,5400,5500,30200,PSI
2023-02-15,5400,5900,5400,5800,11300,PSI
2023-02-16,5900,5900,5400,5800,13100,PSI
2023-02-17,5800,5800,5500,5700,6100,PSI
2023-02-20,5800,5900,5700,5800,20800,PSI
2023-02-21,5800,5900,5700,5800,68800,PSI
2023-02-22,5800,5800,5600,5600,30400,PSI
2023-02-23,5600,5700,5300,5700,30100,PSI
2023-02-24,5700,5700,5400,5600,8100,PSI
2023-02-27,5600,5600,5300,5300,22600,PSI
2023-02-28,5300,5500,5200,5200,23400,PSI
2023-03-01,5200,5300,5000,5200,75900,PSI
2023-03-02,5200,5500,5200,5400,27200,PSI
2023-03-03,5200,5500,5200,5300,13100,PSI
2023-03-06,5400,5500,5300,5400,11600,PSI
