time,open,high,low,close,volume,ticker
2023-01-04,45000,45000,45000,45000,100,PTI
2023-01-17,45000,45000,45000,45000,100,PTI
2023-01-31,40500,40500,40500,40500,400,PTI
2023-02-07,40000,40000,40000,40000,100,PTI
2023-02-15,36800,36800,36800,36800,100,PTI
2023-02-20,34000,34000,34000,34000,400,PTI
2023-02-21,32000,32000,32000,32000,100,PTI
2023-02-23,32000,32000,32000,32000,100,PTI
2023-02-24,29000,29000,29000,29000,100,PTI
2023-02-28,29000,29000,29000,29000,100,PTI
2023-03-01,30500,30500,30500,30500,400,PTI
2023-03-02,30600,30600,30100,30100,1100,PTI
2023-03-03,30100,31000,30100,31000,1200,PTI
2023-03-06,32000,33000,32000,33000,400,PTI
2023-03-07,32500,32600,32500,32600,200,PTI
2023-03-08,32800,33000,32800,33000,200,PTI
2023-03-10,31500,31500,31500,31500,100,PTI
2023-03-13,31500,31500,31500,31500,2600,PTI
2023-03-15,31500,31500,31500,31500,8100,PTI
2023-03-16,31500,31500,31500,31500,10000,PTI
2023-03-21,29000,32900,29000,32900,400,PTI
2023-03-22,33500,33500,33500,33500,1400,PTI
2023-03-23,33500,33500,33500,33500,1900,PTI
2023-03-24,33900,33900,33900,33900,4500,PTI
2023-03-27,31500,31500,31500,31500,400,PTI
2023-03-28,33500,33500,33500,33500,5000,PTI
2023-03-29,33500,33500,33500,33500,8000,PTI
2023-03-30,36000,36000,36000,36000,10000,PTI
2023-03-31,38500,38500,38500,38500,10000,PTI
2023-04-04,37000,37000,37000,37000,100,PTI
2023-04-05,33300,33300,33300,33300,1000,PTI
2023-04-07,30500,33000,30500,33000,1400,PTI
2023-04-07,30500,30500,30500,30500,300,PTI
2023-04-10,33000,33000,33000,33000,100,PTI
2023-04-12,31000,31000,31000,31000,300,PTI
2023-04-13,30900,30900,30900,30900,100,PTI
2023-04-14,32000,32900,32000,32900,3100,PTI
2023-04-17,32000,32000,32000,32000,100,PTI
2023-04-19,33000,33000,33000,33000,100,PTI
2023-04-20,30900,33000,30900,33000,300,PTI
2023-04-21,31100,31100,31000,31100,700,PTI
2023-04-25,28100,29900,28000,29900,6100,PTI
2023-04-26,33400,33400,33400,33400,100,PTI
2023-04-27,30100,30100,30100,30100,400,PTI
2023-05-04,29800,30100,29800,30100,2200,PTI
2023-05-05,27700,27700,27700,27700,600,PTI
2023-05-09,30000,30000,30000,30000,1700,PTI
2023-05-11,30000,30000,30000,30000,8000,PTI
2023-05-12,30000,30500,30000,30000,9200,PTI
2023-05-15,30500,30500,30000,30000,7000,PTI
2023-05-17,31900,31900,31900,31900,100,PTI
2023-05-23,32900,32900,32900,32900,100,PTI
2023-05-29,32800,32800,32800,32800,700,PTI
2023-05-30,32000,32000,32000,32000,400,PTI
2023-05-31,32900,32900,30600,30800,600,PTI
2023-06-01,32800,32800,29000,29000,10700,PTI
2023-06-02,31900,31900,30100,31900,73500,PTI
2023-06-05,31900,31900,31700,31700,1100,PTI
2023-06-06,32500,33900,32000,33900,3800,PTI
2023-06-07,34000,37200,34000,37000,46800,PTI
2023-06-08,37000,37000,35500,35500,18600,PTI
2023-06-09,35500,35500,33200,33200,8000,PTI
2023-06-12,33200,34900,33200,34900,2200,PTI
2023-06-13,33200,34800,33200,34800,6200,PTI
2023-06-14,34800,34800,33100,33100,9100,PTI
2023-06-15,33000,34800,33000,34800,20200,PTI
2023-06-16,31600,34900,31600,34900,4200,PTI
2023-06-19,35000,35000,35000,35000,10700,PTI
2023-06-20,36000,36000,35000,35700,16700,PTI
2023-06-21,35300,35500,35200,35500,17600,PTI
2023-06-22,35500,35600,35500,35600,3300,PTI
2023-06-23,35600,35600,35600,35600,24300,PTI
2023-06-26,35700,38000,35700,38000,300,PTI
2023-06-27,36100,37100,36100,36800,2800,PTI
2023-06-28,36800,36800,35000,35200,25200,PTI
2023-06-29,35000,36000,35000,36000,19700,PTI
2023-06-30,35900,37500,34100,37500,184600,PTI
2023-07-03,34100,34200,34100,34100,500,PTI
2023-07-05,33000,33000,33000,33000,1000,PTI
2023-07-07,30500,31000,30500,31000,10100,PTI
2023-07-10,31000,31000,31000,31000,100000,PTI
2023-07-11,31000,31000,30600,30600,1000,PTI
2023-07-13,30900,30900,30900,30900,400,PTI
2023-07-17,30900,30900,30900,30900,400,PTI
2023-07-18,30900,30900,30900,30900,200,PTI
2023-07-21,31000,31000,30900,30900,35900,PTI
2023-07-24,30900,30900,30900,30900,10100,PTI
2023-07-25,30300,30300,30200,30200,1500,PTI
2023-07-26,30300,30300,30300,30300,7500,PTI
2023-07-27,30200,30300,30200,30200,1500,PTI
2023-07-28,30500,30500,29900,29900,20000,PTI
2023-07-31,29800,29800,29800,29800,500,PTI
2023-08-01,29800,29800,29800,29800,1100,PTI
2023-08-03,29100,29100,29100,29100,2000,PTI
2023-08-04,28400,28400,28400,28400,100,PTI
2023-08-07,29900,30000,29900,29900,1000,PTI
2023-08-08,30300,30800,30300,30800,211300,PTI
2023-08-09,30800,30800,30500,30500,4500,PTI
2023-08-11,30000,30000,30000,30000,100,PTI
2023-08-15,30000,30000,30000,30000,100,PTI
2023-08-16,30000,30000,30000,30000,200,PTI
2023-08-18,30000,30000,29900,29900,6100,PTI
2023-08-21,29900,29900,28400,28400,1700,PTI
2023-08-23,29100,30800,29100,30800,4400,PTI
2023-08-24,31500,31500,31500,31500,200,PTI
2023-08-25,31500,31500,30200,30200,1200,PTI
2023-08-28,31000,31000,31000,31000,2100,PTI
