time,open,high,low,close,volume,ticker
2023-01-03,2100,2200,2100,2200,29000,PV2
2023-01-04,2300,2300,2100,2100,56200,PV2
2023-01-05,2100,2200,2000,2200,30400,PV2
2023-01-06,2100,2100,2000,2100,27400,PV2
2023-01-09,2200,2200,2000,2100,6700,PV2
2023-01-10,2000,2100,2000,2100,42600,PV2
2023-01-11,2100,2200,2100,2200,17900,PV2
2023-01-12,2200,2200,2000,2100,13100,PV2
2023-01-13,2100,2100,2000,2000,14200,PV2
2023-01-16,2000,2100,2000,2000,36000,PV2
2023-01-17,2000,2100,2000,2000,18000,PV2
2023-01-18,2100,2100,2000,2100,18200,PV2
2023-01-19,2000,2100,2000,2100,29200,PV2
2023-01-27,2100,2200,2100,2200,60400,PV2
2023-01-30,2200,2300,2100,2300,90800,PV2
2023-01-31,2300,2300,2200,2300,87400,PV2
2023-02-01,2300,2400,2200,2200,47500,PV2
2023-02-02,2200,2200,2000,2100,33100,PV2
2023-02-03,2100,2200,2000,2100,43500,PV2
2023-02-06,2000,2100,2000,2100,12000,PV2
2023-02-07,2100,2100,2000,2100,9300,PV2
2023-02-08,2100,2100,2000,2000,23500,PV2
2023-02-09,2100,2100,2000,2100,9000,PV2
2023-02-10,2000,2100,2000,2100,30800,PV2
2023-02-13,2000,2100,2000,2100,65600,PV2
2023-02-14,2000,2000,2000,2000,24600,PV2
2023-02-15,2000,2100,2000,2100,14500,PV2
2023-02-16,2000,2100,2000,2100,7900,PV2
2023-02-17,2100,2100,2000,2100,30200,PV2
2023-02-20,2100,2200,2100,2200,50000,PV2
2023-02-21,2200,2200,2100,2200,53800,PV2
2023-02-22,2200,2200,2000,2200,142800,PV2
2023-02-23,2100,2300,2100,2300,132300,PV2
2023-02-24,2200,2300,2200,2200,35400,PV2
2023-02-27,2100,2200,2100,2100,25800,PV2
2023-02-28,2100,2200,2100,2200,52600,PV2
2023-03-01,2000,2100,2000,2100,3500,PV2
2023-03-02,2100,2100,2000,2100,6100,PV2
2023-03-03,2000,2100,2000,2000,20800,PV2
2023-03-06,2000,2100,2000,2000,8600,PV2
2023-03-07,2100,2100,2000,2100,2800,PV2
2023-03-08,2100,2100,2000,2100,13000,PV2
2023-03-09,2000,2100,2000,2100,7800,PV2
2023-03-10,2000,2100,2000,2000,15600,PV2
2023-03-13,2000,2000,2000,2000,51400,PV2
2023-03-14,2000,2100,1900,2000,66000,PV2
2023-03-15,2000,2100,1900,2100,30200,PV2
2023-03-16,2000,2000,2000,2000,11600,PV2
2023-03-17,2100,2100,2000,2100,17700,PV2
2023-03-20,2000,2000,1900,2000,90900,PV2
2023-03-21,1900,2000,1900,2000,45700,PV2
2023-03-22,2000,2000,2000,2000,100,PV2
2023-03-23,1900,1900,1900,1900,7300,PV2
2023-03-24,2100,2100,2100,2100,2000,PV2
2023-03-27,2100,2100,2100,2100,200,PV2
2023-03-28,2000,2000,2000,2000,2700,PV2
2023-03-29,2000,2000,2000,2000,300,PV2
2023-03-30,2100,2100,2100,2100,8600,PV2
2023-03-31,2000,2000,2000,2000,1100,PV2
2023-04-03,2100,2100,2100,2100,4200,PV2
2023-04-04,2100,2100,2100,2100,200,PV2
2023-04-05,2100,2100,2100,2100,100,PV2
2023-04-06,2100,2100,2100,2100,5000,PV2
2023-04-07,2000,2100,2000,2100,43200,PV2
2023-04-07,2000,2000,2000,2000,28000,PV2
2023-04-10,2100,2100,2100,2100,700,PV2
2023-04-11,2000,2000,2000,2000,1000,PV2
2023-04-12,2000,2100,2000,2100,23200,PV2
2023-04-13,2100,2100,2000,2000,36100,PV2
2023-04-14,1900,1900,1900,1900,3600,PV2
2023-04-17,1900,2000,1900,2000,54600,PV2
2023-04-18,2000,2000,2000,2000,500,PV2
2023-04-19,2000,2000,2000,2000,700,PV2
2023-04-20,2000,2000,1900,1900,3800,PV2
2023-04-21,2000,2000,1900,1900,29900,PV2
2023-04-24,1900,1900,1900,1900,100,PV2
2023-04-25,2000,2000,2000,2000,100,PV2
2023-04-26,1900,1900,1900,1900,2200,PV2
2023-04-27,2000,2000,1900,1900,2100,PV2
2023-04-28,1900,2000,1900,1900,24200,PV2
2023-05-04,1900,1900,1900,1900,14200,PV2
2023-05-05,2000,2000,1900,2000,4500,PV2
2023-05-08,1900,2000,1900,2000,20500,PV2
2023-05-09,2000,2000,1900,2000,33900,PV2
2023-05-10,1900,2000,1900,2000,300,PV2
2023-05-11,2100,2100,2100,2100,700,PV2
2023-05-12,2200,2200,2200,2200,500,PV2
2023-05-15,2000,2300,2000,2300,107500,PV2
2023-05-16,2200,2300,2200,2300,13500,PV2
2023-05-17,2300,2400,2200,2300,95000,PV2
2023-05-18,2400,2500,2400,2400,24000,PV2
2023-05-19,2400,2400,2200,2200,47200,PV2
2023-05-22,2300,2300,2200,2200,20000,PV2
2023-05-23,2300,2300,2200,2200,24800,PV2
2023-05-24,2300,2300,2200,2300,42300,PV2
2023-05-25,2300,2300,2200,2300,90100,PV2
2023-05-26,2300,2400,2200,2300,86300,PV2
2023-05-29,2300,2500,2300,2500,344700,PV2
2023-05-30,2600,2700,2500,2500,314600,PV2
2023-05-31,2600,2700,2500,2700,257400,PV2
2023-06-01,2700,2900,2700,2800,263300,PV2
2023-06-02,2900,3000,2600,2700,495200,PV2
