time,open,high,low,close,volume,ticker
2023-01-03,12200,13000,12200,12800,1573200,PVC
2023-01-04,12700,14000,12500,14000,4333400,PVC
2023-01-05,14300,14400,13500,14100,1699100,PVC
2023-01-06,14300,14500,13600,13600,2357300,PVC
2023-01-09,13700,14000,13500,13800,1604500,PVC
2023-01-10,13900,14400,13600,14100,1852400,PVC
2023-01-11,14100,14500,13700,13700,1982000,PVC
2023-01-12,13800,15000,13800,15000,4335800,PVC
2023-01-13,15100,15400,14500,14800,1510800,PVC
2023-01-16,14900,15100,14600,14800,1270400,PVC
2023-01-17,14800,15400,14700,15200,2263800,PVC
2023-01-18,15600,16000,15200,15200,1783100,PVC
2023-01-19,15300,15500,14900,15100,2114700,PVC
2023-01-27,15100,15900,15000,15200,1792100,PVC
2023-01-30,15200,15700,14900,15100,2634600,PVC
2023-01-31,15200,15600,14900,15600,2050500,PVC
2023-02-01,15600,15800,14100,14100,2694000,PVC
2023-02-02,14100,14400,13300,13500,2150100,PVC
2023-02-03,13600,13900,13300,13600,1107300,PVC
2023-02-06,13600,13800,13400,13600,704800,PVC
2023-02-07,13800,14200,13500,13500,1397300,PVC
2023-02-08,13600,13900,13300,13500,1015400,PVC
2023-02-09,13800,14500,13600,14300,1929800,PVC
2023-02-10,14400,14400,13700,13900,778300,PVC
2023-02-13,14300,14300,13200,13600,1883500,PVC
2023-02-14,13700,14000,13600,13800,519400,PVC
2023-02-15,13600,14300,13600,13900,1093100,PVC
2023-02-16,14000,15200,14000,15000,3002200,PVC
2023-02-17,15000,15000,14600,14800,1417400,PVC
2023-02-20,14800,15700,14600,15600,2658000,PVC
2023-02-21,15700,16000,15300,15300,2653000,PVC
2023-02-22,15300,16700,14600,14600,5390200,PVC
2023-02-23,14600,15300,14300,15200,2492000,PVC
2023-02-24,15400,16000,14900,15200,2252300,PVC
2023-02-27,15000,15300,14600,14800,1911200,PVC
2023-02-28,14800,15300,14500,14800,1204700,PVC
2023-03-01,14800,15900,14600,15800,2986500,PVC
2023-03-02,15800,16100,15500,15900,1967800,PVC
2023-03-03,15900,16700,15500,15600,3001300,PVC
2023-03-06,15700,16200,15400,15600,1968800,PVC
2023-03-07,15900,16200,15700,16200,1669600,PVC
2023-03-08,15900,16600,15900,16500,2318400,PVC
2023-03-09,16600,16700,16100,16100,1957100,PVC
2023-03-10,15600,16300,15600,15800,2191200,PVC
2023-03-13,15700,15800,15200,15300,2137600,PVC
2023-03-14,15400,15600,14500,14600,2768400,PVC
2023-03-15,14800,15300,14800,15200,1970500,PVC
2023-03-16,15100,15100,14500,14700,1894200,PVC
2023-03-17,14700,15000,14600,14700,955200,PVC
2023-03-20,14700,14700,13900,13900,2358900,PVC
2023-03-21,14000,14400,13900,14300,1138000,PVC
2023-03-22,14500,14600,14300,14300,676000,PVC
2023-03-23,14200,14600,14100,14500,914300,PVC
2023-03-24,14400,14700,14400,14600,921000,PVC
2023-03-27,14700,14800,14500,14700,723400,PVC
2023-03-28,15000,15200,14800,14900,1192100,PVC
2023-03-29,14800,14900,14600,14600,745200,PVC
2023-03-30,14900,15000,14600,14700,727500,PVC
2023-03-31,14500,14800,14400,14500,814600,PVC
2023-04-03,15000,15400,15000,15300,2829800,PVC
2023-04-04,15600,15800,15300,15500,1830300,PVC
2023-04-05,15600,16000,15500,15500,2075700,PVC
2023-04-06,15700,15900,15400,15600,2064500,PVC
2023-04-07,15400,15500,15100,15200,1117100,PVC
2023-04-10,15300,15700,15100,15200,1538300,PVC
2023-04-11,15100,16200,15100,16000,3904300,PVC
2023-04-12,16400,16900,16100,16300,3230200,PVC
2023-04-13,16600,17000,16200,16200,2946700,PVC
2023-04-14,16300,16500,15700,15700,2038300,PVC
2023-04-17,16000,16000,15400,15500,982600,PVC
