time,open,high,low,close,volume,ticker
2023-01-03,10290,10290,9520,10000,3100,PVM
2023-01-04,8670,10190,8670,9810,13800,PVM
2023-01-05,10190,10760,10190,10190,16200,PVM
2023-01-06,10380,10380,9710,9810,5900,PVM
2023-01-09,9810,9900,9520,9520,1400,PVM
2023-01-10,10670,10670,10570,10570,36800,PVM
2023-01-12,9810,10570,9810,10380,900,PVM
2023-01-13,10670,10670,10000,10000,400,PVM
2023-01-16,9620,9810,9620,9810,3000,PVM
2023-01-17,10570,10570,9900,9900,19100,PVM
2023-01-18,11430,12000,10570,10570,2800,PVM
2023-01-19,11140,11140,10190,11140,300,PVM
2023-01-27,10760,10760,10480,10480,1000,PVM
2023-01-30,10670,10670,10190,10190,700,PVM
2023-01-31,10570,10570,10000,10100,6900,PVM
2023-02-01,10570,10570,10570,10570,100,PVM
2023-02-02,10570,10570,10570,10570,1000,PVM
2023-02-03,10570,10570,10380,10380,300,PVM
2023-02-06,10000,10190,10000,10100,14700,PVM
2023-02-07,10000,10000,9900,9900,1700,PVM
2023-02-08,10000,10480,10000,10480,200,PVM
2023-02-09,10190,10190,10190,10190,4000,PVM
2023-02-10,9900,10190,9900,10190,4300,PVM
2023-02-13,9810,9900,9710,9710,6000,PVM
2023-02-14,10000,10480,10000,10000,900,PVM
2023-02-15,10380,10380,10290,10290,200,PVM
2023-02-16,10290,10290,10290,10290,600,PVM
2023-02-20,9810,9810,9810,9810,20000,PVM
2023-02-21,10000,10100,9810,9810,1700,PVM
2023-02-22,10290,11430,10290,11430,113800,PVM
2023-02-23,11900,11900,10860,11050,15400,PVM
2023-02-24,11620,11620,10860,11050,9500,PVM
2023-02-27,11900,11900,10860,10950,11900,PVM
2023-02-28,11520,11520,10950,10950,3300,PVM
2023-03-01,11240,11240,10950,11050,15000,PVM
2023-03-02,11050,11140,10950,10950,7100,PVM
2023-03-03,11050,11050,11050,11050,11700,PVM
2023-03-06,11900,11900,10950,11520,8500,PVM
2023-03-07,11430,12100,11430,11900,57900,PVM
2023-03-08,12950,12950,12000,12860,57100,PVM
2023-03-09,12860,14290,12860,14100,81400,PVM
2023-03-10,14570,14570,13810,13810,22700,PVM
2023-03-13,14570,14570,13810,14000,25400,PVM
2023-03-14,14000,14100,13520,13620,29500,PVM
2023-03-15,14190,14190,13810,14000,3400,PVM
2023-03-16,13810,13810,13810,13810,9400,PVM
2023-03-17,13430,13810,13430,13810,3800,PVM
2023-03-20,13330,13330,13330,13330,9100,PVM
2023-03-21,12380,13520,12380,13520,1300,PVM
2023-03-22,13620,13620,13620,13620,4000,PVM
2023-03-23,14190,14190,14190,14190,100,PVM
2023-03-24,13520,13520,13520,13520,100,PVM
2023-03-27,14100,14100,14100,14100,100,PVM
2023-03-28,13900,14190,13810,14190,14400,PVM
2023-03-29,14190,14190,14190,14190,1000,PVM
2023-03-30,14100,14100,14100,14100,1000,PVM
2023-03-31,14100,14100,14100,14100,100,PVM
2023-04-03,13620,13620,13620,13620,2000,PVM
2023-04-04,13430,13430,13430,13430,900,PVM
2023-04-05,13810,13810,12950,12950,3500,PVM
2023-04-06,12950,12950,12950,12950,100,PVM
2023-04-07,13810,13810,12480,12480,4700,PVM
2023-04-07,13810,13810,13810,13810,2000,PVM
2023-04-10,13520,13520,13520,13520,100,PVM
2023-04-11,13520,13520,13520,13520,4400,PVM
2023-04-12,13520,13520,13520,13520,500,PVM
2023-04-13,13520,13520,13520,13520,100,PVM
2023-04-14,13520,13520,13520,13520,300,PVM
2023-04-17,13330,13330,13330,13330,100,PVM
2023-04-18,13330,13330,12860,12860,2000,PVM
2023-04-19,12860,12860,12860,12860,400,PVM
2023-04-20,12860,12860,12860,12860,2000,PVM
2023-04-21,13430,13430,13430,13430,200,PVM
2023-04-25,13240,13430,12760,12760,10100,PVM
2023-04-26,14290,14290,14290,14290,100,PVM
2023-04-27,13330,13430,13330,13330,5700,PVM
2023-04-28,14000,14000,14000,14000,200,PVM
2023-05-04,14380,14380,14380,14380,300,PVM
2023-05-05,14000,14000,13520,13520,37500,PVM
2023-05-08,14000,14000,13710,13710,800,PVM
2023-05-09,13620,14100,13620,14000,11600,PVM
2023-05-10,14290,14290,13520,13900,29500,PVM
2023-05-11,13620,13620,13620,13620,10000,PVM
2023-05-12,13620,13710,13620,13710,9700,PVM
2023-05-15,14100,14100,13520,13520,15500,PVM
2023-05-16,15710,15710,13810,13810,83500,PVM
2023-05-17,14000,14000,13710,13710,14300,PVM
2023-05-18,13620,13710,13620,13620,7600,PVM
2023-05-19,13710,13710,13620,13620,8700,PVM
2023-05-22,13900,14100,13710,13710,1400,PVM
2023-05-23,13710,13710,13520,13520,6500,PVM
2023-05-24,13520,13710,13520,13710,2100,PVM
2023-05-25,13520,13520,13430,13520,12000,PVM
2023-05-26,13430,13620,13330,13430,5200,PVM
2023-05-29,13520,13810,13520,13810,17400,PVM
2023-05-30,14380,14380,13710,13710,400,PVM
2023-05-31,13710,13710,13430,13710,4700,PVM
2023-06-01,13430,13620,13330,13620,41900,PVM
2023-06-02,13520,13620,13520,13520,2700,PVM
2023-06-05,13520,13710,13520,13520,23600,PVM
2023-06-06,13520,13620,13520,13520,4200,PVM
2023-06-07,13710,13710,13330,13330,15700,PVM
2023-06-08,13520,13520,13330,13330,16300,PVM
2023-06-09,13430,13430,13330,13330,8300,PVM
2023-06-12,13430,13430,13140,13140,9400,PVM
2023-06-13,13430,13710,13430,13520,21500,PVM
2023-06-14,13430,13520,13330,13330,2400,PVM
2023-06-15,13900,13900,13330,13330,33600,PVM
2023-06-16,13330,13330,13140,13240,61400,PVM
2023-06-19,13240,13520,13140,13140,14900,PVM
2023-06-20,13140,13620,13050,13050,4100,PVM
2023-06-21,13050,13430,12950,12950,11200,PVM
2023-06-22,13050,13430,12860,12860,18100,PVM
2023-06-23,12860,13140,12860,12950,4700,PVM
2023-06-26,13240,13240,12570,12950,2200,PVM
2023-06-27,12860,13240,12860,13240,5400,PVM
2023-06-28,13140,13140,13050,13140,2700,PVM
2023-06-29,13050,13140,12860,12860,12100,PVM
2023-06-30,12860,13050,12670,12670,14200,PVM
2023-07-03,13330,13330,12860,12860,1000,PVM
2023-07-04,12670,13240,12670,13140,4600,PVM
2023-07-05,12950,13240,12860,13240,2700,PVM
2023-07-06,12860,12860,12480,12480,11600,PVM
2023-07-07,12760,12760,12760,12760,1400,PVM
2023-07-10,12760,12760,12760,12760,5900,PVM
2023-07-11,13140,13140,12760,12760,4200,PVM
2023-07-12,12760,12760,12670,12760,17700,PVM
2023-07-13,12760,13140,12760,12760,5800,PVM
2023-07-14,12860,12860,12760,12860,7400,PVM
2023-07-17,12860,12860,12760,12760,11200,PVM
2023-07-18,13050,13050,12760,12760,4100,PVM
2023-07-19,12760,12860,12760,12760,8300,PVM
2023-07-20,12670,12760,12670,12760,4200,PVM
2023-07-21,13140,13140,12670,12860,27000,PVM
2023-07-24,12760,12760,12670,12760,34800,PVM
2023-07-25,12860,12860,12570,12860,29000,PVM
2023-07-26,12670,12760,12670,12760,17600,PVM
2023-07-27,12860,13050,12860,13050,35600,PVM
2023-07-28,13140,13900,13140,13900,53200,PVM
2023-07-31,13810,13810,13330,13710,105300,PVM
2023-08-01,14290,15620,13810,15620,541700,PVM
2023-08-02,15710,16760,15710,16379,176300,PVM
2023-08-03,16670,16670,15240,15430,132400,PVM
2023-08-04,15520,15520,14670,15330,226300,PVM
2023-08-07,15330,15330,14570,14950,91600,PVM
2023-08-08,14760,15620,14760,15140,79200,PVM
2023-08-09,15140,15330,14950,14950,26300,PVM
2023-08-10,15050,15050,14760,14760,36300,PVM
2023-08-11,14670,14760,14570,14670,22500,PVM
2023-08-14,14670,15050,14380,14570,28400,PVM
2023-08-15,14950,14950,14290,14570,12100,PVM
2023-08-16,14760,14760,14290,14570,15800,PVM
2023-08-17,14480,14480,14100,14380,26000,PVM
2023-08-18,13810,14570,13330,13330,91600,PVM
2023-08-21,13330,13810,13330,13710,44300,PVM
2023-08-22,13520,14100,13140,13810,22600,PVM
2023-08-23,13520,13900,13430,13810,1000,PVM
2023-08-24,13710,14000,13520,13620,9700,PVM
2023-08-25,13710,13710,13330,13620,11800,PVM
2023-08-28,13430,13430,13140,13140,27900,PVM
2023-08-29,13330,13520,13330,13330,13800,PVM
2023-08-30,13430,13710,13430,13430,8900,PVM
2023-08-31,13900,13900,13520,13520,400,PVM
2023-09-05,13330,13710,13330,13330,19200,PVM
2023-09-06,13330,13620,13140,13620,56800,PVM
2023-09-07,13330,13620,13240,13330,25200,PVM
2023-09-08,13330,13330,13330,13330,8000,PVM
2023-09-11,13430,13620,13140,13240,26100,PVM
2023-09-12,13240,13430,13140,13330,60300,PVM
2023-09-13,13430,14100,13330,13620,69700,PVM
2023-09-14,13900,13900,13710,13810,30900,PVM
2023-09-15,13900,14380,13900,14100,110400,PVM
2023-09-18,14380,14570,14190,14290,65700,PVM
2023-09-19,14290,14290,13810,14290,31900,PVM
2023-09-20,14190,14190,13810,13900,10700,PVM
2023-09-21,13900,14290,13620,14290,56800,PVM
2023-09-22,14200,14200,13700,13800,42100,PVM
2023-09-25,13900,14000,13200,13400,9300,PVM
2023-09-26,12000,13500,12000,13200,11700,PVM
2023-09-27,11500,13100,11500,12600,41500,PVM
2023-09-28,14400,14400,12700,13000,43800,PVM
2023-09-29,14000,14000,12700,12900,6400,PVM
2023-10-02,13400,13400,12900,13400,1400,PVM
2023-10-03,13400,13400,12500,12900,10900,PVM
2023-10-04,13000,13000,12600,12800,5000,PVM
2023-10-05,13000,13000,12300,12500,9400,PVM
2023-10-06,11000,12800,11000,12800,800,PVM
2023-10-09,12500,13000,12400,12900,8500,PVM
2023-10-10,12600,12900,12600,12900,2400,PVM
2023-10-11,14400,14400,12600,13500,6700,PVM
2023-10-12,13300,14000,12700,14000,34400,PVM
