time,open,high,low,close,volume,ticker
2023-01-03,12760,12760,11450,12100,260200,PVP
2023-01-04,12100,12570,12010,12290,311900,PVP
2023-01-05,12290,12380,11820,11920,318900,PVP
2023-01-06,11730,12200,11360,12010,357800,PVP
2023-01-18,12340,33700,12340,33660,334500,PVP
2023-01-19,12940,12940,12340,12380,372000,PVP
2023-01-27,12430,12850,12100,12240,282800,PVP
2023-01-30,12380,33800,11780,11780,590800,PVP
2023-01-31,11500,12010,11500,11730,191400,PVP
2023-02-01,11870,11870,11170,11170,369700,PVP
2023-02-02,33660,33660,33520,33520,582800,PVP
2023-02-03,10800,33610,10800,33520,287400,PVP
2023-02-06,10990,10990,10710,10890,75900,PVP
2023-02-07,10850,10940,10610,10610,85300,PVP
2023-02-08,10610,10750,10470,10710,104900,PVP
2023-02-09,10800,10940,10710,10940,90800,PVP
2023-02-10,10940,10990,10660,10660,90300,PVP
2023-02-13,10850,10850,10290,10430,82800,PVP
2023-02-14,10520,10610,10240,10470,37900,PVP
2023-02-15,10470,10890,10330,10890,94400,PVP
2023-02-16,10940,11310,10800,11170,154800,PVP
2023-02-17,11170,11170,10940,11170,65900,PVP
2023-02-20,11030,11310,10990,11130,323400,PVP
2023-02-21,11170,11170,11080,11130,136000,PVP
2023-02-22,11080,11500,10940,11130,393700,PVP
2023-02-23,11130,11170,10800,11170,63300,PVP
2023-02-24,11170,11360,10850,11130,119200,PVP
2023-02-27,10710,10940,10610,10940,121400,PVP
2023-02-28,10940,10990,10710,10710,43200,PVP
2023-03-01,10710,11450,10710,11450,828700,PVP
2023-03-02,11270,11500,11170,11220,142000,PVP
2023-03-03,11360,11410,10940,11080,334800,PVP
2023-03-06,11130,11540,11030,11030,396100,PVP
2023-03-07,11170,11450,11030,11170,118800,PVP
2023-03-08,11030,11360,11030,11360,305800,PVP
2023-03-09,11360,11450,11170,11220,94200,PVP
2023-03-10,11220,11220,11080,11170,145000,PVP
2023-03-13,10800,11080,10800,11080,117700,PVP
2023-03-14,10990,10990,10470,10610,285500,PVP
2023-03-15,10750,10990,10710,10940,123800,PVP
2023-03-16,10850,10850,10470,10710,220400,PVP
2023-03-17,10710,10800,10430,10430,124700,PVP
2023-03-20,10470,10520,9780,9780,434000,PVP
2023-03-21,9920,10010,9730,9920,126400,PVP
2023-03-22,10100,10150,10010,10150,28200,PVP
2023-03-23,9960,10060,9870,10060,22600,PVP
2023-03-24,10100,10150,10100,10150,600,PVP
2023-03-27,10060,10100,9920,10010,72400,PVP
2023-03-28,10060,10150,10060,10100,25200,PVP
2023-03-29,10100,10150,9870,9960,61500,PVP
2023-03-30,10060,10100,10010,10060,20200,PVP
2023-03-31,10100,10100,10100,10100,100,PVP
2023-04-03,10330,10330,10240,10290,10200,PVP
2023-04-04,10520,10660,10290,10520,213900,PVP
2023-04-05,10660,10800,10660,10710,65100,PVP
2023-04-06,10890,10890,10570,10570,161300,PVP
2023-04-07,10610,10990,10570,10850,233500,PVP
2023-04-10,10990,11080,10890,10890,246400,PVP
2023-04-11,11030,11270,10850,10940,160300,PVP
2023-04-12,11170,11170,10890,10940,162300,PVP
2023-04-13,11030,11080,10890,10890,133300,PVP
2023-04-14,10850,11030,10570,10570,165600,PVP
2023-04-17,10610,10610,10430,10520,91800,PVP
2023-04-18,10660,10660,10430,10430,50800,PVP
2023-04-19,10800,11130,10610,10750,381200,PVP
2023-04-20,10750,11030,10750,10750,147600,PVP
2023-04-21,10890,11450,10890,11080,612100,PVP
2023-04-24,11170,11640,11170,11270,619800,PVP
2023-04-25,11450,11540,11130,11170,458100,PVP
2023-04-26,11170,11360,10940,11170,214200,PVP
2023-04-27,11080,11360,10990,11130,112600,PVP
2023-04-28,11170,11310,11030,11080,264500,PVP
2023-05-04,11080,11310,11030,11270,251300,PVP
2023-05-05,11360,11450,11220,11360,365500,PVP
2023-05-08,11450,12010,11450,12010,833900,PVP
2023-05-09,12010,12060,11870,11870,290600,PVP
2023-05-10,11870,11870,11730,11780,305200,PVP
2023-05-11,11820,12380,11730,11920,528600,PVP
2023-05-12,12060,12060,11870,12010,447200,PVP
2023-05-15,11960,11960,11640,11640,506900,PVP
2023-05-16,11640,11820,11500,11540,495300,PVP
2023-05-17,11540,11640,11410,11410,327500,PVP
2023-05-18,11540,11590,11450,11450,204400,PVP
2023-05-19,11640,11820,11540,11590,241900,PVP
2023-05-22,11920,12200,11920,11960,350900,PVP
2023-05-23,11920,12060,11730,11780,249500,PVP
2023-05-24,11870,11870,11640,11680,272300,PVP
2023-05-25,11640,11780,11640,11680,199900,PVP
2023-05-26,11730,11960,11730,11960,344400,PVP
2023-05-29,12200,12520,12010,12200,508200,PVP
2023-05-30,12200,12380,12150,12240,329800,PVP
2023-05-31,12290,12340,12100,12150,377900,PVP
2023-06-01,12240,12240,12060,12150,199200,PVP
2023-06-02,12200,12290,12150,12290,297100,PVP
2023-06-05,12340,12940,12290,12660,614700,PVP
2023-06-06,12480,12760,12480,12710,214000,PVP
2023-06-07,12620,12710,12480,12570,163200,PVP
2023-06-08,12620,12890,12430,12430,391900,PVP
2023-06-09,12430,12480,12290,12380,249500,PVP
2023-06-12,12290,12480,12290,12430,206600,PVP
2023-06-13,12430,12520,12290,12430,158100,PVP
2023-06-14,12380,12520,12290,12430,168000,PVP
2023-06-15,12430,12480,12290,12480,108600,PVP
2023-06-16,12570,12760,12480,12480,258400,PVP
2023-06-19,12480,12480,12240,12430,140000,PVP
2023-06-20,12430,12430,12290,12430,221200,PVP
2023-06-21,12430,12480,12290,12480,182500,PVP
2023-06-22,12480,12570,12380,12570,271300,PVP
2023-06-23,12620,12710,12570,12710,379800,PVP
2023-06-26,12760,12760,12380,12570,151900,PVP
2023-06-27,12570,13410,12570,13410,2017800,PVP
2023-06-28,13690,13920,13500,13590,368400,PVP
2023-06-29,13590,13690,13030,13030,640400,PVP
2023-06-30,13130,13220,12940,12990,598300,PVP
2023-07-03,13500,13500,12990,13030,380000,PVP
2023-07-04,13030,13310,12940,13310,356200,PVP
2023-07-05,13310,13360,13030,13170,298100,PVP
2023-07-06,13170,13170,12890,13030,233900,PVP
2023-07-07,13030,13130,12850,13030,205100,PVP
2023-07-10,13030,13310,13030,13270,226900,PVP
2023-07-11,13270,13410,13030,13170,223300,PVP
2023-07-12,13270,13500,13170,13410,327700,PVP
2023-07-13,13450,13500,13170,13360,301200,PVP
2023-07-14,13410,13500,13130,13310,238500,PVP
2023-07-17,13220,13360,13170,13310,220400,PVP
2023-07-18,13310,13590,13310,13410,368800,PVP
2023-07-19,14340,14340,14340,14340,751100,PVP
2023-07-20,15130,15130,14480,14660,1700800,PVP
2023-07-21,14660,14710,14430,14520,459400,PVP
2023-07-24,14520,14520,14200,14340,525800,PVP
2023-07-25,14480,14480,14010,14110,630600,PVP
