time,open,high,low,close,volume,ticker
2023-01-03,3000,3300,3000,3200,38500,PXT
2023-01-04,3300,3300,3200,3300,96700,PXT
2023-01-05,3300,3300,3100,3200,9500,PXT
2023-01-06,3100,3200,3100,3100,41100,PXT
2023-01-09,3100,3100,3000,3100,33400,PXT
2023-01-10,3000,3100,3000,3000,16800,PXT
2023-01-11,3000,3100,3000,3100,25900,PXT
2023-01-12,3100,3200,3000,3200,44400,PXT
2023-01-13,3200,3200,3100,3200,44900,PXT
2023-01-16,3200,3200,3000,3100,20000,PXT
2023-01-17,3100,3100,3000,3000,138900,PXT
2023-01-18,3000,3100,3000,3100,10500,PXT
2023-01-19,3100,3200,2900,3100,125700,PXT
2023-01-27,3100,3200,3100,3100,135400,PXT
2023-01-30,3100,3400,3100,3400,121300,PXT
2023-01-31,3300,3400,3300,3400,30000,PXT
2023-02-01,2900,3400,2900,3100,101500,PXT
2023-02-02,3200,3300,3100,3100,62800,PXT
2023-02-03,3200,3200,3100,3200,17300,PXT
2023-02-06,3100,3200,3000,3100,43000,PXT
2023-02-07,3200,3200,3000,3100,30600,PXT
2023-02-08,3000,3100,3000,3000,30500,PXT
2023-02-09,3100,3100,3000,3100,20700,PXT
2023-02-10,3000,3000,3000,3000,32100,PXT
2023-02-13,3000,3000,2900,2900,14800,PXT
2023-02-14,3000,3000,2800,3000,17700,PXT
2023-02-15,3000,3100,2900,3100,22700,PXT
2023-02-16,3100,3200,3000,3100,75400,PXT
2023-02-17,3100,3100,3000,3100,73700,PXT
2023-02-20,3100,3100,2900,3100,129500,PXT
2023-02-21,3100,3100,3000,3000,21300,PXT
2023-02-22,2900,3400,2900,3200,454500,PXT
2023-02-23,3300,3400,3100,3400,81300,PXT
2023-02-24,3400,3500,3300,3300,251400,PXT
2023-02-27,3300,3400,3200,3300,71400,PXT
2023-02-28,3300,3300,3200,3200,37400,PXT
2023-03-01,3200,3400,3200,3400,27900,PXT
2023-03-02,3300,3400,3200,3200,31600,PXT
2023-03-03,3300,3400,3200,3300,74100,PXT
2023-03-06,3400,3400,3200,3300,12400,PXT
2023-03-07,3300,3300,3200,3200,28900,PXT
2023-03-08,3100,3200,3100,3200,30800,PXT
2023-03-09,3200,3300,3100,3200,17900,PXT
2023-03-10,3100,3200,3000,3100,48800,PXT
2023-03-13,3000,3000,3000,3000,83500,PXT
2023-03-14,3000,3100,2900,2900,25900,PXT
2023-03-15,3000,3100,3000,3100,80800,PXT
2023-03-16,3000,3200,3000,3100,11400,PXT
2023-03-17,3100,3100,3000,3100,46100,PXT
2023-03-20,3000,3100,2900,2900,18500,PXT
2023-03-21,3000,3000,2900,3000,62100,PXT
