time,open,high,low,close,volume,ticker
2023-01-03,3980,4250,3900,4250,188400,QCG
2023-01-04,4400,4400,4200,4300,156600,QCG
2023-01-05,4500,4500,4180,4300,29000,QCG
2023-01-06,4280,4310,4000,4260,114700,QCG
2023-01-09,4150,4300,4150,4170,42700,QCG
2023-01-10,4190,4190,4100,4170,77900,QCG
2023-01-11,4180,4340,4180,4180,80900,QCG
2023-01-12,4160,4200,4150,4190,55600,QCG
2023-01-13,4200,4250,4100,4190,162100,QCG
2023-01-16,4200,4200,4100,4200,86000,QCG
2023-01-17,4200,4200,4100,4180,401000,QCG
2023-01-18,4200,4320,4180,4300,102800,QCG
2023-01-19,4350,4400,4270,4400,121600,QCG
2023-01-27,4400,4600,4100,4390,145900,QCG
2023-01-30,4570,4600,4390,4510,172900,QCG
2023-01-31,4500,4500,4330,4450,193800,QCG
2023-02-01,4520,4520,4290,4350,129500,QCG
2023-02-02,4400,4400,4050,4250,86600,QCG
2023-02-03,4250,4350,4200,4200,27500,QCG
2023-02-06,4200,4250,4150,4250,129200,QCG
2023-02-07,4330,4330,4110,4110,53200,QCG
2023-02-08,4120,4190,4000,4180,55000,QCG
2023-02-09,4200,4200,4140,4190,43700,QCG
2023-02-10,4160,4160,4080,4110,42300,QCG
2023-02-13,4100,4220,3980,4000,39400,QCG
2023-02-14,4000,4000,3920,4000,35200,QCG
2023-02-15,4000,4180,3950,4100,208100,QCG
2023-02-16,4190,4190,4000,4090,133300,QCG
2023-02-17,4090,4100,4000,4000,195400,QCG
2023-02-20,4000,4190,4000,4160,303400,QCG
2023-02-21,4280,4280,4100,4160,253600,QCG
2023-02-22,4100,4130,3980,3980,198300,QCG
2023-02-23,4000,4080,3880,4000,130400,QCG
2023-02-24,4000,4000,3940,3950,117900,QCG
2023-02-27,3930,3990,3810,3900,117900,QCG
2023-02-28,3950,3960,3880,3890,71600,QCG
2023-03-01,3880,3890,3800,3890,110100,QCG
2023-03-02,3890,3910,3860,3900,57500,QCG
