time,open,high,low,close,volume,ticker
2023-01-03,3300,3300,3300,3300,200,QNT
2023-02-01,3700,3700,3700,3700,900,QNT
2023-02-15,4000,4000,4000,4000,100,QNT
2023-02-24,4300,4300,4300,4300,100,QNT
2023-02-27,4900,4900,4900,4900,100,QNT
2023-02-28,5600,5600,5600,5600,1700,QNT
2023-03-01,6400,6400,6400,6400,200,QNT
2023-03-02,7300,7300,6400,7300,400,QNT
2023-03-17,7900,7900,7900,7900,100,QNT
2023-03-22,9000,9000,9000,9000,100,QNT
2023-04-20,10300,10300,10300,10300,100,QNT
2023-04-21,6800,6800,6800,6800,500,QNT
2023-04-24,5800,5800,5800,5800,1000,QNT
2023-04-27,5000,5000,5000,5000,100,QNT
2023-04-28,4300,4300,4300,4300,500,QNT
2023-05-10,3700,3700,3700,3700,100,QNT
2023-05-17,3700,3700,3700,3700,100,QNT
2023-05-26,3700,3700,3700,3700,200,QNT
2023-05-30,3700,3700,3700,3700,100,QNT
2023-06-07,4000,4000,4000,4000,100,QNT
2023-07-14,4000,4000,4000,4000,100,QNT
2023-07-18,4600,4600,4600,4600,100,QNT
2023-07-19,4000,4000,4000,4000,100,QNT
2023-07-31,4600,4600,4600,4600,100,QNT
2023-08-01,4600,4700,4500,4700,600,QNT
2023-08-02,4700,5200,4700,5200,200,QNT
2023-08-03,5700,5700,5700,5700,400,QNT
2023-08-04,6000,6000,6000,6000,100,QNT
2023-08-07,6600,6600,6600,6600,700,QNT
2023-08-08,7000,7000,6400,6400,500,QNT
2023-08-09,5600,5600,5600,5600,200,QNT
2023-08-10,4800,4900,4800,4900,1000,QNT
2023-08-11,5500,5500,5000,5200,2100,QNT
2023-08-14,5800,5800,5800,5800,500,QNT
2023-08-15,6500,6500,5000,5500,3300,QNT
2023-08-16,5000,6300,4800,6300,1200,QNT
2023-08-17,7000,7000,7000,7000,1000,QNT
2023-08-18,7100,8000,6000,8000,1900,QNT
2023-08-21,8500,8500,7400,7400,200,QNT
2023-08-22,9200,9200,8500,8500,500,QNT
2023-08-23,8000,8000,8000,8000,100,QNT
2023-08-24,8900,9200,8900,9200,800,QNT
2023-08-25,10500,10500,10500,10500,100,QNT
2023-08-28,9000,9000,9000,9000,200,QNT
2023-08-29,8500,9000,7700,9000,300,QNT
2023-08-31,9400,9400,8400,8400,200,QNT
2023-09-07,10200,10200,10200,10200,500,QNT
2023-09-08,10200,10200,10200,10200,100,QNT
2023-09-12,11700,11700,11700,11700,400,QNT
2023-09-13,12700,12700,12700,12700,400,QNT
2023-09-14,12700,12700,12500,12500,1000,QNT
2023-09-15,14400,14400,13500,13500,300,QNT
2023-09-20,14000,16000,13400,13400,2100,QNT
2023-09-21,13300,13300,12200,12200,1100,QNT
2023-09-22,10500,14100,10500,10500,1100,QNT
2023-09-25,11200,11200,11200,11200,200,QNT
2023-09-26,12800,12800,9600,9600,1200,QNT
2023-09-27,9300,9300,9300,9300,100,QNT
2023-09-28,10500,10500,10500,10500,200,QNT
2023-09-29,10900,10900,10900,10900,200,QNT
2023-10-05,9300,9300,9300,9300,900,QNT
2023-10-06,8000,8000,8000,8000,100,QNT
2023-10-11,8700,8700,6800,7500,2600,QNT
