time,open,high,low,close,volume,ticker
2023-01-03,17050,17050,17050,17050,400,QSP
2023-01-11,17420,17420,17420,17420,500,QSP
2023-01-12,17420,17420,17420,17420,100,QSP
2023-02-03,18790,18790,18790,18790,1000,QSP
2023-02-14,18790,19710,18790,19710,600,QSP
2023-02-17,19250,19250,19250,19250,1000,QSP
2023-02-28,19250,19250,19250,19250,400,QSP
2023-03-09,19250,19250,16500,16500,5500,QSP
2023-03-16,17600,18330,17600,18330,1000,QSP
2023-03-24,18330,18330,18330,18330,1000,QSP
2023-03-29,17970,17970,17970,17970,500,QSP
2023-04-03,19250,19250,19250,19250,600,QSP
2023-04-04,16410,16410,16410,16410,100,QSP
2023-04-05,18790,18790,18790,18790,100,QSP
2023-04-07,16410,16410,16410,16410,100,QSP
2023-04-07,16410,16410,16410,16410,100,QSP
2023-04-10,18790,18790,18790,18790,1000,QSP
2023-04-12,18790,18790,18790,18790,100,QSP
2023-04-14,18330,18330,18330,18330,1000,QSP
2023-04-20,16590,16590,16590,16590,100,QSP
2023-04-24,17420,17420,17420,17420,100,QSP
2023-04-26,17690,17690,17690,17690,100,QSP
2023-05-10,20260,20260,20260,20260,200,QSP
2023-05-11,20170,21080,20170,21080,1300,QSP
2023-05-12,20630,20630,20630,20630,100,QSP
2023-05-15,20630,20630,20630,20630,1000,QSP
2023-05-17,20900,21080,20900,21080,400,QSP
2023-05-18,21080,21080,21080,21080,400,QSP
2023-05-22,22920,22920,22180,22180,800,QSP
2023-05-23,21540,21540,21540,21540,300,QSP
2023-05-24,22000,22000,21820,21820,300,QSP
2023-05-25,22000,22000,22000,22000,800,QSP
2023-05-26,23900,23900,21900,22500,2500,QSP
2023-05-29,22500,22500,22100,22300,800,QSP
2023-05-30,21000,21000,21000,21000,2900,QSP
2023-06-01,21000,21500,21000,21500,300,QSP
2023-06-02,21100,21100,21100,21100,500,QSP
2023-06-05,21200,22000,20000,22000,1100,QSP
2023-06-06,20300,20300,20300,20300,100,QSP
2023-06-07,20600,20600,20000,20000,1100,QSP
2023-06-09,21100,21100,21100,21100,1000,QSP
2023-06-14,21200,21200,21200,21200,100,QSP
2023-06-15,21200,21200,21200,21200,100,QSP
2023-06-21,21200,21200,21200,21200,100,QSP
2023-06-22,21300,21300,21300,21300,700,QSP
2023-06-28,21700,21700,21300,21300,2800,QSP
2023-06-30,24400,24400,22500,22500,3500,QSP
2023-07-03,19900,19900,19900,19900,100,QSP
2023-07-04,22800,22800,22800,22800,100,QSP
2023-07-05,20500,21900,20500,21900,200,QSP
2023-07-06,21900,21900,21900,21900,100,QSP
2023-07-07,20000,21900,20000,20500,3300,QSP
2023-07-10,20100,20200,20100,20200,2800,QSP
2023-07-11,21800,21800,21800,21800,400,QSP
2023-07-12,20100,21800,20100,21800,200,QSP
2023-07-17,21200,21200,21100,21100,400,QSP
2023-07-18,21200,21200,21200,21200,600,QSP
2023-07-19,21900,21900,21900,21900,200,QSP
2023-07-25,21100,21100,20700,20700,900,QSP
2023-07-26,20600,20600,20600,20600,100,QSP
2023-07-27,21900,21900,21900,21900,100,QSP
2023-07-28,20100,20100,20100,20100,100,QSP
2023-08-01,20200,20200,20200,20200,5000,QSP
2023-08-03,20600,21200,20600,21200,400,QSP
2023-08-04,20800,20800,20800,20800,400,QSP
2023-08-07,21000,21000,21000,21000,200,QSP
2023-08-08,21200,21200,21200,21200,100,QSP
2023-08-09,21200,21300,21200,21300,700,QSP
2023-08-10,18200,18200,18200,18200,5000,QSP
2023-08-11,20100,20100,20100,20100,1100,QSP
2023-08-14,21500,22000,21500,22000,300,QSP
2023-08-15,20100,21900,20100,21900,600,QSP
2023-08-16,20100,20100,20100,20100,100,QSP
2023-08-18,20500,20500,20500,20500,300,QSP
2023-08-21,19300,19300,19300,19300,100,QSP
2023-08-22,21000,21300,21000,21300,200,QSP
2023-08-24,20100,20100,20100,20100,100,QSP
2023-08-25,21300,21300,21200,21200,500,QSP
2023-08-28,20100,20400,20100,20300,2300,QSP
2023-08-29,20500,20600,20500,20600,4000,QSP
2023-08-31,20500,20500,20500,20500,1600,QSP
2023-09-05,20900,21000,20900,21000,800,QSP
2023-09-06,20900,21000,20900,20900,3400,QSP
2023-09-08,20900,20900,20500,20500,400,QSP
2023-09-11,21000,21000,21000,21000,200,QSP
2023-09-12,21200,21200,21200,21200,300,QSP
2023-09-14,20200,20200,20200,20200,100,QSP
2023-09-18,20800,20800,20800,20800,200,QSP
2023-09-20,21000,21000,21000,21000,100,QSP
2023-09-21,21100,21100,21100,21100,500,QSP
2023-09-22,24000,24000,24000,24000,100,QSP
2023-09-25,20400,21000,20400,21000,700,QSP
2023-09-26,21000,21000,21000,21000,100,QSP
2023-09-27,21900,21900,21000,21000,200,QSP
2023-09-28,21500,21500,21500,21500,300,QSP
2023-10-02,21500,21500,21500,21500,600,QSP
2023-10-03,21500,21500,21500,21500,900,QSP
2023-10-06,21500,21800,21500,21600,1400,QSP
2023-10-09,21000,21000,21000,21000,10600,QSP
2023-10-12,22000,22000,22000,22000,10000,QSP
