time,open,high,low,close,volume,ticker
2023-01-03,74990,75470,74890,75470,1300,RAL
2023-01-04,75470,75470,74610,75470,12800,RAL
2023-01-05,75470,75650,75470,75550,1800,RAL
2023-01-06,75550,75750,74990,75550,700,RAL
2023-01-09,75550,75750,75080,75750,18500,RAL
2023-01-10,75750,75750,75550,75650,10000,RAL
2023-01-11,75650,75650,75180,75270,7300,RAL
2023-01-12,75080,75550,75080,75550,1100,RAL
2023-01-13,74510,75930,74040,75750,7300,RAL
2023-01-16,77840,77840,75750,75750,3300,RAL
2023-01-17,77360,77360,75470,75930,9900,RAL
2023-01-18,75930,76130,75270,76130,10500,RAL
2023-01-19,81440,81440,81440,81440,18900,RAL
2023-01-27,87130,87130,87130,87130,9000,RAL
2023-01-30,93220,93220,91600,92070,105100,RAL
2023-01-31,91890,92070,89700,92070,32100,RAL
2023-02-01,92170,94730,90370,90370,28700,RAL
2023-02-02,90080,90370,89040,90370,24900,RAL
2023-02-03,90370,91600,89220,89800,8100,RAL
2023-02-06,89800,90930,88840,90930,12500,RAL
2023-02-07,91130,91130,89980,90840,8600,RAL
2023-02-08,90840,91030,87800,89700,32500,RAL
2023-02-09,89700,90080,88750,88940,3000,RAL
2023-02-10,88280,88750,87330,87330,7100,RAL
2023-02-13,86090,87330,84010,84480,29400,RAL
2023-02-14,83910,84100,83530,84100,5400,RAL
2023-02-15,84100,86190,84100,85420,13900,RAL
2023-02-16,85420,85720,84290,85420,12200,RAL
2023-02-17,85420,85420,84390,85420,800,RAL
2023-02-20,85340,88750,85140,88660,27000,RAL
2023-02-21,88840,90650,87710,87800,25400,RAL
2023-02-22,85900,87800,85900,86380,20700,RAL
2023-02-23,86380,86380,85420,85420,14200,RAL
2023-02-24,85620,85620,84960,84960,4900,RAL
2023-02-27,84960,84960,83530,83720,8400,RAL
2023-02-28,83810,84480,83810,84480,4400,RAL
2023-03-01,84010,84480,83530,84480,5100,RAL
2023-03-02,84480,85140,84290,84290,5700,RAL
2023-03-03,84290,84290,82960,82960,9500,RAL
2023-03-06,83050,84100,81640,82490,4500,RAL
2023-03-07,82680,83530,82390,83050,4200,RAL
2023-03-08,83150,83150,82300,82580,3600,RAL
2023-03-09,83340,83340,82580,82680,8200,RAL
2023-03-10,83050,83050,78880,82300,27700,RAL
2023-03-13,81640,81640,79630,81160,21900,RAL
2023-03-14,81160,81340,79550,79730,13300,RAL
2023-03-15,84670,84670,80110,81260,13100,RAL
2023-03-16,79450,80970,78970,80300,9100,RAL
2023-03-17,80490,80490,79350,79630,4800,RAL
2023-03-20,81060,81060,78790,78880,6600,RAL
2023-03-21,78790,79260,78120,79170,13200,RAL
2023-03-22,78880,78880,78790,78790,2000,RAL
2023-03-23,78880,78880,78690,78690,300,RAL
2023-03-24,78970,78970,78310,78400,1400,RAL
2023-03-27,78500,79730,78500,79730,1600,RAL
2023-03-28,84390,84390,80680,81640,16900,RAL
2023-03-29,81720,81820,81640,81640,1000,RAL
2023-03-30,80680,81640,80680,80870,1100,RAL
2023-03-31,81920,82100,81060,81060,4200,RAL
2023-04-03,83430,83430,83430,83430,2000,RAL
2023-04-04,84390,84960,84390,84960,1100,RAL
2023-04-05,85240,85240,85240,85240,100,RAL
2023-04-06,85340,85340,84860,84960,5500,RAL
2023-04-07,87230,87230,85050,85050,10800,RAL
2023-04-10,85140,85900,85140,85420,2100,RAL
2023-04-11,85340,85420,83720,85420,7000,RAL
2023-04-12,85420,86280,85420,86090,3000,RAL
2023-04-13,83810,85900,83810,85420,4500,RAL
2023-04-14,85050,85140,85050,85140,500,RAL
2023-04-17,86410,86410,85140,85140,14100,RAL
2023-04-18,85430,86800,85040,85040,2900,RAL
2023-04-19,85140,85920,85140,85430,13100,RAL
2023-04-20,84950,87880,84950,87880,5300,RAL
2023-04-21,92370,93250,90320,93250,103500,RAL
2023-04-24,98620,98620,95690,95980,74200,RAL
2023-04-25,94910,96270,91590,92270,35800,RAL
2023-04-26,91590,93830,91490,93830,24400,RAL
2023-04-27,95880,99590,95690,97930,37000,RAL
2023-04-28,97250,97440,94810,95780,27000,RAL
2023-05-04,94710,100080,94710,98910,89600,RAL
2023-05-05,101840,106430,100670,105550,109700,RAL
2023-05-08,107500,108570,105450,106230,42300,RAL
2023-05-09,105060,106330,101540,104080,81000,RAL
2023-05-10,103500,105350,102030,104280,39200,RAL
2023-05-11,104670,105450,103400,103500,49800,RAL
2023-05-12,101640,103500,101060,102520,50000,RAL
2023-05-15,102520,104380,101150,101150,47600,RAL
2023-05-16,100370,101540,100180,100670,45400,RAL
2023-05-17,100570,103200,99790,100570,43100,RAL
2023-05-18,100180,101740,99590,101740,49700,RAL
2023-05-19,100760,101540,99590,99590,19600,RAL
2023-05-22,101740,101740,99100,99590,35500,RAL
2023-05-23,100180,102230,99300,99300,51300,RAL
2023-05-24,101250,101250,99100,99100,10500,RAL
2023-05-25,100080,100280,98130,99300,29900,RAL
2023-05-26,100960,102420,99400,99400,29600,RAL
2023-05-29,99590,102520,99300,101640,45100,RAL
2023-05-30,100760,101450,100080,101250,38900,RAL
2023-05-31,101350,104470,101350,103690,84300,RAL
2023-06-01,103990,103990,102030,102910,74300,RAL
2023-06-02,102910,103200,102130,102520,41500,RAL
2023-06-05,102520,104180,100570,101540,34200,RAL
2023-06-06,101540,102030,100080,102030,36700,RAL
2023-06-07,101640,102030,100570,101640,22100,RAL
2023-06-08,102420,105350,102230,103400,79600,RAL
2023-06-09,103010,110230,103010,109360,75500,RAL
2023-06-12,111990,111990,107400,109360,43000,RAL
2023-06-13,108380,109360,106720,108380,28000,RAL
2023-06-14,108380,108380,105940,106430,30000,RAL
2023-06-15,105740,106430,105740,106430,21000,RAL
2023-06-16,106430,108970,106430,107400,20800,RAL
2023-06-19,108380,108380,106230,106230,17000,RAL
2023-06-20,105450,107310,105450,107210,27300,RAL
2023-06-21,108970,108970,105650,108280,26100,RAL
2023-06-22,108380,108380,106430,106620,29100,RAL
2023-06-23,106130,106720,105940,106720,15000,RAL
2023-06-26,106130,109360,105450,109360,44600,RAL
2023-06-27,110330,112770,110330,111210,71900,RAL
2023-06-28,110430,111310,109360,110330,34000,RAL
2023-06-29,110140,110140,108180,108180,15800,RAL
2023-06-30,107890,109550,107890,109550,5100,RAL
2023-07-03,111310,111310,108970,110630,19500,RAL
2023-07-04,110630,111800,110330,111020,20700,RAL
2023-07-05,111110,111500,109650,110430,15300,RAL
2023-07-06,111990,111990,109940,110430,33200,RAL
2023-07-07,112090,112190,110820,111890,37700,RAL
2023-07-10,111800,115210,111800,112970,23100,RAL
2023-07-11,113260,113260,111310,111800,33300,RAL
2023-07-12,111600,111890,111210,111310,29100,RAL
2023-07-13,110920,111500,110530,111310,15600,RAL
2023-07-14,110630,111700,110330,111410,20000,RAL
