time,open,high,low,close,volume,ticker
2023-01-03,61100,63230,61100,62120,275700,REE
2023-01-04,62980,62980,61870,62630,212900,REE
2023-01-05,62300,63830,62300,63830,393500,REE
2023-01-06,63230,63830,62550,63670,153200,REE
2023-01-09,63750,64099,62120,62900,230900,REE
2023-01-10,62980,63150,61700,61700,422100,REE
2023-01-11,61700,62720,61520,62120,221300,REE
2023-01-12,62550,62550,61430,62120,127000,REE
2023-01-13,62120,62300,61430,61520,228000,REE
2023-01-16,61780,61870,60750,60750,223600,REE
2023-01-17,60750,60920,59120,59120,703600,REE
2023-01-18,59900,60230,58360,59210,575300,REE
2023-01-19,59720,60410,59380,59900,283100,REE
2023-01-27,61270,63230,60830,62120,640000,REE
2023-01-30,62120,64610,62120,62980,1107200,REE
2023-01-31,63920,64610,63070,63920,478100,REE
2023-02-01,64269,64700,62380,62630,438300,REE
2023-02-02,62630,62980,61270,62030,320300,REE
2023-02-03,62120,62470,60410,60410,1211800,REE
2023-02-06,60830,62470,60670,62470,312400,REE
2023-02-07,63670,64610,62380,62980,731200,REE
2023-02-08,63410,63410,62030,62980,286800,REE
2023-02-09,63230,63230,62120,62120,164800,REE
2023-02-10,62210,62550,61270,61270,341800,REE
2023-02-13,59980,61350,59210,60410,394500,REE
2023-02-14,60500,60920,60070,60230,124400,REE
2023-02-15,60410,60830,60070,60410,174000,REE
2023-02-16,60750,61010,60500,60830,161900,REE
2023-02-17,60670,61270,60580,61010,207500,REE
2023-02-20,61180,62470,61180,62470,313700,REE
2023-02-21,62470,63150,62120,62470,331500,REE
2023-02-22,62120,62120,61180,61180,251900,REE
2023-02-23,60830,61010,59630,59980,473800,REE
2023-02-24,60160,60500,59560,59980,244900,REE
2023-02-27,59630,59630,57920,58700,356700,REE
2023-02-28,59390,59570,58520,58960,109500,REE
2023-03-01,57910,59130,57740,59130,214500,REE
2023-03-02,59130,59830,59130,59740,107600,REE
2023-03-03,59740,60000,58350,58350,159800,REE
2023-03-06,59480,59480,58260,58260,132700,REE
2023-03-07,59130,59130,58260,58610,85000,REE
2023-03-08,57910,59300,57910,59130,133600,REE
2023-03-09,59130,59480,58960,59130,257600,REE
2023-03-10,58960,59390,58870,59300,285600,REE
2023-03-13,58960,60350,58960,59650,246700,REE
2023-03-14,59650,59650,58780,59220,161500,REE
2023-03-15,59740,59830,59040,59830,124600,REE
2023-03-16,59480,59650,58260,59130,284700,REE
2023-03-17,59570,59570,58780,59130,94400,REE
2023-03-20,58870,59040,58000,58000,150100,REE
2023-03-21,59040,59040,56700,58260,210700,REE
2023-03-22,58350,58700,58170,58350,64000,REE
2023-03-23,57570,58260,57570,58260,61000,REE
2023-03-24,58350,58430,58170,58350,128500,REE
2023-03-27,58700,58960,58260,58700,82100,REE
2023-03-28,59390,59650,58260,58350,181200,REE
2023-03-29,58960,58960,58090,58260,135900,REE
2023-03-30,58430,59040,58260,58350,81300,REE
2023-03-31,58700,58780,58260,58520,41300,REE
2023-04-03,58960,59390,58960,59300,198900,REE
2023-04-04,59300,60870,59300,60700,409300,REE
2023-04-05,60870,61910,59130,60870,279800,REE
2023-04-06,61570,61570,60350,60430,257300,REE
2023-04-07,60260,60700,60090,60260,95500,REE
2023-04-10,60430,60430,59570,60430,213800,REE
2023-04-11,60430,60870,59830,59830,168900,REE
2023-04-12,60430,61830,60260,60700,492400,REE
2023-04-13,60700,60870,59830,59830,166900,REE
2023-04-14,60430,60430,59130,59220,185700,REE
2023-04-17,59130,59130,58700,59130,118000,REE
2023-04-18,58960,59650,58780,58870,167000,REE
2023-04-19,59650,59650,58610,58870,148300,REE
2023-04-20,58700,59040,58430,58610,64900,REE
2023-04-21,58610,59040,57830,58000,217200,REE
2023-04-24,58260,58260,57390,57390,164100,REE
2023-04-25,57040,58700,56520,56780,264500,REE
2023-04-26,56960,57300,55740,55740,346600,REE
2023-04-27,55740,56960,55740,56090,147000,REE
2023-04-28,57390,58700,57130,57650,751100,REE
2023-05-04,58520,59040,58170,58260,258900,REE
2023-05-05,58090,58260,57480,57650,200300,REE
2023-05-08,57740,58430,57740,58260,299100,REE
2023-05-09,58520,58520,57740,57830,213900,REE
2023-05-10,57570,58090,57570,57740,195700,REE
2023-05-11,58260,58260,57740,57740,246500,REE
2023-05-12,57830,58000,57390,57480,429600,REE
2023-05-15,57570,59480,57570,58350,711000,REE
2023-05-16,58960,59390,58610,58610,303400,REE
2023-05-17,58700,59130,57910,58000,301800,REE
2023-05-18,58260,58260,57830,57830,307800,REE
2023-05-19,59100,59100,58100,58700,306900,REE
2023-05-22,59500,60300,59000,60200,654200,REE
2023-05-23,61500,62800,61100,62500,1015500,REE
2023-05-24,62800,62800,61600,61600,560100,REE
