time,open,high,low,close,volume,ticker
2023-01-03,8900,10500,8000,8700,3100,RIC
2023-01-04,9100,9800,8200,9100,6200,RIC
2023-01-05,9700,9700,9000,9000,200,RIC
2023-01-06,9400,9400,9300,9400,700,RIC
2023-01-09,9400,9400,9400,9400,5300,RIC
2023-01-10,9400,9400,8200,8900,3300,RIC
2023-01-12,10000,10000,8800,8800,200,RIC
2023-01-13,10700,10700,8000,8000,18400,RIC
2023-01-16,9500,9500,9000,9000,200,RIC
2023-01-17,10600,10600,8000,8700,17200,RIC
2023-01-18,9200,9200,8500,8800,600,RIC
2023-01-19,8000,8000,8000,8000,100,RIC
2023-01-27,8400,8400,8000,8000,2200,RIC
2023-01-30,9300,9300,8100,8100,7400,RIC
2023-01-31,8400,8400,8400,8400,100,RIC
2023-02-01,9600,9600,8000,8000,6200,RIC
2023-02-02,8000,8000,8000,8000,7200,RIC
2023-02-03,7900,7900,7900,7900,6800,RIC
2023-02-06,8400,8400,7300,8300,300,RIC
2023-02-07,8000,8000,7800,7800,300,RIC
2023-02-08,7400,8000,7400,7800,3100,RIC
2023-02-09,8200,8200,7400,7800,6500,RIC
2023-02-10,8700,8700,7700,7700,700,RIC
2023-02-13,8000,8000,7500,7500,1700,RIC
2023-02-14,7500,7500,7300,7400,3500,RIC
2023-02-15,7900,7900,6300,6300,114600,RIC
2023-02-16,6300,6700,6300,6700,2300,RIC
2023-02-17,6600,7000,6500,6500,2400,RIC
2023-02-20,6800,7000,6700,6900,5000,RIC
2023-02-21,6800,6800,6600,6800,12800,RIC
2023-02-22,6800,6800,6300,6500,3600,RIC
2023-02-23,6500,6500,6400,6400,7700,RIC
2023-02-24,6800,6800,6800,6800,100,RIC
2023-02-28,6700,6700,6300,6300,4700,RIC
2023-03-01,6200,6400,6200,6400,1400,RIC
2023-03-02,6300,6300,6000,6300,1700,RIC
2023-03-03,6100,6100,6000,6100,1600,RIC
2023-03-07,6000,6000,6000,6000,9000,RIC
2023-03-08,6200,6200,6000,6000,9600,RIC
2023-03-09,6300,6900,6300,6900,25800,RIC
2023-03-10,7800,7800,7100,7800,47000,RIC
2023-03-13,7800,7800,6700,6700,29700,RIC
2023-03-14,6100,6800,6000,6200,44300,RIC
2023-03-15,6200,6500,6200,6500,9600,RIC
2023-03-16,6200,6300,6100,6100,8400,RIC
2023-03-17,6400,6400,6200,6200,2000,RIC
2023-03-20,6300,6300,6000,6200,8600,RIC
2023-03-21,6300,6400,6200,6300,15000,RIC
2023-03-22,6300,6300,6300,6300,2000,RIC
2023-03-24,6500,6500,6500,6500,2900,RIC
2023-03-27,6100,6100,6100,6100,100,RIC
2023-03-28,6100,6100,6100,6100,100,RIC
2023-03-29,6400,6400,6400,6400,100,RIC
2023-03-30,6300,6300,6300,6300,200,RIC
2023-03-31,6100,6100,6100,6100,200,RIC
2023-04-03,6300,6300,6300,6300,200,RIC
2023-04-04,6500,6500,6500,6500,600,RIC
2023-04-05,6300,6300,6300,6300,100,RIC
2023-04-06,6400,6400,6400,6400,1000,RIC
2023-04-07,6400,6600,6400,6500,2000,RIC
2023-04-07,6400,6500,6400,6500,700,RIC
2023-04-10,6800,6800,6700,6700,1500,RIC
2023-04-11,6600,6600,6500,6500,400,RIC
2023-04-12,6800,6800,6600,6600,200,RIC
2023-04-13,6700,6700,6700,6700,100,RIC
2023-04-17,6000,6300,6000,6300,7700,RIC
2023-04-18,6500,6500,6500,6500,100,RIC
2023-04-19,6200,6300,6100,6200,10000,RIC
2023-04-20,6300,6400,6100,6200,19000,RIC
2023-04-21,6500,6500,6300,6300,2900,RIC
2023-04-25,6300,6400,6200,6400,700,RIC
2023-04-27,6400,6400,6400,6400,200,RIC
2023-04-28,6100,6200,6100,6100,3100,RIC
2023-05-04,6200,6400,6100,6200,20500,RIC
2023-05-05,6100,6300,6100,6200,9400,RIC
2023-05-08,6100,6100,6000,6100,11200,RIC
2023-05-09,6300,6300,6300,6300,700,RIC
2023-05-10,6400,6500,6400,6500,9100,RIC
2023-05-11,6400,7300,6400,7100,46700,RIC
2023-05-12,7100,7400,6700,6700,2000,RIC
2023-05-15,7200,7400,7100,7100,22200,RIC
2023-05-16,7300,7300,7300,7300,400,RIC
2023-05-17,7000,7100,6700,6700,3600,RIC
2023-05-18,7000,7000,7000,7000,100,RIC
2023-05-19,6600,6700,6500,6700,2900,RIC
2023-05-22,6600,6600,6600,6600,200,RIC
2023-05-23,6400,6700,6400,6700,600,RIC
2023-05-24,6500,6800,6500,6800,3700,RIC
2023-05-25,6700,6800,6700,6800,2600,RIC
2023-05-26,7000,7000,6800,6900,400,RIC
2023-05-29,6900,6900,6900,6900,2000,RIC
2023-05-30,7000,7000,7000,7000,4500,RIC
2023-05-31,7000,7000,7000,7000,100,RIC
2023-06-01,7000,7300,6900,7100,22000,RIC
2023-06-02,7000,7100,7000,7100,9700,RIC
2023-06-05,7300,7400,7200,7300,37300,RIC
2023-06-06,7300,7400,7300,7300,5000,RIC
2023-06-07,8200,8200,6700,7800,7100,RIC
2023-06-09,8500,8500,6800,7300,1300,RIC
2023-06-12,8000,8000,6800,6800,9300,RIC
2023-06-13,7300,7600,7000,7600,6300,RIC
2023-06-14,7600,8000,7300,7400,7100,RIC
2023-06-15,7400,7900,7400,7900,5800,RIC
2023-06-16,7400,7800,7300,7500,5600,RIC
2023-06-19,7200,7200,7100,7100,6100,RIC
2023-06-20,7200,7200,7000,7200,3100,RIC
2023-06-21,7100,7400,7100,7400,3700,RIC
2023-06-22,7000,7000,6800,6800,4000,RIC
2023-06-23,6900,7400,6900,7400,1500,RIC
2023-06-26,6500,6900,6500,6900,1200,RIC
2023-06-27,7200,7200,7200,7200,400,RIC
2023-06-28,6900,6900,6800,6900,1400,RIC
2023-06-29,7200,7200,6800,6800,700,RIC
2023-07-04,6900,7000,6900,7000,200,RIC
2023-07-05,6800,6800,6800,6800,100,RIC
2023-07-06,7000,7000,6600,6800,1600,RIC
2023-07-07,6900,6900,6500,6900,500,RIC
2023-07-10,6900,6900,6900,6900,100,RIC
2023-07-11,6700,6700,6600,6600,1000,RIC
2023-07-12,6900,6900,6900,6900,100,RIC
2023-07-13,6800,6900,6500,6500,5100,RIC
2023-07-14,6500,6500,6500,6500,400,RIC
2023-07-17,6700,6700,6500,6500,22200,RIC
2023-07-18,6900,6900,6500,6500,17700,RIC
2023-07-19,6500,6800,6500,6500,22400,RIC
2023-07-20,6500,6500,6500,6500,4300,RIC
2023-07-21,6000,6800,6000,6400,22300,RIC
2023-07-24,6500,6500,6300,6500,11300,RIC
2023-07-25,6500,6500,6200,6200,17200,RIC
2023-07-26,6300,6400,6100,6300,26600,RIC
2023-07-27,6500,6500,6300,6300,16300,RIC
2023-07-28,6400,6400,6400,6400,6000,RIC
2023-07-31,6300,6800,6300,6800,7000,RIC
2023-08-01,6900,6900,6200,6600,26300,RIC
2023-08-02,6900,6900,6200,6900,54800,RIC
2023-08-03,6600,6600,6300,6300,25500,RIC
2023-08-04,6300,6600,6300,6500,5400,RIC
2023-08-07,6500,6500,6300,6400,25700,RIC
2023-08-08,6300,6900,6300,6400,38100,RIC
2023-08-09,6400,6500,6200,6500,34200,RIC
2023-08-10,6600,6700,6400,6500,15700,RIC
2023-08-11,6700,6700,6500,6500,19600,RIC
2023-08-14,6600,7400,6400,7400,154800,RIC
2023-08-15,7900,8200,7600,8200,161000,RIC
2023-08-16,9000,9000,6900,7300,164200,RIC
2023-08-17,7300,7300,6300,6500,103300,RIC
2023-08-18,6500,6900,6200,6200,84800,RIC
2023-08-21,6500,6500,6000,6300,54200,RIC
2023-08-22,6000,6500,6000,6000,81000,RIC
2023-08-23,6200,6300,6000,6100,61900,RIC
2023-08-24,6300,6300,6100,6300,30400,RIC
2023-08-25,6200,6200,6000,6100,27200,RIC
2023-08-28,6200,6200,6000,6200,35200,RIC
2023-08-29,6200,6300,6100,6200,5200,RIC
2023-08-30,6200,6300,6000,6000,50300,RIC
2023-08-31,6100,6200,6100,6200,17700,RIC
2023-09-05,6300,6800,6300,6500,16600,RIC
2023-09-06,6200,6400,6200,6200,7900,RIC
2023-09-07,6500,6600,6200,6300,24000,RIC
2023-09-08,6300,6300,6100,6200,8900,RIC
2023-09-11,6300,6300,5900,6100,53900,RIC
2023-09-12,6100,6200,6000,6200,30900,RIC
2023-09-13,6100,6200,6000,6200,21500,RIC
2023-09-14,6300,6300,6000,6100,48300,RIC
2023-09-15,6100,6200,5900,6100,13700,RIC
2023-09-18,6000,6200,5800,5800,13100,RIC
2023-09-19,6100,6100,5900,5900,3000,RIC
2023-09-20,5900,6000,5900,6000,25400,RIC
2023-09-21,6100,6100,6000,6000,9400,RIC
2023-09-22,5900,5900,5500,5900,41500,RIC
2023-09-25,5900,5900,5200,5200,13800,RIC
2023-09-26,5400,5500,5300,5300,4300,RIC
2023-09-27,5300,5300,5000,5100,18300,RIC
2023-09-28,5100,5200,5100,5100,4300,RIC
2023-09-29,5300,5300,5000,5200,14100,RIC
2023-10-02,5300,5400,5200,5200,2500,RIC
2023-10-03,5200,5200,4900,4900,9100,RIC
2023-10-04,5100,5100,4900,5000,11800,RIC
2023-10-05,5000,5300,5000,5100,7900,RIC
2023-10-06,5500,5500,5100,5100,1500,RIC
2023-10-09,5000,5200,4900,5200,8600,RIC
2023-10-10,5000,5200,5000,5100,8400,RIC
2023-10-11,5200,5300,5100,5200,3500,RIC
2023-10-12,5100,5200,5000,5200,11800,RIC
2023-10-13,5100,5100,5000,5000,1900,RIC
