time,open,high,low,close,volume,ticker
2023-01-03,6450,6820,6450,6820,97700,S99
2023-01-04,6820,7090,6820,6910,156300,S99
2023-01-05,7000,7090,6910,7090,122400,S99
2023-01-06,7000,7180,7000,7000,120200,S99
2023-01-09,7000,7090,7000,7090,44900,S99
2023-01-10,7000,7180,6820,7180,83500,S99
2023-01-11,7270,7360,7180,7180,120000,S99
2023-01-12,7180,7360,7180,7270,127400,S99
2023-01-13,7270,7450,7270,7360,70800,S99
2023-01-16,7180,7450,7180,7180,68300,S99
2023-01-17,7360,7450,7270,7360,55800,S99
2023-01-18,7360,7550,7360,7450,22400,S99
2023-01-19,7360,7550,7360,7550,52900,S99
2023-01-27,7550,7820,7550,7730,140400,S99
2023-01-30,7640,7820,7640,7820,64000,S99
2023-01-31,7820,7820,7550,7730,66600,S99
2023-02-01,7360,8090,7180,7180,112200,S99
2023-02-02,7270,7270,7000,7000,41300,S99
2023-02-03,7180,7270,7000,7180,66400,S99
2023-02-06,7090,7270,7090,7270,23300,S99
2023-02-07,7180,7270,7000,7090,50700,S99
2023-02-08,7090,7180,6910,7000,37400,S99
2023-02-09,7090,7180,7000,7090,63400,S99
2023-02-10,7090,7090,6910,7000,10200,S99
2023-02-13,7000,7000,6730,6820,128300,S99
2023-02-14,6820,7000,6730,6820,15700,S99
2023-02-15,6450,7000,6450,7000,51500,S99
2023-02-16,7000,7090,6910,7090,31200,S99
2023-02-17,7090,7090,6910,7000,47500,S99
2023-02-20,7090,7270,7090,7180,56900,S99
2023-02-21,7270,7270,7180,7270,43900,S99
2023-02-22,7180,7270,7090,7090,68900,S99
2023-02-23,7000,7090,6910,7000,38100,S99
2023-02-24,7000,7090,6910,6910,36500,S99
2023-02-27,6910,7000,6820,6820,26300,S99
2023-02-28,6910,7090,6910,7000,87600,S99
2023-03-01,6910,7090,6820,7090,38200,S99
2023-03-02,7090,7180,7000,7090,76700,S99
2023-03-03,7090,7090,7000,7000,8900,S99
2023-03-06,7090,7180,7000,7090,34000,S99
2023-03-07,7180,7270,7090,7180,83200,S99
2023-03-08,7180,7270,7090,7270,44300,S99
2023-03-09,7180,7360,7180,7270,55000,S99
2023-03-10,7270,7270,7090,7090,35100,S99
2023-03-13,7180,7270,7090,7270,74500,S99
2023-03-14,7270,7270,7090,7090,43200,S99
2023-03-15,7180,7270,7180,7180,62300,S99
2023-03-16,7180,7180,7180,7180,21700,S99
2023-03-17,7270,7270,7000,7180,31100,S99
2023-03-20,7090,7180,7000,7000,46700,S99
2023-03-21,7180,7180,7000,7090,25600,S99
2023-03-22,7090,7090,7090,7090,2000,S99
2023-03-23,7090,7090,7090,7090,3200,S99
2023-03-24,7090,7090,7090,7090,1800,S99
2023-03-27,6820,7270,6820,7270,36300,S99
2023-03-28,7270,7360,7270,7360,24700,S99
2023-03-29,7270,7270,7270,7270,100,S99
2023-03-30,7270,7270,7270,7270,500,S99
2023-03-31,7360,7360,7360,7360,100,S99
2023-04-03,7270,7270,7180,7270,22900,S99
2023-04-04,7270,7360,7270,7360,3600,S99
2023-04-05,7360,7450,7360,7450,25700,S99
2023-04-06,7450,7820,7450,7640,167900,S99
2023-04-07,7550,7640,7550,7550,9600,S99
2023-04-07,7550,7550,7550,7550,800,S99
2023-04-10,7550,7640,7450,7640,16900,S99
2023-04-11,7550,7910,7360,7910,351300,S99
2023-04-12,8000,8270,8000,8090,271900,S99
2023-04-13,8180,8270,8180,8180,52700,S99
2023-04-14,8270,8820,8180,8640,737600,S99
2023-04-17,8180,8730,8180,8450,403900,S99
2023-04-18,9090,9090,8270,8450,174100,S99
2023-04-19,8270,8450,8090,8180,201600,S99
2023-04-20,8180,8180,8090,8180,38000,S99
2023-04-21,8360,8360,8180,8180,41400,S99
2023-04-24,8090,8450,8000,8180,41500,S99
2023-04-25,8180,8270,8180,8270,9200,S99
2023-04-26,8090,8180,8000,8180,41600,S99
2023-04-27,8180,8360,8090,8360,91500,S99
2023-04-28,8820,8910,8640,8730,286300,S99
2023-05-04,8910,8910,8640,8820,82400,S99
2023-05-05,8820,8820,8640,8730,83700,S99
2023-05-08,8640,9360,8550,9090,348300,S99
2023-05-09,9180,9450,9000,9090,189400,S99
2023-05-10,9180,9270,9000,9270,209100,S99
2023-05-11,9360,9450,9180,9180,87900,S99
2023-05-12,9270,9450,9000,9090,196800,S99
2023-05-15,8820,9180,8820,9000,130500,S99
2023-05-16,9090,9180,8910,9180,111100,S99
2023-05-17,9180,9820,9180,9820,1603900,S99
2023-05-18,9550,9910,9450,9450,203900,S99
2023-05-19,9360,9640,8910,9000,562800,S99
2023-05-22,9000,9270,8910,9090,404000,S99
2023-05-23,9090,9360,9090,9090,119400,S99
2023-05-24,8910,9270,8910,9090,195900,S99
2023-05-25,9090,9270,9000,9090,194800,S99
2023-05-26,9090,9640,9090,9450,406800,S99
2023-05-29,9550,10000,9550,9910,688400,S99
2023-05-30,10000,10000,9550,9820,586800,S99
2023-05-31,9910,9910,9360,9450,1543900,S99
2023-06-01,9450,9640,9090,9550,1090700,S99
2023-06-02,9640,9820,9360,9360,532700,S99
2023-06-05,9550,9550,9360,9550,493400,S99
2023-06-06,9450,9640,9450,9550,670900,S99
2023-06-07,9550,9910,9450,9910,616900,S99
2023-06-08,10100,10700,10000,10000,632700,S99
2023-06-09,9800,10100,9400,9400,548100,S99
2023-06-12,9400,9900,9400,9900,401800,S99
2023-06-13,9900,10000,9600,9800,304300,S99
2023-06-14,9800,9900,9300,9600,246900,S99
2023-06-15,9600,9600,9400,9500,115700,S99
2023-06-16,9600,9700,9400,9400,206200,S99
2023-06-19,9500,9500,8700,9100,179100,S99
2023-06-20,9100,9400,9100,9300,157000,S99
2023-06-21,9400,9600,9300,9600,295000,S99
2023-06-22,9300,9700,9300,9500,250900,S99
2023-06-23,9400,9600,9300,9300,184400,S99
2023-06-26,9400,9400,8900,9100,253600,S99
2023-06-27,9100,9200,9000,9100,130400,S99
2023-06-28,9100,9200,8900,9000,127100,S99
2023-06-29,9000,9000,8800,8800,104400,S99
2023-06-30,8800,8900,8600,8600,99900,S99
2023-07-03,8700,8800,8500,8700,206500,S99
2023-07-04,8700,8700,8600,8700,111100,S99
2023-07-05,8800,8900,8600,8800,123800,S99
2023-07-06,8900,8900,8600,8700,103800,S99
2023-07-07,8700,9100,8600,8900,195600,S99
2023-07-10,8900,9100,8800,8800,216400,S99
2023-07-11,9000,9100,8800,8900,110100,S99
2023-07-12,8900,8900,8600,8800,338800,S99
2023-07-13,8800,8900,8700,8800,148500,S99
2023-07-14,8900,9100,8800,8800,248300,S99
2023-07-17,8900,9200,8900,9100,329400,S99
2023-07-18,9100,9100,9000,9100,139900,S99
2023-07-19,9100,9100,8900,8900,189900,S99
2023-07-20,8800,8900,8700,8900,169700,S99
2023-07-21,8800,9700,8800,9400,501500,S99
2023-07-24,9500,10300,9300,10200,986500,S99
2023-07-25,10200,10700,9800,10300,802900,S99
2023-07-26,10500,10900,10000,10700,1057700,S99
2023-07-27,10700,11000,10400,10500,822500,S99
2023-07-28,10500,10900,10100,10400,512400,S99
2023-07-31,10600,11400,10300,11400,2023700,S99
2023-08-01,11100,11900,11100,11500,705200,S99
2023-08-02,11200,12400,10900,12400,1220600,S99
2023-08-03,12300,12700,11700,12500,511100,S99
2023-08-04,12600,12600,12100,12400,305600,S99
2023-08-07,12400,12400,12100,12200,148900,S99
2023-08-08,12200,12800,11900,12500,491900,S99
2023-08-09,12100,13100,12000,12600,506100,S99
2023-08-10,12900,12900,12000,12200,260200,S99
2023-08-11,12200,12900,12000,12200,905800,S99
2023-08-14,12400,12700,12200,12200,723800,S99
2023-08-15,12200,12500,11800,11800,407600,S99
2023-08-16,11800,11800,11600,11600,391000,S99
2023-08-17,11500,11900,10500,10500,1206600,S99
2023-08-18,10300,10800,9500,9500,1053800,S99
2023-08-21,9400,9900,9300,9700,426400,S99
2023-08-22,9900,10000,9200,10000,394600,S99
2023-08-23,10000,10200,9800,9800,219200,S99
2023-08-24,9800,10300,9800,10200,609100,S99
2023-08-25,10200,10300,10000,10200,229900,S99
2023-08-28,9800,10300,9700,10000,1725500,S99
2023-08-29,10100,10400,9800,10000,960100,S99
2023-08-30,10000,10000,9700,9700,697500,S99
2023-08-31,9900,10100,9700,10100,598600,S99
2023-09-05,10200,11100,10100,11100,1068500,S99
2023-09-06,11300,11500,10800,11000,611100,S99
2023-09-07,11000,11300,10700,10900,549400,S99
2023-09-08,10800,11400,10800,11100,760200,S99
