time,open,high,low,close,volume,ticker
2023-01-04,9330,9330,9330,9330,100,SBR
2023-01-05,10500,10500,10500,10500,100,SBR
2023-01-06,8930,8930,8930,8930,300,SBR
2023-01-10,7750,7750,7750,7750,100,SBR
2023-01-16,6970,6970,6970,6970,100,SBR
2023-01-30,7850,7950,7850,7950,400,SBR
2023-01-31,8930,8930,8930,8930,100,SBR
2023-02-01,10010,10010,9820,9820,300,SBR
2023-02-02,10010,10010,10010,10010,200,SBR
2023-02-03,11290,11290,11290,11290,100,SBR
2023-02-07,12560,12560,12560,12560,100,SBR
2023-02-10,12470,12470,12470,12470,300,SBR
2023-02-13,10600,10600,10600,10600,100,SBR
2023-02-14,9030,9030,9030,9030,1200,SBR
2023-02-15,7750,7750,7750,7750,100,SBR
2023-02-16,7750,7750,7750,7750,1500,SBR
2023-02-28,6870,6870,6870,6870,100,SBR
2023-03-06,6090,7750,6090,7750,200,SBR
2023-03-08,7850,7850,7850,7850,100,SBR
2023-03-09,6870,6870,6870,6870,3100,SBR
2023-03-10,7850,7850,7850,7850,100,SBR
2023-03-14,8830,8830,6870,6870,600,SBR
2023-03-15,6870,6870,6870,6870,1000,SBR
2023-03-20,7750,7750,7750,7750,100,SBR
2023-03-21,6670,6670,6670,6670,200,SBR
2023-03-28,7360,7360,7360,7360,100,SBR
2023-04-03,7260,7260,7260,7260,2400,SBR
2023-04-05,7850,7850,7850,7850,100,SBR
2023-04-06,6770,6870,6770,6870,1300,SBR
2023-04-10,7750,7750,7750,7750,100,SBR
2023-04-12,8740,8740,8640,8640,200,SBR
2023-04-14,7460,7560,7460,7560,700,SBR
2023-04-18,7850,7850,7850,7850,100,SBR
2023-04-19,8640,8640,8640,8640,100,SBR
2023-04-21,7850,7850,7850,7850,100,SBR
2023-04-26,8540,8540,8540,8540,100,SBR
2023-04-27,6870,6870,6870,6870,200,SBR
2023-05-04,7460,7460,7460,7460,100,SBR
2023-05-05,7560,7560,7560,7560,200,SBR
2023-05-09,7460,7460,7460,7460,200,SBR
2023-05-10,8340,8340,8340,8340,100,SBR
2023-05-11,7560,7560,7560,7560,200,SBR
2023-05-12,8640,8640,8640,8640,100,SBR
2023-05-15,7360,7360,7360,7360,2400,SBR
2023-05-16,8340,8340,7360,7360,5200,SBR
2023-05-17,6970,6970,6670,6670,4500,SBR
2023-05-18,6970,7070,6970,7070,1200,SBR
2023-05-19,7560,7560,7560,7560,100,SBR
2023-05-22,6870,6870,6870,6870,500,SBR
2023-05-25,6970,6970,6970,6970,100,SBR
2023-05-26,6970,6970,6970,6970,2600,SBR
2023-05-29,6770,6770,6770,6770,100,SBR
2023-05-30,6770,6970,6770,6970,700,SBR
2023-05-31,7070,7460,7070,7360,4700,SBR
2023-06-01,7750,7750,7560,7560,1700,SBR
2023-06-02,7360,7360,6970,6970,1200,SBR
2023-06-05,7170,7170,7170,7170,100,SBR
2023-06-06,7460,7460,7460,7460,300,SBR
2023-06-08,6670,7360,6670,7170,900,SBR
2023-06-13,7000,7000,7000,7000,200,SBR
2023-06-14,6900,7000,6900,7000,300,SBR
2023-06-15,6700,6700,6700,6700,100,SBR
2023-06-16,6700,6700,6700,6700,300,SBR
2023-06-19,6800,6800,6700,6700,300,SBR
2023-06-20,7000,7000,7000,7000,1400,SBR
2023-06-22,7000,7000,7000,7000,1000,SBR
2023-06-23,7000,7000,7000,7000,100,SBR
2023-06-27,7000,7000,7000,7000,1600,SBR
2023-06-28,7000,7200,6500,7200,5600,SBR
2023-07-03,7100,7100,7100,7100,2000,SBR
2023-07-05,7000,7200,7000,7200,300,SBR
2023-07-06,7300,7700,7300,7700,200,SBR
2023-07-10,6600,7600,6600,7500,400,SBR
2023-07-11,6400,6600,6400,6600,200,SBR
2023-07-13,7300,7300,7000,7000,400,SBR
2023-07-14,7300,7300,7200,7200,1500,SBR
2023-07-17,7900,7900,7800,7800,1100,SBR
2023-07-19,7800,7800,7800,7800,100,SBR
2023-07-24,6800,7600,6800,7600,300,SBR
2023-07-25,7100,7100,7100,7100,1000,SBR
2023-07-26,7000,7100,7000,7100,2100,SBR
2023-07-27,7000,7000,7000,7000,200,SBR
2023-07-28,7000,7000,7000,7000,5300,SBR
2023-07-31,7000,7000,7000,7000,100,SBR
2023-08-01,7100,7100,6500,6500,11000,SBR
2023-08-02,6800,6800,6500,6500,1500,SBR
2023-08-03,6700,7000,6700,7000,500,SBR
2023-08-04,7000,7000,7000,7000,600,SBR
2023-08-07,6600,7100,6600,7100,400,SBR
2023-08-09,6100,6100,6100,6100,700,SBR
2023-08-10,6800,6800,6800,6800,300,SBR
2023-08-11,6900,7000,6900,7000,500,SBR
2023-08-15,7000,7100,7000,7100,1300,SBR
2023-08-16,7000,7000,7000,7000,100,SBR
2023-08-18,6900,6900,6900,6900,300,SBR
2023-08-23,7000,7000,7000,7000,100,SBR
2023-08-25,7000,7000,7000,7000,1900,SBR
2023-08-29,7000,7000,7000,7000,200,SBR
2023-08-30,7100,7100,7100,7100,200,SBR
2023-09-13,7100,8000,7100,7900,400,SBR
2023-10-12,7400,7400,7400,7400,100,SBR
